"","lag(diff(log(RGDPlevel), 1), 1)","lag(Investment.Rate, 1)","lag(Savings.Rate, 1)","lag(log(Hours/Total), 1)","lag(realInterest, 1)","lag(infl, 1)","lag(log(Oil.Price))","lag(log(Oil.Price), 2)","popGrowth","lag(popGrowth, 1)","beta_1","beta_2"
"lag(diff(log(RGDPlevel), 1), 1)",0.000520048537020071,5.2089561743544e-06,-0.000180973054329891,7.07478991287078e-06,-2.36136548080754e-05,-3.80983429617267e-06,3.64709485437291e-06,3.45053190206871e-06,-0.000231011033614614,1.75677964916981e-05,4.67168566582386e-05,-1.33006863685485e-05
"lag(Investment.Rate, 1)",5.20895617435383e-06,0.00133110931656274,-0.000128708793416405,-0.000265191898757127,-0.000101522445134962,-0.000310349852137988,4.41412194547208e-06,-2.93216159798131e-06,-0.000506016201044145,-0.000899773247207937,-8.30104486404797e-05,2.98304517410429e-05
"lag(Savings.Rate, 1)",-0.000180973054329891,-0.000128708793416404,0.000477844386701451,-1.77363993679201e-05,7.10773128700219e-05,4.1544864853292e-05,-8.36596977234072e-06,9.7032468148297e-06,-0.00131916598536825,0.000543938664220991,-0.000126870168912576,1.08454701620576e-05
"lag(log(Hours/Total), 1)",7.07478991287074e-06,-0.000265191898757127,-1.77363993679202e-05,0.000209879434187089,4.77895778457859e-05,2.62118396304548e-05,-3.32666101509536e-06,2.39422041817395e-06,-0.000125119105184649,4.45262855271663e-05,8.29425673379514e-05,-0.000133056531966325
"lag(realInterest, 1)",-2.3613654808076e-05,-0.000101522445134961,7.10773128700217e-05,4.77895778457857e-05,0.0004607578168304,0.000300050377470129,4.3397530383164e-06,-7.89770601666408e-06,-3.02926574576842e-05,0.00124481319122224,-9.0186737086553e-05,-0.000144004048659951
"lag(infl, 1)",-3.80983429617286e-06,-0.000310349852137988,4.15448648532922e-05,2.62118396304547e-05,0.000300050377470129,0.000610980535042329,-6.76643868331074e-06,-1.33618455409409e-06,0.0005915689811496,0.000577022538371526,-0.000303030982772611,0.000102736852823097
"lag(log(Oil.Price))",3.64709485437299e-06,4.41412194547172e-06,-8.36596977234061e-06,-3.3266610150953e-06,4.33975303831642e-06,-6.76643868331066e-06,7.46359689403997e-06,-6.34717960014957e-06,-5.36031075104583e-06,-2.55116143271306e-05,6.17534477384601e-06,7.72449652809089e-06
"lag(log(Oil.Price), 2)",3.45053190206869e-06,-2.93216159798142e-06,9.70324681482978e-06,2.39422041817397e-06,-7.89770601666392e-06,-1.33618455409404e-06,-6.34717960014956e-06,7.39794529867395e-06,5.8056685431836e-06,-2.05982511902528e-05,-6.30039556888001e-07,1.33137790988845e-06
"popGrowth",-0.000231011033614618,-0.000506016201044134,-0.00131916598536825,-0.000125119105184657,-3.02926574576945e-05,0.000591568981149566,-5.36031075104575e-06,5.80566854318242e-06,0.163372312299567,-0.135802744413591,0.000114417601485621,-0.000270844606005358
"lag(popGrowth, 1)",1.75677964916998e-05,-0.000899773247207949,0.000543938664220991,4.4526285527171e-05,0.00124481319122225,0.000577022538371562,-2.5511614327131e-05,-2.05982511902516e-05,-0.135802744413591,0.165992799828911,-0.000505879056149657,-0.000713765384059836
"beta_1",4.67168566582385e-05,-8.30104486404796e-05,-0.000126870168912576,8.29425673379513e-05,-9.01867370865528e-05,-0.000303030982772611,6.17534477384603e-06,-6.30039556888068e-07,0.000114417601485639,-0.00050587905614966,0.000408660215911258,-0.000289567018880762
"beta_2",-1.33006863685479e-05,2.98304517410419e-05,1.08454701620579e-05,-0.000133056531966325,-0.000144004048659951,0.000102736852823097,7.72449652809083e-06,1.3313779098886e-06,-0.000270844606005344,-0.000713765384059852,-0.000289567018880761,0.000850587535896318
