"","lag(diff(log(RGDPlevel), 1), 1)","lag(Investment.Rate, 1)","lag(Savings.Rate, 1)","lag(log(Hours/Total), 1)","lag(realInterest, 1)","lag(infl, 1)","lag(log(Oil.Price))","lag(log(Oil.Price), 2)","popGrowth","lag(popGrowth, 1)","beta_1","beta_2"
"lag(diff(log(RGDPlevel), 1), 1)",0.00030689909538944,2.23509816172869e-05,-0.000111646045632843,-2.48625935394711e-06,-1.70180574833119e-05,4.56683442250476e-06,2.87333023200268e-06,1.0792669684027e-06,-0.000277311476829327,0.000111879686807389,1.71189909871047e-05,-4.19268423005049e-07
"lag(Investment.Rate, 1)",2.23509816172866e-05,0.000881685366173467,-0.00012129474930352,-0.000160161346362373,-0.000124833438313507,-0.000269557861494518,3.21619123308182e-06,-2.7682359389807e-06,-5.24742783174248e-05,-0.000917988467448313,1.17474613524438e-05,-3.53040371734966e-05
"lag(Savings.Rate, 1)",-0.000111646045632842,-0.000121294749303519,0.000305062266698176,6.93566612479499e-07,3.7308062090381e-05,1.83899891218646e-05,-4.97574440371913e-06,6.26747460754604e-06,-0.00103344341335067,0.00062585064792402,-6.19935135325224e-05,-2.04244236744769e-06
"lag(log(Hours/Total), 1)",-2.48625935394715e-06,-0.000160161346362373,6.93566612479478e-07,9.96609879796608e-05,5.76329739700778e-05,3.0963569751187e-05,-1.42948378747142e-06,9.17445684552499e-07,-0.000112778182030335,8.5414531749929e-05,3.31423135670027e-05,-6.19448888200395e-05
"lag(realInterest, 1)",-1.70180574833122e-05,-0.000124833438313506,3.73080620903807e-05,5.76329739700777e-05,0.000321955493821854,0.000204656208655694,2.84532193173933e-06,-5.04642416159653e-06,-9.93728346000167e-05,0.00109146809279603,-4.83330311967467e-05,-9.25436985363024e-05
"lag(infl, 1)",4.5668344225048e-06,-0.000269557861494518,1.83899891218644e-05,3.0963569751187e-05,0.000204656208655693,0.000463788230205604,-5.62601433307188e-06,5.74756561612361e-07,0.000347073404781167,0.000522383791385719,-0.000215895925932704,9.26124266359746e-05
"lag(log(Oil.Price))",2.87333023200273e-06,3.21619123308162e-06,-4.97574440371907e-06,-1.4294837874714e-06,2.84532193173935e-06,-5.62601433307183e-06,3.68308338577311e-06,-3.12599493236116e-06,2.05566775013039e-07,-2.33191901185338e-05,3.82213909738243e-06,3.51961402318416e-06
"lag(log(Oil.Price), 2)",1.07926696840268e-06,-2.76823593898078e-06,6.26747460754609e-06,9.17445684552519e-07,-5.04642416159643e-06,5.7475656161239e-07,-3.12599493236116e-06,3.59392959299066e-06,1.59699919369711e-05,-1.80843696603509e-05,-1.23046194355947e-06,3.07164294592638e-07
"popGrowth",-0.000277311476829329,-5.24742783174193e-05,-0.00103344341335067,-0.000112778182030339,-9.93728346000245e-05,0.000347073404781137,2.05566775013296e-07,1.59699919369702e-05,0.134181855675623,-0.12003431461484,0.000158688570316936,-2.94967789061735e-05
"lag(popGrowth, 1)",0.00011187968680739,-0.00091798846744832,0.00062585064792402,8.54145317499316e-05,0.00109146809279604,0.00052238379138575,-2.33191901185342e-05,-1.808436966035e-05,-0.12003431461484,0.1378951173185,-0.000410417635183961,-0.000507477774204656
"beta_1",1.71189909871045e-05,1.17474613524439e-05,-6.19935135325226e-05,3.31423135670026e-05,-4.83330311967465e-05,-0.000215895925932704,3.82213909738245e-06,-1.2304619435595e-06,0.000158688570316944,-0.000410417635183962,0.000212742756993775,-0.000158077117310177
"beta_2",-4.19268423004674e-07,-3.53040371734972e-05,-2.04244236744757e-06,-6.19448888200394e-05,-9.25436985363028e-05,9.26124266359745e-05,3.51961402318412e-06,3.07164294592731e-07,-2.94967789061611e-05,-0.00050747777420467,-0.000158077117310176,0.000397113674936867
