"","lag(diff(log(RGDPlevel), 1), 1)","lag(Investment.Rate, 1)","lag(Savings.Rate, 1)","lag(log(Hours/Total), 1)","lag(realInterest, 1)","lag(infl, 1)","lag(log(Oil.Price))","lag(log(Oil.Price), 2)","popGrowth","lag(popGrowth, 1)","beta_1","beta_2"
"lag(diff(log(RGDPlevel), 1), 1)",0.00349227559022893,0.000676309972064669,-0.00124172961636603,-0.000127886965465723,-0.000249798587772636,0.000173367674155911,2.52510344650952e-05,2.23974190792893e-05,-0.0062538346893766,0.00402458592863498,2.74449734799763e-05,4.95823340693247e-05
"lag(Investment.Rate, 1)",0.000676309972064666,0.0113487683578895,-0.00124113847607374,-0.00219436236187087,-0.00258139813770839,-0.00471287914135816,8.97493623934473e-05,-7.10835374441714e-05,0.00579516519754116,-0.016699503827207,0.000911486871916623,-0.00092735580484975
"lag(Savings.Rate, 1)",-0.00124172961636603,-0.00124113847607373,0.00288198991126629,0.000152646190695649,0.000239956486496427,-8.54367335797283e-06,-6.90046515851824e-05,5.32272614749519e-05,-0.0196394318872522,0.0105914250049176,-0.000380132228084349,-0.000204352182458868
"lag(log(Hours/Total), 1)",-0.000127886965465724,-0.00219436236187087,0.000152646190695649,0.000967230813124227,0.00123683833114925,0.000642599404715413,-1.33459698895388e-05,5.35447650655914e-06,-0.00186005289859747,0.00292936346122424,0.000243955419292594,-0.000494944841956692
"lag(realInterest, 1)",-0.000249798587772641,-0.00258139813770839,0.000239956486496425,0.00123683833114925,0.00474329508480572,0.00280167774791773,6.43585973465001e-05,-8.34221264626223e-05,-0.00457212390003354,0.0186043017833905,-0.000488671043946291,-0.00119387972023815
"lag(infl, 1)",0.000173367674155912,-0.00471287914135816,-8.54367335797208e-06,0.000642599404715413,0.00280167774791773,0.00763576254628258,-8.85386653028171e-05,2.39791910511709e-05,0.00255692958878007,0.00808054499850057,-0.00354491841876718,0.00179834914058299
"lag(log(Oil.Price))",2.52510344650955e-05,8.97493623934453e-05,-6.90046515851819e-05,-1.33459698895385e-05,6.43585973465002e-05,-8.85386653028167e-05,3.18819856334558e-05,-2.69733024119455e-05,0.000131410795680141,-0.00039653645066395,5.03596323702303e-05,2.01518066492898e-05
"lag(log(Oil.Price), 2)",2.2397419079289e-05,-7.10835374441722e-05,5.32272614749524e-05,5.3544765065595e-06,-8.34221264626209e-05,2.39791910511711e-05,-2.69733024119455e-05,2.95810581351333e-05,0.000403319102291086,-0.000368973209993354,-1.67269571741494e-05,1.68625140769846e-05
"popGrowth",-0.00625383468937666,0.00579516519754123,-0.0196394318872522,-0.00186005289859752,-0.00457212390003364,0.00255692958877957,0.000131410795680147,0.000403319102291069,2.46345367442553,-2.34437933898476,0.00453895423477347,0.00191230745808931
"lag(popGrowth, 1)",0.00402458592863502,-0.0166995038272071,0.0105914250049176,0.00292936346122428,0.0186043017833905,0.0080805449985011,-0.000396536450663957,-0.000368973209993339,-2.34437933898477,2.54472120945706,-0.00603079833170964,-0.00742351162040492
"beta_1",2.74449734799733e-05,0.000911486871916624,-0.000380132228084352,0.000243955419292594,-0.000488671043946286,-0.00354491841876718,5.03596323702303e-05,-1.67269571741497e-05,0.00453895423477356,-0.00603079833170966,0.00249446283142857,-0.00169970083373555
"beta_2",4.95823340693295e-05,-0.000927355804849758,-0.000204352182458867,-0.000494944841956691,-0.00119387972023816,0.00179834914058299,2.01518066492895e-05,1.68625140769855e-05,0.00191230745808957,-0.00742351162040519,-0.00169970083373554,0.00345577182765836
