Germany, Death rates (period 1x1), 	Last modified: 29 Mar 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
  1990           0             0.006102        0.008085        0.007119
  1990           1             0.000615        0.000676        0.000646
  1990           2             0.000355        0.000462        0.000410
  1990           3             0.000318        0.000426        0.000374
  1990           4             0.000209        0.000302        0.000256
  1990           5             0.000206        0.000296        0.000252
  1990           6             0.000218        0.000216        0.000217
  1990           7             0.000223        0.000267        0.000246
  1990           8             0.000190        0.000257        0.000224
  1990           9             0.000146        0.000183        0.000165
  1990          10             0.000138        0.000210        0.000175
  1990          11             0.000133        0.000236        0.000186
  1990          12             0.000145        0.000185        0.000165
  1990          13             0.000192        0.000248        0.000221
  1990          14             0.000225        0.000350        0.000289
  1990          15             0.000249        0.000392        0.000323
  1990          16             0.000271        0.000563        0.000421
  1990          17             0.000306        0.000674        0.000495
  1990          18             0.000356        0.001148        0.000762
  1990          19             0.000404        0.001146        0.000783
  1990          20             0.000413        0.001092        0.000759
  1990          21             0.000378        0.001206        0.000801
  1990          22             0.000398        0.001117        0.000766
  1990          23             0.000427        0.001096        0.000770
  1990          24             0.000405        0.000979        0.000700
  1990          25             0.000425        0.001114        0.000781
  1990          26             0.000385        0.001079        0.000744
  1990          27             0.000418        0.001082        0.000761
  1990          28             0.000412        0.001136        0.000784
  1990          29             0.000535        0.001260        0.000907
  1990          30             0.000541        0.001355        0.000960
  1990          31             0.000592        0.001268        0.000940
  1990          32             0.000607        0.001463        0.001048
  1990          33             0.000629        0.001631        0.001144
  1990          34             0.000778        0.001653        0.001227
  1990          35             0.000831        0.001806        0.001329
  1990          36             0.000997        0.001790        0.001400
  1990          37             0.001032        0.002110        0.001578
  1990          38             0.001092        0.002149        0.001628
  1990          39             0.001235        0.002309        0.001780
  1990          40             0.001362        0.002463        0.001922
  1990          41             0.001381        0.002546        0.001976
  1990          42             0.001517        0.002887        0.002218
  1990          43             0.001667        0.003302        0.002503
  1990          44             0.001776        0.003139        0.002471
  1990          45             0.002075        0.003928        0.003018
  1990          46             0.002257        0.004416        0.003358
  1990          47             0.002380        0.004546        0.003487
  1990          48             0.002618        0.005157        0.003914
  1990          49             0.002657        0.005465        0.004087
  1990          50             0.002962        0.006414        0.004717
  1990          51             0.003158        0.006779        0.004996
  1990          52             0.003468        0.007286        0.005402
  1990          53             0.003810        0.008482        0.006170
  1990          54             0.004266        0.009207        0.006752
  1990          55             0.004809        0.010777        0.007807
  1990          56             0.005114        0.011125        0.008125
  1990          57             0.005796        0.012417        0.009093
  1990          58             0.006219        0.013686        0.009913
  1990          59             0.006838        0.015476        0.011079
  1990          60             0.007593        0.017003        0.012176
  1990          61             0.008311        0.018529        0.013241
  1990          62             0.009075        0.019418        0.013930
  1990          63             0.009934        0.021235        0.014956
  1990          64             0.011106        0.022892        0.016064
  1990          65             0.012048        0.025691        0.017474
  1990          66             0.013494        0.028059        0.019039
  1990          67             0.014811        0.030386        0.020692
  1990          68             0.017104        0.033676        0.023290
  1990          69             0.018597        0.037054        0.025322
  1990          70             0.023392        0.045213        0.031231
  1990          71             0.021014        0.041158        0.028207
  1990          72             0.025772        0.047645        0.033510
  1990          73             0.028959        0.053990        0.037694
  1990          74             0.030873        0.055466        0.039250
  1990          75             0.038405        0.066582        0.047793
  1990          76             0.041505        0.071255        0.051304
  1990          77             0.047516        0.080223        0.058191
  1990          78             0.054041        0.088665        0.065135
  1990          79             0.060395        0.098003        0.072105
  1990          80             0.069355        0.110405        0.081741
  1990          81             0.078332        0.121256        0.091005
  1990          82             0.088838        0.132382        0.101488
  1990          83             0.099655        0.149045        0.113726
  1990          84             0.113083        0.161115        0.126628
  1990          85             0.126507        0.178681        0.141132
  1990          86             0.143701        0.195221        0.157617
  1990          87             0.158377        0.213231        0.172622
  1990          88             0.179087        0.230125        0.191835
  1990          89             0.196856        0.247313        0.208960
  1990          90             0.220993        0.276776        0.233755
  1990          91             0.243971        0.288668        0.253642
  1990          92             0.265322        0.313404        0.275071
  1990          93             0.291076        0.346530        0.301754
  1990          94             0.310659        0.374531        0.322428
  1990          95             0.344061        0.402870        0.354520
  1990          96             0.370316        0.427282        0.380592
  1990          97             0.382361        0.440316        0.393055
  1990          98             0.386725        0.435461        0.395891
  1990          99             0.409749        0.505502        0.428926
  1990         100             0.517547        0.736994        0.558140
  1990         101             0.551813        0.666667        0.573087
  1990         102             0.626313        0.716180        0.643287
  1990         103             0.532620        0.707692        0.562832
  1990         104             0.467681        0.550459        0.481890
  1990         105             0.507353        0.734694        0.542056
  1990         106             0.736842        0.193548        0.620690
  1990         107             0.315789        0.375000        0.328767
  1990         108             0.409091        1.200000        0.489796
  1990         109             2.033898        2.307692        2.083333
  1990         110+            6.000000        6.000000        6.000000
  1991           0             0.005730        0.007326        0.006549
  1991           1             0.000550        0.000676        0.000614
  1991           2             0.000317        0.000451        0.000386
  1991           3             0.000295        0.000371        0.000334
  1991           4             0.000248        0.000299        0.000274
  1991           5             0.000211        0.000262        0.000237
  1991           6             0.000177        0.000214        0.000196
  1991           7             0.000138        0.000207        0.000173
  1991           8             0.000169        0.000239        0.000205
  1991           9             0.000157        0.000172        0.000165
  1991          10             0.000133        0.000170        0.000152
  1991          11             0.000165        0.000199        0.000182
  1991          12             0.000144        0.000229        0.000188
  1991          13             0.000141        0.000205        0.000174
  1991          14             0.000175        0.000248        0.000212
  1991          15             0.000222        0.000360        0.000293
  1991          16             0.000269        0.000628        0.000453
  1991          17             0.000290        0.000848        0.000576
  1991          18             0.000439        0.001039        0.000746
  1991          19             0.000465        0.001189        0.000836
  1991          20             0.000391        0.001145        0.000776
  1991          21             0.000393        0.001122        0.000765
  1991          22             0.000331        0.001162        0.000756
  1991          23             0.000361        0.001133        0.000757
  1991          24             0.000368        0.001122        0.000756
  1991          25             0.000403        0.001127        0.000776
  1991          26             0.000410        0.001161        0.000798
  1991          27             0.000394        0.001232        0.000827
  1991          28             0.000456        0.001218        0.000850
  1991          29             0.000511        0.001310        0.000922
  1991          30             0.000548        0.001331        0.000951
  1991          31             0.000562        0.001469        0.001029
  1991          32             0.000694        0.001534        0.001127
  1991          33             0.000712        0.001564        0.001151
  1991          34             0.000798        0.001680        0.001252
  1991          35             0.000813        0.001819        0.001330
  1991          36             0.000968        0.001949        0.001470
  1991          37             0.001006        0.002212        0.001619
  1991          38             0.001079        0.002324        0.001711
  1991          39             0.001147        0.002328        0.001746
  1991          40             0.001320        0.002641        0.001990
  1991          41             0.001403        0.002822        0.002125
  1991          42             0.001473        0.002966        0.002236
  1991          43             0.001633        0.003097        0.002382
  1991          44             0.001841        0.003668        0.002774
  1991          45             0.001923        0.003763        0.002860
  1991          46             0.002334        0.004244        0.003305
  1991          47             0.002437        0.004641        0.003560
  1991          48             0.002694        0.005033        0.003888
  1991          49             0.002642        0.005762        0.004232
  1991          50             0.002865        0.006220        0.004570
  1991          51             0.003414        0.006914        0.005190
  1991          52             0.003461        0.007327        0.005419
  1991          53             0.003789        0.008249        0.006043
  1991          54             0.004413        0.008839        0.006642
  1991          55             0.004580        0.009623        0.007110
  1991          56             0.005035        0.011330        0.008186
  1991          57             0.005402        0.012093        0.008741
  1991          58             0.006157        0.013455        0.009777
  1991          59             0.006583        0.014973        0.010714
  1991          60             0.007401        0.016937        0.012058
  1991          61             0.008213        0.018137        0.013017
  1991          62             0.009018        0.019960        0.014265
  1991          63             0.009970        0.021450        0.015324
  1991          64             0.010760        0.022936        0.016133
  1991          65             0.011914        0.024682        0.017241
  1991          66             0.013306        0.027744        0.018997
  1991          67             0.014608        0.029581        0.020250
  1991          68             0.016118        0.032288        0.022160
  1991          69             0.018423        0.035688        0.024794
  1991          70             0.020261        0.039398        0.027147
  1991          71             0.025140        0.047604        0.033103
  1991          72             0.022765        0.043703        0.030128
  1991          73             0.028598        0.050980        0.036390
  1991          74             0.032297        0.057333        0.040891
  1991          75             0.033902        0.060646        0.042846
  1991          76             0.041984        0.073677        0.052340
  1991          77             0.044826        0.076404        0.055007
  1991          78             0.051934        0.086621        0.062990
  1991          79             0.059136        0.095272        0.070424
  1991          80             0.066234        0.105249        0.077980
  1991          81             0.075215        0.116837        0.087417
  1991          82             0.086376        0.131807        0.099381
  1991          83             0.097523        0.144410        0.110708
  1991          84             0.110029        0.158490        0.123358
  1991          85             0.122856        0.175338        0.137141
  1991          86             0.138546        0.190731        0.152633
  1991          87             0.154129        0.209549        0.168511
  1991          88             0.171902        0.229996        0.186389
  1991          89             0.191995        0.244689        0.204628
  1991          90             0.208310        0.267199        0.221839
  1991          91             0.234462        0.286573        0.245905
  1991          92             0.252152        0.314210        0.265056
  1991          93             0.279116        0.338449        0.290580
  1991          94             0.306298        0.360860        0.316330
  1991          95             0.331453        0.389407        0.341642
  1991          96             0.356579        0.393383        0.362837
  1991          97             0.376974        0.437019        0.387338
  1991          98             0.406128        0.393348        0.403856
  1991          99             0.456538        0.532505        0.470392
  1991         100             0.503116        0.769986        0.547961
  1991         101             0.491172        0.632000        0.514706
  1991         102             0.607204        0.542466        0.596026
  1991         103             0.612385        0.670051        0.623012
  1991         104             0.640777        0.551020        0.626427
  1991         105             0.572368        0.792453        0.605042
  1991         106             0.638298        0.230769        0.574850
  1991         107             0.610169        0.545455        0.592593
  1991         108             0.810811        0.000000        0.652174
  1991         109             0.230769        0.000000        0.206897
  1991         110+            0.000000              .        0.000000
  1992           0             0.005344        0.006762        0.006071
  1992           1             0.000528        0.000563        0.000546
  1992           2             0.000263        0.000423        0.000345
  1992           3             0.000239        0.000306        0.000274
  1992           4             0.000202        0.000274        0.000239
  1992           5             0.000206        0.000224        0.000215
  1992           6             0.000186        0.000208        0.000197
  1992           7             0.000139        0.000201        0.000171
  1992           8             0.000134        0.000189        0.000162
  1992           9             0.000111        0.000170        0.000141
  1992          10             0.000160        0.000168        0.000164
  1992          11             0.000155        0.000170        0.000163
  1992          12             0.000135        0.000188        0.000162
  1992          13             0.000103        0.000220        0.000163
  1992          14             0.000164        0.000238        0.000202
  1992          15             0.000208        0.000361        0.000287
  1992          16             0.000250        0.000481        0.000369
  1992          17             0.000289        0.000663        0.000481
  1992          18             0.000391        0.001047        0.000727
  1992          19             0.000436        0.001219        0.000837
  1992          20             0.000384        0.001123        0.000762
  1992          21             0.000335        0.001160        0.000757
  1992          22             0.000375        0.001143        0.000769
  1992          23             0.000349        0.001102        0.000736
  1992          24             0.000420        0.000974        0.000705
  1992          25             0.000382        0.001094        0.000750
  1992          26             0.000417        0.001115        0.000778
  1992          27             0.000389        0.001082        0.000749
  1992          28             0.000505        0.001118        0.000823
  1992          29             0.000484        0.001255        0.000883
  1992          30             0.000547        0.001290        0.000930
  1992          31             0.000510        0.001398        0.000967
  1992          32             0.000564        0.001422        0.001006
  1992          33             0.000642        0.001589        0.001131
  1992          34             0.000773        0.001701        0.001252
  1992          35             0.000822        0.001825        0.001339
  1992          36             0.000892        0.001857        0.001388
  1992          37             0.000963        0.001993        0.001490
  1992          38             0.000994        0.002272        0.001644
  1992          39             0.001150        0.002421        0.001795
  1992          40             0.001200        0.002602        0.001912
  1992          41             0.001395        0.002871        0.002144
  1992          42             0.001570        0.002821        0.002207
  1992          43             0.001668        0.003316        0.002510
  1992          44             0.001775        0.003316        0.002563
  1992          45             0.001999        0.003815        0.002927
  1992          46             0.002066        0.003916        0.003008
  1992          47             0.002359        0.004639        0.003517
  1992          48             0.002564        0.005128        0.003869
  1992          49             0.002810        0.005208        0.004032
  1992          50             0.002895        0.006309        0.004632
  1992          51             0.002947        0.006365        0.004681
  1992          52             0.003385        0.007403        0.005419
  1992          53             0.003732        0.007612        0.005692
  1992          54             0.003904        0.008650        0.006297
  1992          55             0.004497        0.009461        0.006990
  1992          56             0.004769        0.010550        0.007661
  1992          57             0.005408        0.012031        0.008712
  1992          58             0.005803        0.013073        0.009417
  1992          59             0.006517        0.014639        0.010527
  1992          60             0.007117        0.016058        0.011497
  1992          61             0.007846        0.017699        0.012631
  1992          62             0.008597        0.019395        0.013793
  1992          63             0.009356        0.021042        0.014925
  1992          64             0.010439        0.022954        0.016234
  1992          65             0.011448        0.023975        0.016933
  1992          66             0.012634        0.025968        0.018151
  1992          67             0.013951        0.028983        0.019820
  1992          68             0.015386        0.031464        0.021382
  1992          69             0.017504        0.034584        0.023815
  1992          70             0.019337        0.037982        0.026136
  1992          71             0.021887        0.041954        0.029014
  1992          72             0.026710        0.051086        0.035225
  1992          73             0.024879        0.046422        0.032335
  1992          74             0.030345        0.054766        0.038708
  1992          75             0.034738        0.063161        0.044316
  1992          76             0.036792        0.065504        0.046203
  1992          77             0.045332        0.077215        0.055532
  1992          78             0.049093        0.081350        0.059261
  1992          79             0.054924        0.090482        0.065984
  1992          80             0.063243        0.101241        0.074739
  1992          81             0.072096        0.112184        0.083830
  1992          82             0.080363        0.123983        0.092760
  1992          83             0.092798        0.135314        0.104582
  1992          84             0.103801        0.149060        0.116116
  1992          85             0.117879        0.165863        0.130622
  1992          86             0.130512        0.179020        0.143239
  1992          87             0.148270        0.197950        0.161167
  1992          88             0.165601        0.216842        0.178380
  1992          89             0.180446        0.231552        0.192685
  1992          90             0.204504        0.262311        0.217800
  1992          91             0.224731        0.277487        0.236340
  1992          92             0.246612        0.299968        0.257813
  1992          93             0.269875        0.328755        0.281541
  1992          94             0.291699        0.356545        0.303635
  1992          95             0.318523        0.373051        0.328079
  1992          96             0.340196        0.385704        0.347846
  1992          97             0.357476        0.391344        0.363042
  1992          98             0.383007        0.456982        0.395411
  1992          99             0.437991        0.456763        0.441280
  1992         100             0.478518        0.610242        0.499435
  1992         101             0.474444        0.546896        0.485156
  1992         102             0.519153        0.462585        0.509774
  1992         103             0.476663        0.488688        0.478827
  1992         104             0.337864        0.550459        0.375000
  1992         105             0.519231        0.905660        0.575342
  1992         106             0.574850        0.857143        0.615385
  1992         107             0.750000        1.636364        0.880000
  1992         108             0.580645        2.250000        0.923077
  1992         109             1.428571        3.000000        1.565217
  1992         110+            1.384615              .        1.384615
  1993           0             0.005041        0.006504        0.005792
  1993           1             0.000534        0.000522        0.000528
  1993           2             0.000248        0.000411        0.000332
  1993           3             0.000212        0.000316        0.000265
  1993           4             0.000217        0.000246        0.000232
  1993           5             0.000162        0.000227        0.000195
  1993           6             0.000154        0.000202        0.000179
  1993           7             0.000133        0.000173        0.000153
  1993           8             0.000124        0.000185        0.000155
  1993           9             0.000135        0.000187        0.000162
  1993          10             0.000142        0.000151        0.000146
  1993          11             0.000115        0.000202        0.000159
  1993          12             0.000156        0.000202        0.000179
  1993          13             0.000172        0.000227        0.000200
  1993          14             0.000161        0.000255        0.000209
  1993          15             0.000199        0.000335        0.000269
  1993          16             0.000310        0.000516        0.000416
  1993          17             0.000323        0.000689        0.000511
  1993          18             0.000379        0.001115        0.000757
  1993          19             0.000421        0.001110        0.000773
  1993          20             0.000328        0.001093        0.000719
  1993          21             0.000317        0.001138        0.000738
  1993          22             0.000347        0.001031        0.000698
  1993          23             0.000342        0.001030        0.000697
  1993          24             0.000340        0.001044        0.000704
  1993          25             0.000411        0.001009        0.000720
  1993          26             0.000363        0.001011        0.000698
  1993          27             0.000384        0.000973        0.000689
  1993          28             0.000428        0.001068        0.000761
  1993          29             0.000471        0.001114        0.000805
  1993          30             0.000501        0.001240        0.000884
  1993          31             0.000508        0.001267        0.000900
  1993          32             0.000613        0.001251        0.000942
  1993          33             0.000766        0.001607        0.001200
  1993          34             0.000723        0.001603        0.001177
  1993          35             0.000716        0.001673        0.001210
  1993          36             0.000825        0.001842        0.001349
  1993          37             0.001008        0.001987        0.001511
  1993          38             0.001019        0.002243        0.001645
  1993          39             0.001107        0.002464        0.001798
  1993          40             0.001306        0.002533        0.001929
  1993          41             0.001376        0.002699        0.002047
  1993          42             0.001598        0.002868        0.002242
  1993          43             0.001717        0.003124        0.002433
  1993          44             0.001863        0.003435        0.002666
  1993          45             0.002019        0.003579        0.002816
  1993          46             0.002179        0.004266        0.003243
  1993          47             0.002186        0.004095        0.003157
  1993          48             0.002632        0.005169        0.003918
  1993          49             0.002758        0.005608        0.004206
  1993          50             0.002950        0.006002        0.004503
  1993          51             0.003395        0.006468        0.004955
  1993          52             0.003345        0.006921        0.005155
  1993          53             0.003570        0.007999        0.005806
  1993          54             0.003965        0.008565        0.006282
  1993          55             0.004338        0.009101        0.006732
  1993          56             0.004680        0.010254        0.007470
  1993          57             0.005128        0.011596        0.008351
  1993          58             0.005846        0.013124        0.009462
  1993          59             0.006166        0.014046        0.010066
  1993          60             0.006943        0.015780        0.011284
  1993          61             0.007707        0.017177        0.012321
  1993          62             0.008527        0.019348        0.013751
  1993          63             0.009543        0.021090        0.015064
  1993          64             0.010306        0.023182        0.016399
  1993          65             0.011307        0.024349        0.017300
  1993          66             0.012210        0.027048        0.018653
  1993          67             0.013829        0.028565        0.019871
  1993          68             0.015339        0.032104        0.021818
  1993          69             0.017005        0.034149        0.023328
  1993          70             0.018880        0.037534        0.025692
  1993          71             0.021826        0.042636        0.029316
  1993          72             0.024652        0.046535        0.032314
  1993          73             0.030608        0.055997        0.039342
  1993          74             0.028048        0.051548        0.036044
  1993          75             0.033867        0.060993        0.042986
  1993          76             0.039349        0.068331        0.048925
  1993          77             0.041419        0.070235        0.050671
  1993          78             0.051152        0.085427        0.061875
  1993          79             0.054524        0.089931        0.065421
  1993          80             0.062307        0.101448        0.074109
  1993          81             0.071444        0.112385        0.083494
  1993          82             0.080733        0.121140        0.092217
  1993          83             0.090823        0.136824        0.103489
  1993          84             0.102743        0.152007        0.115947
  1993          85             0.116007        0.167952        0.129651
  1993          86             0.132028        0.185050        0.145595
  1993          87             0.147140        0.201842        0.160962
  1993          88             0.165012        0.218456        0.178354
  1993          89             0.180800        0.239136        0.194759
  1993          90             0.207440        0.266844        0.221053
  1993          91             0.228586        0.288516        0.241786
  1993          92             0.250325        0.304912        0.261801
  1993          93             0.267800        0.346060        0.283435
  1993          94             0.300788        0.365662        0.312961
  1993          95             0.319781        0.382499        0.330774
  1993          96             0.354485        0.427195        0.366604
  1993          97             0.371219        0.407917        0.377103
  1993          98             0.407643        0.439291        0.412700
  1993          99             0.454900        0.474551        0.458111
  1993         100             0.496276        0.636719        0.519417
  1993         101             0.493383        0.597671        0.508361
  1993         102             0.533385        0.618834        0.545996
  1993         103             0.476190        0.364286        0.456644
  1993         104             0.724832        1.043478        0.776371
  1993         105             0.783505        1.200000        0.844575
  1993         106             0.620690        0.240000        0.572864
  1993         107             0.689655        0.857143        0.712871
  1993         108             0.666667        3.000000        0.789474
  1993         109             0.352941              .        0.352941
  1993         110+            2.000000              .        2.000000
  1994           0             0.004863        0.006089        0.005493
  1994           1             0.000543        0.000537        0.000540
  1994           2             0.000303        0.000384        0.000344
  1994           3             0.000249        0.000273        0.000261
  1994           4             0.000175        0.000246        0.000212
  1994           5             0.000150        0.000205        0.000178
  1994           6             0.000119        0.000201        0.000161
  1994           7             0.000133        0.000193        0.000164
  1994           8             0.000132        0.000137        0.000134
  1994           9             0.000130        0.000180        0.000155
  1994          10             0.000141        0.000159        0.000150
  1994          11             0.000139        0.000189        0.000165
  1994          12             0.000101        0.000181        0.000142
  1994          13             0.000155        0.000203        0.000179
  1994          14             0.000145        0.000218        0.000183
  1994          15             0.000242        0.000390        0.000318
  1994          16             0.000317        0.000598        0.000461
  1994          17             0.000287        0.000648        0.000473
  1994          18             0.000398        0.001082        0.000750
  1994          19             0.000352        0.001185        0.000778
  1994          20             0.000370        0.001117        0.000751
  1994          21             0.000291        0.001037        0.000673
  1994          22             0.000367        0.001012        0.000697
  1994          23             0.000308        0.000967        0.000647
  1994          24             0.000358        0.001026        0.000703
  1994          25             0.000333        0.001018        0.000687
  1994          26             0.000374        0.000954        0.000674
  1994          27             0.000329        0.001054        0.000704
  1994          28             0.000388        0.001029        0.000721
  1994          29             0.000426        0.001079        0.000765
  1994          30             0.000550        0.001201        0.000888
  1994          31             0.000491        0.001243        0.000880
  1994          32             0.000585        0.001394        0.001002
  1994          33             0.000632        0.001447        0.001052
  1994          34             0.000693        0.001628        0.001175
  1994          35             0.000736        0.001735        0.001251
  1994          36             0.000882        0.001937        0.001426
  1994          37             0.000884        0.002020        0.001469
  1994          38             0.000969        0.001995        0.001496
  1994          39             0.001008        0.002371        0.001704
  1994          40             0.001238        0.002638        0.001949
  1994          41             0.001377        0.002783        0.002089
  1994          42             0.001409        0.002982        0.002206
