Croatia, Death rates (period 1x1)     Last modified: 21-Apr-2017, MPv5 (May07)

   Year      Age       Female       Male         Total
   2002        0     0.006339     0.007807     0.007091 
   2002        1     0.000445     0.000702     0.000577 
   2002        2     0.000189     0.000313     0.000252 
   2002        3     0.000270     0.000171     0.000219 
   2002        4     0.000085     0.000286     0.000188 
   2002        5     0.000166     0.000157     0.000161 
   2002        6     0.000168     0.000238     0.000204 
   2002        7     0.000085     0.000082     0.000084 
   2002        8     0.000086     0.000288     0.000189 
   2002        9     0.000087     0.000124     0.000106 
   2002       10     0.000042     0.000121     0.000083 
   2002       11     0.000123     0.000000     0.000060 
   2002       12     0.000041     0.000235     0.000140 
   2002       13     0.000000     0.000191     0.000098 
   2002       14     0.000119     0.000226     0.000174 
   2002       15     0.000117     0.000376     0.000249 
   2002       16     0.000304     0.000550     0.000429 
   2002       17     0.000110     0.000774     0.000449 
   2002       18     0.000509     0.000625     0.000569 
   2002       19     0.000400     0.001462     0.000942 
   2002       20     0.000216     0.001376     0.000809 
   2002       21     0.000498     0.001418     0.000970 
   2002       22     0.000528     0.000999     0.000770 
   2002       23     0.000425     0.001316     0.000881 
   2002       24     0.000429     0.001368     0.000910 
   2002       25     0.000250     0.001038     0.000651 
   2002       26     0.000180     0.001195     0.000693 
   2002       27     0.000326     0.001238     0.000788 
   2002       28     0.000361     0.001283     0.000826 
   2002       29     0.000324     0.001141     0.000735 
   2002       30     0.000288     0.001489     0.000893 
   2002       31     0.000294     0.000908     0.000603 
   2002       32     0.000624     0.001535     0.001081 
   2002       33     0.000532     0.001386     0.000958 
   2002       34     0.000586     0.001415     0.001000 
   2002       35     0.000462     0.001658     0.001059 
   2002       36     0.000835     0.001874     0.001353 
   2002       37     0.001011     0.001377     0.001193 
   2002       38     0.000825     0.001726     0.001274 
   2002       39     0.000841     0.002741     0.001787 
   2002       40     0.001099     0.002800     0.001944 
   2002       41     0.001354     0.003084     0.002214 
   2002       42     0.001039     0.003072     0.002053 
   2002       43     0.001194     0.003584     0.002389 
   2002       44     0.001664     0.004072     0.002868 
   2002       45     0.002134     0.004010     0.003071 
   2002       46     0.001858     0.004901     0.003384 
   2002       47     0.002496     0.005790     0.004175 
   2002       48     0.002696     0.006188     0.004476 
   2002       49     0.002294     0.007739     0.005035 
   2002       50     0.002755     0.007895     0.005338 
   2002       51     0.003604     0.009164     0.006386 
   2002       52     0.004043     0.009507     0.006740 
   2002       53     0.003358     0.009339     0.006270 
   2002       54     0.003535     0.012201     0.007720 
   2002       55     0.004122     0.011464     0.007633 
   2002       56     0.004801     0.011592     0.008020 
   2002       57     0.006247     0.014131     0.009969 
