Netherlands, Death rates (period 1x1), 	Last modified: 13 Jan 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
  1850           0             0.201633        0.240548        0.221441
  1850           1             0.065559        0.069049        0.067319
  1850           2             0.031319        0.032522        0.031923
  1850           3             0.018829        0.020047        0.019440
  1850           4             0.014014        0.015668        0.014845
  1850           5             0.011857        0.012044        0.011951
  1850           6             0.009230        0.009501        0.009367
  1850           7             0.007834        0.008018        0.007926
  1850           8             0.007270        0.007241        0.007255
  1850           9             0.006394        0.006052        0.006221
  1850          10             0.005755        0.005383        0.005568
  1850          11             0.005209        0.004770        0.004988
  1850          12             0.004603        0.004166        0.004383
  1850          13             0.004506        0.003670        0.004083
  1850          14             0.005514        0.004189        0.004845
  1850          15             0.005784        0.004149        0.004963
  1850          16             0.005162        0.003975        0.004565
  1850          17             0.006000        0.005253        0.005626
  1850          18             0.006605        0.007206        0.006906
  1850          19             0.006643        0.007521        0.007080
  1850          20             0.007028        0.008264        0.007637
  1850          21             0.006626        0.009019        0.007808
  1850          22             0.008292        0.009530        0.008903
  1850          23             0.007697        0.009175        0.008419
  1850          24             0.007348        0.008191        0.007758
  1850          25             0.008861        0.009223        0.009039
  1850          26             0.008866        0.008935        0.008900
  1850          27             0.009828        0.009374        0.009604
  1850          28             0.011152        0.009039        0.010108
  1850          29             0.011208        0.009223        0.010234
  1850          30             0.010112        0.008878        0.009508
  1850          31             0.010737        0.008227        0.009504
  1850          32             0.012897        0.009910        0.011422
  1850          33             0.012623        0.010496        0.011580
  1850          34             0.012617        0.009647        0.011158
  1850          35             0.011591        0.009782        0.010701
  1850          36             0.011902        0.010171        0.011055
  1850          37             0.012864        0.010108        0.011513
  1850          38             0.014377        0.011823        0.013126
  1850          39             0.013879        0.012175        0.013051
  1850          40             0.013901        0.011914        0.012940
  1850          41             0.013732        0.013014        0.013382
  1850          42             0.014632        0.014421        0.014529
  1850          43             0.013325        0.013737        0.013525
  1850          44             0.011980        0.013943        0.012937
  1850          45             0.013888        0.015531        0.014688
  1850          46             0.013476        0.015329        0.014380
  1850          47             0.013500        0.015137        0.014299
  1850          48             0.014054        0.017326        0.015636
  1850          49             0.013730        0.015625        0.014634
  1850          50             0.013711        0.018107        0.015817
  1850          51             0.015389        0.019265        0.017275
  1850          52             0.017882        0.023255        0.020501
  1850          53             0.017307        0.020869        0.019019
  1850          54             0.017747        0.023529        0.020452
  1850          55             0.018074        0.023407        0.020538
  1850          56             0.021458        0.024708        0.022965
  1850          57             0.021944        0.025659        0.023656
  1850          58             0.022429        0.029368        0.025615
  1850          59             0.023779        0.029192        0.026199
  1850          60             0.026211        0.033625        0.029415
  1850          61             0.026767        0.035299        0.030506
  1850          62             0.031705        0.035348        0.033357
  1850          63             0.034722        0.037977        0.036199
  1850          64             0.039809        0.042448        0.040989
  1850          65             0.041059        0.049604        0.044860
  1850          66             0.045389        0.051472        0.048097
  1850          67             0.044407        0.049359        0.046616
  1850          68             0.056751        0.055334        0.056121
  1850          69             0.057481        0.060647        0.058884
  1850          70             0.059301        0.060814        0.059965
  1850          71             0.068057        0.066501        0.067375
  1850          72             0.084577        0.075505        0.080497
  1850          73             0.078684        0.088735        0.083176
  1850          74             0.092105        0.096549        0.094052
  1850          75             0.098805        0.103775        0.100984
  1850          76             0.105420        0.107384        0.106290
  1850          77             0.110821        0.117041        0.113587
  1850          78             0.125451        0.126288        0.125812
  1850          79             0.129575        0.137091        0.132740
  1850          80             0.137721        0.164324        0.149091
  1850          81             0.136639        0.159163        0.146234
  1850          82             0.163119        0.178506        0.169799
  1850          83             0.198675        0.189053        0.194457
  1850          84             0.209581        0.205209        0.207695
  1850          85             0.230187        0.220946        0.226235
  1850          86             0.242329        0.245658        0.243763
  1850          87             0.250703        0.271114        0.259430
  1850          88             0.282353        0.254464        0.270374
  1850          89             0.247423        0.314312        0.276885
  1850          90             0.280734        0.264352        0.274062
  1850          91             0.346154        0.196721        0.283505
  1850          92             0.342145        0.412607        0.373376
  1850          93             0.318584        0.526074        0.404487
  1850          94             0.552037        0.434211        0.510826
  1850          95             0.335852        0.366844        0.347957
  1850          96             0.475128        0.461538        0.470241
  1850          97             0.317965        0.382979        0.339583
  1850          98             0.430828        0.461538        0.442608
  1850          99             0.545455        2.000000        1.058824
  1850         100             1.114120        0.000000        0.863568
  1850         101             2.445141              .        2.445141
  1850         102             4.178571              .        4.178571
  1850         103                   .              .              .
  1850         104                   .              .              .
  1850         105                   .              .              .
  1850         106                   .              .              .
  1850         107                   .              .              .
  1850         108                   .              .              .
  1850         109                   .              .              .
  1850         110+                  .              .              .
  1851           0             0.202007        0.240392        0.221521
  1851           1             0.070649        0.071374        0.071016
  1851           2             0.040602        0.040607        0.040604
  1851           3             0.020901        0.021054        0.020978
  1851           4             0.015104        0.014817        0.014960
  1851           5             0.011549        0.011246        0.011396
  1851           6             0.010038        0.010175        0.010107
  1851           7             0.008433        0.008384        0.008408
  1851           8             0.007211        0.006645        0.006926
