Portugal, Death rates (period 1x1), 	Last modified: 24 Feb 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
  1940           0             0.136132        0.151096        0.143871
  1940           1             0.048355        0.051632        0.050031
  1940           2             0.019619        0.019767        0.019695
  1940           3             0.010142        0.009954        0.010046
  1940           4             0.006339        0.006865        0.006607
  1940           5             0.004000        0.004682        0.004350
  1940           6             0.003374        0.003822        0.003603
  1940           7             0.002592        0.003404        0.003004
  1940           8             0.002360        0.002935        0.002653
  1940           9             0.002243        0.002173        0.002207
  1940          10             0.002044        0.002534        0.002295
  1940          11             0.002000        0.002230        0.002117
  1940          12             0.001912        0.001800        0.001856
  1940          13             0.002160        0.002607        0.002386
  1940          14             0.002208        0.002130        0.002168
  1940          15             0.002578        0.002367        0.002472
  1940          16             0.003082        0.002689        0.002887
  1940          17             0.003120        0.003345        0.003232
  1940          18             0.003778        0.004313        0.004043
  1940          19             0.003848        0.004722        0.004275
  1940          20             0.004309        0.004797        0.004556
  1940          21             0.004259        0.004162        0.004209
  1940          22             0.004079        0.004687        0.004380
  1940          23             0.004207        0.005440        0.004819
  1940          24             0.004208        0.004892        0.004544
  1940          25             0.004430        0.004644        0.004535
  1940          26             0.004737        0.005100        0.004915
  1940          27             0.004614        0.005701        0.005142
  1940          28             0.005246        0.005801        0.005517
  1940          29             0.004378        0.005104        0.004730
  1940          30             0.004822        0.006308        0.005542
  1940          31             0.004214        0.005690        0.004933
  1940          32             0.004617        0.006926        0.005721
  1940          33             0.005579        0.007102        0.006301
  1940          34             0.004844        0.006217        0.005486
  1940          35             0.004888        0.006904        0.005818
  1940          36             0.004975        0.007180        0.005997
  1940          37             0.004628        0.007023        0.005736
  1940          38             0.005387        0.007800        0.006514
  1940          39             0.005090        0.006743        0.005860
  1940          40             0.006483        0.008506        0.007423
  1940          41             0.005501        0.008094        0.006710
  1940          42             0.006120        0.010822        0.008273
  1940          43             0.006316        0.009108        0.007593
  1940          44             0.005328        0.009067        0.007045
  1940          45             0.006856        0.010921        0.008725
  1940          46             0.007441        0.011701        0.009399
  1940          47             0.005386        0.011614        0.008201
  1940          48             0.007454        0.013082        0.009985
  1940          49             0.006369        0.010862        0.008345
  1940          50             0.008800        0.015471        0.011749
  1940          51             0.008172        0.013783        0.010745
  1940          52             0.009397        0.014585        0.011741
  1940          53             0.009475        0.014773        0.011832
  1940          54             0.009159        0.017532        0.012843
  1940          55             0.011309        0.019135        0.014739
  1940          56             0.012253        0.020823        0.016021
  1940          57             0.012705        0.020420        0.016081
  1940          58             0.015592        0.024363        0.019471
  1940          59             0.011055        0.020041        0.014915
  1940          60             0.022208        0.029270        0.025238
  1940          61             0.017870        0.026242        0.021615
  1940          62             0.020576        0.031178        0.025280
  1940          63             0.024014        0.035002        0.028883
  1940          64             0.022630        0.037490        0.028940
  1940          65             0.029087        0.041887        0.034507
  1940          66             0.031233        0.041215        0.035548
  1940          67             0.029955        0.045247        0.036380
  1940          68             0.042645        0.060786        0.050302
  1940          69             0.026626        0.043801        0.033566
  1940          70             0.061773        0.079199        0.068773
  1940          71             0.046712        0.069770        0.056437
  1940          72             0.067858        0.085036        0.075019
  1940          73             0.070568        0.097589        0.082011
  1940          74             0.063557        0.095363        0.076282
  1940          75             0.085396        0.118123        0.098071
  1940          76             0.094500        0.112590        0.101765
  1940          77             0.090401        0.114705        0.099909
  1940          78             0.133808        0.158408        0.143384
  1940          79             0.100320        0.128054        0.110778
  1940          80             0.179581        0.203301        0.187863
  1940          81             0.092086        0.128138        0.104569
  1940          82             0.142693        0.189310        0.158508
  1940          83             0.139830        0.160033        0.146468
  1940          84             0.158573        0.215935        0.177035
  1940          85             0.211370        0.279216        0.232487
  1940          86             0.200363        0.248148        0.214748
  1940          87             0.193294        0.233726        0.205157
  1940          88             0.215180        0.294570        0.237625
  1940          89             0.166583        0.296570        0.201623
  1940          90             0.337834        0.365861        0.345183
  1940          91             0.179825        0.202504        0.185699
  1940          92             0.262840        0.287398        0.269032
  1940          93             0.246883        0.278861        0.254857
  1940          94             0.248417        0.321309        0.265814
  1940          95             0.377470        0.258646        0.350386
  1940          96             0.291531        0.327662        0.299621
  1940          97             0.397671        0.406867        0.399694
  1940          98             0.373449        0.530375        0.407143
  1940          99             0.361060        0.438425        0.375675
  1940         100             0.470725        0.366835        0.451256
  1940         101             0.188829        0.210551        0.193095
  1940         102             0.438749        0.374942        0.426127
  1940         103             0.246253        0.554250        0.308669
  1940         104             0.279622        1.059197        0.420236
  1940         105             0.581791        0.307220        0.534104
  1940         106             0.364601        0.000000        0.309812
  1940         107             0.250627        0.000000        0.210194
  1940         108             0.319744        0.000000        0.234742
  1940         109             0.173661        0.692042        0.277649
  1940         110+            0.203897        0.803213        0.250653
  1941           0             0.163122        0.177212        0.170404
  1941           1             0.069519        0.070370        0.069957
  1941           2             0.026531        0.026974        0.026758
  1941           3             0.011879        0.012996        0.012451
  1941           4             0.006986        0.007323        0.007158
  1941           5             0.004775        0.004986        0.004883
  1941           6             0.003746        0.004446        0.004105
  1941           7             0.003518        0.003464        0.003491
  1941           8             0.002685        0.003221        0.002956
  1941           9             0.002746        0.002841        0.002794
  1941          10             0.002145        0.002265        0.002207
  1941          11             0.002332        0.002583        0.002460
  1941          12             0.002259        0.002205        0.002232
  1941          13             0.002320        0.002093        0.002206
  1941          14             0.002870        0.002615        0.002741
  1941          15             0.002826        0.002647        0.002735
  1941          16             0.002968        0.003681        0.003325
  1941          17             0.003515        0.003721        0.003617
  1941          18             0.003750        0.003791        0.003770
  1941          19             0.003965        0.004422        0.004191
  1941          20             0.004660        0.005654        0.005145
  1941          21             0.004322        0.005306        0.004820
  1941          22             0.004825        0.005290        0.005063
  1941          23             0.004767        0.004567        0.004668
  1941          24             0.004230        0.005536        0.004878
  1941          25             0.004169        0.005319        0.004734
  1941          26             0.004970        0.005325        0.005143
  1941          27             0.004480        0.005392        0.004925
  1941          28             0.004596        0.005612        0.005090
  1941          29             0.004456        0.005737        0.005081
  1941          30             0.004760        0.005842        0.005284
  1941          31             0.004658        0.006255        0.005431
  1941          32             0.005072        0.006614        0.005822
  1941          33             0.005048        0.006755        0.005864
  1941          34             0.005217        0.006839        0.005985
  1941          35             0.005642        0.007699        0.006602
  1941          36             0.004963        0.007203        0.005997
  1941          37             0.005261        0.007248        0.006181
  1941          38             0.006240        0.008573        0.007318
  1941          39             0.005754        0.007542        0.006588
  1941          40             0.006259        0.008344        0.007228
  1941          41             0.005167        0.007675        0.006330
  1941          42             0.007672        0.011287        0.009355
  1941          43             0.005663        0.008938        0.007160
  1941          44             0.006908        0.011305        0.008917
  1941          45             0.007012        0.012143        0.009363
  1941          46             0.007069        0.010146        0.008480
  1941          47             0.006030        0.010748        0.008192
  1941          48             0.009078        0.014097        0.011340
  1941          49             0.006788        0.012853        0.009509
  1941          50             0.008251        0.015281        0.011335
  1941          51             0.007110        0.011425        0.009012
  1941          52             0.012269        0.018193        0.014979
  1941          53             0.010266        0.016338        0.013000
  1941          54             0.011482        0.017956        0.014352
  1941          55             0.012621        0.021762        0.016627
  1941          56             0.012500        0.018428        0.015086
  1941          57             0.012970        0.020108        0.016096
  1941          58             0.015497        0.024908        0.019596
  1941          59             0.015201        0.023956        0.019052
  1941          60             0.021459        0.032884        0.026344
  1941          61             0.012421        0.023793        0.017282
  1941          62             0.028979        0.040704        0.034195
  1941          63             0.024247        0.037664        0.030165
  1941          64             0.026254        0.039681        0.032166
  1941          65             0.032447        0.047453        0.038770
  1941          66             0.029936        0.047067        0.037144
  1941          67             0.036901        0.050685        0.042812
  1941          68             0.042576        0.062999        0.051080
  1941          69             0.034139        0.057432        0.043868
  1941          70             0.064919        0.081662        0.071617
  1941          71             0.037580        0.060134        0.046562
  1941          72             0.076964        0.107141        0.089510
  1941          73             0.073892        0.096704        0.083268
  1941          74             0.081481        0.109462        0.093131
  1941          75             0.101055        0.123440        0.109837
  1941          76             0.088221        0.110862        0.096863
  1941          77             0.113569        0.142697        0.125105
  1941          78             0.137020        0.170292        0.149766
  1941          79             0.116828        0.145817        0.127914
  1941          80             0.184665        0.214214        0.194999
  1941          81             0.111719        0.139663        0.121289
  1941          82             0.153818        0.197438        0.168554
  1941          83             0.145521        0.197113        0.162551
  1941          84             0.159771        0.231308        0.182490
  1941          85             0.239004        0.284859        0.253155
  1941          86             0.201320        0.269568        0.221725
  1941          87             0.207439        0.265193        0.224164
  1941          88             0.250938        0.356715        0.280508
