Austria, Death rates (period 1x10)     Last modified: 02-Sep-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
1947-1949      0     0.074790     0.094958     0.085141 
1947-1949      1     0.006198     0.007127     0.006673 
1947-1949      2     0.003523     0.003929     0.003730 
1947-1949      3     0.002623     0.002889     0.002758 
1947-1949      4     0.001954     0.002297     0.002128 
1947-1949      5     0.001501     0.001791     0.001648 
1947-1949      6     0.001308     0.001469     0.001390 
1947-1949      7     0.001038     0.001359     0.001201 
1947-1949      8     0.000918     0.001255     0.001090 
1947-1949      9     0.000715     0.000878     0.000798 
1947-1949     10     0.000814     0.001035     0.000926 
1947-1949     11     0.000773     0.001256     0.001019 
1947-1949     12     0.000767     0.001073     0.000923 
1947-1949     13     0.000896     0.000991     0.000945 
1947-1949     14     0.000921     0.001106     0.001016 
1947-1949     15     0.001139     0.001495     0.001323 
1947-1949     16     0.001315     0.001520     0.001421 
1947-1949     17     0.001424     0.002033     0.001739 
1947-1949     18     0.001467     0.002252     0.001872 
1947-1949     19     0.001823     0.002673     0.002256 
1947-1949     20     0.001992     0.002729     0.002360 
1947-1949     21     0.002136     0.002686     0.002402 
1947-1949     22     0.002073     0.003148     0.002573 
1947-1949     23     0.001827     0.003170     0.002430 
1947-1949     24     0.002155     0.003230     0.002626 
1947-1949     25     0.002135     0.003240     0.002614 
1947-1949     26     0.002185     0.003105     0.002583 
1947-1949     27     0.002237     0.002939     0.002540 
1947-1949     28     0.002144     0.002828     0.002441 
1947-1949     29     0.002218     0.002769     0.002459 
1947-1949     30     0.002484     0.003371     0.002875 
1947-1949     31     0.002455     0.003320     0.002837 
1947-1949     32     0.002468     0.003403     0.002881 
1947-1949     33     0.002500     0.003258     0.002835 
1947-1949     34     0.002748     0.003756     0.003195 
1947-1949     35     0.002835     0.003571     0.003163 
1947-1949     36     0.002857     0.003837     0.003296 
1947-1949     37     0.002934     0.004041     0.003432 
1947-1949     38     0.003297     0.004360     0.003777 
1947-1949     39     0.003214     0.004395     0.003749 
1947-1949     40     0.003496     0.004626     0.004010 
1947-1949     41     0.003637     0.004759     0.004153 
1947-1949     42     0.003787     0.005367     0.004521 
1947-1949     43     0.003730     0.005706     0.004657 
1947-1949     44     0.004318     0.006066     0.005142 
1947-1949     45     0.004452     0.006464     0.005404 
1947-1949     46     0.004906     0.007587     0.006176 
1947-1949     47     0.005326     0.008177     0.006672 
1947-1949     48     0.005879     0.009099     0.007388 
1947-1949     49     0.006241     0.009719     0.007852 
1947-1949     50     0.006436     0.010383     0.008240 
1947-1949     51     0.006782     0.010875     0.008626 
1947-1949     52     0.007579     0.012584     0.009802 
1947-1949     53     0.007692     0.013385     0.010190 
1947-1949     54     0.008322     0.013844     0.010728 
1947-1949     55     0.009119     0.015920     0.012078 
1947-1949     56     0.009947     0.017656     0.013306 
1947-1949     57     0.011254     0.017610     0.014025 
1947-1949     58     0.011751     0.018932     0.014872 
1947-1949     59     0.012954     0.021421     0.016619 
1947-1949     60     0.013790     0.023465     0.017962 
1947-1949     61     0.015868     0.025444     0.019992 
1947-1949     62     0.017702     0.027109     0.021757 
1947-1949     63     0.019687     0.029161     0.023782 
1947-1949     64     0.021206     0.033203     0.026397 
1947-1949     65     0.024389     0.034789     0.028887 
1947-1949     66     0.026428     0.037949     0.031402 
1947-1949     67     0.028817     0.040207     0.033724 
1947-1949     68     0.031349     0.045056     0.037231 
1947-1949     69     0.036680     0.050217     0.042463 
1947-1949     70     0.041474     0.053059     0.046414 
1947-1949     71     0.046183     0.056963     0.050786 
1947-1949     72     0.051226     0.064348     0.056824 
1947-1949     73     0.057728     0.071015     0.063372 
1947-1949     74     0.061040     0.077080     0.067817 
1947-1949     75     0.070661     0.085382     0.076878 
1947-1949     76     0.077732     0.092700     0.084092 
1947-1949     77     0.084313     0.102201     0.091944 
1947-1949     78     0.096379     0.112343     0.103161 
1947-1949     79     0.108105     0.127195     0.116126 
1947-1949     80     0.123026     0.139810     0.129980 
1947-1949     81     0.136801     0.146207     0.140663 
1947-1949     82     0.148064     0.167765     0.156093 
1947-1949     83     0.163533     0.177992     0.169367 
1947-1949     84     0.180988     0.192638     0.185654 
1947-1949     85     0.190437     0.221487     0.202748 
1947-1949     86     0.213696     0.229874     0.220014 
1947-1949     87     0.217253     0.259279     0.233334 
1947-1949     88     0.248289     0.302477     0.268390 
1947-1949     89     0.268265     0.302580     0.280680 
1947-1949     90     0.298241     0.356745     0.319019 
1947-1949     91     0.318490     0.365999     0.334585 
1947-1949     92     0.322106     0.326917     0.323633 
1947-1949     93     0.401505     0.388699     0.397512 
1947-1949     94     0.325080     0.430412     0.357767 
1947-1949     95     0.392986     0.396256     0.393944 
1947-1949     96     0.449933     0.416822     0.440422 
1947-1949     97     0.487328     0.372917     0.450473 
1947-1949     98     0.380054     0.469766     0.413141 
1947-1949     99     0.700628     0.454447     0.601464 
1947-1949    100     0.585938     0.225522     0.382287 
1947-1949    101     0.684151     0.176419     0.280505 
1947-1949    102     0.000000     0.000000     0.000000 
1947-1949    103     2.054795     0.000000     0.691244 
1947-1949    104            .     0.000000     0.000000 
1947-1949    105            .            .            . 
