Canada, Death rates (period 1x10)     Last modified: 11-Aug-2014, MPv5 (May07)

   Year      Age       Female       Male         Total
1921-1929      0     0.095966     0.126251     0.111179 
1921-1929      1     0.015127     0.017409     0.016276 
1921-1929      2     0.006986     0.007691     0.007342 
1921-1929      3     0.004833     0.005302     0.005070 
1921-1929      4     0.003886     0.004080     0.003985 
1921-1929      5     0.002998     0.003361     0.003182 
1921-1929      6     0.002637     0.002949     0.002795 
1921-1929      7     0.002307     0.002633     0.002472 
1921-1929      8     0.002106     0.002350     0.002230 
1921-1929      9     0.001934     0.002174     0.002055 
1921-1929     10     0.001759     0.002094     0.001928 
1921-1929     11     0.001731     0.002040     0.001887 
1921-1929     12     0.001874     0.002033     0.001953 
1921-1929     13     0.002066     0.002067     0.002066 
1921-1929     14     0.002140     0.002225     0.002183 
1921-1929     15     0.002331     0.002431     0.002381 
1921-1929     16     0.002723     0.002745     0.002734 
1921-1929     17     0.002806     0.002983     0.002895 
1921-1929     18     0.003074     0.003314     0.003194 
1921-1929     19     0.003439     0.003461     0.003450 
1921-1929     20     0.003733     0.003562     0.003648 
1921-1929     21     0.003802     0.003693     0.003748 
1921-1929     22     0.004145     0.003737     0.003943 
1921-1929     23     0.004295     0.003842     0.004071 
1921-1929     24     0.004122     0.003623     0.003874 
1921-1929     25     0.003877     0.003760     0.003819 
1921-1929     26     0.004257     0.003703     0.003981 
1921-1929     27     0.004363     0.003820     0.004091 
1921-1929     28     0.004545     0.004060     0.004301 
1921-1929     29     0.004242     0.003788     0.004013 
1921-1929     30     0.004512     0.003996     0.004250 
1921-1929     31     0.003989     0.003392     0.003684 
1921-1929     32     0.004893     0.004050     0.004460 
1921-1929     33     0.004722     0.003852     0.004272 
1921-1929     34     0.004743     0.003831     0.004268 
1921-1929     35     0.005281     0.004874     0.005068 
1921-1929     36     0.005310     0.004296     0.004774 
1921-1929     37     0.005124     0.004296     0.004685 
1921-1929     38     0.006171     0.005195     0.005651 
1921-1929     39     0.005747     0.004848     0.005267 
1921-1929     40     0.006024     0.006265     0.006153 
1921-1929     41     0.005272     0.004808     0.005023 
1921-1929     42     0.006937     0.006526     0.006716 
1921-1929     43     0.006239     0.005832     0.006020 
1921-1929     44     0.006236     0.005918     0.006065 
1921-1929     45     0.007133     0.007525     0.007344 
1921-1929     46     0.006837     0.006644     0.006733 
1921-1929     47     0.007118     0.007046     0.007079 
1921-1929     48     0.007874     0.008183     0.008041 
1921-1929     49     0.008186     0.008363     0.008282 
1921-1929     50     0.009034     0.010048     0.009582 
1921-1929     51     0.007898     0.008146     0.008032 
1921-1929     52     0.011031     0.010870     0.010944 
1921-1929     53     0.010057     0.011172     0.010656 
1921-1929     54     0.011041     0.011815     0.011454 
1921-1929     55     0.011690     0.014189     0.013017 
1921-1929     56     0.012550     0.014668     0.013667 
1921-1929     57     0.013105     0.015199     0.014203 
1921-1929     58     0.016230     0.017982     0.017147 
1921-1929     59     0.015571     0.017848     0.016766 
1921-1929     60     0.019208     0.021953     0.020651 
1921-1929     61     0.016496     0.018874     0.017748 
1921-1929     62     0.021595     0.023723     0.022717 
1921-1929     63     0.023140     0.025557     0.024414 
1921-1929     64     0.025194     0.028026     0.026684 
1921-1929     65     0.030826     0.034688     0.032854 
1921-1929     66     0.029231     0.032315     0.030847 
1921-1929     67     0.032845     0.036596     0.034806 
1921-1929     68     0.040274     0.043566     0.041991 
