Estonia, Death rates (period 1x10)     Last modified: 01-Dec-2014, MPv5 (May07)

   Year      Age       Female       Male         Total
1960-1969      0     0.020230     0.026448     0.023424 
1960-1969      1     0.002111     0.002348     0.002233 
1960-1969      2     0.001009     0.001371     0.001195 
1960-1969      3     0.000718     0.001082     0.000905 
1960-1969      4     0.000481     0.000925     0.000709 
1960-1969      5     0.000528     0.000682     0.000607 
1960-1969      6     0.000475     0.000761     0.000621 
1960-1969      7     0.000506     0.000891     0.000702 
1960-1969      8     0.000383     0.000706     0.000548 
1960-1969      9     0.000365     0.000668     0.000520 
1960-1969     10     0.000284     0.000490     0.000389 
1960-1969     11     0.000411     0.000539     0.000476 
1960-1969     12     0.000243     0.000607     0.000431 
1960-1969     13     0.000372     0.000647     0.000514 
1960-1969     14     0.000442     0.000784     0.000619 
1960-1969     15     0.000453     0.000808     0.000638 
1960-1969     16     0.000542     0.001090     0.000827 
1960-1969     17     0.000594     0.001329     0.000978 
1960-1969     18     0.000684     0.001856     0.001294 
1960-1969     19     0.000678     0.001972     0.001347 
1960-1969     20     0.000686     0.001891     0.001304 
1960-1969     21     0.000779     0.002246     0.001526 
1960-1969     22     0.000811     0.002360     0.001597 
1960-1969     23     0.000729     0.002726     0.001739 
1960-1969     24     0.000804     0.002791     0.001805 
1960-1969     25     0.001027     0.002496     0.001765 
1960-1969     26     0.000908     0.002729     0.001820 
1960-1969     27     0.000884     0.003131     0.002003 
1960-1969     28     0.000797     0.002826     0.001801 
1960-1969     29     0.000855     0.003188     0.002004 
1960-1969     30     0.000801     0.003426     0.002087 
1960-1969     31     0.001083     0.003514     0.002265 
1960-1969     32     0.000969     0.003628     0.002251 
1960-1969     33     0.001235     0.003635     0.002382 
1960-1969     34     0.001317     0.003829     0.002501 
1960-1969     35     0.001286     0.004013     0.002549 
1960-1969     36     0.001309     0.004369     0.002703 
1960-1969     37     0.001291     0.004745     0.002836 
1960-1969     38     0.001663     0.004123     0.002743 
1960-1969     39     0.001731     0.004586     0.002963 
1960-1969     40     0.001651     0.004980     0.003066 
1960-1969     41     0.002045     0.004886     0.003236 
1960-1969     42     0.001919     0.005378     0.003346 
1960-1969     43     0.002503     0.006166     0.003992 
1960-1969     44     0.002703     0.006657     0.004306 
1960-1969     45     0.002868     0.006711     0.004430 
1960-1969     46     0.002962     0.006962     0.004593 
1960-1969     47     0.003024     0.006911     0.004616 
1960-1969     48     0.003813     0.007845     0.005472 
1960-1969     49     0.003669     0.008607     0.005698 
1960-1969     50     0.004645     0.009308     0.006553 
1960-1969     51     0.004407     0.009766     0.006586 
1960-1969     52     0.004538     0.010815     0.007073 
1960-1969     53     0.005625     0.011427     0.007959 
1960-1969     54     0.005527     0.012410     0.008281 
1960-1969     55     0.006264     0.014469     0.009525 
1960-1969     56     0.006934     0.014685     0.009997 
1960-1969     57     0.007250     0.016639     0.010938 
1960-1969     58     0.007328     0.018035     0.011502 
1960-1969     59     0.008783     0.020932     0.013463 
1960-1969     60     0.009996     0.021738     0.014467 
1960-1969     61     0.011246     0.024152     0.016110 
1960-1969     62     0.012194     0.027644     0.017946 
1960-1969     63     0.013556     0.030216     0.019660 
1960-1969     64     0.014276     0.032359     0.020775 
1960-1969     65     0.016959     0.036733     0.023920 
1960-1969     66     0.019306     0.039166     0.026133 
1960-1969     67     0.021025     0.042141     0.028099 
1960-1969     68     0.022797     0.047445     0.030862 
1960-1969     69     0.026338     0.052835     0.034866 
1960-1969     70     0.029998     0.054564     0.037792 
1960-1969     71     0.033380     0.057189     0.040804 
1960-1969     72     0.037790     0.066992     0.046736 
1960-1969     73     0.043019     0.070294     0.051244 
1960-1969     74     0.046276     0.076686     0.055315 
1960-1969     75     0.054161     0.084041     0.062888 
1960-1969     76     0.060248     0.093468     0.069801 
1960-1969     77     0.066781     0.097944     0.075608 
1960-1969     78     0.078044     0.108450     0.086493 
1960-1969     79     0.086295     0.116688     0.094559 
