Slovenia, Death rates (period 1x10)     Last modified: 07-Oct-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
1983-1989      0     0.010401     0.012933     0.011699 
1983-1989      1     0.000897     0.001117     0.001010 
1983-1989      2     0.000410     0.000318     0.000363 
1983-1989      3     0.000306     0.000489     0.000400 
1983-1989      4     0.000258     0.000496     0.000381 
1983-1989      5     0.000274     0.000276     0.000275 
1983-1989      6     0.000240     0.000346     0.000295 
1983-1989      7     0.000286     0.000277     0.000281 
1983-1989      8     0.000235     0.000432     0.000337 
1983-1989      9     0.000108     0.000248     0.000181 
1983-1989     10     0.000178     0.000260     0.000220 
1983-1989     11     0.000219     0.000347     0.000285 
1983-1989     12     0.000090     0.000266     0.000181 
1983-1989     13     0.000071     0.000309     0.000193 
1983-1989     14     0.000196     0.000458     0.000331 
1983-1989     15     0.000269     0.000461     0.000367 
1983-1989     16     0.000503     0.000834     0.000672 
1983-1989     17     0.000376     0.001145     0.000768 
1983-1989     18     0.000401     0.001329     0.000871 
1983-1989     19     0.000482     0.001011     0.000748 
1983-1989     20     0.000560     0.001742     0.001152 
1983-1989     21     0.000473     0.001706     0.001088 
1983-1989     22     0.000374     0.001749     0.001058 
1983-1989     23     0.000484     0.001497     0.000987 
1983-1989     24     0.000400     0.001649     0.001022 
1983-1989     25     0.000510     0.001651     0.001080 
1983-1989     26     0.000523     0.001558     0.001042 
1983-1989     27     0.000536     0.001735     0.001140 
1983-1989     28     0.000442     0.001744     0.001101 
1983-1989     29     0.000575     0.001887     0.001243 
1983-1989     30     0.000525     0.001778     0.001166 
1983-1989     31     0.000770     0.001942     0.001371 
1983-1989     32     0.000760     0.002174     0.001488 
1983-1989     33     0.000641     0.002202     0.001447 
1983-1989     34     0.000899     0.002431     0.001692 
1983-1989     35     0.000956     0.002797     0.001909 
1983-1989     36     0.001206     0.002617     0.001936 
1983-1989     37     0.000967     0.002906     0.001968 
1983-1989     38     0.001142     0.003005     0.002103 
1983-1989     39     0.001278     0.003653     0.002502 
1983-1989     40     0.001417     0.003793     0.002636 
1983-1989     41     0.001767     0.003985     0.002904 
1983-1989     42     0.002043     0.004424     0.003263 
1983-1989     43     0.001774     0.005159     0.003504 
1983-1989     44     0.002288     0.005700     0.004029 
1983-1989     45     0.002261     0.005998     0.004159 
1983-1989     46     0.002830     0.006795     0.004842 
1983-1989     47     0.003114     0.007212     0.005193 
1983-1989     48     0.003415     0.008168     0.005817 
1983-1989     49     0.003850     0.009251     0.006557 
1983-1989     50     0.003692     0.009857     0.006757 
1983-1989     51     0.004510     0.011810     0.008110 
1983-1989     52     0.005326     0.012944     0.009055 
1983-1989     53     0.005309     0.013917     0.009485 
1983-1989     54     0.005558     0.014729     0.009954 
1983-1989     55     0.006032     0.016950     0.011199 
1983-1989     56     0.006612     0.018028     0.011917 
1983-1989     57     0.007459     0.019536     0.012949 
1983-1989     58     0.007753     0.020592     0.013439 
1983-1989     59     0.008746     0.022940     0.014856 
1983-1989     60     0.009197     0.024233     0.015473 
1983-1989     61     0.010176     0.024864     0.016124 
1983-1989     62     0.011012     0.026520     0.017129 
1983-1989     63     0.011889     0.030108     0.018957 
1983-1989     64     0.013534     0.030490     0.020048 
1983-1989     65     0.014928     0.034140     0.022264 
1983-1989     66     0.016019     0.034528     0.023072 
1983-1989     67     0.017959     0.037806     0.025535 
1983-1989     68     0.021047     0.044110     0.029936 
1983-1989     69     0.022773     0.046499     0.031959 
1983-1989     70     0.026197     0.049399     0.035183 
1983-1989     71     0.030002     0.056210     0.040154 
1983-1989     72     0.032284     0.058607     0.042426 
1983-1989     73     0.035648     0.065042     0.046863 
1983-1989     74     0.043226     0.072781     0.054372 
1983-1989     75     0.047446     0.080151     0.059587 
1983-1989     76     0.053533     0.090016     0.066835 
1983-1989     77     0.059152     0.095632     0.072170 
1983-1989     78     0.069395     0.102955     0.081105 
1983-1989     79     0.076244     0.116715     0.090006 
1983-1989     80     0.086314     0.129113     0.100321 
1983-1989     81     0.101111     0.149926     0.116538 
1983-1989     82     0.114654     0.158021     0.127951 
1983-1989     83     0.123654     0.169386     0.137362 
1983-1989     84     0.141240     0.181774     0.153052 
1983-1989     85     0.151438     0.204769     0.166406 
1983-1989     86     0.168438     0.218859     0.182015 
1983-1989     87     0.195964     0.237442     0.206761 
1983-1989     88     0.200589     0.246807     0.212195 
1983-1989     89     0.227837     0.256833     0.234888 
1983-1989     90     0.245209     0.333508     0.265724 
1983-1989     91     0.269301     0.293835     0.274789 
1983-1989     92     0.286232     0.380733     0.306521 
1983-1989     93     0.332483     0.379982     0.342337 
1983-1989     94     0.361687     0.377565     0.364933 
1983-1989     95     0.373882     0.394649     0.377942 
1983-1989     96     0.442901     0.474265     0.448894 
1983-1989     97     0.428571     0.362069     0.415743 
1983-1989     98     0.511743     0.545455     0.518950 
1983-1989     99     0.574032     0.240000     0.500000 
1983-1989    100     0.455172     0.423529     0.448000 
1983-1989    101     0.666667     0.800000     0.700000 
1983-1989    102     0.545455     0.387097     0.494845 
1983-1989    103     0.157895     0.260870     0.196721 
1983-1989    104     0.600000     1.636364     0.967742 
1983-1989    105     1.000000            .     1.000000 
1983-1989    106     0.000000            .     0.000000 
1983-1989    107            .            .            . 
1983-1989    108            .            .            . 
1983-1989    109            .            .            . 
1983-1989    110+           .            .            . 
1990-1999      0     0.005452     0.007354     0.006430 
1990-1999      1     0.000394     0.000621     0.000510 
1990-1999      2     0.000311     0.000341     0.000326 
1990-1999      3     0.000226     0.000366     0.000298 
1990-1999      4     0.000200     0.000277     0.000240 
1990-1999      5     0.000203     0.000286     0.000245 
1990-1999      6     0.000180     0.000171     0.000175 
1990-1999      7     0.000100     0.000277     0.000190 
1990-1999      8     0.000121     0.000230     0.000177 
1990-1999      9     0.000140     0.000193     0.000168 
1990-1999     10     0.000114     0.000202     0.000159 
1990-1999     11     0.000119     0.000162     0.000141 
1990-1999     12     0.000139     0.000250     0.000196 
1990-1999     13     0.000115     0.000334     0.000227 
1990-1999     14     0.000248     0.000369     0.000310 
1990-1999     15     0.000203     0.000425     0.000317 
1990-1999     16     0.000306     0.000644     0.000480 
1990-1999     17     0.000373     0.000954     0.000672 
1990-1999     18     0.000325     0.001328     0.000840 
1990-1999     19     0.000451     0.001286     0.000880 
1990-1999     20     0.000433     0.001501     0.000980 
1990-1999     21     0.000378     0.001462     0.000931 
1990-1999     22     0.000461     0.001423     0.000950 
1990-1999     23     0.000362     0.001500     0.000938 
1990-1999     24     0.000394     0.001530     0.000968 
1990-1999     25     0.000417     0.001573     0.000999 
1990-1999     26     0.000407     0.001500     0.000956 
1990-1999     27     0.000370     0.001364     0.000869 
1990-1999     28     0.000354     0.001339     0.000848 
1990-1999     29     0.000541     0.001383     0.000964 
1990-1999     30     0.000458     0.001550     0.001006 
1990-1999     31     0.000468     0.001685     0.001080 
1990-1999     32     0.000576     0.001853     0.001219 
1990-1999     33     0.000646     0.001752     0.001203 
1990-1999     34     0.000664     0.002022     0.001351 
1990-1999     35     0.000759     0.002016     0.001397 
1990-1999     36     0.000923     0.002263     0.001605 
1990-1999     37     0.000932     0.002655     0.001810 
1990-1999     38     0.001250     0.002824     0.002054 
1990-1999     39     0.001039     0.002827     0.001955 
1990-1999     40     0.001381     0.003135     0.002282 
1990-1999     41     0.001611     0.003664     0.002667 
1990-1999     42     0.001589     0.003834     0.002745 
1990-1999     43     0.001692     0.004247     0.003009 
1990-1999     44     0.002053     0.004700     0.003417 
