Italy, Death rates (period 1x5)     Last modified: 28-Aug-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
1872-1874      0     0.243978     0.269449     0.257020 
1872-1874      1     0.111085     0.111460     0.111275 
1872-1874      2     0.087294     0.087813     0.087557 
1872-1874      3     0.058602     0.058711     0.058657 
1872-1874      4     0.035805     0.035704     0.035754 
1872-1874      5     0.023893     0.023565     0.023726 
1872-1874      6     0.016432     0.015843     0.016133 
1872-1874      7     0.010860     0.010149     0.010500 
1872-1874      8     0.007317     0.006550     0.006929 
1872-1874      9     0.005862     0.005116     0.005484 
1872-1874     10     0.005988     0.005362     0.005672 
1872-1874     11     0.006479     0.005905     0.006189 
1872-1874     12     0.006750     0.006126     0.006434 
1872-1874     13     0.006913     0.006136     0.006518 
1872-1874     14     0.007007     0.006030     0.006510 
1872-1874     15     0.007030     0.005897     0.006457 
1872-1874     16     0.007185     0.006100     0.006642 
1872-1874     17     0.007466     0.006682     0.007078 
1872-1874     18     0.007773     0.007599     0.007689 
1872-1874     19     0.008274     0.008941     0.008597 
1872-1874     20     0.008635     0.010298     0.009434 
1872-1874     21     0.009130     0.011032     0.010060 
1872-1874     22     0.009705     0.011328     0.010518 
1872-1874     23     0.010268     0.011474     0.010879 
1872-1874     24     0.010635     0.011546     0.011092 
1872-1874     25     0.010500     0.011072     0.010779 
1872-1874     26     0.010448     0.010354     0.010403 
1872-1874     27     0.010613     0.009797     0.010213 
1872-1874     28     0.010819     0.009474     0.010152 
1872-1874     29     0.011422     0.009809     0.010617 
1872-1874     30     0.010810     0.009706     0.010267 
1872-1874     31     0.010524     0.009697     0.010119 
1872-1874     32     0.010988     0.010087     0.010543 
1872-1874     33     0.012156     0.010910     0.011529 
1872-1874     34     0.013284     0.011765     0.012511 
1872-1874     35     0.012767     0.011721     0.012242 
1872-1874     36     0.012336     0.011661     0.012000 
1872-1874     37     0.012498     0.011989     0.012244 
1872-1874     38     0.013159     0.012683     0.012920 
1872-1874     39     0.014452     0.014053     0.014250 
1872-1874     40     0.012604     0.013045     0.012824 
1872-1874     41     0.011340     0.012244     0.011787 
1872-1874     42     0.011645     0.012718     0.012179 
1872-1874     43     0.013544     0.014677     0.014118 
1872-1874     44     0.015673     0.017059     0.016382 
1872-1874     45     0.014595     0.016695     0.015655 
1872-1874     46     0.014027     0.016520     0.015278 
1872-1874     47     0.014586     0.017299     0.015951 
1872-1874     48     0.016011     0.018926     0.017484 
1872-1874     49     0.018078     0.021205     0.019665 
1872-1874     50     0.015770     0.019033     0.017400 
