Latvia, Death rates (period 1x5)     Last modified: 14-Aug-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
1960-1964      0     0.020980     0.028578     0.024883 
1960-1964      1     0.002286     0.002714     0.002505 
1960-1964      2     0.001589     0.001456     0.001521 
1960-1964      3     0.000982     0.001265     0.001127 
1960-1964      4     0.000692     0.000818     0.000757 
1960-1964      5     0.000683     0.000876     0.000781 
1960-1964      6     0.000588     0.000700     0.000645 
1960-1964      7     0.000574     0.000837     0.000708 
1960-1964      8     0.000510     0.000760     0.000638 
1960-1964      9     0.000464     0.000825     0.000649 
1960-1964     10     0.000426     0.000744     0.000589 
1960-1964     11     0.000378     0.000768     0.000578 
1960-1964     12     0.000447     0.000763     0.000610 
1960-1964     13     0.000381     0.000868     0.000631 
1960-1964     14     0.000436     0.000900     0.000673 
1960-1964     15     0.000586     0.000921     0.000757 
1960-1964     16     0.000589     0.001088     0.000842 
1960-1964     17     0.000588     0.001469     0.001032 
1960-1964     18     0.000673     0.001798     0.001238 
1960-1964     19     0.000809     0.002007     0.001408 
1960-1964     20     0.000849     0.002171     0.001508 
1960-1964     21     0.000887     0.002058     0.001469 
1960-1964     22     0.000931     0.002398     0.001658 
1960-1964     23     0.000914     0.002895     0.001891 
1960-1964     24     0.000973     0.002951     0.001942 
1960-1964     25     0.000946     0.003173     0.002031 
1960-1964     26     0.000952     0.003090     0.001987 
1960-1964     27     0.001053     0.003256     0.002115 
1960-1964     28     0.001044     0.003195     0.002081 
1960-1964     29     0.001092     0.002962     0.001995 
1960-1964     30     0.001145     0.003352     0.002212 
1960-1964     31     0.001447     0.003147     0.002265 
1960-1964     32     0.001301     0.003508     0.002353 
1960-1964     33     0.001247     0.003634     0.002358 
1960-1964     34     0.001383     0.003829     0.002476 
1960-1964     35     0.001388     0.004007     0.002505 
1960-1964     36     0.001527     0.003953     0.002514 
1960-1964     37     0.001764     0.004311     0.002751 
1960-1964     38     0.001865     0.004262     0.002769 
1960-1964     39     0.001752     0.004103     0.002644 
1960-1964     40     0.001861     0.004810     0.002998 
1960-1964     41     0.002223     0.004553     0.003140 
1960-1964     42     0.002506     0.005768     0.003819 
