Taiwan, Death rates (period 1x5)     Last modified: 13-Jul-2016, MPv5 (May07)

   Year      Age       Female       Male         Total
1970-1974      0     0.013822     0.015885     0.014885 
1970-1974      1     0.004036     0.004337     0.004191 
1970-1974      2     0.002277     0.002695     0.002492 
1970-1974      3     0.001381     0.001621     0.001505 
1970-1974      4     0.000944     0.001059     0.001003 
1970-1974      5     0.000702     0.000868     0.000787 
1970-1974      6     0.000537     0.000763     0.000653 
1970-1974      7     0.000416     0.000672     0.000547 
1970-1974      8     0.000342     0.000603     0.000476 
1970-1974      9     0.000311     0.000554     0.000436 
1970-1974     10     0.000318     0.000524     0.000424 
1970-1974     11     0.000342     0.000529     0.000438 
1970-1974     12     0.000381     0.000572     0.000479 
1970-1974     13     0.000432     0.000651     0.000544 
1970-1974     14     0.000495     0.000763     0.000632 
1970-1974     15     0.000570     0.000907     0.000743 
1970-1974     16     0.000641     0.001050     0.000851 
1970-1974     17     0.000695     0.001174     0.000941 
1970-1974     18     0.000733     0.001278     0.001012 
1970-1974     19     0.000765     0.001385     0.001083 
1970-1974     20     0.000795     0.001497     0.001154 
1970-1974     21     0.000827     0.001602     0.001223 
1970-1974     22     0.000868     0.001707     0.001297 
1970-1974     23     0.000929     0.001834     0.001392 
1970-1974     24     0.000993     0.001955     0.001486 
1970-1974     25     0.001024     0.001997     0.001522 
1970-1974     26     0.001044     0.002012     0.001538 
1970-1974     27     0.001073     0.002033     0.001562 
1970-1974     28     0.001105     0.002058     0.001589 
1970-1974     29     0.001140     0.002089     0.001622 
1970-1974     30     0.001209     0.002188     0.001705 
1970-1974     31     0.001304     0.002336     0.001826 
1970-1974     32     0.001401     0.002490     0.001951 
1970-1974     33     0.001493     0.002640     0.002071 
1970-1974     34     0.001581     0.002777     0.002183 
1970-1974     35     0.001670     0.002895     0.002288 
1970-1974     36     0.001776     0.003031     0.002416 
1970-1974     37     0.001899     0.003205     0.002576 
1970-1974     38     0.002032     0.003405     0.002759 
1970-1974     39     0.002179     0.003609     0.002956 
1970-1974     40     0.002347     0.003845     0.003182 
1970-1974     41     0.002520     0.004075     0.003406 
1970-1974     42     0.002702     0.004291     0.003625 
1970-1974     43     0.002917     0.004535     0.003873 
1970-1974     44     0.003162     0.004840     0.004164 
1970-1974     45     0.003439     0.005206     0.004502 
1970-1974     46     0.003753     0.005670     0.004908 
1970-1974     47     0.004059     0.006209     0.005349 
1970-1974     48     0.004359     0.006755     0.005788 
1970-1974     49     0.004727     0.007375     0.006299 
1970-1974     50     0.005189     0.008120     0.006924 
1970-1974     51     0.005696     0.008946     0.007614 
1970-1974     52     0.006218     0.009909     0.008381 
1970-1974     53     0.006839     0.011110     0.009320 
1970-1974     54     0.007545     0.012416     0.010359 
1970-1974     55     0.008186     0.013618     0.011307 
1970-1974     56     0.008817     0.014725     0.012192 
1970-1974     57     0.009575     0.015734     0.013090 
1970-1974     58     0.010365     0.016862     0.014047 
1970-1974     59     0.011243     0.018328     0.015197 
1970-1974     60     0.012441     0.020090     0.016657 
1970-1974     61     0.013910     0.022343     0.018494 
1970-1974     62     0.015681     0.025506     0.020906 
1970-1974     63     0.017688     0.028840     0.023518 
1970-1974     64     0.019828     0.031652     0.025974 
1970-1974     65     0.022231     0.035004     0.028808 
1970-1974     66     0.024908     0.038852     0.031997 
1970-1974     67     0.027650     0.042951     0.035297 
1970-1974     68     0.030637     0.047321     0.038825 
1970-1974     69     0.034279     0.052230     0.042947 
1970-1974     70     0.038240     0.057686     0.047442 
1970-1974     71     0.041543     0.062798     0.051338 
1970-1974     72     0.045208     0.067968     0.055461 
1970-1974     73     0.050970     0.074228     0.061356 
1970-1974     74     0.057252     0.081010     0.067741 
1970-1974     75     0.062701     0.088348     0.073722 
1970-1974     76     0.069722     0.097780     0.081450 
1970-1974     77     0.076194     0.107576     0.088860 
1970-1974     78     0.080941     0.116862     0.094785 
1970-1974     79     0.088478     0.126903     0.102844 
1970-1974     80     0.104420     0.132857     0.115246 
1970-1974     81     0.114352     0.142506     0.124785 
1970-1974     82     0.124812     0.151503     0.134477 
1970-1974     83     0.135735     0.161826     0.144951 
1970-1974     84     0.146011     0.173493     0.155438 
1970-1974     85     0.155855     0.183072     0.164941 
1970-1974     86     0.169392     0.194317     0.177513 
1970-1974     87     0.185175     0.207119     0.192146 
1970-1974     88     0.202245     0.220180     0.207809 
1970-1974     89     0.220225     0.232827     0.224049 
1970-1974     90     0.240578     0.247795     0.242716 
1970-1974     91     0.263686     0.266832     0.264590 
1970-1974     92     0.288144     0.288813     0.288330 
1970-1974     93     0.314755     0.310620     0.313642 
1970-1974     94     0.344386     0.331798     0.341078 
1970-1974     95     0.374891     0.354040     0.369553 
1970-1974     96     0.405981     0.379412     0.399394 
1970-1974     97     0.438794     0.410346     0.432015 
1970-1974     98     0.473966     0.449164     0.468332 
1970-1974     99     0.512630     0.497404     0.509358 
1970-1974    100     0.555349     0.559760     0.556236 
1970-1974    101     0.602243     0.636545     0.608666 
1970-1974    102     0.657046     0.715706     0.667402 
1970-1974    103     0.721155     0.856694     0.742740 
1970-1974    104     0.783567     1.280616     0.835515 
1970-1974    105     0.852901     3.081081     0.918890 
1970-1974    106     0.987189            .     0.987189 
1970-1974    107     1.243365            .     1.243365 
1970-1974    108     3.352313            .     3.352313 
1970-1974    109            .            .            . 
1970-1974    110+           .            .            . 
1975-1979      0     0.010968     0.013022     0.012032 
1975-1979      1     0.002689     0.003039     0.002870 
1975-1979      2     0.001373     0.001559     0.001469 
1975-1979      3     0.000840     0.001025     0.000935 
