East Germany, Death rates (period 5x1), 	Last modified: 29 Mar 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
  1956           0             0.041211        0.052725        0.047135
  1956         1-4             0.001696        0.002245        0.001977
  1956         5-9             0.000433        0.000749        0.000594
  1956        10-14            0.000364        0.000595        0.000482
  1956        15-19            0.000609        0.001093        0.000854
  1956        20-24            0.000855        0.001663        0.001259
  1956        25-29            0.000968        0.001751        0.001325
  1956        30-34            0.001422        0.001660        0.001514
  1956        35-39            0.001889        0.002199        0.002006
  1956        40-44            0.002711        0.003459        0.002998
  1956        45-49            0.003855        0.005052        0.004341
  1956        50-54            0.005497        0.008772        0.006940
  1956        55-59            0.008357        0.014712        0.011071
  1956        60-64            0.013537        0.022883        0.017275
  1956        65-69            0.023680        0.036148        0.028759
  1956        70-74            0.043299        0.056112        0.048626
  1956        75-79            0.077467        0.094051        0.084413
  1956        80-84            0.136146        0.152062        0.142786
  1956        85-89            0.212882        0.243187        0.224654
  1956        90-94            0.304914        0.358961        0.323232
  1956        95-99            0.438763        0.482837        0.450836
  1956       100-104           0.655176        0.174419        0.523995
  1956       105-109                 .              .              .
  1956       110+                    .              .              .
  1957           0             0.040381        0.051831        0.046265
  1957         1-4             0.001815        0.002253        0.002040
  1957         5-9             0.000519        0.000855        0.000690
  1957        10-14            0.000416        0.000630        0.000524
  1957        15-19            0.000601        0.001237        0.000923
  1957        20-24            0.000917        0.001706        0.001315
  1957        25-29            0.001034        0.001689        0.001341
  1957        30-34            0.001404        0.001823        0.001570
  1957        35-39            0.001877        0.002401        0.002076
  1957        40-44            0.002868        0.003437        0.003084
  1957        45-49            0.003860        0.005298        0.004435
  1957        50-54            0.005772        0.008970        0.007163
  1957        55-59            0.008580        0.015862        0.011726
  1957        60-64            0.014383        0.024824        0.018562
  1957        65-69            0.024835        0.039078        0.030569
  1957        70-74            0.045093        0.061430        0.051813
  1957        75-79            0.081717        0.097538        0.088283
  1957        80-84            0.137416        0.155713        0.145002
  1957        85-89            0.219917        0.247007        0.230491
  1957        90-94            0.315345        0.376957        0.336134
  1957        95-99            0.493680        0.508679        0.497960
  1957       100-104           0.825723        0.835073        0.828655
  1957       105-109                 .              .              .
  1957       110+                    .              .              .
  1958           0             0.039438        0.050783        0.045273
  1958         1-4             0.001604        0.002015        0.001815
  1958         5-9             0.000436        0.000685        0.000563
  1958        10-14            0.000367        0.000471        0.000420
  1958        15-19            0.000613        0.001181        0.000901
  1958        20-24            0.000761        0.001514        0.001142
  1958        25-29            0.000997        0.001619        0.001295
  1958        30-34            0.001303        0.001862        0.001533
  1958        35-39            0.001897        0.002299        0.002049
  1958        40-44            0.002678        0.003310        0.002917
  1958        45-49            0.003737        0.005103        0.004277
  1958        50-54            0.005561        0.008754        0.006931
  1958        55-59            0.008660        0.015085        0.011462
  1958        60-64            0.014112        0.023841        0.018027
  1958        65-69            0.024000        0.036766        0.029076
  1958        70-74            0.043806        0.058425        0.049755
  1958        75-79            0.079235        0.094705        0.085588
  1958        80-84            0.136389        0.155487        0.144243
  1958        85-89            0.216532        0.241422        0.226303
  1958        90-94            0.321582        0.342158        0.328536
  1958        95-99            0.487921        0.476376        0.484648
  1958       100-104           0.711633        1.864641        0.968054
  1958       105-109                 .              .              .
  1958       110+                    .              .              .
  1959           0             0.038536        0.047934        0.043368
  1959         1-4             0.001620        0.002075        0.001854
  1959         5-9             0.000498        0.000735        0.000619
  1959        10-14            0.000405        0.000545        0.000476
  1959        15-19            0.000576        0.001152        0.000868
  1959        20-24            0.000777        0.001679        0.001233
  1959        25-29            0.001000        0.001559        0.001273
  1959        30-34            0.001319        0.001947        0.001588
  1959        35-39            0.001779        0.002458        0.002037
  1959        40-44            0.002580        0.003178        0.002806
  1959        45-49            0.003774        0.005314        0.004375
  1959        50-54            0.005633        0.008870        0.006998
  1959        55-59            0.008704        0.015567        0.011716
  1959        60-64            0.013820        0.025379        0.018520
  1959        65-69            0.024399        0.038443        0.029926
  1959        70-74            0.044989        0.060818        0.051355
  1959        75-79            0.080361        0.097566        0.087351
  1959        80-84            0.141602        0.160765        0.149408
