Northern Ireland, Death rates (period 5x1)     Last modified: 29-Jan-2016, MPv5 (May07)

   Year      Age       Female       Male         Total
   1922        0     0.072169     0.089119     0.080774 
   1922      1-4     0.010360     0.010911     0.010639 
   1922      5-9     0.002879     0.002429     0.002653 
   1922     10-14    0.002347     0.002047     0.002198 
   1922     15-19    0.004714     0.004946     0.004827 
   1922     20-24    0.005349     0.007103     0.006165 
   1922     25-29    0.006974     0.007174     0.007066 
   1922     30-34    0.007823     0.007483     0.007666 
   1922     35-39    0.008634     0.007780     0.008237 
   1922     40-44    0.009254     0.008514     0.008901 
   1922     45-49    0.011583     0.010522     0.011065 
   1922     50-54    0.017163     0.017068     0.017116 
   1922     55-59    0.021565     0.019906     0.020752 
   1922     60-64    0.031503     0.030429     0.030986 
   1922     65-69    0.036642     0.042919     0.039489 
   1922     70-74    0.074788     0.080881     0.077450 
   1922     75-79    0.114521     0.115110     0.114777 
   1922     80-84    0.167239     0.171927     0.169302 
   1922     85-89    0.225045     0.213054     0.219680 
   1922     90-94    0.287203     0.309411     0.296918 
   1922     95-99    0.373034     0.420791     0.393693 
   1922    100-104   0.524490     0.677191     0.589203 
   1922    105-109          .            .            . 
   1922    110+             .            .            . 
   1923        0     0.074707     0.090700     0.082863 
   1923      1-4     0.011027     0.011311     0.011171 
   1923      5-9     0.002269     0.002493     0.002382 
   1923     10-14    0.002524     0.001872     0.002199 
   1923     15-19    0.003755     0.003578     0.003668 
   1923     20-24    0.005605     0.005391     0.005505 
   1923     25-29    0.006491     0.005178     0.005889 
   1923     30-34    0.006601     0.005935     0.006293 
   1923     35-39    0.007717     0.006437     0.007123 
   1923     40-44    0.008703     0.007692     0.008222 
   1923     45-49    0.010452     0.009459     0.009971 
   1923     50-54    0.016717     0.014693     0.015717 
   1923     55-59    0.019612     0.020324     0.019962 
   1923     60-64    0.030370     0.031589     0.030957 
   1923     65-69    0.033529     0.041410     0.037156 
   1923     70-74    0.069678     0.076284     0.072550 
   1923     75-79    0.107349     0.121853     0.113648 
   1923     80-84    0.152236     0.149434     0.151012 
   1923     85-89    0.192626     0.222749     0.206106 
   1923     90-94    0.222897     0.351822     0.276702 
   1923     95-99    0.350873     0.494029     0.410984 
   1923    100-104   0.601142     1.105263     0.782745 
   1923    105-109          .            .            . 
   1923    110+             .            .            . 
   1924        0     0.077205     0.100984     0.089393 
   1924      1-4     0.011975     0.013482     0.012739 
   1924      5-9     0.002349     0.002668     0.002510 
   1924     10-14    0.001988     0.002127     0.002057 
   1924     15-19    0.004053     0.003598     0.003830 
   1924     20-24    0.005305     0.004387     0.004870 
   1924     25-29    0.006431     0.005009     0.005778 
   1924     30-34    0.006447     0.005936     0.006209 
   1924     35-39    0.007534     0.006847     0.007217 
   1924     40-44    0.009959     0.008316     0.009179 
   1924     45-49    0.010427     0.010295     0.010364 
   1924     50-54    0.018422     0.017120     0.017778 
   1924     55-59    0.021823     0.021442     0.021636 
   1924     60-64    0.032985     0.034475     0.033705 
   1924     65-69    0.040906     0.044670     0.042664 
   1924     70-74    0.077741     0.079893     0.078676 
   1924     75-79    0.110043     0.126106     0.116980 
   1924     80-84    0.176761     0.185354     0.180484 
   1924     85-89    0.206313     0.259568     0.229713 
   1924     90-94    0.280660     0.286833     0.283137 
   1924     95-99    0.409839     0.418986     0.413707 
   1924    100-104   0.792297     0.729133     0.771872 
   1924    105-109          .            .            . 
   1924    110+             .            .            . 
   1925        0     0.079763     0.104265     0.092342 
   1925      1-4     0.012645     0.013010     0.012830 
   1925      5-9     0.003059     0.002599     0.002826 
   1925     10-14    0.002722     0.002117     0.002418 
   1925     15-19    0.004039     0.003644     0.003845 
   1925     20-24    0.005595     0.005001     0.005311 
   1925     25-29    0.005611     0.004855     0.005263 
   1925     30-34    0.006850     0.005209     0.006087 
   1925     35-39    0.007602     0.005432     0.006600 
   1925     40-44    0.008655     0.006760     0.007760 
   1925     45-49    0.010222     0.010067     0.010148 
   1925     50-54    0.016741     0.015074     0.015917 
   1925     55-59    0.018993     0.021377     0.020164 
   1925     60-64    0.031844     0.035113     0.033432 
   1925     65-69    0.039790     0.041781     0.040734 
   1925     70-74    0.072226     0.083522     0.077145 
   1925     75-79    0.095649     0.117812     0.105145 
   1925     80-84    0.175364     0.185061     0.179510 
   1925     85-89    0.214245     0.257056     0.232705 
   1925     90-94    0.284780     0.301819     0.291601 
   1925     95-99    0.441247     0.473335     0.454998 
   1925    100-104   0.939319     1.120090     1.000252 
   1925    105-109          .            .            . 
   1925    110+             .            .            . 
   1926        0     0.081959     0.103662     0.093099 
   1926      1-4     0.010582     0.012737     0.011677 
   1926      5-9     0.002408     0.003116     0.002767 
   1926     10-14    0.002129     0.002121     0.002125 
   1926     15-19    0.003606     0.002869     0.003242 
   1926     20-24    0.004809     0.004113     0.004473 
   1926     25-29    0.005215     0.004345     0.004812 
   1926     30-34    0.007136     0.005091     0.006188 
   1926     35-39    0.006292     0.005430     0.005894 
   1926     40-44    0.008931     0.008144     0.008562 
   1926     45-49    0.010857     0.010878     0.010867 
   1926     50-54    0.016176     0.016251     0.016213 
   1926     55-59    0.019898     0.020925     0.020403 
   1926     60-64    0.030809     0.030745     0.030778 
   1926     65-69    0.038008     0.041114     0.039492 
   1926     70-74    0.067993     0.073743     0.070519 
   1926     75-79    0.086514     0.097350     0.091137 
   1926     80-84    0.148812     0.170059     0.157739 
   1926     85-89    0.206333     0.242955     0.221942 
   1926     90-94    0.252693     0.301350     0.271939 
   1926     95-99    0.329979     0.382150     0.351505 
   1926    100-104   0.518371     0.662437     0.564401 
   1926    105-109          .            .            . 
   1926    110+             .            .            . 
   1927        0     0.073315     0.088435     0.081060 
   1927      1-4     0.009224     0.009382     0.009304 
   1927      5-9     0.002285     0.002067     0.002174 
   1927     10-14    0.002142     0.001494     0.001816 
   1927     15-19    0.003779     0.002851     0.003318 
   1927     20-24    0.005033     0.004089     0.004574 
   1927     25-29    0.005205     0.004179     0.004727 
   1927     30-34    0.006382     0.005378     0.005918 
   1927     35-39    0.006566     0.006550     0.006559 
   1927     40-44    0.008429     0.007443     0.007969 
   1927     45-49    0.010783     0.010903     0.010840 
   1927     50-54    0.015470     0.014826     0.015155 
   1927     55-59    0.020135     0.018336     0.019247 
   1927     60-64    0.030621     0.030652     0.030636 
   1927     65-69    0.038044     0.042538     0.040188 
   1927     70-74    0.071650     0.077106     0.074089 
   1927     75-79    0.079567     0.098263     0.087512 
   1927     80-84    0.149524     0.167719     0.157040 
   1927     85-89    0.203866     0.251474     0.223883 
   1927     90-94    0.249344     0.296424     0.267612 
   1927     95-99    0.349456     0.466506     0.394966 
   1927    100-104   0.601704     1.100683     0.748308 
   1927    105-109          .            .            . 
   1927    110+             .            .            . 
   1928        0     0.070463     0.090761     0.080875 
   1928      1-4     0.010178     0.011102     0.010649 
   1928      5-9     0.002215     0.002285     0.002251 
   1928     10-14    0.001957     0.002247     0.002102 
   1928     15-19    0.003329     0.002995     0.003163 
   1928     20-24    0.004311     0.003993     0.004156 
   1928     25-29    0.005039     0.003958     0.004531 
   1928     30-34    0.005580     0.005110     0.005363 
   1928     35-39    0.006315     0.005969     0.006154 
   1928     40-44    0.009088     0.007153     0.008185 
   1928     45-49    0.009481     0.009439     0.009461 
   1928     50-54    0.013704     0.012942     0.013334 
   1928     55-59    0.020087     0.018647     0.019374 
   1928     60-64    0.027590     0.031923     0.029703 
   1928     65-69    0.039522     0.044329     0.041808 
   1928     70-74    0.071948     0.075658     0.073635 
   1928     75-79    0.080939     0.092902     0.086004 
   1928     80-84    0.147439     0.159702     0.152457 
   1928     85-89    0.225041     0.233822     0.228703 
   1928     90-94    0.273274     0.315631     0.289418 
   1928     95-99    0.342453     0.334865     0.339588 
   1928    100-104   0.454406     0.433683     0.448243 
   1928    105-109          .            .            . 
   1928    110+             .            .            . 
   1929        0     0.074807     0.103034     0.089261 
   1929      1-4     0.012154     0.013302     0.012740 
   1929      5-9     0.002463     0.002307     0.002384 
   1929     10-14    0.002187     0.001931     0.002059 
