Hungary, Death rates (period 5x1)     Last modified: 18-Apr-2016, MPv5 (May07)

   Year      Age       Female       Male         Total
   1950        0     0.081419     0.101025     0.091480 
   1950      1-4     0.003659     0.004075     0.003871 
   1950      5-9     0.001074     0.001382     0.001230 
   1950     10-14    0.000882     0.001209     0.001047 
   1950     15-19    0.001677     0.001974     0.001826 
   1950     20-24    0.002168     0.003192     0.002674 
   1950     25-29    0.002402     0.003258     0.002812 
   1950     30-34    0.002330     0.003425     0.002844 
   1950     35-39    0.002984     0.003969     0.003449 
   1950     40-44    0.003753     0.005711     0.004691 
   1950     45-49    0.005631     0.007909     0.006733 
   1950     50-54    0.008145     0.011948     0.009918 
   1950     55-59    0.011877     0.017617     0.014425 
   1950     60-64    0.019646     0.026926     0.022840 
   1950     65-69    0.030558     0.039318     0.034400 
   1950     70-74    0.052211     0.059908     0.055606 
   1950     75-79    0.084295     0.099117     0.090820 
   1950     80-84    0.141839     0.148640     0.144851 
   1950     85-89    0.213831     0.236430     0.223209 
   1950     90-94    0.291929     0.331811     0.307076 
   1950     95-99    0.459794     0.510537     0.478725 
   1950    100-104   0.637993     1.087726     0.816764 
   1950    105-109          .            .            . 
   1950    110+             .            .            . 
   1951        0     0.077551     0.096427     0.087201 
   1951      1-4     0.003607     0.004044     0.003830 
   1951      5-9     0.000906     0.001139     0.001024 
   1951     10-14    0.000856     0.001033     0.000945 
   1951     15-19    0.001452     0.001991     0.001722 
   1951     20-24    0.001968     0.002955     0.002458 
   1951     25-29    0.002175     0.002999     0.002571 
   1951     30-34    0.002370     0.003148     0.002736 
   1951     35-39    0.002655     0.003807     0.003198 
   1951     40-44    0.003626     0.005096     0.004329 
   1951     45-49    0.005276     0.007763     0.006477 
   1951     50-54    0.007396     0.011978     0.009561 
   1951     55-59    0.011498     0.016978     0.013924 
   1951     60-64    0.019085     0.027623     0.022828 
   1951     65-69    0.030963     0.042512     0.036003 
   1951     70-74    0.054097     0.065811     0.059239 
   1951     75-79    0.088246     0.104660     0.095400 
   1951     80-84    0.146967     0.171650     0.157894 
   1951     85-89    0.247388     0.272638     0.257872 
   1951     90-94    0.332595     0.435267     0.370807 
   1951     95-99    0.532283     0.546638     0.537386 
   1951    100-104   1.619116     1.516109     1.581768 
   1951    105-109          .            .            . 
   1951    110+             .            .            . 
   1952        0     0.063490     0.081071     0.072454 
   1952      1-4     0.002613     0.002608     0.002611 
   1952      5-9     0.000611     0.000952     0.000785 
   1952     10-14    0.000517     0.000956     0.000739 
   1952     15-19    0.001176     0.001680     0.001429 
   1952     20-24    0.001640     0.002664     0.002150 
   1952     25-29    0.001953     0.002537     0.002236 
   1952     30-34    0.002175     0.002871     0.002502 
   1952     35-39    0.002622     0.003454     0.003013 
   1952     40-44    0.003262     0.004615     0.003908 
   1952     45-49    0.005037     0.007469     0.006207 
   1952     50-54    0.007700     0.011874     0.009696 
   1952     55-59    0.011472     0.017520     0.014155 
   1952     60-64    0.019370     0.027531     0.022933 
   1952     65-69    0.031565     0.042362     0.036264 
   1952     70-74    0.053191     0.067139     0.059262 
   1952     75-79    0.091844     0.110291     0.099797 
   1952     80-84    0.155408     0.176237     0.164580 
   1952     85-89    0.248522     0.279708     0.261419 
   1952     90-94    0.371191     0.428364     0.392174 
   1952     95-99    0.508101     0.651530     0.553669 
   1952    100-104   0.385356     1.276596     0.641123 
   1952    105-109          .            .            . 
   1952    110+             .            .            . 
   1953        0     0.068380     0.086995     0.077900 
   1953      1-4     0.002944     0.003155     0.003052 
   1953      5-9     0.000679     0.000953     0.000819 
   1953     10-14    0.000620     0.000814     0.000718 
   1953     15-19    0.000937     0.001435     0.001187 
   1953     20-24    0.001237     0.002087     0.001661 
   1953     25-29    0.001442     0.002119     0.001773 
   1953     30-34    0.001922     0.002283     0.002092 
   1953     35-39    0.002406     0.003017     0.002693 
   1953     40-44    0.003166     0.004219     0.003668 
   1953     45-49    0.004932     0.006543     0.005705 
   1953     50-54    0.007458     0.011080     0.009201 
   1953     55-59    0.011394     0.016965     0.013889 
   1953     60-64    0.019108     0.027534     0.022789 
   1953     65-69    0.032693     0.042585     0.036971 
   1953     70-74    0.056265     0.069245     0.061869 
   1953     75-79    0.100687     0.117688     0.107973 
   1953     80-84    0.171054     0.195178     0.181514 
   1953     85-89    0.278313     0.302918     0.288505 
   1953     90-94    0.428776     0.446515     0.435318 
   1953     95-99    0.601539     0.661042     0.619261 
   1953    100-104   0.156128     0.000000     0.121029 
   1953    105-109          .            .            . 
   1953    110+             .            .            . 
   1954        0     0.058848     0.072647     0.065941 
   1954      1-4     0.002222     0.002492     0.002359 
   1954      5-9     0.000500     0.000766     0.000636 
   1954     10-14    0.000463     0.000710     0.000588 
   1954     15-19    0.000723     0.001320     0.001023 
   1954     20-24    0.001143     0.001798     0.001470 
   1954     25-29    0.001398     0.001916     0.001652 
   1954     30-34    0.001703     0.002138     0.001910 
   1954     35-39    0.002165     0.002653     0.002394 
   1954     40-44    0.003066     0.004123     0.003568 
   1954     45-49    0.004622     0.006335     0.005443 
   1954     50-54    0.006723     0.010332     0.008461 
   1954     55-59    0.010938     0.016721     0.013568 
   1954     60-64    0.017601     0.026145     0.021337 
   1954     65-69    0.032199     0.041184     0.036058 
   1954     70-74    0.055396     0.066247     0.060050 
   1954     75-79    0.100234     0.108306     0.103690 
   1954     80-84    0.166233     0.176326     0.170551 
   1954     85-89    0.246596     0.274096     0.258045 
   1954     90-94    0.352069     0.387145     0.365058 
   1954     95-99    0.394289     0.440525     0.407833 
   1954    100-104   1.146554     2.382303     1.385832 
   1954    105-109          .            .            . 
   1954    110+             .            .            . 
   1955        0     0.053008     0.068291     0.060870 
   1955      1-4     0.002085     0.002257     0.002173 
   1955      5-9     0.000605     0.000719     0.000663 
   1955     10-14    0.000423     0.000708     0.000568 
   1955     15-19    0.000680     0.001240     0.000962 
   1955     20-24    0.000951     0.001672     0.001311 
   1955     25-29    0.001243     0.001946     0.001590 
   1955     30-34    0.001461     0.002018     0.001727 
   1955     35-39    0.002042     0.002418     0.002219 
   1955     40-44    0.002860     0.003501     0.003163 
   1955     45-49    0.004045     0.005872     0.004919 
   1955     50-54    0.006380     0.009211     0.007743 
   1955     55-59    0.010149     0.015025     0.012401 
   1955     60-64    0.017225     0.023681     0.020041 
   1955     65-69    0.028281     0.037390     0.032193 
   1955     70-74    0.048755     0.058174     0.052771 
   1955     75-79    0.084278     0.095212     0.088943 
   1955     80-84    0.141153     0.155354     0.147184 
   1955     85-89    0.213899     0.241759     0.225500 
   1955     90-94    0.311602     0.334077     0.320003 
   1955     95-99    0.460390     0.515994     0.476580 
   1955    100-104   0.000000     4.225352     0.077240 
   1955    105-109   0.000000            .     0.000000 
   1955    110+             .            .            . 
   1956        0     0.052406     0.064893     0.058812 
   1956      1-4     0.002096     0.002342     0.002222 
   1956      5-9     0.000510     0.000716     0.000615 
   1956     10-14    0.000511     0.000790     0.000653 
   1956     15-19    0.000797     0.002365     0.001579 
   1956     20-24    0.001116     0.003103     0.002100 
   1956     25-29    0.001242     0.002723     0.001972 
   1956     30-34    0.001624     0.002489     0.002040 
   1956     35-39    0.002074     0.002991     0.002505 
   1956     40-44    0.002838     0.004484     0.003613 
   1956     45-49    0.004239     0.006270     0.005209 
   1956     50-54    0.006526     0.010051     0.008221 
   1956     55-59    0.009992     0.016210     0.012902 
   1956     60-64    0.016799     0.025347     0.020523 
   1956     65-69    0.029894     0.038274     0.033491 
   1956     70-74    0.050901     0.061876     0.055563 
   1956     75-79    0.089694     0.099833     0.094000 
   1956     80-84    0.147051     0.160560     0.152746 
   1956     85-89    0.219697     0.256045     0.234747 
   1956     90-94    0.337322     0.371927     0.350399 
   1956     95-99    0.413794     0.425358     0.417462 
   1956    100-104   0.086530     0.000000     0.082074 
   1956    105-109   0.000000            .     0.000000 
   1956    110+             .            .            . 
   1957        0     0.052693     0.068807     0.060969 
   1957      1-4     0.001975     0.002227     0.002104 
   1957      5-9     0.000442     0.000720     0.000584 
   1957     10-14    0.000475     0.000637     0.000557 
   1957     15-19    0.000795     0.001310     0.001050 
   1957     20-24    0.000981     0.001947     0.001453 
   1957     25-29    0.001174     0.001993     0.001576 
   1957     30-34    0.001562     0.002210     0.001875 
   1957     35-39    0.002022     0.002774     0.002375 
   1957     40-44    0.002849     0.004083     0.003428 
   1957     45-49    0.004261     0.005825     0.005006 
   1957     50-54    0.006182     0.009826     0.007926 
   1957     55-59    0.010012     0.015907     0.012802 
   1957     60-64    0.016867     0.026064     0.020885 
   1957     65-69    0.029073     0.040925     0.034144 
   1957     70-74    0.052011     0.063463     0.056863 
   1957     75-79    0.087711     0.099535     0.092703 
   1957     80-84    0.145609     0.156312     0.150082 
   1957     85-89    0.231555     0.242669     0.236148 
   1957     90-94    0.341514     0.368494     0.351817 
   1957     95-99    0.526801     0.452413     0.501765 
   1957    100-104   1.285812     0.536433     1.176929 
   1957    105-109   3.077810            .     3.077810 
   1957    110+             .            .            . 
   1958        0     0.050522     0.066362     0.058661 
   1958      1-4     0.001787     0.001898     0.001844 
   1958      5-9     0.000413     0.000657     0.000537 
   1958     10-14    0.000457     0.000581     0.000520 
