Israel, Total Population, Death rates (period 5x1)     Last modified: 30-Oct-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
   1983        0     0.013343     0.014687     0.014034 
   1983      1-4     0.000638     0.000629     0.000633 
   1983      5-9     0.000228     0.000263     0.000246 
   1983     10-14    0.000200     0.000309     0.000256 
   1983     15-19    0.000279     0.000758     0.000528 
   1983     20-24    0.000304     0.001088     0.000704 
   1983     25-29    0.000434     0.000927     0.000680 
   1983     30-34    0.000594     0.001064     0.000828 
   1983     35-39    0.000808     0.001396     0.001098 
   1983     40-44    0.001344     0.002100     0.001716 
   1983     45-49    0.002000     0.003762     0.002857 
   1983     50-54    0.003994     0.006595     0.005231 
   1983     55-59    0.006528     0.011518     0.008787 
   1983     60-64    0.011356     0.016774     0.013933 
   1983     65-69    0.020861     0.027543     0.023919 
   1983     70-74    0.033596     0.044799     0.038915 
   1983     75-79    0.061970     0.070966     0.066366 
   1983     80-84    0.092874     0.104815     0.098250 
   1983     85-89    0.153445     0.150035     0.151927 
   1983     90-94    0.222470     0.223595     0.222958 
   1983     95-99    0.333764     0.317281     0.326569 
   1983    100-104   0.483365     0.458653     0.472515 
   1983    105-109   1.068182     1.186047     1.114679 
   1983    110+             .            .            . 
   1984        0     0.012652     0.013072     0.012868 
   1984      1-4     0.000743     0.000738     0.000740 
   1984      5-9     0.000257     0.000295     0.000276 
   1984     10-14    0.000209     0.000295     0.000253 
   1984     15-19    0.000334     0.000724     0.000536 
   1984     20-24    0.000332     0.001065     0.000709 
   1984     25-29    0.000372     0.000873     0.000623 
   1984     30-34    0.000530     0.000979     0.000754 
   1984     35-39    0.000748     0.001278     0.001009 
   1984     40-44    0.001373     0.001881     0.001623 
   1984     45-49    0.002359     0.003950     0.003135 
   1984     50-54    0.003808     0.006673     0.005178 
   1984     55-59    0.006549     0.011189     0.008661 
   1984     60-64    0.011033     0.017069     0.013874 
   1984     65-69    0.019272     0.026327     0.022501 
   1984     70-74    0.032091     0.044951     0.038105 
   1984     75-79    0.057542     0.071914     0.064495 
   1984     80-84    0.089645     0.103982     0.096140 
   1984     85-89    0.142067     0.149313     0.145267 
   1984     90-94    0.222100     0.215235     0.219077 
   1984     95-99    0.293357     0.286135     0.290230 
   1984    100-104   0.378672     0.393880     0.385348 
   1984    105-109   0.557721     0.762115     0.640500 
   1984    110+             .            .            . 
   1985        0     0.011085     0.012906     0.012022 
   1985      1-4     0.000585     0.000541     0.000562 
   1985      5-9     0.000204     0.000311     0.000259 
   1985     10-14    0.000189     0.000251     0.000221 
   1985     15-19    0.000292     0.000763     0.000534 
   1985     20-24    0.000371     0.000957     0.000673 
   1985     25-29    0.000419     0.000861     0.000641 
   1985     30-34    0.000492     0.000979     0.000735 
   1985     35-39    0.000848     0.001122     0.000983 
   1985     40-44    0.001354     0.002050     0.001697 
   1985     45-49    0.001932     0.003618     0.002756 
   1985     50-54    0.003609     0.006039     0.004776 
   1985     55-59    0.006732     0.011113     0.008746 
   1985     60-64    0.010542     0.016965     0.013516 
   1985     65-69    0.020130     0.024903     0.022336 
   1985     70-74    0.030968     0.042333     0.036200 
   1985     75-79    0.059333     0.069139     0.064028 
   1985     80-84    0.081437     0.099494     0.089678 
   1985     85-89    0.143706     0.157485     0.149711 
   1985     90-94    0.224163     0.237647     0.230138 
   1985     95-99    0.359335     0.343972     0.352687 
   1985    100-104   0.553292     0.519617     0.538416 
   1985    105-109   1.242586     1.129897     1.195900 
   1985    110+             .            .            . 
   1986        0     0.010933     0.012483     0.011727 
   1986      1-4     0.000490     0.000563     0.000528 
   1986      5-9     0.000188     0.000254     0.000222 
   1986     10-14    0.000143     0.000206     0.000175 
   1986     15-19    0.000320     0.000567     0.000447 
   1986     20-24    0.000371     0.000878     0.000633 
   1986     25-29    0.000445     0.000774     0.000610 
   1986     30-34    0.000475     0.000859     0.000666 
   1986     35-39    0.000821     0.001285     0.001050 
   1986     40-44    0.001345     0.002009     0.001672 
   1986     45-49    0.002080     0.003909     0.002975 
   1986     50-54    0.003951     0.006273     0.005070 
   1986     55-59    0.006312     0.011255     0.008613 
   1986     60-64    0.010958     0.018175     0.014228 
   1986     65-69    0.019859     0.027000     0.023205 
   1986     70-74    0.033386     0.043604     0.038008 
   1986     75-79    0.059567     0.071771     0.065378 
   1986     80-84    0.085600     0.105597     0.094770 
   1986     85-89    0.144169     0.161313     0.151586 
   1986     90-94    0.216062     0.215709     0.215906 
   1986     95-99    0.339235     0.353799     0.345621 
   1986    100-104   0.491541     0.536916     0.511616 
   1986    105-109   0.896475     1.264730     1.044786 
   1986    110+             .            .            . 
   1987        0     0.009747     0.012423     0.011115 
   1987      1-4     0.000493     0.000561     0.000528 
   1987      5-9     0.000210     0.000305     0.000259 
   1987     10-14    0.000189     0.000274     0.000233 
   1987     15-19    0.000304     0.000712     0.000513 
   1987     20-24    0.000340     0.000825     0.000590 
   1987     25-29    0.000279     0.000944     0.000613 
   1987     30-34    0.000569     0.000959     0.000763 
   1987     35-39    0.000664     0.001189     0.000924 
   1987     40-44    0.001093     0.001869     0.001476 
   1987     45-49    0.002033     0.003290     0.002650 
   1987     50-54    0.004058     0.006428     0.005203 
   1987     55-59    0.006698     0.010290     0.008383 
   1987     60-64    0.010715     0.018225     0.014061 
   1987     65-69    0.018819     0.026536     0.022457 
   1987     70-74    0.031407     0.042494     0.036374 
   1987     75-79    0.057806     0.069835     0.063460 
   1987     80-84    0.081344     0.100046     0.089915 
   1987     85-89    0.138383     0.155104     0.145585 
   1987     90-94    0.208793     0.207552     0.208247 
   1987     95-99    0.330900     0.341793     0.335650 
   1987    100-104   0.480222     0.475383     0.478098 
   1987    105-109   0.826580     0.963100     0.877002 
   1987    110+             .            .            . 
   1988        0     0.009891     0.010473     0.010189 
   1988      1-4     0.000468     0.000528     0.000499 
   1988      5-9     0.000208     0.000289     0.000249 
   1988     10-14    0.000147     0.000245     0.000197 
   1988     15-19    0.000269     0.000723     0.000501 
   1988     20-24    0.000316     0.000863     0.000598 
   1988     25-29    0.000365     0.000878     0.000623 
   1988     30-34    0.000535     0.001258     0.000894 
   1988     35-39    0.000765     0.001388     0.001074 
   1988     40-44    0.001330     0.001916     0.001619 
   1988     45-49    0.002146     0.003637     0.002877 
   1988     50-54    0.003253     0.005637     0.004408 
   1988     55-59    0.006173     0.010497     0.008211 
   1988     60-64    0.010265     0.016437     0.013011 
   1988     65-69    0.017392     0.026455     0.021643 
   1988     70-74    0.032844     0.042338     0.037104 
   1988     75-79    0.055168     0.064950     0.059682 
   1988     80-84    0.080884     0.097749     0.088550 
   1988     85-89    0.132805     0.147340     0.139056 
   1988     90-94    0.180183     0.211328     0.193692 
   1988     95-99    0.338917     0.369798     0.352221 
   1988    100-104   0.575352     0.598584     0.585521 
   1988    105-109   1.595745     1.752577     1.655716 
   1988    110+             .            .            . 
   1989        0     0.009665     0.010534     0.010111 
   1989      1-4     0.000459     0.000526     0.000494 
   1989      5-9     0.000200     0.000238     0.000220 
   1989     10-14    0.000168     0.000185     0.000177 
   1989     15-19    0.000270     0.000687     0.000484 
   1989     20-24    0.000382     0.000776     0.000584 
   1989     25-29    0.000436     0.000903     0.000672 
   1989     30-34    0.000577     0.000973     0.000774 
   1989     35-39    0.000658     0.001065     0.000861 
   1989     40-44    0.001340     0.001887     0.001609 
   1989     45-49    0.001878     0.003042     0.002450 
   1989     50-54    0.003109     0.005591     0.004314 
   1989     55-59    0.006416     0.009711     0.007977 
   1989     60-64    0.009854     0.015689     0.012470 
   1989     65-69    0.016361     0.024602     0.020185 
   1989     70-74    0.031298     0.039935     0.035184 
   1989     75-79    0.051062     0.063447     0.056695 
   1989     80-84    0.072912     0.095586     0.083058 
   1989     85-89    0.122078     0.144663     0.131819 
   1989     90-94    0.185711     0.199483     0.191533 
   1989     95-99    0.321061     0.318081     0.319774 
   1989    100-104   0.495467     0.454787     0.477985 
   1989    105-109   1.262821     1.014451     1.157248 
   1989    110+             .            .            . 
   1990        0     0.009297     0.010756     0.010045 
   1990      1-4     0.000510     0.000478     0.000494 
   1990      5-9     0.000227     0.000191     0.000209 
   1990     10-14    0.000153     0.000144     0.000148 
   1990     15-19    0.000231     0.000663     0.000452 
   1990     20-24    0.000316     0.000821     0.000573 
   1990     25-29    0.000386     0.000795     0.000592 
   1990     30-34    0.000462     0.000996     0.000726 
   1990     35-39    0.000808     0.001077     0.000941 
   1990     40-44    0.001337     0.001757     0.001544 
   1990     45-49    0.002092     0.002741     0.002412 
   1990     50-54    0.003364     0.004665     0.003995 
   1990     55-59    0.005620     0.009040     0.007250 
   1990     60-64    0.009746     0.015383     0.012298 
