Russia, Death rates (period 5x1)     Last modified: 11-Nov-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
   1959        0     0.037575     0.046622     0.042194 
   1959      1-4     0.002933     0.003223     0.003081 
   1959      5-9     0.000843     0.001263     0.001057 
   1959     10-14    0.000651     0.000969     0.000813 
   1959     15-19    0.000968     0.001757     0.001363 
   1959     20-24    0.001236     0.002443     0.001842 
   1959     25-29    0.001383     0.003134     0.002252 
   1959     30-34    0.001694     0.003958     0.002740 
   1959     35-39    0.002194     0.004890     0.003236 
   1959     40-44    0.002917     0.006354     0.004234 
   1959     45-49    0.003967     0.008807     0.005771 
   1959     50-54    0.005681     0.013628     0.008578 
   1959     55-59    0.008368     0.020824     0.012268 
   1959     60-64    0.014050     0.030731     0.019442 
   1959     65-69    0.021647     0.042849     0.028388 
   1959     70-74    0.038725     0.062679     0.045821 
   1959     75-79    0.063240     0.090493     0.071037 
   1959     80-84    0.105424     0.131293     0.112476 
   1959     85-89    0.153062     0.181933     0.160519 
   1959     90-94    0.179009     0.194873     0.182679 
   1959     95-99    0.248610     0.271919     0.253937 
   1959    100-104   0.325831     0.333511     0.327570 
   1959    105-109   0.450050     0.447696     0.449496 
   1959    110+      0.672083     0.679030     0.673839 
   1960        0     0.033472     0.041603     0.037629 
   1960      1-4     0.002497     0.002741     0.002621 
   1960      5-9     0.000763     0.001184     0.000977 
   1960     10-14    0.000576     0.000874     0.000727 
   1960     15-19    0.000911     0.001771     0.001342 
   1960     20-24    0.001165     0.002563     0.001867 
   1960     25-29    0.001314     0.003305     0.002304 
   1960     30-34    0.001603     0.004053     0.002768 
   1960     35-39    0.002098     0.005056     0.003258 
   1960     40-44    0.002793     0.006217     0.004114 
   1960     45-49    0.003747     0.008687     0.005584 
   1960     50-54    0.005434     0.012768     0.008113 
   1960     55-59    0.007903     0.020127     0.011823 
   1960     60-64    0.013422     0.029320     0.018436 
   1960     65-69    0.020062     0.040633     0.026593 
   1960     70-74    0.036020     0.059451     0.042918 
   1960     75-79    0.057647     0.083277     0.064893 
   1960     80-84    0.097637     0.125255     0.105140 
   1960     85-89    0.144253     0.178809     0.153049 
   1960     90-94    0.176364     0.193253     0.180317 
   1960     95-99    0.232491     0.240335     0.234263 
   1960    100-104   0.299097     0.328845     0.305719 
   1960    105-109   0.397850     0.434930     0.406359 
   1960    110+      0.564063     0.639942     0.582548 
   1961        0     0.029248     0.037257     0.033345 
   1961      1-4     0.002173     0.002425     0.002301 
   1961      5-9     0.000710     0.001096     0.000906 
   1961     10-14    0.000546     0.000859     0.000705 
   1961     15-19    0.000778     0.001631     0.001208 
   1961     20-24    0.001112     0.002578     0.001847 
   1961     25-29    0.001206     0.003237     0.002216 
   1961     30-34    0.001600     0.004079     0.002804 
   1961     35-39    0.001987     0.004968     0.003191 
   1961     40-44    0.002776     0.006367     0.004166 
   1961     45-49    0.003739     0.008681     0.005577 
   1961     50-54    0.005376     0.012858     0.008107 
   1961     55-59    0.007893     0.019881     0.011873 
   1961     60-64    0.013490     0.030225     0.018594 
   1961     65-69    0.020803     0.040995     0.027179 
   1961     70-74    0.037088     0.061450     0.044250 
   1961     75-79    0.059146     0.085759     0.066606 
   1961     80-84    0.101734     0.129081     0.109133 
   1961     85-89    0.150363     0.181624     0.158219 
   1961     90-94    0.182887     0.200745     0.187083 
   1961     95-99    0.245375     0.252389     0.246946 
   1961    100-104   0.301298     0.344598     0.310749 
   1961    105-109   0.383551     0.458986     0.400011 
   1961    110+      0.508455     0.689682     0.548494 
   1962        0     0.028222     0.036209     0.032307 
   1962      1-4     0.002012     0.002341     0.002180 
   1962      5-9     0.000651     0.001050     0.000854 
   1962     10-14    0.000509     0.000805     0.000660 
   1962     15-19    0.000705     0.001481     0.001099 
   1962     20-24    0.001069     0.002520     0.001795 
   1962     25-29    0.001215     0.003175     0.002191 
   1962     30-34    0.001535     0.004054     0.002769 
   1962     35-39    0.001953     0.004949     0.003217 
   1962     40-44    0.002780     0.006467     0.004199 
   1962     45-49    0.003785     0.008687     0.005614 
   1962     50-54    0.005463     0.012953     0.008188 
   1962     55-59    0.008037     0.019962     0.012103 
   1962     60-64    0.014123     0.031951     0.019449 
   1962     65-69    0.022198     0.043093     0.028743 
   1962     70-74    0.038363     0.065095     0.046188 
   1962     75-79    0.064808     0.092141     0.072447 
   1962     80-84    0.110450     0.139200     0.118177 
   1962     85-89    0.170881     0.207038     0.179871 
   1962     90-94    0.215083     0.247218     0.222615 
   1962     95-99    0.282525     0.321210     0.290973 
   1962    100-104   0.379775     0.407910     0.385822 
   1962    105-109   0.497695     0.556391     0.509845 
