Bulgaria, Death rates (period 5x10)     Last modified: 18-Apr-2012, MPv5 (May07)

   Year      Age       Female       Male         Total
1947-1949      0     0.124021     0.143918     0.134229 
1947-1949    1-4     0.012779     0.012787     0.012783 
1947-1949    5-9     0.002375     0.002638     0.002509 
1947-1949   10-14    0.001889     0.001823     0.001856 
1947-1949   15-19    0.003483     0.003217     0.003348 
1947-1949   20-24    0.004508     0.004962     0.004737 
1947-1949   25-29    0.004061     0.004185     0.004123 
1947-1949   30-34    0.003681     0.004032     0.003857 
1947-1949   35-39    0.003829     0.004454     0.004146 
1947-1949   40-44    0.004261     0.005603     0.004942 
1947-1949   45-49    0.005195     0.007829     0.006522 
1947-1949   50-54    0.007984     0.011702     0.009833 
1947-1949   55-59    0.011628     0.017682     0.014312 
1947-1949   60-64    0.019860     0.026832     0.023089 
1947-1949   65-69    0.029969     0.038436     0.033975 
1947-1949   70-74    0.054569     0.063872     0.058863 
1947-1949   75-79    0.089894     0.098231     0.093904 
1947-1949   80-84    0.135126     0.141242     0.138141 
1947-1949   85-89    0.175890     0.184908     0.180205 
1947-1949   90-94    0.221453     0.232905     0.226808 
1947-1949   95-99    0.306042     0.289754     0.298381 
1947-1949  100-104   0.370584     0.352235     0.362018 
1947-1949  105-109   0.476170     0.436819     0.457638 
1947-1949  110+      0.785788     0.813936     0.797301 
1950-1959      0     0.076446     0.091691     0.084259 
1950-1959    1-4     0.006142     0.006207     0.006175 
1950-1959    5-9     0.001000     0.001168     0.001086 
1950-1959   10-14    0.000805     0.000980     0.000894 
1950-1959   15-19    0.001431     0.001705     0.001569 
1950-1959   20-24    0.001924     0.002371     0.002149 
1950-1959   25-29    0.001952     0.002295     0.002125 
1950-1959   30-34    0.001883     0.002316     0.002100 
1950-1959   35-39    0.002270     0.002788     0.002530 
1950-1959   40-44    0.003003     0.003810     0.003412 
1950-1959   45-49    0.004087     0.005470     0.004789 
1950-1959   50-54    0.006023     0.008742     0.007389 
1950-1959   55-59    0.009330     0.014052     0.011632 
1950-1959   60-64    0.016280     0.023116     0.019408 
1950-1959   65-69    0.027926     0.035738     0.031433 
1950-1959   70-74    0.047572     0.055812     0.051307 
1950-1959   75-79    0.078485     0.087029     0.082333 
1950-1959   80-84    0.124025     0.130689     0.127120 
1950-1959   85-89    0.171547     0.182788     0.176888 
1950-1959   90-94    0.225081     0.233457     0.228980 
1950-1959   95-99    0.276544     0.284368     0.280081 
1950-1959  100-104   0.319235     0.340255     0.328637 
1950-1959  105-109   0.407090     0.450996     0.425679 
1950-1959  110+      0.774923     1.151138     0.913469 
1960-1969      0     0.031483     0.038602     0.035140 
