Belarus, Death rates (period 5x10)     Last modified: 02-Oct-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
1960-1969      0     0.022798     0.030574     0.026786 
1960-1969    1-4     0.001274     0.001523     0.001402 
1960-1969    5-9     0.000428     0.000665     0.000549 
1960-1969   10-14    0.000375     0.000640     0.000510 
1960-1969   15-19    0.000543     0.001064     0.000807 
1960-1969   20-24    0.000759     0.001708     0.001221 
1960-1969   25-29    0.000867     0.002132     0.001467 
1960-1969   30-34    0.001143     0.002740     0.001890 
1960-1969   35-39    0.001457     0.003580     0.002394 
1960-1969   40-44    0.002150     0.004795     0.003218 
1960-1969   45-49    0.003157     0.006359     0.004377 
1960-1969   50-54    0.004609     0.009355     0.006381 
1960-1969   55-59    0.006605     0.013498     0.009207 
1960-1969   60-64    0.011073     0.022066     0.015067 
1960-1969   65-69    0.017274     0.031058     0.022197 
1960-1969   70-74    0.029568     0.047143     0.035681 
1960-1969   75-79    0.048618     0.066814     0.054633 
1960-1969   80-84    0.080950     0.106909     0.089006 
1960-1969   85-89    0.123189     0.155136     0.132468 
1960-1969   90-94    0.164235     0.202460     0.174103 
1960-1969   95-99    0.242154     0.287170     0.252337 
1960-1969  100-104   0.318809     0.404853     0.334648 
1960-1969  105-109   0.428366     0.657423     0.457914 
1960-1969  110+      0.672861     1.558659     0.701997 
1970-1979      0     0.014957     0.020056     0.017567 
1970-1979    1-4     0.001061     0.001326     0.001196 
1970-1979    5-9     0.000335     0.000575     0.000457 
1970-1979   10-14    0.000289     0.000494     0.000394 
1970-1979   15-19    0.000444     0.001083     0.000772 
1970-1979   20-24    0.000559     0.002016     0.001296 
1970-1979   25-29    0.000728     0.002627     0.001678 
1970-1979   30-34    0.001031     0.003539     0.002257 
1970-1979   35-39    0.001454     0.004739     0.003024 
1970-1979   40-44    0.002093     0.006256     0.004048 
1970-1979   45-49    0.003175     0.008288     0.005418 
1970-1979   50-54    0.004865     0.011721     0.007569 
1970-1979   55-59    0.007116     0.016211     0.010415 
1970-1979   60-64    0.011187     0.023781     0.015641 
1970-1979   65-69    0.018047     0.035409     0.024115 
1970-1979   70-74    0.031110     0.052836     0.038363 
1970-1979   75-79    0.051588     0.077605     0.060078 
1970-1979   80-84    0.084277     0.117270     0.094153 
1970-1979   85-89    0.123566     0.164027     0.134029 
1970-1979   90-94    0.167365     0.215152     0.178832 
1970-1979   95-99    0.220008     0.274921     0.231456 
1970-1979  100-104   0.298831     0.339395     0.305957 
1970-1979  105-109   0.402948     0.497689     0.414825 
1970-1979  110+      0.855289     6.000000     0.862512 
1980-1989      0     0.012209     0.016779     0.014549 
1980-1989    1-4     0.000783     0.000975     0.000881 
1980-1989    5-9     0.000345     0.000565     0.000457 
1980-1989   10-14    0.000272     0.000491     0.000384 
1980-1989   15-19    0.000418     0.001085     0.000753 
1980-1989   20-24    0.000525     0.002034     0.001288 
1980-1989   25-29    0.000640     0.002454     0.001552 
1980-1989   30-34    0.000966     0.003350     0.002159 
1980-1989   35-39    0.001389     0.004511     0.002937 
1980-1989   40-44    0.002273     0.007017     0.004567 
1980-1989   45-49    0.003367     0.009877     0.006428 
1980-1989   50-54    0.005067     0.013719     0.009009 
1980-1989   55-59    0.007602     0.018844     0.012280 
1980-1989   60-64    0.011776     0.026780     0.017277 
1980-1989   65-69    0.019439     0.038431     0.025759 
1980-1989   70-74    0.033312     0.058390     0.041117 
