Switzerland, Death rates (period 5x10)     Last modified: 20-May-2016, MPv5 (May07)

   Year      Age       Female       Male         Total
1876-1879      0     0.216719     0.268085     0.242550 
1876-1879    1-4     0.022028     0.022201     0.022115 
1876-1879    5-9     0.006293     0.006574     0.006433 
1876-1879   10-14    0.004175     0.003755     0.003967 
1876-1879   15-19    0.005902     0.005590     0.005748 
1876-1879   20-24    0.007245     0.007736     0.007485 
1876-1879   25-29    0.008674     0.009282     0.008969 
1876-1879   30-34    0.009796     0.010457     0.010115 
1876-1879   35-39    0.011191     0.012229     0.011691 
1876-1879   40-44    0.011430     0.014284     0.012812 
1876-1879   45-49    0.013319     0.017953     0.015557 
1876-1879   50-54    0.018525     0.023692     0.021004 
1876-1879   55-59    0.026468     0.032795     0.029480 
1876-1879   60-64    0.040566     0.045553     0.042946 
1876-1879   65-69    0.065433     0.066060     0.065733 
1876-1879   70-74    0.103117     0.104508     0.103788 
1876-1879   75-79    0.140497     0.148460     0.144386 
1876-1879   80-84    0.211453     0.214503     0.212978 
1876-1879   85-89    0.304660     0.319380     0.312031 
1876-1879   90-94    0.440823     0.439817     0.440326 
1876-1879   95-99    0.507369     0.574916     0.533047 
1876-1879  100-104   0.816728            .     0.816728 
1876-1879  105-109          .            .            . 
1876-1879  110+             .            .            . 
1880-1889      0     0.170641     0.210524     0.190762 
1880-1889    1-4     0.018564     0.018797     0.018681 
1880-1889    5-9     0.005440     0.005403     0.005421 
1880-1889   10-14    0.003415     0.003087     0.003251 
1880-1889   15-19    0.005494     0.004695     0.005101 
1880-1889   20-24    0.007049     0.006937     0.006995 
1880-1889   25-29    0.007953     0.007877     0.007916 
1880-1889   30-34    0.009081     0.009267     0.009172 
1880-1889   35-39    0.010369     0.011420     0.010876 
1880-1889   40-44    0.011260     0.013963     0.012558 
1880-1889   45-49    0.012730     0.016886     0.014724 
1880-1889   50-54    0.017253     0.022245     0.019631 
1880-1889   55-59    0.025066     0.030185     0.027483 
1880-1889   60-64    0.039058     0.042921     0.040867 
1880-1889   65-69    0.059881     0.062604     0.061159 
1880-1889   70-74    0.093552     0.095518     0.094480 
1880-1889   75-79    0.144424     0.149111     0.146652 
1880-1889   80-84    0.207627     0.211965     0.209702 
1880-1889   85-89    0.291325     0.300843     0.295992 
1880-1889   90-94    0.392034     0.427395     0.409172 
1880-1889   95-99    0.561883     0.641672     0.598467 
