Chile, Death rates (period 5x10)     Last modified: 25-Nov-2008, MPv5 (May07)

   Year      Age       Female       Male         Total
1992-1999      0     0.011070     0.013239     0.012178 
1992-1999    1-4     0.000523     0.000648     0.000587 
1992-1999    5-9     0.000215     0.000295     0.000256 
1992-1999   10-14    0.000214     0.000332     0.000274 
1992-1999   15-19    0.000344     0.000849     0.000600 
1992-1999   20-24    0.000399     0.001487     0.000943 
1992-1999   25-29    0.000465     0.001712     0.001081 
1992-1999   30-34    0.000622     0.001931     0.001264 
1992-1999   35-39    0.000962     0.002293     0.001613 
1992-1999   40-44    0.001507     0.003190     0.002327 
1992-1999   45-49    0.002511     0.004716     0.003583 
1992-1999   50-54    0.004028     0.007252     0.005588 
1992-1999   55-59    0.006151     0.011368     0.008636 
1992-1999   60-64    0.009768     0.017835     0.013528 
1992-1999   65-69    0.015656     0.027418     0.021032 
1992-1999   70-74    0.026163     0.043763     0.033927 
1992-1999   75-79    0.044098     0.068021     0.054000 
1992-1999   80-84    0.070618     0.098969     0.081487 
1992-1999   85-89    0.119276     0.155552     0.131578 
1992-1999   90-94    0.193329     0.236863     0.205964 
1992-1999   95-99    0.287581     0.334584     0.299008 
1992-1999  100-104   0.390709     0.425194     0.397966 
1992-1999  105-109   0.596671     0.830395     0.641306 
1992-1999  110+      2.381538            .     2.381538 
2000-2005      0     0.007992     0.009624     0.008826 
2000-2005    1-4     0.000396     0.000493     0.000445 
2000-2005    5-9     0.000171     0.000231     0.000201 
2000-2005   10-14    0.000182     0.000268     0.000226 
2000-2005   15-19    0.000284     0.000760     0.000526 
2000-2005   20-24    0.000348     0.001263     0.000810 
2000-2005   25-29    0.000425     0.001431     0.000927 
2000-2005   30-34    0.000528     0.001679     0.001098 
2000-2005   35-39    0.000788     0.002028     0.001397 
2000-2005   40-44    0.001235     0.002689     0.001946 
2000-2005   45-49    0.002046     0.003990     0.002994 
2000-2005   50-54    0.003278     0.005963     0.004585 
2000-2005   55-59    0.005278     0.009670     0.007399 
2000-2005   60-64    0.008452     0.015005     0.011546 
2000-2005   65-69    0.013295     0.023299     0.017910 
2000-2005   70-74    0.022189     0.038408     0.029386 
2000-2005   75-79    0.037017     0.058042     0.045893 
2000-2005   80-84    0.064660     0.092177     0.075357 
2000-2005   85-89    0.104742     0.128478     0.113139 
2000-2005   90-94    0.170676     0.186016     0.175488 
2000-2005   95-99    0.273079     0.304466     0.280881 
2000-2005  100-104   0.412872     0.491074     0.427268 
2000-2005  105-109   0.647087     0.972226     0.682523 
2000-2005  110+      3.741176            .     3.741176 
