Czech Republic, Death rates (period 5x10)     Last modified: 02-Oct-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
1950-1959      0     0.032618     0.041657     0.037260 
1950-1959    1-4     0.001582     0.001804     0.001696 
1950-1959    5-9     0.000451     0.000696     0.000576 
1950-1959   10-14    0.000401     0.000642     0.000524 
1950-1959   15-19    0.000651     0.001353     0.001006 
1950-1959   20-24    0.000902     0.001856     0.001384 
1950-1959   25-29    0.001077     0.001868     0.001470 
1950-1959   30-34    0.001333     0.002080     0.001698 
1950-1959   35-39    0.001888     0.002652     0.002260 
1950-1959   40-44    0.002720     0.003910     0.003302 
1950-1959   45-49    0.003996     0.006232     0.005089 
1950-1959   50-54    0.006211     0.011028     0.008520 
1950-1959   55-59    0.009711     0.018392     0.013684 
1950-1959   60-64    0.016176     0.029108     0.021816 
1950-1959   65-69    0.028536     0.044983     0.035516 
1950-1959   70-74    0.050685     0.069318     0.058426 
1950-1959   75-79    0.087586     0.107157     0.095572 
1950-1959   80-84    0.146255     0.169958     0.155766 
1950-1959   85-89    0.230354     0.261950     0.242394 
1950-1959   90-94    0.343452     0.376573     0.354940 
1950-1959   95-99    0.465578     0.511939     0.479985 
1950-1959  100-104   0.728421     0.881817     0.759685 
1950-1959  105-109          .            .            . 
1950-1959  110+             .            .            . 
1960-1969      0     0.018237     0.024418     0.021409 
1960-1969    1-4     0.000776     0.001086     0.000935 
1960-1969    5-9     0.000337     0.000546     0.000444 
1960-1969   10-14    0.000268     0.000476     0.000374 
1960-1969   15-19    0.000491     0.001203     0.000854 
1960-1969   20-24    0.000541     0.001760     0.001159 
1960-1969   25-29    0.000642     0.001666     0.001158 
1960-1969   30-34    0.000881     0.001909     0.001394 
1960-1969   35-39    0.001329     0.002471     0.001889 
1960-1969   40-44    0.002033     0.003781     0.002878 
1960-1969   45-49    0.003291     0.005838     0.004518 
1960-1969   50-54    0.005229     0.009764     0.007413 
1960-1969   55-59    0.008286     0.016949     0.012404 
1960-1969   60-64    0.013891     0.029304     0.020903 
1960-1969   65-69    0.024443     0.046745     0.033800 
1960-1969   70-74    0.043827     0.070896     0.054285 
1960-1969   75-79    0.077186     0.106053     0.087819 
1960-1969   80-84    0.132454     0.165161     0.144040 
1960-1969   85-89    0.212341     0.247443     0.224332 
1960-1969   90-94    0.313766     0.360829     0.328868 
1960-1969   95-99    0.441240     0.520336     0.463177 
1960-1969  100-104   0.635658     0.862981     0.680828 
1960-1969  105-109   2.149068            .     2.149068 
1960-1969  110+             .            .            . 
1970-1979      0     0.016246     0.022221     0.019307 
1970-1979    1-4     0.000559     0.000726     0.000644 
1970-1979    5-9     0.000293     0.000461     0.000379 
1970-1979   10-14    0.000230     0.000431     0.000333 
1970-1979   15-19    0.000440     0.001069     0.000762 
1970-1979   20-24    0.000480     0.001452     0.000975 
1970-1979   25-29    0.000564     0.001475     0.001026 
1970-1979   30-34    0.000742     0.001783     0.001267 
1970-1979   35-39    0.001151     0.002611     0.001882 
1970-1979   40-44    0.001946     0.004191     0.003055 
1970-1979   45-49    0.003244     0.006850     0.004989 
1970-1979   50-54    0.005215     0.011389     0.008141 
1970-1979   55-59    0.008363     0.018317     0.013011 
1970-1979   60-64    0.014013     0.029662     0.021176 
1970-1979   65-69    0.024017     0.048017     0.034473 
1970-1979   70-74    0.043171     0.075742     0.056058 
1970-1979   75-79    0.076226     0.115723     0.089855 
1970-1979   80-84    0.131177     0.173191     0.144062 
1970-1979   85-89    0.210614     0.257533     0.223979 
1970-1979   90-94    0.319717     0.364990     0.331820 
1970-1979   95-99    0.435532     0.457781     0.441251 
1970-1979  100-104   0.483864     0.498270     0.487615 
1970-1979  105-109   1.027549     2.057332     1.133880 
1970-1979  110+             .            .            . 
1980-1989      0     0.011216     0.015459     0.013391 
1980-1989    1-4     0.000431     0.000551     0.000493 
1980-1989    5-9     0.000243     0.000379     0.000312 
1980-1989   10-14    0.000188     0.000321     0.000256 
1980-1989   15-19    0.000342     0.000819     0.000586 
1980-1989   20-24    0.000388     0.001165     0.000785 
1980-1989   25-29    0.000480     0.001265     0.000879 
1980-1989   30-34    0.000666     0.001654     0.001166 
1980-1989   35-39    0.001034     0.002511     0.001778 
1980-1989   40-44    0.001782     0.004198     0.002989 
1980-1989   45-49    0.003011     0.007146     0.005052 
1980-1989   50-54    0.004957     0.011905     0.008314 
1980-1989   55-59    0.008164     0.019447     0.013429 
1980-1989   60-64    0.013663     0.030779     0.021305 
1980-1989   65-69    0.023634     0.047017     0.033615 
1980-1989   70-74    0.041811     0.072965     0.054298 
1980-1989   75-79    0.073488     0.112445     0.087500 
1980-1989   80-84    0.127242     0.172765     0.141106 
1980-1989   85-89    0.207152     0.255023     0.219126 
1980-1989   90-94    0.315544     0.362240     0.325750 
1980-1989   95-99    0.444496     0.482767     0.452067 
1980-1989  100-104   0.707381     0.661701     0.696696 
1980-1989  105-109   1.487036     1.821306     1.543655 
1980-1989  110+             .            .            . 
1990-1999      0     0.006930     0.008855     0.007918 
1990-1999    1-4     0.000342     0.000417     0.000381 
1990-1999    5-9     0.000185     0.000253     0.000220 
1990-1999   10-14    0.000165     0.000260     0.000213 
1990-1999   15-19    0.000323     0.000802     0.000568 
1990-1999   20-24    0.000372     0.001126     0.000757 
1990-1999   25-29    0.000390     0.001186     0.000797 
1990-1999   30-34    0.000576     0.001485     0.001039 
1990-1999   35-39    0.000957     0.002292     0.001632 
1990-1999   40-44    0.001592     0.003849     0.002725 
1990-1999   45-49    0.002646     0.006458     0.004541 
1990-1999   50-54    0.004120     0.010424     0.007205 
1990-1999   55-59    0.006781     0.016579     0.011449 
1990-1999   60-64    0.011331     0.026479     0.018242 
1990-1999   65-69    0.019398     0.040285     0.028300 
1990-1999   70-74    0.033232     0.060214     0.043796 
1990-1999   75-79    0.059451     0.093353     0.071560 
1990-1999   80-84    0.106547     0.145692     0.118950 
1990-1999   85-89    0.177652     0.217593     0.188427 
1990-1999   90-94    0.285565     0.325091     0.294146 
1990-1999   95-99    0.417990     0.461617     0.425565 
1990-1999  100-104   0.562570     0.647499     0.574608 
1990-1999  105-109   1.249972     6.000000     1.283237 
1990-1999  110+             .            .            . 
