Japan, Death rates (period 5x10)     Last modified: 26-Sep-2016, MPv5 (May07)

   Year      Age       Female       Male         Total
1947-1949      0     0.068200     0.077956     0.073191 
1947-1949    1-4     0.012658     0.013007     0.012835 
1947-1949    5-9     0.002539     0.002821     0.002681 
1947-1949   10-14    0.001625     0.001573     0.001599 
1947-1949   15-19    0.003745     0.003603     0.003674 
1947-1949   20-24    0.006598     0.007348     0.006960 
1947-1949   25-29    0.006701     0.007792     0.007182 
1947-1949   30-34    0.006312     0.007316     0.006774 
1947-1949   35-39    0.006463     0.007638     0.007021 
1947-1949   40-44    0.007141     0.008762     0.007949 
1947-1949   45-49    0.008415     0.011100     0.009777 
1947-1949   50-54    0.011389     0.015587     0.013524 
1947-1949   55-59    0.015744     0.023146     0.019431 
1947-1949   60-64    0.024118     0.035853     0.029692 
1947-1949   65-69    0.036929     0.054573     0.044798 
1947-1949   70-74    0.058157     0.080040     0.067336 
1947-1949   75-79    0.090874     0.116777     0.100927 
1947-1949   80-84    0.146153     0.177247     0.156952 
1947-1949   85-89    0.220720     0.260036     0.232911 
1947-1949   90-94    0.316593     0.357561     0.328042 
1947-1949   95-99    0.431618     0.469698     0.442428 
1947-1949  100-104   0.474739     0.622472     0.514842 
1947-1949  105-109   0.452830     1.066667     0.635762 
1947-1949  110+      0.594059     1.090909     0.716418 
1950-1959      0     0.042486     0.049102     0.045872 
1950-1959    1-4     0.005414     0.005570     0.005493 
1950-1959    5-9     0.001286     0.001538     0.001414 
1950-1959   10-14    0.000715     0.000816     0.000766 
1950-1959   15-19    0.001321     0.001621     0.001472 
1950-1959   20-24    0.002336     0.002974     0.002654 
1950-1959   25-29    0.002714     0.003211     0.002956 
1950-1959   30-34    0.002946     0.003295     0.003107 
1950-1959   35-39    0.003411     0.003954     0.003658 
1950-1959   40-44    0.004174     0.005202     0.004659 
1950-1959   45-49    0.005666     0.007647     0.006633 
1950-1959   50-54    0.008241     0.011672     0.009958 
1950-1959   55-59    0.012027     0.018346     0.015187 
1950-1959   60-64    0.018577     0.028699     0.023519 
1950-1959   65-69    0.030827     0.046214     0.037954 
1950-1959   70-74    0.051639     0.073553     0.061018 
1950-1959   75-79    0.083535     0.112282     0.094779 
1950-1959   80-84    0.134747     0.170071     0.147214 
1950-1959   85-89    0.209319     0.250928     0.222188 
1950-1959   90-94    0.312873     0.365953     0.326816 
1950-1959   95-99    0.438242     0.465862     0.444586 
1950-1959  100-104   0.534188     0.489733     0.522739 
1950-1959  105-109   0.323974     0.592593     0.393600 
1950-1959  110+      0.457143     0.600000     0.469565 
1960-1969      0     0.018833     0.023711     0.021336 
1960-1969    1-4     0.001384     0.001720     0.001556 
1960-1969    5-9     0.000507     0.000767     0.000640 
1960-1969   10-14    0.000334     0.000505     0.000421 
1960-1969   15-19    0.000529     0.001053     0.000793 
1960-1969   20-24    0.000911     0.001621     0.001264 
1960-1969   25-29    0.001126     0.001785     0.001454 
1960-1969   30-34    0.001359     0.002029     0.001695 
1960-1969   35-39    0.001771     0.002699     0.002226 
1960-1969   40-44    0.002456     0.003734     0.003048 
1960-1969   45-49    0.003730     0.005679     0.004615 
1960-1969   50-54    0.005706     0.009033     0.007265 
1960-1969   55-59    0.008676     0.014991     0.011715 
1960-1969   60-64    0.013898     0.024430     0.019007 
1960-1969   65-69    0.023568     0.039597     0.031170 
1960-1969   70-74    0.041821     0.064929     0.052210 
1960-1969   75-79    0.074791     0.105485     0.087336 
1960-1969   80-84    0.126905     0.165898     0.140807 
1960-1969   85-89    0.201586     0.246924     0.215449 
1960-1969   90-94    0.302667     0.348980     0.314805 
1960-1969   95-99    0.425918     0.461842     0.433917 
1960-1969  100-104   0.559733     0.559056     0.559592 
1960-1969  105-109   0.461957     0.857143     0.496651 
1960-1969  110+      0.193548            .     0.193548 
1970-1979      0     0.009167     0.011816     0.010530 
1970-1979    1-4     0.000754     0.000975     0.000867 
1970-1979    5-9     0.000285     0.000455     0.000372 
1970-1979   10-14    0.000198     0.000311     0.000256 
1970-1979   15-19    0.000348     0.000922     0.000640 
1970-1979   20-24    0.000558     0.001108     0.000834 
1970-1979   25-29    0.000649     0.001114     0.000882 
1970-1979   30-34    0.000818     0.001353     0.001086 
1970-1979   35-39    0.001137     0.002021     0.001580 
1970-1979   40-44    0.001689     0.003168     0.002429 
1970-1979   45-49    0.002573     0.004650     0.003586 
1970-1979   50-54    0.003946     0.006825     0.005267 
1970-1979   55-59    0.006041     0.010937     0.008225 
1970-1979   60-64    0.009769     0.017925     0.013473 
1970-1979   65-69    0.016780     0.030280     0.022934 
1970-1979   70-74    0.030598     0.050967     0.039680 
1970-1979   75-79    0.056293     0.084217     0.067999 
1970-1979   80-84    0.101777     0.135721     0.114645 
1970-1979   85-89    0.172187     0.210864     0.184768 
1970-1979   90-94    0.272271     0.309296     0.282182 
1970-1979   95-99    0.388964     0.428734     0.397871 
1970-1979  100-104   0.506707     0.536781     0.512780 
1970-1979  105-109   0.629373     0.648731     0.634222 
1970-1979  110+      0.533934     0.187500     0.389867 
1980-1989      0     0.005305     0.006413     0.005874 
1980-1989    1-4     0.000451     0.000586     0.000520 
1980-1989    5-9     0.000170     0.000273     0.000223 
1980-1989   10-14    0.000128     0.000203     0.000166 
1980-1989   15-19    0.000247     0.000688     0.000473 
1980-1989   20-24    0.000338     0.000827     0.000586 
1980-1989   25-29    0.000420     0.000819     0.000621 
1980-1989   30-34    0.000554     0.000957     0.000757 
1980-1989   35-39    0.000797     0.001384     0.001091 
1980-1989   40-44    0.001213     0.002234     0.001723 
1980-1989   45-49    0.001874     0.003737     0.002801 
1980-1989   50-54    0.002882     0.006090     0.004468 
1980-1989   55-59    0.004234     0.009110     0.006568 
1980-1989   60-64    0.006681     0.013538     0.009741 
1980-1989   65-69    0.011281     0.022029     0.015871 
1980-1989   70-74    0.020399     0.037665     0.027712 
1980-1989   75-79    0.038775     0.065321     0.049605 
1980-1989   80-84    0.074909     0.110194     0.088390 
1980-1989   85-89    0.133600     0.174423     0.147499 
1980-1989   90-94    0.221474     0.262577     0.233608 
1980-1989   95-99    0.334418     0.371701     0.343776 
1980-1989  100-104   0.453730     0.500026     0.463220 
1980-1989  105-109   0.541761     0.575698     0.547377 
1980-1989  110+      0.562500     0.230769     0.413793 
1990-1999      0     0.003769     0.004443     0.004115 
1990-1999    1-4     0.000351     0.000438     0.000396 
1990-1999    5-9     0.000137     0.000195     0.000167 
1990-1999   10-14    0.000109     0.000165     0.000138 
1990-1999   15-19    0.000215     0.000555     0.000389 
1990-1999   20-24    0.000286     0.000712     0.000504 
1990-1999   25-29    0.000328     0.000711     0.000522 
1990-1999   30-34    0.000448     0.000823     0.000638 
