Luxembourg, Death rates (period 5x10)     Last modified: 19-Oct-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
1960-1969      0     0.021152     0.029992     0.025675 
1960-1969    1-4     0.001249     0.001234     0.001241 
1960-1969    5-9     0.000475     0.000667     0.000573 
1960-1969   10-14    0.000279     0.000462     0.000372 
1960-1969   15-19    0.000409     0.001218     0.000820 
1960-1969   20-24    0.000550     0.002098     0.001349 
1960-1969   25-29    0.000718     0.001711     0.001232 
1960-1969   30-34    0.001082     0.001911     0.001511 
1960-1969   35-39    0.001479     0.002423     0.001949 
1960-1969   40-44    0.002524     0.004002     0.003225 
1960-1969   45-49    0.003882     0.007131     0.005454 
1960-1969   50-54    0.005817     0.011627     0.008688 
1960-1969   55-59    0.008219     0.018498     0.013207 
1960-1969   60-64    0.014331     0.030742     0.021999 
1960-1969   65-69    0.025524     0.043434     0.033559 
1960-1969   70-74    0.043604     0.067957     0.054116 
1960-1969   75-79    0.077153     0.101049     0.087098 
1960-1969   80-84    0.133755     0.160319     0.144507 
1960-1969   85-89    0.210336     0.233301     0.219328 
1960-1969   90-94    0.296469     0.320505     0.305355 
1960-1969   95-99    0.441887     0.430053     0.438385 
1960-1969  100-104   1.571263     2.083333     1.610695 
1960-1969  105-109          .            .            . 
1960-1969  110+             .            .            . 
1970-1979      0     0.012683     0.018691     0.015780 
1970-1979    1-4     0.000835     0.000933     0.000885 
1970-1979    5-9     0.000299     0.000553     0.000429 
1970-1979   10-14    0.000257     0.000395     0.000327 
1970-1979   15-19    0.000560     0.001554     0.001065 
1970-1979   20-24    0.000535     0.001738     0.001142 
1970-1979   25-29    0.000770     0.001639     0.001220 
1970-1979   30-34    0.001055     0.001964     0.001529 
1970-1979   35-39    0.001242     0.002743     0.002019 
1970-1979   40-44    0.002269     0.004312     0.003324 
1970-1979   45-49    0.003582     0.006150     0.004853 
1970-1979   50-54    0.005404     0.010516     0.007798 
1970-1979   55-59    0.007970     0.018513     0.012901 
1970-1979   60-64    0.013112     0.028482     0.020228 
1970-1979   65-69    0.022364     0.044255     0.032022 
1970-1979   70-74    0.038324     0.069829     0.051332 
1970-1979   75-79    0.069520     0.101055     0.081536 
1970-1979   80-84    0.114811     0.157917     0.130197 
1970-1979   85-89    0.191660     0.234813     0.206345 
1970-1979   90-94    0.290691     0.322163     0.301197 
1970-1979   95-99    0.407851     0.424844     0.414146 
1970-1979  100-104   1.094432     1.541496     1.244311 
1970-1979  105-109          .            .            . 
1970-1979  110+             .            .            . 
1980-1989      0     0.009395     0.011708     0.010576 
1980-1989    1-4     0.000449     0.000541     0.000496 
1980-1989    5-9     0.000206     0.000344     0.000277 
1980-1989   10-14    0.000229     0.000330     0.000281 
1980-1989   15-19    0.000440     0.001178     0.000816 
1980-1989   20-24    0.000484     0.001555     0.001019 
1980-1989   25-29    0.000641     0.001717     0.001178 
1980-1989   30-34    0.000655     0.001377     0.001023 
1980-1989   35-39    0.001108     0.002150     0.001649 
1980-1989   40-44    0.001898     0.003249     0.002594 
1980-1989   45-49    0.002782     0.005423     0.004125 
1980-1989   50-54    0.004409     0.008598     0.006522 
1980-1989   55-59    0.006339     0.014377     0.010179 
1980-1989   60-64    0.010224     0.022599     0.015649 
1980-1989   65-69    0.016616     0.036395     0.024990 
1980-1989   70-74    0.029411     0.055737     0.040134 
1980-1989   75-79    0.052217     0.091969     0.066789 
1980-1989   80-84    0.099832     0.140510     0.113289 
1980-1989   85-89    0.166761     0.205494     0.178184 
1980-1989   90-94    0.271119     0.296846     0.278211 
1980-1989   95-99    0.388183     0.569245     0.427016 
1980-1989  100-104   0.901405     1.991701     1.009054 
1980-1989  105-109          .            .            . 
1980-1989  110+             .            .            . 
1990-1999      0     0.006004     0.006098     0.006053 
1990-1999    1-4     0.000300     0.000421     0.000362 
1990-1999    5-9     0.000183     0.000222     0.000203 
1990-1999   10-14    0.000099     0.000239     0.000171 
1990-1999   15-19    0.000403     0.000828     0.000621 
1990-1999   20-24    0.000426     0.001311     0.000876 
1990-1999   25-29    0.000433     0.001254     0.000851 
1990-1999   30-34    0.000685     0.001489     0.001093 
1990-1999   35-39    0.001024     0.002049     0.001545 
1990-1999   40-44    0.001545     0.002711     0.002145 
1990-1999   45-49    0.002466     0.004124     0.003325 
1990-1999   50-54    0.003588     0.006965     0.005310 
1990-1999   55-59    0.005036     0.010750     0.007875 
1990-1999   60-64    0.008259     0.017260     0.012609 
1990-1999   65-69    0.013139     0.027429     0.019505 
1990-1999   70-74    0.021941     0.045027     0.031002 
1990-1999   75-79    0.039930     0.072631     0.051745 
1990-1999   80-84    0.079225     0.118783     0.092297 
1990-1999   85-89    0.142070     0.186307     0.154544 
1990-1999   90-94    0.242079     0.275755     0.250564 
1990-1999   95-99    0.340906     0.441725     0.361680 
1990-1999  100-104   0.473278     0.789820     0.502011 
1990-1999  105-109   0.769231            .     0.769231 
1990-1999  110+             .            .            . 
2000-2009      0     0.003361     0.003833     0.003605 
2000-2009    1-4     0.000210     0.000333     0.000274 
2000-2009    5-9     0.000077     0.000127     0.000103 
2000-2009   10-14    0.000129     0.000171     0.000151 
2000-2009   15-19    0.000238     0.000439     0.000341 
2000-2009   20-24    0.000283     0.000927     0.000611 
2000-2009   25-29    0.000355     0.000972     0.000665 
2000-2009   30-34    0.000483     0.001021     0.000752 
2000-2009   35-39    0.000627     0.001361     0.000998 
2000-2009   40-44    0.000963     0.001946     0.001464 
2000-2009   45-49    0.001766     0.003161     0.002476 
2000-2009   50-54    0.002991     0.005280     0.004162 
2000-2009   55-59    0.004685     0.008129     0.006447 
2000-2009   60-64    0.006731     0.013389     0.010034 
2000-2009   65-69    0.010370     0.020678     0.015244 
2000-2009   70-74    0.017859     0.033144     0.024747 
2000-2009   75-79    0.032744     0.053208     0.040942 
2000-2009   80-84    0.060833     0.091943     0.071134 
2000-2009   85-89    0.117928     0.166458     0.131425 
2000-2009   90-94    0.203951     0.278603     0.221042 
2000-2009   95-99    0.345587     0.381334     0.352383 
2000-2009  100-104   0.502074     0.462810     0.494036 
2000-2009  105-109   0.805369     0.000000     0.618557 
2000-2009  110+             .            .            . 
2010-2014      0     0.002970     0.003749     0.003369 
2010-2014    1-4     0.000153     0.000129     0.000141 
2010-2014    5-9     0.000041     0.000065     0.000053 
2010-2014   10-14    0.000053     0.000100     0.000077 
2010-2014   15-19    0.000247     0.000322     0.000285 
2010-2014   20-24    0.000202     0.000543     0.000377 
2010-2014   25-29    0.000327     0.000500     0.000414 
2010-2014   30-34    0.000417     0.000667     0.000542 
2010-2014   35-39    0.000463     0.000929     0.000697 
2010-2014   40-44    0.000692     0.001249     0.000976 
2010-2014   45-49    0.001637     0.002326     0.001994 
2010-2014   50-54    0.002359     0.004298     0.003354 
2010-2014   55-59    0.003479     0.006885     0.005215 
2010-2014   60-64    0.005910     0.010608     0.008290 
2010-2014   65-69    0.009067     0.016219     0.012597 
2010-2014   70-74    0.013772     0.026420     0.019608 
2010-2014   75-79    0.025534     0.041267     0.032375 
2010-2014   80-84    0.048842     0.078576     0.060653 
2010-2014   85-89    0.098745     0.139343     0.111115 
2010-2014   90-94    0.184541     0.229326     0.194792 
2010-2014   95-99    0.309040     0.356059     0.316955 
2010-2014  100-104   0.541043     0.589888     0.549135 
2010-2014  105-109   0.845070     0.272727     0.595238 
2010-2014  110+             .     6.000000     6.000000 
