Poland, Death rates (period 5x10)     Last modified: 26-Nov-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
1958-1959      0     0.065818     0.083154     0.074702 
1958-1959    1-4     0.002172     0.002412     0.002295 
1958-1959    5-9     0.000563     0.000785     0.000676 
1958-1959   10-14    0.000431     0.000679     0.000557 
1958-1959   15-19    0.000669     0.001300     0.000989 
1958-1959   20-24    0.000966     0.002026     0.001499 
1958-1959   25-29    0.001236     0.002181     0.001709 
1958-1959   30-34    0.001536     0.002572     0.002029 
1958-1959   35-39    0.001979     0.003075     0.002491 
1958-1959   40-44    0.002775     0.004253     0.003453 
1958-1959   45-49    0.003963     0.006210     0.005013 
1958-1959   50-54    0.005847     0.010030     0.007813 
1958-1959   55-59    0.009139     0.016459     0.012439 
1958-1959   60-64    0.015736     0.026850     0.020453 
1958-1959   65-69    0.026728     0.041637     0.032716 
1958-1959   70-74    0.045849     0.064219     0.052817 
1958-1959   75-79    0.078662     0.100791     0.086711 
1958-1959   80-84    0.130819     0.155487     0.139315 
1958-1959   85-89    0.193890     0.235434     0.206929 
1958-1959   90-94    0.278893     0.326835     0.292004 
1958-1959   95-99    0.390281     0.389925     0.390197 
1958-1959  100-104   0.519797     0.934473     0.594417 
1958-1959  105-109   6.000000            .     6.000000 
1958-1959  110+             .            .            . 
1960-1969      0     0.040234     0.051944     0.046257 
1960-1969    1-4     0.001286     0.001493     0.001392 
1960-1969    5-9     0.000396     0.000587     0.000493 
1960-1969   10-14    0.000309     0.000511     0.000412 
1960-1969   15-19    0.000474     0.001038     0.000760 
1960-1969   20-24    0.000679     0.001743     0.001217 
1960-1969   25-29    0.000858     0.001986     0.001425 
1960-1969   30-34    0.001135     0.002346     0.001737 
1960-1969   35-39    0.001604     0.002996     0.002275 
1960-1969   40-44    0.002301     0.004094     0.003138 
1960-1969   45-49    0.003547     0.005982     0.004669 
1960-1969   50-54    0.005375     0.009471     0.007265 
1960-1969   55-59    0.008078     0.015355     0.011428 
1960-1969   60-64    0.013356     0.025156     0.018573 
1960-1969   65-69    0.023304     0.040304     0.030305 
1960-1969   70-74    0.040992     0.062028     0.049009 
1960-1969   75-79    0.069724     0.094855     0.078611 
1960-1969   80-84    0.117109     0.146985     0.126989 
1960-1969   85-89    0.185214     0.216336     0.194781 
1960-1969   90-94    0.271666     0.303113     0.280433 
1960-1969   95-99    0.355610     0.387272     0.363171 
1960-1969  100-104   0.421049     0.449969     0.426709 
1960-1969  105-109   0.660204     0.669921     0.660763 
1960-1969  110+             .            .            . 
1970-1979      0     0.026369     0.034699     0.030649 
1970-1979    1-4     0.000779     0.000996     0.000890 
1970-1979    5-9     0.000338     0.000501     0.000421 
1970-1979   10-14    0.000264     0.000432     0.000350 
1970-1979   15-19    0.000422     0.001005     0.000720 
1970-1979   20-24    0.000507     0.001719     0.001123 
1970-1979   25-29    0.000617     0.001940     0.001285 
1970-1979   30-34    0.000874     0.002413     0.001645 
1970-1979   35-39    0.001289     0.003322     0.002302 
1970-1979   40-44    0.002017     0.004836     0.003408 
1970-1979   45-49    0.003195     0.007333     0.005169 
1970-1979   50-54    0.004937     0.010821     0.007638 
1970-1979   55-59    0.007627     0.016144     0.011451 
1970-1979   60-64    0.012273     0.025120     0.017949 
1970-1979   65-69    0.020511     0.039947     0.028852 
1970-1979   70-74    0.036805     0.063460     0.047377 
1970-1979   75-79    0.065503     0.098623     0.077223 
1970-1979   80-84    0.111265     0.145349     0.122035 
1970-1979   85-89    0.179677     0.216168     0.190116 
1970-1979   90-94    0.269729     0.300616     0.277823 
1970-1979   95-99    0.360233     0.371864     0.363150 
1970-1979  100-104   0.503362     0.512968     0.505806 
1970-1979  105-109   0.786829     0.971922     0.824680 
1970-1979  110+             .            .            . 
1980-1989      0     0.019846     0.025871     0.022936 
1980-1989    1-4     0.000577     0.000733     0.000657 
1980-1989    5-9     0.000255     0.000400     0.000329 
1980-1989   10-14    0.000212     0.000374     0.000295 
1980-1989   15-19    0.000352     0.000977     0.000672 
1980-1989   20-24    0.000430     0.001572     0.001015 
1980-1989   25-29    0.000552     0.001854     0.001215 
1980-1989   30-34    0.000802     0.002412     0.001616 
1980-1989   35-39    0.001271     0.003463     0.002370 
1980-1989   40-44    0.002046     0.005455     0.003734 
1980-1989   45-49    0.003236     0.008489     0.005808 
1980-1989   50-54    0.005067     0.013002     0.008886 
1980-1989   55-59    0.007907     0.019340     0.013157 
1980-1989   60-64    0.012594     0.028158     0.019360 
1980-1989   65-69    0.020485     0.041107     0.029055 
1980-1989   70-74    0.034954     0.062779     0.045928 
1980-1989   75-79    0.061032     0.096807     0.074053 
1980-1989   80-84    0.107140     0.148533     0.120312 
1980-1989   85-89    0.176970     0.217210     0.187972 
1980-1989   90-94    0.268903     0.299289     0.276317 
1980-1989   95-99    0.359779     0.367503     0.361600 
1980-1989  100-104   0.478673     0.452656     0.472505 
1980-1989  105-109   0.658915     0.723098     0.672321 
1980-1989  110+      6.000000            .     6.000000 
1990-1999      0     0.012844     0.015878     0.014401 
1990-1999    1-4     0.000415     0.000518     0.000468 
1990-1999    5-9     0.000194     0.000273     0.000234 
1990-1999   10-14    0.000176     0.000303     0.000241 
1990-1999   15-19    0.000336     0.000933     0.000640 
1990-1999   20-24    0.000356     0.001447     0.000913 
1990-1999   25-29    0.000434     0.001671     0.001063 
1990-1999   30-34    0.000681     0.002361     0.001532 
1990-1999   35-39    0.001174     0.003631     0.002409 
1990-1999   40-44    0.002004     0.005679     0.003833 
1990-1999   45-49    0.003138     0.008620     0.005829 
1990-1999   50-54    0.004725     0.013278     0.008837 
1990-1999   55-59    0.007162     0.019760     0.013065 
1990-1999   60-64    0.011462     0.028739     0.019259 
1990-1999   65-69    0.018924     0.041285     0.028292 
1990-1999   70-74    0.031790     0.059436     0.042385 
1990-1999   75-79    0.056576     0.090294     0.068417 
1990-1999   80-84    0.099659     0.139564     0.112177 
1990-1999   85-89    0.165384     0.206202     0.176611 
1990-1999   90-94    0.264218     0.299758     0.272565 
1990-1999   95-99    0.372736     0.390932     0.376513 
1990-1999  100-104   0.536923     0.512568     0.531353 
1990-1999  105-109   0.437798     0.362070     0.416010 
1990-1999  110+      0.814687     0.965295     0.853076 
2000-2009      0     0.005904     0.007155     0.006546 
2000-2009    1-4     0.000239     0.000300     0.000270 
2000-2009    5-9     0.000131     0.000183     0.000158 
2000-2009   10-14    0.000145     0.000220     0.000183 
2000-2009   15-19    0.000268     0.000700     0.000488 
2000-2009   20-24    0.000276     0.001126     0.000708 
2000-2009   25-29    0.000321     0.001231     0.000783 
2000-2009   30-34    0.000472     0.001673     0.001082 
2000-2009   35-39    0.000812     0.002632     0.001734 
2000-2009   40-44    0.001506     0.004357     0.002941 
2000-2009   45-49    0.002616     0.007131     0.004861 
2000-2009   50-54    0.004150     0.010947     0.007467 
2000-2009   55-59    0.006236     0.015969     0.010856 
2000-2009   60-64    0.009134     0.023356     0.015609 
2000-2009   65-69    0.014109     0.033951     0.022644 
2000-2009   70-74    0.023726     0.049203     0.033877 
2000-2009   75-79    0.042324     0.073210     0.053211 
2000-2009   80-84    0.076198     0.110603     0.086817 
2000-2009   85-89    0.135996     0.173086     0.146121 
2000-2009   90-94    0.228986     0.263107     0.237144 
2000-2009   95-99    0.343152     0.369607     0.348816 
2000-2009  100-104   0.439739     0.412064     0.434040 
2000-2009  105-109   0.493673     0.403930     0.467696 
2000-2009  110+      1.012052     1.066123     1.033359 
2010-2014      0     0.004206     0.004997     0.004613 
2010-2014    1-4     0.000173     0.000205     0.000189 
2010-2014    5-9     0.000092     0.000122     0.000107 
2010-2014   10-14    0.000124     0.000160     0.000142 
2010-2014   15-19    0.000230     0.000635     0.000437 
2010-2014   20-24    0.000231     0.001019     0.000633 
2010-2014   25-29    0.000267     0.001091     0.000686 
2010-2014   30-34    0.000382     0.001404     0.000900 
2010-2014   35-39    0.000664     0.002137     0.001410 
2010-2014   40-44    0.001162     0.003509     0.002346 
2010-2014   45-49    0.002044     0.005651     0.003850 
2010-2014   50-54    0.003597     0.009396     0.006450 
2010-2014   55-59    0.005576     0.014196     0.009712 
2010-2014   60-64    0.008583     0.020618     0.014154 
2010-2014   65-69    0.012593     0.029077     0.019840 
2010-2014   70-74    0.019706     0.041699     0.028631 
2010-2014   75-79    0.033998     0.062159     0.044437 
2010-2014   80-84    0.064145     0.095812     0.074541 
2010-2014   85-89    0.117387     0.151562     0.126693 
2010-2014   90-94    0.199753     0.232084     0.207531 
2010-2014   95-99    0.324616     0.351038     0.330137 
2010-2014  100-104   0.434735     0.418126     0.431395 
2010-2014  105-109   0.477686     0.457097     0.472548 
2010-2014  110+      0.931501     1.167920     0.981079 
