West Germany, Death rates (period 5x5), 	Last modified: 29 Mar 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
1956-1959        0             0.033362        0.042520        0.038068
1956-1959      1-4             0.001288        0.001607        0.001451
1956-1959      5-9             0.000443        0.000675        0.000562
1956-1959     10-14            0.000326        0.000524        0.000427
1956-1959     15-19            0.000521        0.001270        0.000902
1956-1959     20-24            0.000689        0.001937        0.001324
1956-1959     25-29            0.000956        0.001781        0.001373
1956-1959     30-34            0.001232        0.001913        0.001540
1956-1959     35-39            0.001689        0.002443        0.002006
1956-1959     40-44            0.002535        0.003535        0.002960
1956-1959     45-49            0.003634        0.005616        0.004501
1956-1959     50-54            0.005565        0.009686        0.007463
1956-1959     55-59            0.008574        0.016541        0.012221
1956-1959     60-64            0.014336        0.025810        0.019103
1956-1959     65-69            0.025133        0.039830        0.031142
1956-1959     70-74            0.045830        0.062519        0.052809
1956-1959     75-79            0.082456        0.100443        0.090110
1956-1959     80-84            0.134645        0.154556        0.143148
1956-1959     85-89            0.214777        0.239684        0.224998
1956-1959     90-94            0.311847        0.350815        0.326083
1956-1959     95-99            0.445807        0.463920        0.451720
1956-1959    100-104           0.690343        0.774209        0.712704
1956-1959    105-109           1.924528              .        1.924528
1956-1959    110+                    .              .              .
1960-1964        0             0.026541        0.033899        0.030314
1960-1964      1-4             0.001086        0.001358        0.001225
1960-1964      5-9             0.000416        0.000633        0.000527
1960-1964     10-14            0.000290        0.000488        0.000392
1960-1964     15-19            0.000508        0.001241        0.000883
1960-1964     20-24            0.000610        0.001757        0.001201
1960-1964     25-29            0.000790        0.001632        0.001225
1960-1964     30-34            0.001081        0.001820        0.001457
1960-1964     35-39            0.001596        0.002381        0.001950
1960-1964     40-44            0.002324        0.003433        0.002792
1960-1964     45-49            0.003613        0.005595        0.004455
1960-1964     50-54            0.005244        0.009382        0.007049
1960-1964     55-59            0.008103        0.016312        0.011834
1960-1964     60-64            0.013504        0.026949        0.019424
1960-1964     65-69            0.023363        0.041449        0.030537
1960-1964     70-74            0.041758        0.062573        0.049871
1960-1964     75-79            0.075349        0.098112        0.084401
1960-1964     80-84            0.127566        0.151732        0.137307
1960-1964     85-89            0.204799        0.232339        0.215817
1960-1964     90-94            0.307404        0.340332        0.319697
1960-1964     95-99            0.432470        0.477248        0.447073
1960-1964    100-104           0.599281        0.723726        0.630836
1960-1964    105-109           0.600518        0.109948        0.478910
1960-1964    110+                    .              .              .
1965-1969        0             0.020262        0.026376        0.023396
1965-1969      1-4             0.000916        0.001149        0.001035
1965-1969      5-9             0.000403        0.000626        0.000518
1965-1969     10-14            0.000294        0.000491        0.000395
1965-1969     15-19            0.000521        0.001307        0.000924
1965-1969     20-24            0.000589        0.001593        0.001106
1965-1969     25-29            0.000691        0.001522        0.001126
1965-1969     30-34            0.000959        0.001747        0.001370
1965-1969     35-39            0.001461        0.002414        0.001949
1965-1969     40-44            0.002247        0.003540        0.002832
1965-1969     45-49            0.003478        0.005611        0.004377
1965-1969     50-54            0.005318        0.009420        0.007048
1965-1969     55-59            0.007889        0.015867        0.011307
1965-1969     60-64            0.013221        0.027028        0.019285
1965-1969     65-69            0.022859        0.043950        0.031672
1965-1969     70-74            0.040572        0.066725        0.050247
1965-1969     75-79            0.071900        0.100004        0.082048
1965-1969     80-84            0.123554        0.152708        0.134257
1965-1969     85-89            0.200527        0.231414        0.211953
1965-1969     90-94            0.303298        0.339247        0.316362
1965-1969     95-99            0.433656        0.476792        0.447672
1965-1969    100-104           0.649796        0.676295        0.657199
1965-1969    105-109           0.960000        0.654545        0.800000
1965-1969    110+                    .        0.461538        0.461538
1970-1974        0             0.019211        0.025419        0.022392
1970-1974      1-4             0.000768        0.000985        0.000880
1970-1974      5-9             0.000386        0.000579        0.000485
1970-1974     10-14            0.000278        0.000454        0.000368
1970-1974     15-19            0.000567        0.001443        0.001016
1970-1974     20-24            0.000598        0.001704        0.001164
1970-1974     25-29            0.000658        0.001509        0.001102
1970-1974     30-34            0.000893        0.001776        0.001356
1970-1974     35-39            0.001335        0.002421        0.001903
1970-1974     40-44            0.002136        0.003746        0.002959
1970-1974     45-49            0.003413        0.005717        0.004449
1970-1974     50-54            0.005121        0.009111        0.006787
1970-1974     55-59            0.007650        0.015319        0.010832
1970-1974     60-64            0.012119        0.025270        0.017573
1970-1974     65-69            0.021182        0.042292        0.030012
1970-1974     70-74            0.037918        0.066826        0.049158
1970-1974     75-79            0.067935        0.101169        0.079115
1970-1974     80-84            0.118142        0.152697        0.129366
