France (Total Population), Death rates (period 5x5), 	Last modified: 31 May 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
1816-1819        0             0.187808        0.223003        0.205796
1816-1819      1-4             0.036545        0.036579        0.036562
1816-1819      5-9             0.011950        0.011694        0.011819
1816-1819     10-14            0.005864        0.005528        0.005694
1816-1819     15-19            0.007278        0.006974        0.007127
1816-1819     20-24            0.008857        0.010905        0.009830
1816-1819     25-29            0.009222        0.009689        0.009434
1816-1819     30-34            0.010129        0.009607        0.009887
1816-1819     35-39            0.011530        0.010533        0.011055
1816-1819     40-44            0.013331        0.013016        0.013184
1816-1819     45-49            0.015350        0.016431        0.015846
1816-1819     50-54            0.019558        0.021639        0.020538
1816-1819     55-59            0.024745        0.026981        0.025823
1816-1819     60-64            0.039772        0.040500        0.040125
1816-1819     65-69            0.051403        0.053236        0.052290
1816-1819     70-74            0.081052        0.082772        0.081884
1816-1819     75-79            0.114694        0.119058        0.116796
1816-1819     80-84            0.180482        0.181799        0.181117
1816-1819     85-89            0.212881        0.214345        0.213588
1816-1819     90-94            0.254597        0.252035        0.253357
1816-1819     95-99            0.400261        0.380919        0.390405
1816-1819    100-104           0.553817        0.520353        0.536499
1816-1819    105-109           0.768778        0.709140        0.736649
1816-1819    110+              1.045174        1.044693        1.044928
1820-1824        0             0.191936        0.224640        0.208658
1820-1824      1-4             0.036885        0.037769        0.037331
1820-1824      5-9             0.012118        0.012118        0.012118
1820-1824     10-14            0.005705        0.005047        0.005368
1820-1824     15-19            0.006897        0.006354        0.006623
1820-1824     20-24            0.008599        0.010354        0.009470
1820-1824     25-29            0.008778        0.008905        0.008838
1820-1824     30-34            0.009572        0.008668        0.009161
1820-1824     35-39            0.010634        0.009730        0.010212
1820-1824     40-44            0.012215        0.011840        0.012036
1820-1824     45-49            0.013910        0.014070        0.013984
1820-1824     50-54            0.018135        0.019362        0.018698
1820-1824     55-59            0.022644        0.024849        0.023681
1820-1824     60-64            0.036039        0.036592        0.036306
1820-1824     65-69            0.049245        0.050427        0.049816
1820-1824     70-74            0.075351        0.077300        0.076287
1820-1824     75-79            0.107707        0.111696        0.109636
1820-1824     80-84            0.177295        0.176280        0.176804
1820-1824     85-89            0.217632        0.223324        0.220382
1820-1824     90-94            0.253323        0.247519        0.250531
1820-1824     95-99            0.389380        0.381368        0.385356
1820-1824    100-104           0.415277        0.428350        0.421943
1820-1824    105-109           0.697401        0.737515        0.719716
1820-1824    110+                    .              .              .
1825-1829        0             0.188676        0.222634        0.206030
1825-1829      1-4             0.038954        0.039326        0.039142
1825-1829      5-9             0.012347        0.012270        0.012309
1825-1829     10-14            0.006204        0.005428        0.005808
1825-1829     15-19            0.007614        0.006877        0.007236
1825-1829     20-24            0.008912        0.010457        0.009696
1825-1829     25-29            0.009578        0.009714        0.009645
1825-1829     30-34            0.010145        0.009193        0.009693
1825-1829     35-39            0.011420        0.010061        0.010799
1825-1829     40-44            0.012415        0.012482        0.012446
1825-1829     45-49            0.014410        0.015255        0.014812
