United Kingdom, Death rates (period 5x5)     Last modified: 29-Jan-2016, MPv5 (May07)

   Year      Age       Female       Male         Total
1922-1924      0     0.067600     0.089026     0.078492 
1922-1924    1-4     0.010658     0.011608     0.011139 
1922-1924    5-9     0.002344     0.002489     0.002416 
1922-1924   10-14    0.001746     0.001719     0.001733 
1922-1924   15-19    0.002589     0.002681     0.002635 
1922-1924   20-24    0.003198     0.003580     0.003380 
1922-1924   25-29    0.003580     0.003886     0.003718 
1922-1924   30-34    0.003987     0.004467     0.004206 
1922-1924   35-39    0.004776     0.005860     0.005276 
1922-1924   40-44    0.005761     0.007365     0.006512 
1922-1924   45-49    0.007641     0.009950     0.008745 
1922-1924   50-54    0.010813     0.013696     0.012207 
1922-1924   55-59    0.015517     0.020451     0.017879 
1922-1924   60-64    0.023868     0.031145     0.027287 
1922-1924   65-69    0.036801     0.048327     0.042051 
1922-1924   70-74    0.061000     0.075614     0.067316 
1922-1924   75-79    0.096724     0.119070     0.105698 
1922-1924   80-84    0.146073     0.175702     0.156993 
1922-1924   85-89    0.219977     0.258663     0.232824 
1922-1924   90-94    0.301020     0.344758     0.313728 
1922-1924   95-99    0.415336     0.469655     0.429273 
1922-1924  100-104   0.552338     0.613200     0.565879 
1922-1924  105-109   0.949633     0.874636     0.938648 
1922-1924  110+             .            .            . 
1925-1929      0     0.065664     0.086110     0.076049 
1925-1929    1-4     0.009004     0.009938     0.009476 
1925-1929    5-9     0.002325     0.002536     0.002432 
1925-1929   10-14    0.001598     0.001676     0.001637 
1925-1929   15-19    0.002495     0.002649     0.002571 
1925-1929   20-24    0.003060     0.003311     0.003182 
1925-1929   25-29    0.003395     0.003544     0.003465 
1925-1929   30-34    0.003669     0.004083     0.003857 
1925-1929   35-39    0.004428     0.005390     0.004870 
1925-1929   40-44    0.005477     0.007386     0.006361 
1925-1929   45-49    0.007362     0.009897     0.008553 
1925-1929   50-54    0.010461     0.013775     0.012047 
1925-1929   55-59    0.014917     0.019874     0.017293 
1925-1929   60-64    0.022764     0.030503     0.026399 
1925-1929   65-69    0.036072     0.048251     0.041619 
1925-1929   70-74    0.059915     0.076320     0.067068 
1925-1929   75-79    0.097692     0.122003     0.107554 
1925-1929   80-84    0.146846     0.178945     0.158578 
1925-1929   85-89    0.226975     0.271212     0.241438 
1925-1929   90-94    0.309409     0.359211     0.323522 
1925-1929   95-99    0.427822     0.466870     0.437354 
1925-1929  100-104   0.594443     0.705329     0.616860 
1925-1929  105-109   0.923636     1.174743     0.996928 
1925-1929  110+             .            .            . 
1930-1934      0     0.058588     0.077031     0.067970 
1930-1934    1-4     0.006893     0.007632     0.007267 
1930-1934    5-9     0.002139     0.002360     0.002250 
1930-1934   10-14    0.001454     0.001515     0.001485 
1930-1934   15-19    0.002332     0.002545     0.002438 
1930-1934   20-24    0.002862     0.003254     0.003054 
1930-1934   25-29    0.003112     0.003276     0.003192 
1930-1934   30-34    0.003422     0.003671     0.003541 
1930-1934   35-39    0.004074     0.004815     0.004413 
1930-1934   40-44    0.005032     0.006488     0.005703 
1930-1934   45-49    0.006872     0.009429     0.008055 
1930-1934   50-54    0.009697     0.013248     0.011359 
1930-1934   55-59    0.014028     0.019297     0.016530 
1930-1934   60-64    0.021580     0.029009     0.025083 
1930-1934   65-69    0.033950     0.046087     0.039492 
1930-1934   70-74    0.056759     0.073949     0.064233 
1930-1934   75-79    0.091887     0.116750     0.102025 
1930-1934   80-84    0.140960     0.173569     0.152957 
1930-1934   85-89    0.219044     0.260916     0.232555 
1930-1934   90-94    0.300939     0.356063     0.316214 
1930-1934   95-99    0.413134     0.489988     0.430613 
1930-1934  100-104   0.559655     0.551652     0.558159 
1930-1934  105-109   0.668710     1.345291     0.685118 
1930-1934  110+             .            .            . 
1935-1939      0     0.053206     0.069274     0.061412 
1935-1939    1-4     0.004760     0.005318     0.005043 
1935-1939    5-9     0.001763     0.001993     0.001879 
1935-1939   10-14    0.001158     0.001288     0.001224 
1935-1939   15-19    0.001873     0.002102     0.001988 
1935-1939   20-24    0.002510     0.002880     0.002690 
1935-1939   25-29    0.002658     0.002885     0.002768 
1935-1939   30-34    0.002856     0.003163     0.003005 
1935-1939   35-39    0.003488     0.004213     0.003832 
1935-1939   40-44    0.004439     0.005770     0.005046 
1935-1939   45-49    0.006190     0.008612     0.007304 
1935-1939   50-54    0.009031     0.013198     0.010952 
1935-1939   55-59    0.013018     0.019293     0.015935 
1935-1939   60-64    0.020804     0.029600     0.024911 
1935-1939   65-69    0.032842     0.045059     0.038452 
1935-1939   70-74    0.054401     0.072907     0.062458 
1935-1939   75-79    0.089470     0.118160     0.101063 
1935-1939   80-84    0.138290     0.174756     0.151803 
1935-1939   85-89    0.212680     0.263686     0.229088 
1935-1939   90-94    0.306133     0.365476     0.322036 
1935-1939   95-99    0.435816     0.488632     0.447317 
1935-1939  100-104   0.594627     0.656085     0.606218 
1935-1939  105-109   0.702523     0.795334     0.716649 
1935-1939  110+             .            .            . 
1940-1944      0     0.050331     0.065279     0.057989 
1940-1944    1-4     0.003890     0.004384     0.004142 
1940-1944    5-9     0.001508     0.001868     0.001691 
1940-1944   10-14    0.001113     0.001319     0.001217 
1940-1944   15-19    0.002024     0.002535     0.002261 
1940-1944   20-24    0.002688     0.005204     0.003442 
1940-1944   25-29    0.002700     0.004497     0.003328 
1940-1944   30-34    0.002749     0.004173     0.003319 
1940-1944   35-39    0.003171     0.004666     0.003826 
1940-1944   40-44    0.004097     0.005962     0.004945 
1940-1944   45-49    0.005806     0.008553     0.007041 
1940-1944   50-54    0.008262     0.013006     0.010425 
1940-1944   55-59    0.012041     0.019816     0.015580 
1940-1944   60-64    0.018726     0.029520     0.023630 
1940-1944   65-69    0.030365     0.044696     0.036848 
1940-1944   70-74    0.050274     0.067779     0.057973 
1940-1944   75-79    0.082717     0.110362     0.093923 
1940-1944   80-84    0.131486     0.167462     0.144772 
1940-1944   85-89    0.208015     0.257644     0.223908 
1940-1944   90-94    0.299062     0.351815     0.313076 
1940-1944   95-99    0.434143     0.500856     0.448555 
1940-1944  100-104   0.635404     0.571734     0.623879 
1940-1944  105-109   0.791188     0.436761     0.599261 
1940-1944  110+             .            .            . 
1945-1949      0     0.036760     0.047701     0.042379 
1945-1949    1-4     0.001951     0.002299     0.002129 
1945-1949    5-9     0.000770     0.001039     0.000907 
1945-1949   10-14    0.000658     0.000818     0.000739 
1945-1949   15-19    0.001293     0.001544     0.001407 
1945-1949   20-24    0.001868     0.002225     0.002015 
1945-1949   25-29    0.001985     0.002171     0.002068 
1945-1949   30-34    0.002068     0.002408     0.002224 
1945-1949   35-39    0.002405     0.002957     0.002665 
1945-1949   40-44    0.003158     0.004283     0.003699 
1945-1949   45-49    0.004698     0.007058     0.005807 
1945-1949   50-54    0.006971     0.011138     0.008870 
1945-1949   55-59    0.010323     0.017751     0.013686 
1945-1949   60-64    0.016524     0.027983     0.021630 
1945-1949   65-69    0.026730     0.041588     0.033270 
1945-1949   70-74    0.046209     0.064162     0.054010 
1945-1949   75-79    0.077036     0.101106     0.087003 
1945-1949   80-84    0.122167     0.157533     0.135276 
1945-1949   85-89    0.193222     0.241475     0.208764 
1945-1949   90-94    0.281549     0.337637     0.296297 
1945-1949   95-99    0.410888     0.475833     0.424307 
1945-1949  100-104   0.532975     0.624953     0.547209 
1945-1949  105-109   0.523453     1.914894     0.645886 
1945-1949  110+             .            .            . 
1950-1954      0     0.025498     0.033133     0.029414 
1950-1954    1-4     0.001156     0.001371     0.001266 
1950-1954    5-9     0.000433     0.000618     0.000528 
1950-1954   10-14    0.000363     0.000507     0.000436 
1950-1954   15-19    0.000602     0.000890     0.000745 
1950-1954   20-24    0.000871     0.001310     0.001085 
1950-1954   25-29    0.001122     0.001406     0.001263 
1950-1954   30-34    0.001370     0.001648     0.001507 
1950-1954   35-39    0.001840     0.002253     0.002043 
1950-1954   40-44    0.002645     0.003427     0.003030 
1950-1954   45-49    0.004118     0.006092     0.005083 
1950-1954   50-54    0.006264     0.010652     0.008345 
1950-1954   55-59    0.009616     0.017847     0.013315 
1950-1954   60-64    0.015574     0.028770     0.021362 
1950-1954   65-69    0.025969     0.044502     0.033864 
1950-1954   70-74    0.044624     0.068243     0.054407 
1950-1954   75-79    0.076984     0.106985     0.089054 
1950-1954   80-84    0.124807     0.163664     0.139250 
1950-1954   85-89    0.197610     0.252284     0.215118 
