Greece, Death rates (period 5x5)     Last modified: 25-Sep-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
1981-1984      0     0.012702     0.015629     0.014218 
1981-1984    1-4     0.000374     0.000452     0.000414 
1981-1984    5-9     0.000223     0.000281     0.000253 
1981-1984   10-14    0.000195     0.000323     0.000261 
1981-1984   15-19    0.000342     0.000850     0.000601 
1981-1984   20-24    0.000395     0.001194     0.000797 
1981-1984   25-29    0.000459     0.001068     0.000761 
1981-1984   30-34    0.000553     0.001100     0.000825 
1981-1984   35-39    0.000782     0.001408     0.001090 
1981-1984   40-44    0.001161     0.002075     0.001604 
1981-1984   45-49    0.001798     0.003294     0.002527 
1981-1984   50-54    0.002921     0.005653     0.004271 
1981-1984   55-59    0.004755     0.009776     0.007165 
1981-1984   60-64    0.008310     0.016134     0.011976 
1981-1984   65-69    0.014885     0.026278     0.020118 
1981-1984   70-74    0.027516     0.041987     0.034013 
1981-1984   75-79    0.052196     0.067943     0.059157 
1981-1984   80-84    0.091253     0.107139     0.097685 
1981-1984   85-89    0.150395     0.164246     0.155807 
1981-1984   90-94    0.215092     0.240508     0.224158 
1981-1984   95-99    0.276671     0.315469     0.289871 
1981-1984  100-104   0.419966     0.463660     0.433110 
1981-1984  105-109   0.590350     0.689173     0.616348 
1981-1984  110+      1.202977     2.263374     1.304933 
1985-1989      0     0.010324     0.012866     0.011636 
1985-1989    1-4     0.000344     0.000430     0.000388 
1985-1989    5-9     0.000169     0.000222     0.000196 
1985-1989   10-14    0.000154     0.000232     0.000194 
1985-1989   15-19    0.000303     0.000774     0.000544 
1985-1989   20-24    0.000392     0.001256     0.000827 
1985-1989   25-29    0.000394     0.001101     0.000745 
1985-1989   30-34    0.000513     0.001142     0.000826 
1985-1989   35-39    0.000709     0.001421     0.001064 
1985-1989   40-44    0.001097     0.002091     0.001589 
1985-1989   45-49    0.001658     0.003346     0.002480 
1985-1989   50-54    0.002733     0.005334     0.004005 
1985-1989   55-59    0.004365     0.009136     0.006699 
1985-1989   60-64    0.007243     0.015135     0.010977 
1985-1989   65-69    0.013876     0.024749     0.018859 
1985-1989   70-74    0.026672     0.041080     0.033115 
1985-1989   75-79    0.049429     0.065939     0.056645 
1985-1989   80-84    0.089192     0.106816     0.096580 
1985-1989   85-89    0.147882     0.166730     0.155131 
1985-1989   90-94    0.225969     0.249691     0.234726 
1985-1989   95-99    0.295427     0.326100     0.305405 
1985-1989  100-104   0.379431     0.396038     0.384416 
1985-1989  105-109   0.480388     0.528665     0.492873 
1985-1989  110+      0.882708     1.537190     0.896885 
1990-1994      0     0.008282     0.009034     0.008669 
1990-1994    1-4     0.000246     0.000280     0.000263 
1990-1994    5-9     0.000142     0.000187     0.000165 
1990-1994   10-14    0.000140     0.000215     0.000178 
1990-1994   15-19    0.000264     0.000779     0.000528 
1990-1994   20-24    0.000346     0.001242     0.000801 
1990-1994   25-29    0.000394     0.001195     0.000794 
1990-1994   30-34    0.000493     0.001228     0.000856 
1990-1994   35-39    0.000654     0.001478     0.001065 
1990-1994   40-44    0.001055     0.002146     0.001601 
1990-1994   45-49    0.001621     0.003334     0.002473 
1990-1994   50-54    0.002441     0.005262     0.003820 
1990-1994   55-59    0.003881     0.008483     0.006120 
1990-1994   60-64    0.006530     0.013953     0.010115 
1990-1994   65-69    0.011447     0.022716     0.016660 
1990-1994   70-74    0.023417     0.038086     0.029929 
1990-1994   75-79    0.045970     0.063340     0.053443 
1990-1994   80-84    0.082607     0.101549     0.090376 
1990-1994   85-89    0.141515     0.161189     0.149307 
1990-1994   90-94    0.221700     0.245961     0.230406 
1990-1994   95-99    0.295689     0.342145     0.311155 
1990-1994  100-104   0.507237     0.558213     0.521102 
1990-1994  105-109   0.777747     0.923741     0.811963 
1990-1994  110+      1.696450     4.604651     1.806888 
1995-1999      0     0.006335     0.007448     0.006908 
1995-1999    1-4     0.000245     0.000292     0.000269 
1995-1999    5-9     0.000126     0.000169     0.000148 
1995-1999   10-14    0.000152     0.000202     0.000178 
1995-1999   15-19    0.000271     0.000726     0.000506 
1995-1999   20-24    0.000316     0.001138     0.000737 
1995-1999   25-29    0.000368     0.001178     0.000778 
1995-1999   30-34    0.000469     0.001269     0.000868 
1995-1999   35-39    0.000662     0.001551     0.001103 
1995-1999   40-44    0.001025     0.002214     0.001619 
1995-1999   45-49    0.001581     0.003457     0.002520 
1995-1999   50-54    0.002355     0.005403     0.003870 
1995-1999   55-59    0.003568     0.008271     0.005859 
1995-1999   60-64    0.005757     0.013001     0.009238 
1995-1999   65-69    0.010645     0.021251     0.015657 
1995-1999   70-74    0.020453     0.035351     0.027105 
1995-1999   75-79    0.040963     0.059177     0.048642 
1995-1999   80-84    0.078583     0.099171     0.086809 
1995-1999   85-89    0.134906     0.157186     0.143506 
1995-1999   90-94    0.216387     0.240886     0.225448 
1995-1999   95-99    0.308048     0.345696     0.320232 
1995-1999  100-104   0.449091     0.508139     0.465377 
1995-1999  105-109   0.637826     0.855312     0.680596 
