Slovakia, Death rates (period 5x5)     Last modified: 29-Sep-2015, MPv5 (May07)

   Year      Age       Female       Male         Total
1950-1954      0     0.077281     0.092676     0.085198 
1950-1954    1-4     0.003499     0.003614     0.003558 
1950-1954    5-9     0.000674     0.000950     0.000813 
1950-1954   10-14    0.000617     0.000912     0.000765 
1950-1954   15-19    0.001206     0.001753     0.001479 
1950-1954   20-24    0.001724     0.002539     0.002127 
1950-1954   25-29    0.001862     0.002482     0.002167 
1950-1954   30-34    0.002019     0.002798     0.002401 
1950-1954   35-39    0.002545     0.003349     0.002933 
1950-1954   40-44    0.003163     0.004427     0.003780 
1950-1954   45-49    0.004582     0.006642     0.005581 
1950-1954   50-54    0.007026     0.010435     0.008651 
1950-1954   55-59    0.011029     0.015985     0.013286 
1950-1954   60-64    0.017662     0.024249     0.020541 
1950-1954   65-69    0.030784     0.036681     0.033300 
1950-1954   70-74    0.052883     0.057204     0.054789 
1950-1954   75-79    0.084898     0.097047     0.090051 
1950-1954   80-84    0.141942     0.156380     0.148203 
1950-1954   85-89    0.223854     0.245277     0.232321 
1950-1954   90-94    0.314642     0.344634     0.325391 
1950-1954   95-99    0.506831     0.446708     0.486827 
1950-1954  100-104   0.943960     1.000328     0.959903 
1950-1954  105-109          .            .            . 
1950-1954  110+             .            .            . 
1955-1959      0     0.036292     0.045920     0.041237 
1955-1959    1-4     0.001971     0.002144     0.002060 
1955-1959    5-9     0.000486     0.000755     0.000624 
1955-1959   10-14    0.000389     0.000676     0.000534 
1955-1959   15-19    0.000588     0.001256     0.000925 
1955-1959   20-24    0.000863     0.001795     0.001329 
1955-1959   25-29    0.001051     0.002021     0.001531 
1955-1959   30-34    0.001315     0.002174     0.001738 
1955-1959   35-39    0.001746     0.002516     0.002124 
1955-1959   40-44    0.002574     0.003529     0.003040 
1955-1959   45-49    0.003790     0.005703     0.004731 
1955-1959   50-54    0.005898     0.009256     0.007533 
1955-1959   55-59    0.008952     0.015201     0.011924 
1955-1959   60-64    0.015801     0.024538     0.019736 
1955-1959   65-69    0.027338     0.037001     0.031479 
1955-1959   70-74    0.048818     0.058652     0.052933 
1955-1959   75-79    0.083006     0.089895     0.085944 
1955-1959   80-84    0.136737     0.153168     0.143588 
1955-1959   85-89    0.222281     0.243895     0.231170 
1955-1959   90-94    0.341281     0.367567     0.350890 
1955-1959   95-99    0.496337     0.463720     0.485060 
1955-1959  100-104   0.729507     1.058396     0.850342 
1955-1959  105-109          .            .            . 
1955-1959  110+             .            .            . 
1960-1964      0     0.024100     0.030265     0.027262 
1960-1964    1-4     0.001204     0.001539     0.001375 
1960-1964    5-9     0.000391     0.000590     0.000493 
1960-1964   10-14    0.000287     0.000509     0.000400 
1960-1964   15-19    0.000428     0.001183     0.000810 
1960-1964   20-24    0.000603     0.001813     0.001214 
1960-1964   25-29    0.000713     0.001701     0.001206 
1960-1964   30-34    0.000938     0.002052     0.001491 
1960-1964   35-39    0.001389     0.002595     0.001984 
1960-1964   40-44    0.002108     0.003389     0.002736 
1960-1964   45-49    0.003333     0.004938     0.004122 
1960-1964   50-54    0.004893     0.007968     0.006411 
1960-1964   55-59    0.007966     0.013733     0.010765 
1960-1964   60-64    0.013495     0.022443     0.017700 
1960-1964   65-69    0.023701     0.034311     0.028380 
1960-1964   70-74    0.042989     0.055866     0.048342 
1960-1964   75-79    0.076059     0.089243     0.081405 
1960-1964   80-84    0.129812     0.143472     0.135316 
1960-1964   85-89    0.206388     0.235716     0.217906 
1960-1964   90-94    0.309540     0.351011     0.325123 
1960-1964   95-99    0.441657     0.549977     0.476299 
1960-1964  100-104   0.735249     1.622818     0.893377 
1960-1964  105-109          .            .            . 
1960-1964  110+             .            .            . 
1965-1969      0     0.023075     0.029274     0.026261 
1965-1969    1-4     0.001230     0.001512     0.001374 
1965-1969    5-9     0.000386     0.000638     0.000515 
1965-1969   10-14    0.000299     0.000492     0.000398 
1965-1969   15-19    0.000409     0.001188     0.000807 
1965-1969   20-24    0.000533     0.001969     0.001256 
1965-1969   25-29    0.000642     0.001828     0.001233 
1965-1969   30-34    0.000930     0.002249     0.001584 
1965-1969   35-39    0.001310     0.002907     0.002100 
1965-1969   40-44    0.002099     0.004005     0.003035 
1965-1969   45-49    0.003198     0.005871     0.004503 
1965-1969   50-54    0.005059     0.008573     0.006779 
1965-1969   55-59    0.007902     0.014044     0.010900 
1965-1969   60-64    0.013173     0.023971     0.018309 
1965-1969   65-69    0.023319     0.038593     0.030278 
1965-1969   70-74    0.041653     0.058655     0.048858 
1965-1969   75-79    0.073581     0.092558     0.081107 
1965-1969   80-84    0.127148     0.147911     0.135140 
1965-1969   85-89    0.209050     0.234753     0.218800 
1965-1969   90-94    0.317408     0.343039     0.326557 
1965-1969   95-99    0.416011     0.504646     0.444095 
1965-1969  100-104   0.657849     0.967118     0.698451 
1965-1969  105-109          .            .            . 
1965-1969  110+             .            .            . 
1970-1974      0     0.021598     0.028796     0.025277 
1970-1974    1-4     0.001005     0.001188     0.001099 
1970-1974    5-9     0.000365     0.000561     0.000465 
1970-1974   10-14    0.000259     0.000504     0.000384 
1970-1974   15-19    0.000404     0.001191     0.000806 
1970-1974   20-24    0.000487     0.001739     0.001125 
1970-1974   25-29    0.000631     0.001757     0.001193 
1970-1974   30-34    0.000881     0.002410     0.001635 
1970-1974   35-39    0.001413     0.003175     0.002280 
1970-1974   40-44    0.002069     0.004883     0.003452 
1970-1974   45-49    0.003381     0.007398     0.005337 
1970-1974   50-54    0.005381     0.010611     0.007908 
1970-1974   55-59    0.008342     0.016266     0.012163 
1970-1974   60-64    0.013191     0.025116     0.018872 
1970-1974   65-69    0.022752     0.040787     0.030998 
1970-1974   70-74    0.041065     0.064182     0.051037 
1970-1974   75-79    0.072711     0.099360     0.083279 
1970-1974   80-84    0.126080     0.152801     0.135920 
1970-1974   85-89    0.205916     0.229185     0.214235 
1970-1974   90-94    0.305289     0.344369     0.318929 
1970-1974   95-99    0.430616     0.452988     0.437293 
1970-1974  100-104   0.755180     1.091769     0.802187 
1970-1974  105-109          .            .            . 
1970-1974  110+             .            .            . 
1975-1979      0     0.019475     0.026290     0.022958 
1975-1979    1-4     0.000715     0.000987     0.000854 
1975-1979    5-9     0.000352     0.000522     0.000439 
1975-1979   10-14    0.000255     0.000453     0.000356 
1975-1979   15-19    0.000396     0.000957     0.000684 
1975-1979   20-24    0.000411     0.001458     0.000945 
1975-1979   25-29    0.000490     0.001588     0.001047 
