Country,Year,RGDPL
Australia,1977,350507.06
Australia,1978,364714.63
Australia,1979,375843.06
Australia,1980,388464.47
Australia,1981,401364.81
Australia,1982,392411.31
Australia,1983,410574.16
Australia,1984,432128.03
Australia,1985,449797.41
Australia,1986,461424.19
Australia,1987,488172.56
Australia,1988,507192.63
Australia,1989,525092.63
Australia,1990,522855.97
Australia,1991,524967.88
Australia,1992,546214
Australia,1993,568306.88
Australia,1994,590364
Australia,1995,613667.38
Australia,1996,637867.19
Australia,1997,666130.25
Australia,1998,699465.06
Australia,1999,726548.5
Australia,2000,740561.19
Australia,2001,769169.75
Australia,2002,792854.44
Australia,2003,825810.06
Australia,2004,852372
Australia,2005,877863.63
Australia,2006,910872.56
Australia,2007,944595.75
Australia,2008,960954.38
Australia,2009,979811.88
Australia,2010,1002558
Australia,2011,1039931.5
Australia,2012,1066054
Australia,2013,1093192
Australia,2014,1123096.63
Austria,1950,46511.7
Austria,1951,49393.63
Austria,1952,49201.43
Austria,1953,50817.84
Austria,1954,55011.61
Austria,1955,61310.66
Austria,1956,65090.08
Austria,1957,68869.5
Austria,1958,71389.12
Austria,1959,73488.8
Austria,1960,80207.77
Austria,1961,84407.13
Austria,1962,86086.88
Austria,1963,89866.3
Austria,1964,95325.46
Austria,1965,97845.08
Austria,1966,103304.25
Austria,1967,106663.73
Austria,1968,111283.03
Austria,1969,118421.94
Austria,1970,126820.66
Austria,1971,133305.16
Austria,1972,141580.56
Austria,1973,148500.03
Austria,1974,154356.5
Austria,1975,153797.27
Austria,1976,160836.56
Austria,1977,169007.03
Austria,1978,168651.02
Austria,1979,177685.14
Austria,1980,180761.73
Austria,1981,180500.91
Austria,1982,184131.23
Austria,1983,189605.63
Austria,1984,189702.84
Austria,1985,194442.91
Austria,1986,198917.8
Austria,1987,201617.45
Austria,1988,208262.52
Austria,1989,216357.83
Austria,1990,225759.97
Austria,1991,233529.78
Austria,1992,238418.8
Austria,1993,239674.81
Austria,1994,245432.08
Austria,1995,251980.17
Austria,1996,258023.44
Austria,1997,263712.91
Austria,1998,273101
Austria,1999,282905.28
Austria,2000,292434.69
Austria,2001,296384.06
Austria,2002,301291.78
Austria,2003,303570
Austria,2004,311783.84
Austria,2005,318458.13
Austria,2006,329129.13
Austria,2007,341048.56
Austria,2008,346325.5
Austria,2009,333168.31
