Denmark, Exposure to risk (period 1x10)     Last modified: 16-Nov-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
1835-1839      0        88284.57     91272.73    179557.30 
1835-1839      1        79659.44     80717.44    160376.88 
1835-1839      2        75701.81     76603.92    152305.73 
1835-1839      3        71827.31     72681.47    144508.78 
1835-1839      4        68508.55     69485.62    137994.17 
1835-1839      5        66029.73     67117.74    133147.47 
1835-1839      6        64440.99     65553.16    129994.15 
1835-1839      7        63922.61     65035.17    128957.78 
1835-1839      8        64320.89     65438.96    129759.85 
1835-1839      9        65081.65     66213.62    131295.27 
1835-1839     10        66067.53     67074.65    133142.18 
1835-1839     11        67091.06     67858.82    134949.88 
1835-1839     12        67726.36     68290.17    136016.53 
1835-1839     13        67838.07     68213.54    136051.61 
1835-1839     14        67471.89     67661.57    135133.46 
1835-1839     15        66694.64     66727.85    133422.48 
1835-1839     16        65693.43     65580.15    131273.58 
1835-1839     17        64642.91     64346.25    128989.16 
1835-1839     18        63484.50     62961.85    126446.35 
1835-1839     19        62028.86     61250.65    123279.51 
1835-1839     20        59981.39     59053.47    119034.86 
1835-1839     21        57472.31     56500.91    113973.22 
1835-1839     22        54904.97     53871.00    108775.96 
1835-1839     23        52518.75     51422.03    103940.79 
1835-1839     24        50566.05     49423.71     99989.76 
1835-1839     25        49036.29     47881.58     96917.87 
1835-1839     26        47820.69     46696.62     94517.31 
1835-1839     27        46872.84     45817.93     92690.77 
1835-1839     28        46085.94     45131.59     91217.53 
1835-1839     29        45421.11     44593.86     90014.97 
1835-1839     30        45154.58     44516.88     89671.45 
1835-1839     31        45159.74     44761.20     89920.93 
1835-1839     32        44990.25     44835.29     89825.54 
1835-1839     33        44592.27     44682.80     89275.07 
1835-1839     34        43940.72     44251.88     88192.59 
1835-1839     35        42927.43     43189.08     86116.52 
1835-1839     36        41636.65     41604.51     83241.16 
1835-1839     37        40309.12     39993.07     80302.19 
1835-1839     38        39010.19     38422.44     77432.64 
1835-1839     39        37762.03     36920.79     74682.82 
1835-1839     40        36833.51     35763.86     72597.37 
1835-1839     41        36209.61     34930.06     71139.67 
1835-1839     42        35575.17     34098.05     69673.21 
1835-1839     43        34866.86     33196.32     68063.18 
1835-1839     44        34052.23     32194.07     66246.30 
1835-1839     45        32835.57     30911.40     63746.97 
1835-1839     46        31310.98     29414.07     60725.04 
1835-1839     47        29879.75     27970.93     57850.67 
1835-1839     48        28607.85     26651.52     55259.37 
1835-1839     49        27585.71     25553.26     53138.96 
1835-1839     50        26952.99     24847.53     51800.52 
1835-1839     51        26610.50     24450.98     51061.48 
1835-1839     52        26342.66     24138.75     50481.41 
1835-1839     53        26095.09     23861.44     49956.52 
1835-1839     54        25818.66     23568.53     49387.19 
1835-1839     55        25441.94     23168.04     48609.98 
1835-1839     56        24972.69     22661.50     47634.19 
1835-1839     57        24458.83     22105.14     46563.96 
1835-1839     58        23872.06     21469.95     45342.01 
1835-1839     59        23144.35     20696.14     43840.49 
1835-1839     60        22260.01     19772.00     42032.01 
1835-1839     61        21254.27     18735.89     39990.16 
1835-1839     62        20161.87     17623.83     37785.70 
1835-1839     63        19043.50     16491.74     35535.24 
1835-1839     64        18004.16     15433.03     33437.19 
1835-1839     65        17073.05     14510.32     31583.36 
1835-1839     66        16225.83     13693.92     29919.75 
1835-1839     67        15464.41     12939.46     28403.88 
1835-1839     68        14745.41     12214.31     26959.72 
1835-1839     69        14005.79     11477.70     25483.49 
1835-1839     70        13177.58     10699.78     23877.37 
1835-1839     71        12251.30      9879.25     22130.54 
1835-1839     72        11266.70      9036.97     20303.67 
1835-1839     73        10285.88      8208.85     18494.73 
1835-1839     74         9344.09      7416.38     16760.47 
1835-1839     75         8467.98      6668.53     15136.51 
1835-1839     76         7667.97      5970.61     13638.58 
1835-1839     77         6918.18      5317.39     12235.56 
1835-1839     78         6181.60      4690.69     10872.29 
1835-1839     79         5455.91      4087.77      9543.68 
1835-1839     80         4766.69      3515.84      8282.53 
1835-1839     81         4109.15      2972.11      7081.25 
1835-1839     82         3489.37      2461.97      5951.34 
1835-1839     83         2918.03      1995.68      4913.71 
1835-1839     84         2404.29      1583.15      3987.44 
1835-1839     85         1952.34      1231.50      3183.83 
1835-1839     86         1563.92       946.07      2509.99 
1835-1839     87         1231.02       719.77      1950.79 
1835-1839     88          947.46       542.82      1490.28 
1835-1839     89          710.24       406.08      1116.32 
1835-1839     90          518.14       301.12       819.26 
1835-1839     91          371.60       222.10       593.69 
1835-1839     92          265.63       162.94       428.56 
1835-1839     93          192.79       119.57       312.35 
1835-1839     94          143.33        87.72       231.05 
1835-1839     95          107.58        62.84       170.42 
1835-1839     96           79.69        43.20       122.89 
1835-1839     97           56.68        28.07        84.75 
1835-1839     98           37.51        16.67        54.19 
1835-1839     99           22.15         8.86        31.01 
1835-1839    100           11.12         4.74        15.86 
1835-1839    101            4.89         3.37         8.26 
1835-1839    102            2.15         3.06         5.21 
1835-1839    103            1.06         3.30         4.37 
1835-1839    104            0.56         3.63         4.19 
1835-1839    105            0.43         3.49         3.92 
1835-1839    106            0.48         2.91         3.39 
1835-1839    107            0.50         2.18         2.67 
1835-1839    108            0.38         1.25         1.63 
1835-1839    109            0.14         0.35         0.49 
1835-1839    110+           0.00         0.00         0.00 
1840-1849      0       180992.59    185546.02    366538.61 
1840-1849      1       164612.11    165887.57    330499.68 
1840-1849      2       160211.81    161589.69    321801.50 
1840-1849      3       156622.70    158299.55    314922.25 
1840-1849      4       153719.75    155886.72    309606.47 
1840-1849      5       150918.29    153564.33    304482.62 
1840-1849      6       147268.37    150246.95    297515.32 
1840-1849      7       143115.63    146205.73    289321.36 
1840-1849      8       139039.76    142065.35    281105.11 
1840-1849      9       135463.24    138390.91    273854.15 
1840-1849     10       133089.63    135957.62    269047.26 
1840-1849     11       131117.11    133956.90    265074.01 
1840-1849     12       130072.95    132898.94    262971.88 
1840-1849     13       128898.83    131648.62    260547.45 
1840-1849     14       127384.52    129996.92    257381.44 
1840-1849     15       126435.54    128757.24    255192.78 
1840-1849     16       126666.63    128297.38    254964.01 
1840-1849     17       127134.14    127862.84    254996.99 
1840-1849     18       127674.71    127212.16    254886.87 
1840-1849     19       128071.84    126114.73    254186.57 
1840-1849     20       128656.61    125531.05    254187.66 
1840-1849     21       128520.48    124958.69    253479.17 
1840-1849     22       127792.99    123881.09    251674.08 
1840-1849     23       126476.74    122407.36    248884.10 
1840-1849     24       124349.81    120365.15    244714.96 
1840-1849     25       121337.44    117472.59    238810.03 
1840-1849     26       117321.86    113631.02    230952.88 
1840-1849     27       112817.77    109508.87    222326.64 
1840-1849     28       108373.54    105638.99    214012.53 
1840-1849     29       104041.41    102024.30    206065.71 
1840-1849     30       100397.55     98885.45    199283.00 
1840-1849     31        96900.79     95593.48    192494.26 
1840-1849     32        93609.81     92542.85    186152.67 
1840-1849     33        90911.71     90107.78    181019.49 
1840-1849     34        89082.26     88558.66    177640.92 
1840-1849     35        87884.55     87635.37    175519.92 
1840-1849     36        87203.08     87128.34    174331.42 
1840-1849     37        86115.00     86192.70    172307.69 
1840-1849     38        84599.34     84769.05    169368.39 
1840-1849     39        82756.40     82952.11    165708.52 
1840-1849     40        81137.90     81194.64    162332.54 
1840-1849     41        79536.60     79266.51    158803.11 
1840-1849     42        77963.03     77359.47    155322.51 
1840-1849     43        76478.12     75521.39    151999.51 
1840-1849     44        75084.39     73738.23    148822.62 
1840-1849     45        73693.62     71818.11    145511.73 
1840-1849     46        72125.03     69638.58    141763.61 
1840-1849     47        70120.11     67094.42    137214.53 
1840-1849     48        67740.93     64289.11    132030.04 
1840-1849     49        65228.99     61467.12    126696.11 
1840-1849     50        62798.18     58859.08    121657.26 
1840-1849     51        60218.90     56159.33    116378.23 
1840-1849     52        57706.24     53519.83    111226.07 
1840-1849     53        55424.46     51079.12    106503.57 
1840-1849     54        53439.59     48902.72    102342.31 
1840-1849     55        51729.71     47052.27     98781.98 
1840-1849     56        50044.82     45314.70     95359.51 
1840-1849     57        48445.69     43626.13     92071.82 
1840-1849     58        46974.81     42001.78     88976.59 
1840-1849     59        45635.47     40453.27     86088.74 
1840-1849     60        44405.65     39023.07     83428.72 
1840-1849     61        43238.87     37731.24     80970.11 
1840-1849     62        42097.74     36448.42     78546.16 
1840-1849     63        40965.02     35164.54     76129.56 
1840-1849     64        39721.20     33786.85     73508.05 
1840-1849     65        38181.37     32197.43     70378.80 
1840-1849     66        36244.96     30406.23     66651.19 
1840-1849     67        34100.87     28474.35     62575.22 
1840-1849     68        31799.98     26445.49     58245.47 
1840-1849     69        29486.61     24428.28     53914.89 
1840-1849     70        27366.74     22554.49     49921.22 
1840-1849     71        25147.06     20586.44     45733.51 
1840-1849     72        23032.99     18678.69     41711.68 
1840-1849     73        21094.33     16873.90     37968.23 
1840-1849     74        19353.99     15208.78     34562.76 
1840-1849     75        17665.56     13645.69     31311.25 
1840-1849     76        15954.28     12194.55     28148.83 
1840-1849     77        14323.46     10821.58     25145.04 
1840-1849     78        12802.64      9541.12     22343.76 
1840-1849     79        11367.71      8341.16     19708.87 
1840-1849     80        10477.63      7363.40     17841.03 
1840-1849     81         8978.17      6252.26     15230.43 
1840-1849     82         7561.95      5213.66     12775.61 
1840-1849     83         6253.87      4259.58     10513.45 
1840-1849     84         5081.41      3406.72      8488.13 
1840-1849     85         4065.15      2669.29      6734.44 
1840-1849     86         3214.21      2056.77      5270.98 
1840-1849     87         2513.46      1558.70      4072.16 
1840-1849     88         1947.80      1163.95      3111.74 
1840-1849     89         1497.95       857.69      2355.64 
1840-1849     90         1140.95       622.72      1763.67 
1840-1849     91          861.77       447.75      1309.52 
1840-1849     92          643.40       320.20       963.60 
1840-1849     93          473.75       229.02       702.77 
1840-1849     94          342.04       163.63       505.68 
1840-1849     95          238.70       114.84       353.54 
1840-1849     96          159.99        78.67       238.66 
1840-1849     97          102.81        52.62       155.44 
1840-1849     98           63.29        34.54        97.83 
1840-1849     99           36.52        22.22        58.74 
1840-1849    100           19.20        13.90        33.11 
1840-1849    101            9.63         8.49        18.12 
1840-1849    102            4.79         4.76         9.55 
1840-1849    103            2.37         2.31         4.69 
1840-1849    104            1.21         0.76         1.97 
1840-1849    105            0.94         0.29         1.22 
1840-1849    106            1.00         0.42         1.42 
1840-1849    107            0.83         0.51         1.34 
1840-1849    108            0.48         0.73         1.21 
1840-1849    109            0.15         0.95         1.10 
1840-1849    110+           0.00         0.48         0.48 
1850-1859      0       215606.95    221453.12    437060.07 
1850-1859      1       195901.54    197770.88    393672.42 
1850-1859      2       187526.08    189544.29    377070.37 
1850-1859      3       180194.14    182539.34    362733.48 
1850-1859      4       174300.33    176654.85    350955.18 
1850-1859      5       168860.97    171379.20    340240.17 
1850-1859      6       163677.29    166348.79    330026.09 
1850-1859      7       159329.62    162117.56    321447.17 
1850-1859      8       155786.41    158626.24    314412.65 
1850-1859      9       151443.57    154330.68    305774.24 
1850-1859     10       148078.44    151194.58    299273.02 
1850-1859     11       145313.84    148719.90    294033.74 
1850-1859     12       143238.42    146784.85    290023.27 
1850-1859     13       142210.67    145830.46    288041.13 
1850-1859     14       140887.42    144426.81    285314.24 
1850-1859     15       140337.68    143379.14    283716.82 
1850-1859     16       139081.76    141302.25    280384.02 
