Spain, Exposure to risk (period 1x10)     Last modified: 16-Mar-2016, MPv5 (May07)

   Year      Age       Female          Male         Total
1908-1909      0       565041.82    588923.28   1153965.10 
1908-1909      1       528779.02    539969.93   1068748.95 
1908-1909      2       499569.11    507507.95   1007077.06 
1908-1909      3       484372.17    492518.10    976890.26 
1908-1909      4       481878.77    487630.11    969508.88 
1908-1909      5       481137.67    486287.09    967424.77 
1908-1909      6       467247.73    474522.82    941770.55 
1908-1909      7       452439.71    458658.76    911098.47 
1908-1909      8       439623.41    443489.37    883112.79 
1908-1909      9       422576.54    424657.20    847233.75 
1908-1909     10       417957.98    417610.00    835567.98 
1908-1909     11       409946.16    409689.27    819635.43 
1908-1909     12       394606.18    392841.64    787447.81 
1908-1909     13       381740.03    370193.74    751933.77 
1908-1909     14       370153.37    352258.38    722411.75 
1908-1909     15       375147.64    353787.42    728935.06 
1908-1909     16       377646.63    346473.24    724119.87 
1908-1909     17       370107.49    320680.30    690787.80 
1908-1909     18       359988.82    303078.05    663066.87 
1908-1909     19       339550.51    305515.55    645066.06 
1908-1909     20       335333.09    323776.24    659109.33 
1908-1909     21       339594.66    326606.33    666200.99 
1908-1909     22       342300.79    311361.29    653662.07 
1908-1909     23       341997.66    302442.56    644440.21 
1908-1909     24       320689.66    292114.53    612804.18 
1908-1909     25       308299.42    285394.54    593693.96 
1908-1909     26       303206.76    277695.11    580901.86 
1908-1909     27       321584.86    286177.09    607761.95 
1908-1909     28       335918.40    293406.74    629325.14 
1908-1909     29       284324.24    257615.58    541939.82 
1908-1909     30       256945.95    243465.25    500411.20 
1908-1909     31       265545.87    250236.12    515781.99 
1908-1909     32       268950.02    247760.02    516710.03 
1908-1909     33       279254.99    251365.67    530620.66 
1908-1909     34       269629.50    241607.81    511237.31 
1908-1909     35       253762.46    230630.89    484393.36 
1908-1909     36       244985.09    227038.57    472023.65 
1908-1909     37       278362.42    256701.83    535064.26 
1908-1909     38       307297.12    280386.99    587684.12 
1908-1909     39       246520.30    230656.24    477176.53 
1908-1909     40       202215.81    195095.89    397311.70 
1908-1909     41       206973.90    197296.05    404269.95 
1908-1909     42       222277.52    212515.07    434792.59 
1908-1909     43       237785.57    228242.73    466028.29 
1908-1909     44       218507.41    206867.92    425375.32 
1908-1909     45       203613.72    190288.39    393902.11 
1908-1909     46       205007.08    193221.99    398229.06 
1908-1909     47       243806.35    225190.31    468996.66 
1908-1909     48       276154.92    249322.69    525477.61 
1908-1909     49       214000.45    200117.09    414117.54 
1908-1909     50       161774.28    158720.24    320494.52 
1908-1909     51       163249.59    154613.11    317862.70 
1908-1909     52       174441.53    159672.37    334113.91 
1908-1909     53       186017.89    170546.28    356564.17 
1908-1909     54       174528.72    160159.22    334687.94 
1908-1909     55       160518.02    145592.32    306110.33 
1908-1909     56       155293.89    141767.24    297061.12 
1908-1909     57       197129.07    170459.91    367588.97 
1908-1909     58       238377.95    197397.75    435775.71 
