France, Civilian Population, Exposure to risk (period 1x10), 	Last modified: 31 May 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
1816-1819        0           1645192.22      1719810.86      3365003.08
1816-1819        1           1511036.55      1562261.90      3073298.45
1816-1819        2           1435883.86      1483443.88      2919327.74
1816-1819        3           1371266.31      1419081.63      2790347.93
1816-1819        4           1320726.14      1367071.37      2687797.51
1816-1819        5           1273687.18      1319372.85      2593060.03
1816-1819        6           1244252.53      1296381.20      2540633.73
1816-1819        7           1218946.44      1275961.60      2494908.05
1816-1819        8           1196672.47      1257059.20      2453731.67
1816-1819        9           1176216.20      1236565.34      2412781.54
1816-1819       10           1165156.92      1217122.86      2382279.77
1816-1819       11           1154158.05      1192037.28      2346195.33
1816-1819       12           1144127.89      1168677.60      2312805.48
1816-1819       13           1138010.12      1150201.21      2288211.33
1816-1819       14           1133079.02      1139710.62      2272789.64
1816-1819       15           1130965.27      1133402.69      2264367.96
1816-1819       16           1133397.65      1126089.89      2259487.54
1816-1819       17           1135393.21      1118722.34      2254115.54
1816-1819       18           1133032.58      1107155.71      2240188.29
1816-1819       19           1115949.25      1086164.92      2202114.17
1816-1819       20           1101785.39      1056342.13      2158127.53
1816-1819       21           1096203.75      1019503.63      2115707.37
1816-1819       22           1084270.39       977559.79      2061830.18
1816-1819       23           1069466.95       933985.39      2003452.34
1816-1819       24           1038600.25       891254.70      1929854.95
1816-1819       25            998872.84       850109.77      1848982.61
1816-1819       26            974194.40       819148.32      1793342.72
1816-1819       27            958290.74       796131.11      1754421.85
1816-1819       28            951175.06       780898.31      1732073.37
1816-1819       29            950326.45       775565.77      1725892.22
1816-1819       30            939684.12       776722.26      1716406.38
1816-1819       31            924098.15       783570.10      1707668.25
1816-1819       32            907052.14       788906.55      1695958.68
1816-1819       33            885337.45       790077.81      1675415.26
1816-1819       34            868726.52       785635.11      1654361.63
1816-1819       35            860546.99       779310.06      1639857.05
1816-1819       36            847314.12       768883.48      1616197.60
1816-1819       37            832734.91       757368.13      1590103.03
1816-1819       38            816526.29       744442.00      1560968.29
1816-1819       39            797404.95       728060.90      1525465.85
1816-1819       40            782316.49       707353.80      1489670.29
1816-1819       41            771571.58       683572.63      1455144.21
1816-1819       42            758693.73       658347.23      1417040.96
1816-1819       43            746533.94       634258.85      1380792.79
1816-1819       44            730241.27       613718.56      1343959.84
1816-1819       45            709554.98       597633.29      1307188.27
1816-1819       46            693158.17       586216.49      1279374.65
1816-1819       47            681210.11       578574.18      1259784.28
1816-1819       48            672228.95       573402.67      1245631.62
1816-1819       49            667361.56       570729.65      1238091.21
1816-1819       50            658920.33       568837.70      1227758.03
1816-1819       51            643338.97       564823.97      1208162.94
1816-1819       52            625880.62       558778.40      1184659.02
1816-1819       53            606836.62       550875.84      1157712.45
1816-1819       54            590891.09       540914.64      1131805.73
1816-1819       55            578211.84       530987.80      1109199.63
1816-1819       56            560693.22       518626.69      1079319.91
1816-1819       57            543176.92       505959.19      1049136.10
1816-1819       58            525369.33       492824.03      1018193.37
1816-1819       59            508459.72       478342.63       986802.34
1816-1819       60            493114.54       463428.63       956543.17
1816-1819       61            471680.05       443652.69       915332.74
1816-1819       62            448915.00       422771.68       871686.68
1816-1819       63            425726.26       401530.73       827256.99
1816-1819       64            402669.86       380027.47       782697.32
1816-1819       65            380334.72       358329.76       738664.49
1816-1819       66            355892.05       334712.35       690604.40
1816-1819       67            331496.07       310944.58       642440.65
1816-1819       68            307419.78       287402.84       594822.62
1816-1819       69            283227.01       264061.96       547288.97
1816-1819       70            259241.81       241621.08       500862.89
1816-1819       71            235158.67       219541.92       454700.59
1816-1819       72            212463.55       198948.45       411412.00
1816-1819       73            190923.92       179495.30       370419.22
1816-1819       74            170980.77       161226.29       332207.06
1816-1819       75            152491.60       143720.22       296211.82
1816-1819       76            135138.07       126949.19       262087.26
1816-1819       77            119070.18       110866.75       229936.93
1816-1819       78            104610.62        95940.43       200551.05
1816-1819       79             93413.04        84532.77       177945.81
1816-1819       80             77168.00        71786.99       148955.00
1816-1819       81             65341.39        60697.93       126039.31
1816-1819       82             54447.15        50645.14       105092.28
1816-1819       83             44631.93        41656.76        86288.69
1816-1819       84             36034.17        33764.65        69798.82
1816-1819       85             28773.56        27021.56        55795.13
1816-1819       86             22873.83        21461.97        44335.80
1816-1819       87             18126.15        16934.45        35060.60
1816-1819       88             14341.31        13316.44        27657.75
1816-1819       89             11333.02        10465.72        21798.74
1816-1819       90              8895.01         8200.96        17095.97
1816-1819       91              6916.11         6410.19        13326.30
1816-1819       92              5314.97         4987.78        10302.75
1816-1819       93              4021.11         3847.42         7868.52
1816-1819       94              2974.66         2923.97         5898.62
1816-1819       95              2133.49         2160.31         4293.81
1816-1819       96              1483.98         1545.00         3028.98
1816-1819       97               999.37         1065.54         2064.91
1816-1819       98               654.65          701.80         1356.45
1816-1819       99               416.70          437.28          853.98
1816-1819      100               262.76          274.94          537.70
1816-1819      101               175.97          187.83          363.80
1816-1819      102               116.76          127.39          244.15
1816-1819      103                76.75           85.37          162.12
1816-1819      104                50.14           56.41          106.55
1816-1819      105                32.39           37.10           69.49
1816-1819      106                20.61           24.08           44.69
1816-1819      107                12.96           15.40           28.35
1816-1819      108                 7.96            9.57           17.52
1816-1819      109                 4.77            5.77           10.54
1816-1819      110+                5.13            5.37           10.50
1820-1829        0           4315992.48      4513475.03      8829467.52
1820-1829        1           3846072.31      3947143.11      7793215.42
1820-1829        2           3653065.98      3737092.44      7390158.42
1820-1829        3           3516153.89      3586547.00      7102700.89
1820-1829        4           3424459.27      3485620.45      6910079.72
1820-1829        5           3345072.14      3400228.99      6745301.13
1820-1829        6           3285142.17      3344538.13      6629680.30
1820-1829        7           3226952.76      3293787.33      6520740.09
1820-1829        8           3170281.85      3247598.67      6417880.52
1820-1829        9           3109797.87      3202917.77      6312715.64
1820-1829       10           3052299.39      3163698.29      6215997.68
1820-1829       11           2997925.93      3124247.51      6122173.44
1820-1829       12           2950169.05      3088291.27      6038460.32
1820-1829       13           2904224.19      3051252.18      5955476.37
1820-1829       14           2866572.87      3010051.40      5876624.27
1820-1829       15           2843877.35      2975358.49      5819235.85
1820-1829       16           2819130.95      2936426.76      5755557.71
1820-1829       17           2792226.04      2898280.14      5690506.18
1820-1829       18           2763970.48      2860797.13      5624767.61
1820-1829       19           2741943.31      2825818.29      5567761.60
1820-1829       20           2728190.45      2793515.64      5521706.09
1820-1829       21           2706126.77      2751831.45      5457958.22
1820-1829       22           2683721.78      2707550.71      5391272.48
1820-1829       23           2661026.10      2661488.66      5322514.76
1820-1829       24           2650634.50      2616167.66      5266802.16
1820-1829       25           2641667.59      2562639.80      5204307.39
1820-1829       26           2615666.64      2499429.01      5115095.65
1820-1829       27           2584296.91      2433298.25      5017595.16
1820-1829       28           2548420.20      2364849.88      4913270.08
