Luxembourg, Exposure to risk (period 1x10)     Last modified: 19-Oct-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
1960-1969      0        24389.02     25551.44     49940.46 
1960-1969      1        24511.51     25637.04     50148.55 
1960-1969      2        24668.09     25842.94     50511.04 
1960-1969      3        24759.65     25876.76     50636.41 
1960-1969      4        24696.04     25743.66     50439.70 
1960-1969      5        24586.12     25511.51     50097.63 
1960-1969      6        24433.28     25210.55     49643.83 
1960-1969      7        24182.57     24963.24     49145.81 
1960-1969      8        23811.69     24677.03     48488.72 
1960-1969      9        23360.64     24301.91     47662.55 
1960-1969     10        22923.34     23843.71     46767.06 
1960-1969     11        22534.91     23331.50     45866.42 
1960-1969     12        22244.38     22911.11     45155.50 
1960-1969     13        21965.35     22622.30     44587.65 
1960-1969     14        21643.66     22348.55     43992.21 
1960-1969     15        21366.45     22038.57     43405.03 
1960-1969     16        21187.80     21881.32     43069.12 
1960-1969     17        21105.31     21854.19     42959.50 
1960-1969     18        21037.58     21830.25     42867.83 
1960-1969     19        20967.95     21867.94     42835.89 
1960-1969     20        20975.73     22132.75     43108.48 
1960-1969     21        21074.92     22377.73     43452.65 
1960-1969     22        21112.81     22542.38     43655.19 
1960-1969     23        21166.35     22710.38     43876.73 
1960-1969     24        21358.29     22940.37     44298.66 
1960-1969     25        21646.77     23232.28     44879.06 
1960-1969     26        21836.93     23425.36     45262.29 
1960-1969     27        21931.06     23536.94     45468.00 
1960-1969     28        22178.88     23824.53     46003.41 
1960-1969     29        22588.34     24296.59     46884.94 
1960-1969     30        22924.48     24674.62     47599.10 
1960-1969     31        23110.51     24981.79     48092.29 
1960-1969     32        23341.74     25214.68     48556.42 
1960-1969     33        23593.31     25281.36     48874.68 
1960-1969     34        23784.47     25173.23     48957.70 
1960-1969     35        23969.34     24895.29     48864.63 
1960-1969     36        24167.85     24515.34     48683.19 
1960-1969     37        24258.79     24002.15     48260.94 
1960-1969     38        24162.99     23396.35     47559.34 
1960-1969     39        24035.11     22723.20     46758.32 
1960-1969     40        23694.09     21922.49     45616.58 
1960-1969     41        22994.06     20924.10     43918.16 
1960-1969     42        22157.95     19891.03     42048.98 
1960-1969     43        21426.73     19058.15     40484.88 
1960-1969     44        20931.52     18603.22     39534.74 
