Taiwan, Exposure to risk (period 1x10)     Last modified: 13-Jul-2016, MPv5 (May07)

   Year      Age       Female          Male         Total
1970-1979      0      1754707.37   1874821.35   3629528.72 
1970-1979      1      1821968.58   1935022.46   3756991.03 
1970-1979      2      1822739.60   1931859.16   3754598.76 
1970-1979      3      1820698.42   1930421.90   3751120.31 
1970-1979      4      1830559.74   1941077.36   3771637.10 
1970-1979      5      1853919.64   1963275.33   3817194.97 
1970-1979      6      1882248.08   1988480.58   3870728.66 
1970-1979      7      1908927.93   2016547.51   3925475.44 
1970-1979      8      1930318.88   2037722.90   3968041.78 
1970-1979      9      1941719.76   2049192.62   3990912.38 
1970-1979     10      1946022.75   2057325.23   4003347.97 
1970-1979     11      1947856.01   2057146.20   4005002.22 
1970-1979     12      1948091.82   2053181.57   4001273.39 
1970-1979     13      1942520.00   2045521.68   3988041.68 
1970-1979     14      1930324.85   2035459.30   3965784.15 
1970-1979     15      1912910.07   2017446.89   3930356.96 
1970-1979     16      1882715.24   1984484.12   3867199.36 
1970-1979     17      1849049.05   1948038.47   3797087.51 
1970-1979     18      1819882.54   1913141.39   3733023.93 
1970-1979     19      1780658.50   1867097.57   3647756.06 
1970-1979     20      1726350.16   1805757.99   3532108.14 
1970-1979     21      1657352.74   1732205.00   3389557.74 
1970-1979     22      1579844.25   1653331.22   3233175.48 
1970-1979     23      1487842.04   1559113.14   3046955.18 
1970-1979     24      1381835.18   1448824.09   2830659.27 
1970-1979     25      1287787.76   1348754.20   2636541.97 
1970-1979     26      1209241.89   1264896.89   2474138.78 
1970-1979     27      1135017.69   1186062.46   2321080.14 
1970-1979     28      1060413.58   1107849.55   2168263.13 
1970-1979     29      1000112.98   1044172.71   2044285.69 
1970-1979     30       956471.63    997014.78   1953486.40 
1970-1979     31       921718.97    958530.06   1880249.03 
1970-1979     32       897300.50    931290.73   1828591.23 
1970-1979     33       888045.02    919816.12   1807861.14 
1970-1979     34       892770.65    922001.78   1814772.43 
1970-1979     35       890315.45    922268.92   1812584.36 
1970-1979     36       875464.08    914639.37   1790103.45 
1970-1979     37       857207.47    909167.45   1766374.92 
1970-1979     38       838651.20    906133.67   1744784.87 
1970-1979     39       817784.04    909263.78   1727047.83 
1970-1979     40       794402.22    913137.15   1707539.36 
1970-1979     41       773851.16    920544.52   1694395.68 
1970-1979     42       754019.53    929734.16   1683753.68 
1970-1979     43       732825.35    939720.72   1672546.08 
1970-1979     44       710356.20    947573.79   1657929.99 
1970-1979     45       686650.82    950854.15   1637504.97 
1970-1979     46       662869.26    945426.89   1608296.15 
1970-1979     47       642354.75    932785.74   1575140.50 
1970-1979     48       622554.48    915054.70   1537609.19 
1970-1979     49       599052.23    887289.98   1486342.21 
1970-1979     50       570284.77    850537.37   1420822.14 
1970-1979     51       542397.01    806279.56   1348676.58 
1970-1979     52       517561.37    760477.00   1278038.37 
1970-1979     53       493758.04    714056.00   1207814.04 
1970-1979     54       468670.56    667042.05   1135712.60 
1970-1979     55       446530.13    624702.05   1071232.19 
1970-1979     56       427302.35    590039.40   1017341.75 
1970-1979     57       409048.98    559290.25    968339.22 
1970-1979     58       390521.16    524564.98    915086.14 
1970-1979     59       374107.99    488731.40    862839.39 
1970-1979     60       359356.20    458871.09    818227.29 
1970-1979     61       344883.11    430187.99    775071.10 
1970-1979     62       329175.29    401846.26    731021.56 
1970-1979     63       314029.86    373846.00    687875.86 
1970-1979     64       299190.98    347468.33    646659.30 
1970-1979     65       282223.70    318074.52    600298.23 
1970-1979     66       263706.04    287510.79    551216.84 
1970-1979     67       245609.43    255081.58    500691.01 
1970-1979     68       227754.91    226999.10    454754.01 
1970-1979     69       210570.93    204449.92    415020.85 
1970-1979     70       193837.40    182428.72    376266.11 
