Belarus, Exposure to risk (period 1x5)     Last modified: 02-Oct-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
1960-1964      0       446041.34    470800.54    916841.88 
1960-1964      1       457953.81    481041.92    938995.73 
1960-1964      2       465539.78    487640.76    953180.54 
1960-1964      3       467823.66    489869.13    957692.79 
1960-1964      4       466027.11    487770.12    953797.23 
1960-1964      5       460388.19    481024.12    941412.31 
1960-1964      6       449245.51    468475.11    917720.61 
1960-1964      7       435414.57    453718.62    889133.19 
1960-1964      8       422106.42    439900.44    862006.86 
1960-1964      9       410121.92    427796.34    837918.26 
1960-1964     10       399929.37    416984.06    816913.43 
1960-1964     11       394561.06    410908.52    805469.58 
1960-1964     12       388688.14    404227.18    792915.31 
1960-1964     13       376326.10    390023.95    766350.05 
1960-1964     14       350419.02    361517.26    711936.28 
1960-1964     15       317626.78    326295.53    643922.31 
1960-1964     16       286878.54    293196.26    580074.81 
1960-1964     17       265079.89    268579.38    533659.27 
1960-1964     18       262126.90    260355.39    522482.29 
1960-1964     19       282750.34    273465.47    556215.81 
1960-1964     20       311224.72    295388.56    606613.28 
1960-1964     21       344402.14    319983.14    664385.28 
1960-1964     22       375874.21    343932.53    719806.75 
1960-1964     23       394626.24    356895.23    751521.47 
1960-1964     24       401215.66    358874.18    760089.84 
1960-1964     25       395628.85    351223.06    746851.92 
1960-1964     26       383925.82    338801.19    722727.01 
1960-1964     27       379124.29    331071.25    710195.54 
1960-1964     28       372452.92    325104.54    697557.47 
1960-1964     29       372017.61    327995.05    700012.66 
1960-1964     30       381479.51    337054.25    718533.77 
1960-1964     31       394432.17    347343.97    741776.14 
1960-1964     32       397500.88    349402.87    746903.75 
1960-1964     33       396518.63    339468.97    735987.61 
1960-1964     34       394767.64    319826.00    714593.64 
1960-1964     35       385554.12    294558.96    680113.08 
1960-1964     36       375161.79    269851.16    645012.95 
1960-1964     37       363721.26    246171.24    609892.50 
1960-1964     38       342468.57    223954.80    566423.37 
1960-1964     39       314813.78    204503.21    519316.98 
1960-1964     40       286571.46    185872.72    472444.18 
1960-1964     41       259397.85    167405.71    426803.56 
1960-1964     42       230626.60    148173.67    378800.27 
1960-1964     43       207945.31    132248.06    340193.37 
1960-1964     44       198951.45    123482.04    322433.50 
1960-1964     45       200930.31    121655.33    322585.65 
1960-1964     46       210434.91    125238.37    335673.27 
1960-1964     47       227093.65    133621.83    360715.48 
1960-1964     48       246595.07    144474.98    391070.05 
1960-1964     49       263755.28    154179.01    417934.28 
1960-1964     50       268967.00    158455.61    427422.61 
1960-1964     51       266625.74    159583.05    426208.79 
1960-1964     52       261651.45    160009.64    421661.09 
1960-1964     53       253477.51    159629.27    413106.78 
1960-1964     54       243903.96    157672.15    401576.11 
1960-1964     55       233698.67    154327.16    388025.83 
1960-1964     56       231203.64    151160.45    382364.09 
1960-1964     57       231948.82    146639.62    378588.44 
1960-1964     58       228127.36    137937.46    366064.82 
1960-1964     59       230454.04    132130.30    362584.33 
1960-1964     60       227047.60    125530.48    352578.09 
1960-1964     61       218238.55    116995.86    335234.40 
1960-1964     62       206222.79    109432.07    315654.85 
1960-1964     63       191374.91    103580.98    294955.89 
1960-1964     64       174954.19     98191.30    273145.49 
1960-1964     65       158567.30     92835.62    251402.91 
1960-1964     66       152719.32     90520.87    243240.19 
1960-1964     67       149917.33     88614.84    238532.16 
1960-1964     68       145753.65     84943.78    230697.43 
1960-1964     69       140918.57     80293.20    221211.77 
1960-1964     70       131930.02     73381.92    205311.95 
1960-1964     71       131608.27     68338.04    199946.31 
1960-1964     72       130413.62     63790.98    194204.60 
1960-1964     73       119423.70     57462.08    176885.78 
1960-1964     74       109539.96     52522.87    162062.83 
1960-1964     75        97896.40     48667.13    146563.52 
1960-1964     76        83506.47     44172.64    127679.11 
1960-1964     77        73928.69     39929.94    113858.63 
1960-1964     78        66886.90     35883.26    102770.16 
