Finland, Exposure to risk (period 1x5)     Last modified: 07-Oct-2016, MPv5 (May07)

   Year      Age       Female          Male         Total
1878-1879      0        65867.82     68437.66    134305.48 
1878-1879      1        58132.08     59191.24    117323.33 
1878-1879      2        53957.87     54305.15    108263.02 
1878-1879      3        51562.27     51575.18    103137.46 
1878-1879      4        50932.38     51250.93    102183.31 
1878-1879      5        49549.55     50376.03     99925.57 
1878-1879      6        47529.46     48092.88     95622.34 
1878-1879      7        46462.15     46676.16     93138.31 
1878-1879      8        44426.74     44667.30     89094.04 
1878-1879      9        39587.29     40063.70     79650.99 
1878-1879     10        34550.41     35167.70     69718.12 
1878-1879     11        32733.56     33046.53     65780.09 
1878-1879     12        33735.52     33791.26     67526.78 
1878-1879     13        36539.03     36490.30     73029.33 
1878-1879     14        39683.14     39603.77     79286.91 
1878-1879     15        40070.15     40021.62     80091.77 
1878-1879     16        38556.86     38334.49     76891.35 
1878-1879     17        37625.14     37331.59     74956.73 
1878-1879     18        36820.27     36822.51     73642.78 
1878-1879     19        36120.54     36541.86     72662.41 
1878-1879     20        35725.64     36202.23     71927.87 
1878-1879     21        34442.25     34649.81     69092.06 
1878-1879     22        33420.00     33513.29     66933.30 
1878-1879     23        33577.07     33561.30     67138.38 
1878-1879     24        33870.07     33591.47     67461.54 
1878-1879     25        33569.69     33187.57     66757.26 
1878-1879     26        33220.84     32478.81     65699.65 
1878-1879     27        32780.62     31438.67     64219.30 
1878-1879     28        32143.16     30636.79     62779.95 
1878-1879     29        31804.38     30321.16     62125.54 
1878-1879     30        31218.51     29749.04     60967.55 
1878-1879     31        29926.74     28633.10     58559.84 
1878-1879     32        29186.52     28025.59     57212.11 
1878-1879     33        29227.30     28052.46     57279.76 
1878-1879     34        29355.06     27998.68     57353.74 
1878-1879     35        29528.67     28036.14     57564.81 
1878-1879     36        28833.49     27362.60     56196.10 
1878-1879     37        27343.49     25876.57     53220.06 
1878-1879     38        26105.27     24688.44     50793.72 
1878-1879     39        25345.73     24098.19     49443.92 
1878-1879     40        24454.92     23249.60     47704.52 
1878-1879     41        23240.61     22015.43     45256.04 
1878-1879     42        22246.33     21032.84     43279.17 
1878-1879     43        21868.56     20600.01     42468.57 
1878-1879     44        21326.92     19933.98     41260.90 
1878-1879     45        20225.16     18777.49     39002.66 
1878-1879     46        19553.37     17990.07     37543.44 
1878-1879     47        19432.90     17747.37     37180.27 
1878-1879     48        19649.54     17915.67     37565.21 
1878-1879     49        20209.40     18375.28     38584.68 
1878-1879     50        20487.05     18542.50     39029.55 
1878-1879     51        19920.39     17866.21     37786.60 
1878-1879     52        19218.90     17018.63     36237.53 
1878-1879     53        18824.65     16538.32     35362.97 
1878-1879     54        18439.56     16085.43     34525.00 
1878-1879     55        17599.58     15288.53     32888.11 
1878-1879     56        16675.07     14455.91     31130.98 
1878-1879     57        16161.01     13846.11     30007.12 
1878-1879     58        15812.08     13285.09     29097.17 
1878-1879     59        15267.21     12576.80     27844.01 
1878-1879     60        14515.54     11825.61     26341.14 
1878-1879     61        13599.66     11111.09     24710.75 
1878-1879     62        12665.25     10341.27     23006.52 
1878-1879     63        11887.87      9604.26     21492.13 
1878-1879     64        11108.44      8837.06     19945.50 
1878-1879     65        10137.97      7897.47     18035.44 
1878-1879     66         9282.26      7046.38     16328.65 
1878-1879     67         8592.52      6461.84     15054.36 
1878-1879     68         7833.68      5878.05     13711.73 
1878-1879     69         6857.43      5049.88     11907.31 
1878-1879     70         5859.82      4261.38     10121.21 
1878-1879     71         5105.21      3664.72      8769.92 
1878-1879     72         4883.72      3425.91      8309.63 
1878-1879     73         4897.03      3396.60      8293.64 
1878-1879     74         4733.61      3292.89      8026.50 
1878-1879     75         4203.93      2921.61      7125.53 
1878-1879     76         3632.14      2453.15      6085.29 
1878-1879     77         3189.77      2038.80      5228.57 
1878-1879     78         2836.75      1757.09      4593.84 
1878-1879     79         2397.69      1487.77      3885.46 
1878-1879     80         1864.64      1174.78      3039.43 
1878-1879     81         1575.18       940.09      2515.27 
1878-1879     82         1353.22       761.77      2115.00 
1878-1879     83         1124.54       611.61      1736.15 
1878-1879     84          872.55       471.56      1344.11 
1878-1879     85          650.80       345.45       996.26 
1878-1879     86          485.31       252.69       738.00 
1878-1879     87          346.31       179.05       525.37 
1878-1879     88          241.89       113.88       355.77 
1878-1879     89          173.54        69.06       242.60 
1878-1879     90          121.18        45.16       166.33 
1878-1879     91           82.93        29.09       112.01 
1878-1879     92           54.34        17.30        71.64 
1878-1879     93           32.22         8.80        41.02 
1878-1879     94           19.31         5.77        25.09 
1878-1879     95           15.26         6.26        21.53 
1878-1879     96           12.79         6.00        18.79 
1878-1879     97            7.77         3.73        11.50 
1878-1879     98            3.25         1.52         4.77 
1878-1879     99            1.01         1.53         2.54 
1878-1879    100            0.25         1.47         1.72 
1878-1879    101            0.00         0.47         0.47 
1878-1879    102            0.00         0.00         0.00 
1878-1879    103            0.00         0.00         0.00 
1878-1879    104            0.00         0.00         0.00 
1878-1879    105            0.00         0.00         0.00 
1878-1879    106            0.00         0.00         0.00 
1878-1879    107            0.00         0.00         0.00 
1878-1879    108            0.00         0.00         0.00 
1878-1879    109            0.00         0.00         0.00 
1878-1879    110+           0.00         0.00         0.00 
1880-1884      0       162667.85    168079.57    330747.42 
1880-1884      1       148757.05    151197.73    299954.78 
1880-1884      2       141946.86    144112.44    286059.30 
1880-1884      3       136779.64    138558.48    275338.12 
1880-1884      4       132179.06    133522.78    265701.84 
1880-1884      5       128008.51    129135.36    257143.88 
1880-1884      6       123950.65    124971.37    248922.02 
1880-1884      7       121024.05    121975.97    243000.02 
1880-1884      8       118847.73    119693.85    238541.58 
1880-1884      9       117345.72    118103.73    235449.45 
1880-1884     10       114169.85    114889.29    229059.14 
1880-1884     11       108074.31    108808.75    216883.06 
1880-1884     12       100798.72    101458.24    202256.96 
1880-1884     13        94227.10     94913.71    189140.82 
1880-1884     14        88965.93     89702.85    178668.79 
1880-1884     15        87194.29     87819.89    175014.18 
1880-1884     16        89012.75     89271.47    178284.23 
1880-1884     17        91966.29     91945.52    183911.81 
1880-1884     18        94114.62     93965.80    188080.42 
1880-1884     19        95217.64     94905.67    190123.31 
1880-1884     20        93960.09     93683.70    187643.79 
1880-1884     21        91785.87     91551.17    183337.03 
1880-1884     22        89840.60     89527.56    179368.16 
1880-1884     23        87616.54     87338.10    174954.64 
1880-1884     24        85438.03     85263.94    170701.97 
1880-1884     25        84116.62     83813.71    167930.33 
1880-1884     26        83023.63     82431.84    165455.48 
1880-1884     27        82222.97     81409.27    163632.24 
1880-1884     28        82144.65     80870.76    163015.41 
1880-1884     29        81880.31     79853.24    161733.55 
1880-1884     30        80993.95     78386.42    159380.37 
1880-1884     31        79589.55     76451.03    156040.58 
1880-1884     32        77786.55     74232.95    152019.50 
1880-1884     33        75571.82     72034.84    147606.66 
1880-1884     34        73767.48     70400.90    144168.38 
1880-1884     35        72421.12     69108.86    141529.97 
1880-1884     36        71691.62     68381.38    140073.00 
1880-1884     37        71304.64     67933.25    139237.89 
1880-1884     38        70763.80     67291.00    138054.79 
1880-1884     39        69461.68     65744.62    135206.30 
1880-1884     40        67653.76     63747.02    131400.78 
1880-1884     41        65197.53     61445.13    126642.66 
1880-1884     42        62427.21     58854.92    121282.13 
1880-1884     43        59777.82     56304.31    116082.12 
1880-1884     44        57515.71     54213.77    111729.48 
1880-1884     45        55716.43     52319.08    108035.51 
1880-1884     46        53709.42     50040.42    103749.84 
1880-1884     47        51619.18     47744.65     99363.84 
1880-1884     48        49999.34     45870.37     95869.71 
1880-1884     49        48799.62     44408.81     93208.43 
1880-1884     50        47918.20     43264.79     91182.99 
1880-1884     51        47752.95     42887.13     90640.08 
1880-1884     52        47958.71     42834.16     90792.88 
1880-1884     53        47894.64     42464.42     90359.06 
1880-1884     54        47542.95     41812.61     89355.56 
1880-1884     55        46747.85     40774.48     87522.33 
1880-1884     56        45370.17     39194.36     84564.53 
1880-1884     57        43608.04     37415.48     81023.52 
1880-1884     58        41866.52     35787.09     77653.61 
