England and Wales, Total Population, Exposure to risk (period 1x5)     Last modified: 27-Jul-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
1841-1844      0       949431.37    975831.48   1925262.85 
1841-1844      1       876592.56    880028.35   1756620.91 
1841-1844      2       840313.21    837575.98   1677889.19 
1841-1844      3       812452.82    806504.79   1618957.60 
1841-1844      4       786072.14    778875.72   1564947.86 
1841-1844      5       769563.08    763839.79   1533402.88 
1841-1844      6       763036.24    760151.02   1523187.26 
1841-1844      7       758891.28    757750.02   1516641.30 
1841-1844      8       753998.78    753197.33   1507196.11 
1841-1844      9       743628.56    743294.20   1486922.76 
1841-1844     10       729243.46    731957.52   1461200.97 
1841-1844     11       715446.84    722119.78   1437566.61 
1841-1844     12       703962.83    712659.99   1416622.81 
1841-1844     13       694010.57    702550.95   1396561.51 
1841-1844     14       684637.34    690179.23   1374816.58 
1841-1844     15       675670.44    674393.94   1350064.38 
1841-1844     16       666724.75    656494.26   1323219.01 
1841-1844     17       657058.36    638941.47   1295999.83 
1841-1844     18       647331.94    623687.34   1271019.28 
1841-1844     19       640828.69    612105.83   1252934.53 
1841-1844     20       642878.14    603233.32   1246111.46 
1841-1844     21       648355.57    594473.15   1242828.71 
1841-1844     22       650150.37    584485.39   1234635.75 
1841-1844     23       645898.53    573000.02   1218898.55 
1841-1844     24       631391.12    558670.45   1190061.58 
1841-1844     25       607621.63    540832.43   1148454.05 
1841-1844     26       580275.33    521184.08   1101459.42 
1841-1844     27       554054.60    502251.45   1056306.05 
1841-1844     28       532114.89    486054.41   1018169.30 
1841-1844     29       516900.62    474333.35    991233.97 
1841-1844     30       506229.96    466960.68    973190.64 
1841-1844     31       496799.81    461441.27    958241.08 
1841-1844     32       487255.84    455527.72    942783.56 
1841-1844     33       476330.71    447610.44    923941.16 
1841-1844     34       460473.55    434346.24    894819.79 
1841-1844     35       436483.64    413826.82    850310.45 
1841-1844     36       408796.26    390190.86    798987.12 
1841-1844     37       383130.01    368220.61    751350.62 
1841-1844     38       362764.97    350740.43    713505.39 
1841-1844     39       352442.14    341670.42    694112.56 
1841-1844     40       352146.65    341105.64    693252.30 
1841-1844     41       355454.73    343634.48    699089.21 
1841-1844     42       357605.55    345044.19    702649.75 
1841-1844     43       355710.01    342766.93    698476.94 
1841-1844     44       344978.21    332454.59    677432.80 
1841-1844     45       324872.36    313247.15    638119.51 
1841-1844     46       300879.93    290084.80    590964.74 
1841-1844     47       278187.84    268023.22    546211.06 
1841-1844     48       260522.10    250716.17    511238.27 
1841-1844     49       251682.49    241695.41    493377.90 
1841-1844     50       251339.57    240166.35    491505.92 
1841-1844     51       254479.92    241475.34    495955.25 
1841-1844     52       257312.79    242355.89    499668.68 
1841-1844     53       257209.86    240650.17    497860.03 
1841-1844     54       248705.97    231894.55    480600.53 
1841-1844     55       229416.11    213768.03    443184.15 
1841-1844     56       205806.84    191658.08    397464.91 
1841-1844     57       184009.81    171112.02    355121.83 
1841-1844     58       167381.50    155245.22    322626.72 
1841-1844     59       160790.80    148541.33    309332.13 
1841-1844     60       164040.10    150656.42    314696.52 
1841-1844     61       170428.70    155466.70    325895.40 
1841-1844     62       175290.01    158889.86    334179.88 
1841-1844     63       176444.70    159046.40    335491.11 
1841-1844     64       169875.70    152377.21    322252.91 
1841-1844     65       155573.42    138702.29    294275.71 
1841-1844     66       138859.23    122790.05    261649.27 
1841-1844     67       123488.42    108100.59    231589.00 
1841-1844     68       111137.00     96213.60    207350.60 
1841-1844     69       103872.64     89273.35    193145.99 
1841-1844     70       100365.18     86200.43    186565.62 
1841-1844     71        97565.60     83887.92    181453.52 
1841-1844     72        94201.22     80929.71    175130.93 
1841-1844     73        89802.85     76844.64    166647.49 
1841-1844     74        83144.78     70721.16    153865.94 
1841-1844     75        74076.84     62861.74    136938.58 
1841-1844     76        64496.43     54783.19    119279.62 
1841-1844     77        55768.58     47348.56    103117.14 
1841-1844     78        48285.33     40794.23     89079.55 
1841-1844     79        43548.55     36174.66     79723.21 
1841-1844     80        46637.20     36949.19     83586.39 
1841-1844     81        40357.64     31572.91     71930.55 
1841-1844     82        34575.49     26653.12     61228.62 
1841-1844     83        29370.07     22220.53     51590.60 
1841-1844     84        24596.23     18195.26     42791.49 
1841-1844     85        20193.25     14658.50     34851.75 
1841-1844     86        16528.39     11823.20     28351.59 
1841-1844     87        13401.55      9404.22     22805.77 
1841-1844     88        10735.84      7356.88     18092.72 
1841-1844     89         8514.14      5669.22     14183.35 
1841-1844     90         6651.76      4284.94     10936.70 
1841-1844     91         5094.85      3176.87      8271.73 
1841-1844     92         3836.46      2316.90      6153.35 
1841-1844     93         2841.21      1657.92      4499.13 
1841-1844     94         2068.04      1163.22      3231.26 
1841-1844     95         1478.74       799.67      2278.41 
1841-1844     96         1038.20       538.40      1576.60 
1841-1844     97          715.16       354.70      1069.87 
1841-1844     98          483.03       228.38       711.42 
1841-1844     99          319.64       143.64       463.27 
1841-1844    100          206.90        88.05       294.95 
1841-1844    101          130.72        52.31       183.03 
1841-1844    102           80.62        29.94       110.56 
1841-1844    103           48.31        16.25        64.55 
1841-1844    104           27.85         7.83        35.68 
1841-1844    105           15.32         2.83        18.16 
1841-1844    106            7.56         0.38         7.94 
1841-1844    107            2.98         0.00         2.98 
1841-1844    108            0.46         0.00         0.46 
1841-1844    109            0.00         0.00         0.00 
1841-1844    110+           0.00         0.00         0.00 
1845-1849      0      1246412.53   1280622.05   2527034.58 
1845-1849      1      1130470.27   1140201.70   2270671.97 
1845-1849      2      1081951.45   1090895.90   2172847.34 
1845-1849      3      1051163.80   1060796.41   2111960.21 
1845-1849      4      1032655.06   1041685.05   2074340.10 
1845-1849      5      1017720.33   1024451.85   2042172.18 
1845-1849      6       999927.12   1004431.04   2004358.16 
1845-1849      7       980730.30    983906.41   1964636.71 
1845-1849      8       962675.83    965670.35   1928346.18 
1845-1849      9       948907.98    951784.78   1900692.76 
1845-1849     10       938964.96    940676.43   1879641.39 
1845-1849     11       929727.23    929458.72   1859185.95 
1845-1849     12       921219.70    918093.75   1839313.44 
1845-1849     13       911813.89    905725.06   1817538.95 
1845-1849     14       900878.21    892184.69   1793062.89 
1845-1849     15       891409.94    879103.26   1770513.20 
1845-1849     16       883847.47    866193.30   1750040.77 
1845-1849     17       877015.81    852264.05   1729279.86 
1845-1849     18       869741.84    835961.77   1705703.61 
1845-1849     19       857736.11    816362.64   1674098.74 
1845-1849     20       840355.35    794652.92   1635008.28 
1845-1849     21       822476.34    773267.29   1595743.64 
1845-1849     22       805451.90    753463.25   1558915.15 
1845-1849     23       791957.47    736272.17   1528229.63 
1845-1849     24       783123.15    721728.87   1504852.02 
1845-1849     25       774572.34    708148.92   1482721.26 
1845-1849     26       762912.74    693953.16   1456865.90 
1845-1849     27       747251.01    678267.09   1425518.10 
1845-1849     28       726402.09    660755.17   1387157.26 
1845-1849     29       701081.29    641399.26   1342480.54 
1845-1849     30       674396.89    620829.88   1295226.77 
1845-1849     31       648351.69    600473.75   1248825.44 
1845-1849     32       624759.75    582044.19   1206803.94 
1845-1849     33       605252.93    567062.83   1172315.75 
1845-1849     34       590702.37    556009.17   1146711.54 
1845-1849     35       579127.49    547044.76   1126172.25 
1845-1849     36       567640.89    537805.38   1105446.27 
1845-1849     37       554854.61    527001.50   1081856.11 
1845-1849     38       537900.26    512147.90   1050048.16 
1845-1849     39       514566.57    491557.94   1006124.51 
1845-1849     40       488531.31    468582.16    957113.47 
1845-1849     41       464214.05    446993.97    911208.02 
1845-1849     42       443158.47    428299.25    871457.72 
1845-1849     43       428473.24    415141.91    843615.15 
1845-1849     44       422220.72    408986.02    831206.74 
1845-1849     45       419939.22    405994.26    825933.48 
1845-1849     46       416828.76    402173.44    819002.20 
1845-1849     47       411173.60    395887.27    807060.87 
1845-1849     48       399561.07    383924.60    783485.67 
1845-1849     49       379587.25    364167.30    743754.55 
1845-1849     50       355416.05    340504.47    695920.52 
1845-1849     51       332090.73    317555.72    649646.45 
1845-1849     52       311831.97    297435.39    609267.36 
1845-1849     53       298415.86    283552.33    581968.18 
1845-1849     54       294073.71    277749.44    571823.15 
1845-1849     55       294373.11    275957.70    570330.82 
1845-1849     56       294487.62    273931.51    568419.12 
1845-1849     57       292944.38    270312.00    563256.38 
1845-1849     58       285393.60    261354.94    546748.53 
1845-1849     59       267964.58    244168.47    512133.06 
1845-1849     60       245959.67    223378.18    469337.84 
1845-1849     61       225362.31    203810.07    429172.38 
1845-1849     62       207336.02    186504.05    393840.07 
1845-1849     63       195448.88    174700.19    370149.07 
1845-1849     64       191637.10    170407.92    362045.02 
1845-1849     65       190656.09    168914.56    359570.65 
1845-1849     66       188285.55    166171.84    354457.38 
1845-1849     67       184137.82    161831.63    345969.45 
1845-1849     68       175910.95    153823.73    329734.68 
1845-1849     69       162011.28    140694.89    302706.17 
1845-1849     70       146254.36    125874.54    272128.90 
1845-1849     71       131737.33    112192.36    243929.69 
1845-1849     72       118715.13     99878.31    218593.44 
1845-1849     73       108255.88     90050.29    198306.16 
1845-1849     74       100705.26     83281.79    183987.05 
1845-1849     75        94062.83     77561.29    171624.12 
1845-1849     76        87072.08     71452.69    158524.77 
1845-1849     77        79832.18     65047.58    144879.77 
1845-1849     78        71815.45     58016.95    129832.40 
1845-1849     79        62630.24     50225.98    112856.22 
1845-1849     80        61519.36     47657.45    109176.82 
1845-1849     81        53346.34     40754.88     94101.22 
1845-1849     82        45603.11     34294.94     79898.05 
1845-1849     83        38306.64     28271.53     66578.18 
1845-1849     84        31749.61     22867.33     54616.94 
1845-1849     85        25890.74     18200.48     44091.22 
1845-1849     86        21000.41     14494.31     35494.71 
1845-1849     87        16849.91     11401.57     28251.47 
1845-1849     88        13352.07      8840.93     22193.00 
1845-1849     89        10358.02      6726.45     17084.47 
1845-1849     90         7902.04      5037.86     12939.90 
1845-1849     91         5958.06      3711.01      9669.07 
1845-1849     92         4415.84      2676.65      7092.49 
1845-1849     93         3214.73      1894.15      5108.88 
1845-1849     94         2303.59      1314.97      3618.56 
1845-1849     95         1618.72       892.64      2511.36 
1845-1849     96         1111.27       592.32      1703.59 
1845-1849     97          746.82       384.88      1131.70 
1845-1849     98          491.29       244.26       735.56 
1845-1849     99          316.00       151.08       467.08 
1845-1849    100          198.72        90.89       289.61 
1845-1849    101          122.03        52.99       175.02 
1845-1849    102           72.77        29.52       102.29 
1845-1849    103           41.88        15.43        57.32 
1845-1849    104           22.94         7.26        30.20 
1845-1849    105           11.46         2.50        13.96 
1845-1849    106            4.80         0.14         4.95 
1845-1849    107            1.11         0.00         1.11 
1845-1849    108            0.06         0.00         0.06 
1845-1849    109            0.00         0.00         0.00 
1845-1849    110+           0.00         0.00         0.00 
1850-1854      0      1374129.21   1410274.41   2784403.62 
1850-1854      1      1237234.20   1245511.42   2482745.62 
1850-1854      2      1165302.86   1168906.70   2334209.56 
1850-1854      3      1119810.89   1122331.27   2242142.16 
1850-1854      4      1083248.88   1085182.66   2168431.54 
1850-1854      5      1053589.26   1056159.13   2109748.40 
1850-1854      6      1040721.78   1045063.33   2085785.11 
1850-1854      7      1032218.15   1037234.11   2069452.26 
1850-1854      8      1026203.95   1030930.94   2057134.89 
1850-1854      9      1017699.82   1022387.46   2040087.28 
1850-1854     10      1003880.36   1008999.00   2012879.36 
1850-1854     11       988770.07    993156.44   1981926.51 
1850-1854     12       973405.73    975002.08   1948407.82 
1850-1854     13       959646.74    956830.01   1916476.75 
1850-1854     14       945951.51    938198.38   1884149.90 
1850-1854     15       929412.97    917211.08   1846624.05 
1850-1854     16       913831.27    897744.75   1811576.02 
1850-1854     17       897768.85    878232.33   1776001.19 
1850-1854     18       883786.15    860206.35   1743992.50 
1850-1854     19       876005.49    843868.80   1719874.29 
1850-1854     20       873721.38    828779.18   1702500.56 
1850-1854     21       869201.07    813454.09   1682655.15 
