Northern Ireland, Exposure to risk (period 1x5)     Last modified: 29-Jan-2016, MPv5 (May07)

   Year      Age       Female          Male         Total
1922-1924      0        40657.82     42320.72     82978.54 
1922-1924      1        39988.97     41053.48     81042.44 
1922-1924      2        39393.39     40446.34     79839.73 
1922-1924      3        37615.79     38749.08     76364.88 
1922-1924      4        34899.95     35937.08     70837.03 
1922-1924      5        32703.59     33531.08     66234.67 
1922-1924      6        32239.28     32936.17     65175.45 
1922-1924      7        33347.37     33999.59     67346.96 
1922-1924      8        34803.68     35349.49     70153.17 
1922-1924      9        35862.11     36186.52     72048.63 
1922-1924     10        36326.48     36549.52     72876.00 
1922-1924     11        36418.07     36681.50     73099.56 
1922-1924     12        36341.94     36470.34     72812.28 
1922-1924     13        36325.50     35963.40     72288.90 
1922-1924     14        36495.23     35476.65     71971.88 
1922-1924     15        36618.07     35208.39     71826.47 
1922-1924     16        36415.79     34883.84     71299.63 
1922-1924     17        35751.89     34225.50     69977.39 
1922-1924     18        34931.19     33287.18     68218.37 
1922-1924     19        34186.68     32068.92     66255.60 
1922-1924     20        33648.33     30705.34     64353.67 
1922-1924     21        33549.27     29817.17     63366.44 
1922-1924     22        33544.79     29475.54     63020.32 
1922-1924     23        33196.61     29035.85     62232.46 
1922-1924     24        32493.43     28096.61     60590.04 
1922-1924     25        31790.19     27005.35     58795.54 
1922-1924     26        31464.99     26389.64     57854.63 
1922-1924     27        30336.39     25504.85     55841.24 
1922-1924     28        28406.79     24232.55     52639.34 
1922-1924     29        26371.68     22858.38     49230.06 
1922-1924     30        25183.13     21980.89     47164.01 
1922-1924     31        25214.75     21952.32     47167.07 
1922-1924     32        25376.50     21959.31     47335.81 
1922-1924     33        25345.09     21735.67     47080.76 
1922-1924     34        25066.74     21360.54     46427.28 
1922-1924     35        25074.19     21383.19     46457.38 
1922-1924     36        25693.41     22069.58     47762.99 
1922-1924     37        25209.59     21852.35     47061.94 
1922-1924     38        23702.09     20669.89     44371.98 
1922-1924     39        22133.14     19345.40     41478.53 
1922-1924     40        21395.58     18894.64     40290.22 
1922-1924     41        21960.99     19854.60     41815.58 
1922-1924     42        22378.05     20615.96     42994.02 
1922-1924     43        22536.10     20704.44     43240.54 
1922-1924     44        22352.50     20235.51     42588.01 
1922-1924     45        22453.13     20300.12     42753.25 
1922-1924     46        23383.27     21555.94     44939.21 
1922-1924     47        23013.68     21743.40     44757.08 
1922-1924     48        21354.01     20570.72     41924.72 
1922-1924     49        19650.51     19081.13     38731.64 
1922-1924     50        19122.23     18575.02     37697.25 
1922-1924     51        19671.93     19187.38     38859.31 
1922-1924     52        19551.66     19224.91     38776.57 
1922-1924     53        18754.99     18418.55     37173.54 
1922-1924     54        17658.48     17113.29     34771.76 
1922-1924     55        17021.08     16228.82     33249.90 
1922-1924     56        17129.22     16358.20     33487.42 
1922-1924     57        16597.38     16069.53     32666.90 
1922-1924     58        15228.93     14846.74     30075.67 
1922-1924     59        13954.38     13449.24     27403.62 
1922-1924     60        13568.57     12755.45     26324.01 
1922-1924     61        14219.92     13163.81     27383.73 
1922-1924     62        14328.82     13268.68     27597.50 
1922-1924     63        13764.60     12808.98     26573.59 
1922-1924     64        12990.04     12086.85     25076.89 
1922-1924     65        12804.67     11756.27     24560.93 
1922-1924     66        13359.20     11881.75     25240.96 
1922-1924     67        13512.56     11526.55     25039.11 
1922-1924     68        13192.44     10741.08     23933.51 
1922-1924     69        12641.40      9940.66     22582.06 
1922-1924     70        11997.13      9285.12     21282.26 
1922-1924     71        11372.41      8749.91     20122.32 
1922-1924     72        10444.01      8027.24     18471.25 
1922-1924     73         9223.77      7095.60     16319.37 
1922-1924     74         7781.52      6017.89     13799.41 
1922-1924     75         6475.70      5029.30     11505.00 
1922-1924     76         5568.88      4299.21      9868.09 
1922-1924     77         4906.36      3732.70      8639.07 
1922-1924     78         4350.21      3279.51      7629.72 
1922-1924     79         3902.04      2945.09      6847.12 
1922-1924     80         3473.69      2639.14      6112.84 
1922-1924     81         3054.27      2345.37      5399.64 
1922-1924     82         2643.28      2055.32      4698.60 
1922-1924     83         2244.91      1769.33      4014.23 
1922-1924     84         1870.34      1495.54      3365.89 
1922-1924     85         1532.45      1239.88      2772.33 
1922-1924     86         1239.54      1007.36      2246.90 
