Slovenia, Exposure to risk (period 1x5)     Last modified: 07-Oct-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
1983-1984      0        26490.33     27861.50     54351.83 
1983-1984      1        27492.50     29102.17     56594.67 
1983-1984      2        28331.33     30048.17     58379.50 
1983-1984      3        28898.00     30903.00     59801.00 
1983-1984      4        29021.50     31494.17     60515.67 
1983-1984      5        28838.00     31506.83     60344.83 
1983-1984      6        29009.33     31321.17     60330.50 
1983-1984      7        29323.83     31143.17     60467.00 
1983-1984      8        28912.00     30698.17     59610.17 
1983-1984      9        28223.17     30271.67     58494.83 
1983-1984     10        28071.17     30033.17     58104.33 
1983-1984     11        27787.50     29684.67     57472.17 
1983-1984     12        27155.67     28876.50     56032.17 
1983-1984     13        26758.00     28154.00     54912.00 
1983-1984     14        26735.17     28360.50     55095.67 
1983-1984     15        27275.17     28899.50     56174.67 
1983-1984     16        28310.00     29537.33     57847.33 
1983-1984     17        29223.33     30267.50     59490.83 
1983-1984     18        29371.67     30038.83     59410.50 
1983-1984     19        29167.50     29311.17     58478.67 
1983-1984     20        29196.50     29301.83     58498.33 
1983-1984     21        29623.33     29714.17     59337.50 
1983-1984     22        30113.00     29704.00     59817.00 
1983-1984     23        30182.33     29766.67     59949.00 
1983-1984     24        29973.17     30150.50     60123.67 
1983-1984     25        30330.50     30771.33     61101.83 
1983-1984     26        31416.33     31925.50     63341.83 
1983-1984     27        32075.83     33284.83     65360.67 
1983-1984     28        32106.17     33821.67     65927.83 
1983-1984     29        32171.50     33971.00     66142.50 
1983-1984     30        32265.50     34360.00     66625.50 
1983-1984     31        31950.67     34221.50     66172.17 
1983-1984     32        31526.83     33816.67     65343.50 
1983-1984     33        30826.50     33237.83     64064.33 
1983-1984     34        29259.33     31647.17     60906.50 
1983-1984     35        27827.33     29962.50     57789.83 
1983-1984     36        26628.17     28469.83     55098.00 
1983-1984     37        23777.17     25188.00     48965.17 
1983-1984     38        20983.17     22341.00     43324.17 
1983-1984     39        22207.00     23461.83     45668.83 
1983-1984     40        24849.33     25740.00     50589.33 
1983-1984     41        25145.50     26180.17     51325.67 
1983-1984     42        24353.50     25788.17     50141.67 
1983-1984     43        24126.17     25479.17     49605.33 
1983-1984     44        24034.67     24897.17     48931.83 
1983-1984     45        23622.67     24196.50     47819.17 
1983-1984     46        23600.67     24235.50     47836.17 
1983-1984     47        23873.17     24549.33     48422.50 
1983-1984     48        23991.50     24293.17     48284.67 
1983-1984     49        24308.33     23723.67     48032.00 
