Austria, Exposure to risk (period 5x1)     Last modified: 02-Sep-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
   1947        0        51968.20     55088.83    107057.03 
   1947      1-4       201890.15    208658.17    410548.32 
   1947      5-9       289225.58    299686.66    588912.24 
   1947     10-14      218423.23    229451.71    447874.94 
   1947     15-19      244509.34    259614.10    504123.44 
   1947     20-24      289756.35    242070.17    531826.52 
   1947     25-29      251685.28    195956.33    447641.62 
   1947     30-34      238871.07    192018.70    430889.76 
   1947     35-39      299729.32    248279.83    548009.14 
   1947     40-44      294951.80    259871.91    554823.71 
   1947     45-49      280306.79    247054.21    527361.00 
   1947     50-54      250484.07    198294.04    448778.10 
   1947     55-59      217275.21    168135.65    385410.87 
   1947     60-64      193205.33    148299.22    341504.56 
   1947     65-69      158567.96    120647.11    279215.06 
   1947     70-74      116926.41     87490.22    204416.63 
   1947     75-79       66977.68     50103.00    117080.68 
   1947     80-84       31347.38     21654.63     53002.01 
   1947     85-89        9557.49      6009.34     15566.82 
   1947     90-94        1772.78       873.40      2646.18 
   1947     95-99         175.87        80.26       256.13 
   1947    100-104          1.99         3.86         5.85 
   1947    105-109          0.00         0.00         0.00 
   1947    110+             0.00         0.00         0.00 
   1948        0        54706.71     57724.49    112431.20 
   1948      1-4       196430.99    203937.02    400368.01 
   1948      5-9       297101.89    307658.82    604760.72 
   1948     10-14      218024.00    227015.23    445039.23 
   1948     15-19      238112.14    254195.91    492308.05 
   1948     20-24      276668.96    242163.05    518832.00 
   1948     25-29      276590.17    212036.48    488626.65 
   1948     30-34      213754.97    169767.93    383522.90 
   1948     35-39      296938.34    243145.46    540083.80 
   1948     40-44      294786.69    255400.71    550187.40 
   1948     45-49      283302.47    252007.98    535310.45 
   1948     50-54      255223.11    204717.09    459940.20 
   1948     55-59      219397.68    168873.70    388271.38 
   1948     60-64      196427.52    149150.37    345577.89 
   1948     65-69      160796.11    121452.81    282248.92 
   1948     70-74      120885.35     89607.86    210493.21 
   1948     75-79       69989.07     51525.97    121515.03 
   1948     80-84       32632.28     22499.77     55132.05 
   1948     85-89       10299.66      6440.70     16740.37 
   1948     90-94        1886.46       956.85      2843.31 
   1948     95-99         206.32        88.76       295.08 
   1948    100-104          2.45         6.14         8.59 
   1948    105-109          0.00         0.00         0.00 
   1948    110+             0.00         0.00         0.00 
   1949        0        53520.32     56103.10    109623.42 
   1949      1-4       197096.91    205669.83    402766.73 
   1949      5-9       292454.21    302576.80    595031.01 
   1949     10-14      227591.50    235403.79    462995.30 
   1949     15-19      230603.85    243897.96    474501.81 
   1949     20-24      263005.38    241319.39    504324.77 
   1949     25-29      292368.32    220377.19    512745.51 
   1949     30-34      197900.64    153291.36    351192.00 
   1949     35-39      290627.55    233853.29    524480.83 
   1949     40-44      294803.23    250710.64    545513.87 
   1949     45-49      285310.79    254609.27    539920.05 
   1949     50-54      259592.85    212078.56    471671.40 
   1949     55-59      222756.08    170455.72    393211.80 
   1949     60-64      198969.48    149394.73    348364.22 
   1949     65-69      163196.18    122514.15    285710.33 
   1949     70-74      124348.34     91285.31    215633.65 
   1949     75-79       73428.96     53170.10    126599.06 
   1949     80-84       33771.56     23378.39     57149.96 
   1949     85-89       11042.50      6939.26     17981.75 
   1949     90-94        2027.25      1051.12      3078.37 
   1949     95-99         224.90       100.23       325.13 
   1949    100-104          5.10         8.62        13.72 
   1949    105-109          0.00         0.00         0.00 
   1949    110+             0.00         0.00         0.00 
   1950        0        51190.01     53570.25    104760.27 
   1950      1-4       201278.14    210632.78    411910.92 
   1950      5-9       275736.28    285060.64    560796.92 
   1950     10-14      247072.31    255071.74    502144.04 
   1950     15-19      223283.51    233330.20    456613.71 
   1950     20-24      251532.03    241789.99    493322.03 
   1950     25-29      296439.65    223141.61    519581.26 
   1950     30-34      199637.34    150791.27    350428.61 
   1950     35-39      277686.71    219664.36    497351.07 
   1950     40-44      295027.74    246029.10    541056.84 
   1950     45-49      286560.99    255189.95    541750.94 
   1950     50-54      263678.79    219924.61    483603.40 
   1950     55-59      228164.10    173514.16    401678.26 
   1950     60-64      200297.71    149145.19    349442.89 
   1950     65-69      165826.31    123322.37    289148.68 
   1950     70-74      126935.28     92192.21    219127.49 
   1950     75-79       76982.27     54870.64    131852.91 
   1950     80-84       35146.02     24330.17     59476.19 
   1950     85-89       11621.10      7311.24     18932.35 
   1950     90-94        2207.30      1141.81      3349.10 
   1950     95-99         241.62       103.92       345.54 
   1950    100-104          7.62        11.61        19.23 
   1950    105-109          0.00         0.23         0.23 
   1950    110+             0.00         0.00         0.00 
   1951        0        49102.33     51253.68    100356.01 
   1951      1-4       205632.68    215172.30    420804.98 
   1951      5-9       255281.91    264274.22    519556.13 
   1951     10-14      268732.33    278108.09    546840.42 
   1951     15-19      215939.09    223633.88    439572.97 
   1951     20-24      241909.04    242444.17    484353.21 
   1951     25-29      291186.54    223057.48    514244.02 
   1951     30-34      216934.17    161196.82    378130.99 
   1951     35-39      257392.16    200668.19    458060.35 
   1951     40-44      293646.64    240794.78    534441.42 
   1951     45-49      287396.02    253728.59    541124.60 
   1951     50-54      267281.91    227404.92    494686.83 
   1951     55-59      233982.82    177552.55    411535.38 
   1951     60-64      201197.06    149184.98    350382.04 
   1951     65-69      169002.98    123979.30    292982.27 
   1951     70-74      128558.96     92288.66    220847.63 
   1951     75-79       80755.89     56541.81    137297.70 
   1951     80-84       36581.11     25162.35     61743.46 
   1951     85-89       12105.77      7621.56     19727.33 
   1951     90-94        2342.57      1232.04      3574.61 
   1951     95-99         248.02       104.22       352.24 
   1951    100-104          6.90         7.37        14.26 
   1951    105-109          0.00         0.24         0.24 
   1951    110+             0.00         0.00         0.00 
   1952        0        48040.37     50357.50     98397.87 
   1952      1-4       202967.21    211652.96    414620.17 
   1952      5-9       246318.44    255912.04    502230.47 
   1952     10-14      284961.42    295947.13    580908.55 
   1952     15-19      208932.28    215667.48    424599.76 
   1952     20-24      234745.01    241455.64    476200.64 
   1952     25-29      280129.59    222817.72    502947.31 
   1952     30-34      242681.43    179026.55    421707.97 
   1952     35-39      231240.31    177933.00    409173.31 
   1952     40-44      291888.37    236673.60    528561.97 
   1952     45-49      287469.51    249996.67    537466.18 
   1952     50-54      271143.99    234386.11    505530.11 
   1952     55-59      239186.61    182699.45    421886.06 
   1952     60-64      202566.74    149459.99    352026.73 
   1952     65-69      172494.85    124767.76    297262.61 
   1952     70-74      130647.15     92467.59    223114.73 
   1952     75-79       84079.62     58106.38    142186.00 
   1952     80-84       38010.95     25826.43     63837.38 
   1952     85-89       12584.14      7875.84     20459.98 
   1952     90-94        2431.60      1293.15      3724.76 
   1952     95-99         250.06       113.09       363.14 
   1952    100-104         10.48         2.88        13.36 
   1952    105-109          0.00         0.00         0.00 
   1952    110+             0.00         0.00         0.00 
   1953        0        48259.69     50724.53     98984.22 
   1953      1-4       195519.43    203534.70    399054.13 
   1953      5-9       246772.43    257120.92    503893.35 
   1953     10-14      294969.56    306738.01    601707.56 
   1953     15-19      205899.54    212661.04    418560.58 
   1953     20-24      228738.53    237343.87    466082.41 
   1953     25-29      266968.83    225106.28    492075.11 
   1953     30-34      270112.70    198124.45    468237.15 
   1953     35-39      204445.27    155554.85    360000.13 
   1953     40-44      289888.29    232764.33    522652.62 
   1953     45-49      287255.80    245722.40    532978.19 
   1953     50-54      274463.44    239559.26    514022.70 
   1953     55-59      243975.76    188859.27    432835.03 
   1953     60-64      204866.87    150072.68    354939.55 
   1953     65-69      175805.26    125493.23    301298.49 
   1953     70-74      133052.66     93171.79    226224.45 
   1953     75-79       86995.98     59369.51    146365.48 
   1953     80-84       39949.69     26551.16     66500.85 
   1953     85-89       13089.93      8108.14     21198.06 
   1953     90-94        2590.95      1382.35      3973.30 
   1953     95-99         263.50       117.79       381.29 
   1953    100-104         16.51         5.31        21.82 
   1953    105-109          0.00         0.00         0.00 
   1953    110+             0.00         0.00         0.00 
   1954        0        48742.46     50970.08     99712.54 
   1954      1-4       190987.43    199108.70    390096.14 
   1954      5-9       244998.77    255753.95    500752.72 
   1954     10-14      293160.08    304600.92    597761.00 
   1954     15-19      216782.43    224821.91    441604.35 
   1954     20-24      222129.56    230582.46    452712.02 
   1954     25-29      254548.91    229274.88    483823.79 
   1954     30-34      288449.93    211079.49    499529.41 
   1954     35-39      187401.70    141152.83    328554.53 
   1954     40-44      285795.85    226496.11    512291.96 
   1954     45-49      287493.22    241936.41    529429.64 
   1954     50-54      276551.46    242295.45    518846.91 
   1954     55-59      248530.22    196134.86    444665.08 
   1954     60-64      208204.87    151461.14    359666.01 
   1954     65-69      178938.66    125720.71    304659.37 
   1954     70-74      135193.45     94140.21    229333.66 
   1954     75-79       90006.89     60303.56    150310.45 
   1954     80-84       42131.09     27322.52     69453.61 
   1954     85-89       13578.38      8369.04     21947.42 
   1954     90-94        2772.97      1480.94      4253.90 
