Belgium, Exposure to risk (period 5x1)     Last modified: 12-Aug-2016, MPv5 (May07)

   Year      Age       Female          Male         Total
   1841        0        61006.15     62948.23    123954.38 
   1841      1-4       202317.93    205954.42    408272.36 
   1841      5-9       216346.92    223545.73    439892.66 
   1841     10-14      202750.54    203349.15    406099.69 
   1841     15-19      204045.98    206397.13    410443.11 
   1841     20-24      172169.14    175062.04    347231.18 
   1841     25-29      155577.48    155863.63    311441.11 
   1841     30-34      151258.83    153135.79    304394.61 
   1841     35-39      134356.04    139401.94    273757.98 
   1841     40-44      132814.33    136842.25    269656.58 
   1841     45-49      104972.87     94218.92    199191.79 
   1841     50-54       93427.54     74925.42    168352.96 
   1841     55-59       79495.58     69557.45    149053.03 
   1841     60-64       68862.48     62249.80    131112.27 
   1841     65-69       50214.84     46209.21     96424.05 
   1841     70-74       38130.49     34580.55     72711.04 
   1841     75-79       22977.88     20315.98     43293.86 
   1841     80-84       10993.53      8985.31     19978.84 
   1841     85-89        4055.40      2980.18      7035.58 
   1841     90-94        1014.07       664.18      1678.25 
   1841     95-99         163.13       111.98       275.12 
   1841    100-104         11.28         7.18        18.47 
   1841    105-109          0.00         0.00         0.00 
   1841    110+             0.00         0.00         0.00 
   1842        0        60290.60     62238.19    122528.79 
   1842      1-4       204181.33    208086.47    412267.80 
   1842      5-9       218626.39    225225.13    443851.52 
   1842     10-14      203318.33    207139.94    410458.26 
   1842     15-19      201954.49    203283.95    405238.44 
   1842     20-24      177450.98    180161.71    357612.69 
   1842     25-29      156375.23    156721.58    313096.81 
   1842     30-34      149626.07    151189.85    300815.92 
   1842     35-39      136055.66    141179.83    277235.49 
   1842     40-44      131925.60    137072.95    268998.54 
   1842     45-49      109591.43    103250.70    212842.13 
   1842     50-54       93046.15     74148.82    167194.97 
   1842     55-59       81326.77     70040.12    151366.90 
   1842     60-64       69130.88     61930.13    131061.01 
   1842     65-69       51622.31     47013.20     98635.51 
   1842     70-74       37907.38     34589.83     72497.22 
   1842     75-79       23546.78     20824.73     44371.51 
   1842     80-84       11049.88      9077.29     20127.17 
   1842     85-89        4044.49      3011.99      7056.49 
   1842     90-94        1038.92       667.73      1706.66 
   1842     95-99         164.99       115.95       280.94 
   1842    100-104         12.86         6.38        19.24 
   1842    105-109          0.00         0.00         0.00 
   1842    110+             0.00         0.00         0.00 
   1843        0        58742.07     60825.23    119567.29 
   1843      1-4       204778.16    208928.42    413706.58 
   1843      5-9       221479.26    227547.70    449026.96 
   1843     10-14      204158.03    211451.81    415609.84 
   1843     15-19      198811.89    199010.23    397822.11 
   1843     20-24      185185.35    187574.47    372759.82 
   1843     25-29      155888.72    156812.25    312700.96 
   1843     30-34      149207.52    150883.67    300091.19 
   1843     35-39      137808.02    142570.94    280378.96 
   1843     40-44      130806.51    136759.98    267566.49 
   1843     45-49      113318.04    110515.47    223833.51 
   1843     50-54       93966.43     75681.79    169648.21 
   1843     55-59       81732.31     68836.19    150568.50 
   1843     60-64       69604.01     61990.02    131594.02 
   1843     65-69       52407.73     47282.20     99689.93 
   1843     70-74       37774.02     34408.46     72182.48 
   1843     75-79       23824.77     21061.74     44886.51 
   1843     80-84       11141.95      9248.64     20390.59 
   1843     85-89        4039.31      3024.91      7064.22 
   1843     90-94        1059.00       685.12      1744.12 
   1843     95-99         168.31       110.38       278.69 
   1843    100-104         12.48         5.52        18.00 
   1843    105-109          0.00         0.00         0.00 
   1843    110+             0.00         0.00         0.00 
   1844        0        59056.72     60845.76    119902.47 
   1844      1-4       204379.15    208388.74    412767.89 
   1844      5-9       225179.80    231157.31    456337.11 
   1844     10-14      204346.79    214295.03    418641.82 
   1844     15-19      196884.81    196274.91    393159.72 
   1844     20-24      190714.73    193196.36    383911.09 
   1844     25-29      157111.72    158845.41    315957.13 
   1844     30-34      149237.46    151346.24    300583.70 
   1844     35-39      139659.78    143613.99    283273.78 
   1844     40-44      129452.24    136255.13    265707.36 
   1844     45-49      117227.54    117173.54    234401.08 
   1844     50-54       94648.30     77921.44    172569.75 
   1844     55-59       82657.01     68092.90    150749.91 
   1844     60-64       69510.08     61425.90    130935.98 
   1844     65-69       53420.55     47872.57    101293.12 
   1844     70-74       37321.09     34011.43     71332.52 
   1844     75-79       24165.99     21256.11     45422.10 
   1844     80-84       11255.86      9431.68     20687.54 
   1844     85-89        4037.06      3044.38      7081.44 
   1844     90-94        1042.93       699.31      1742.24 
   1844     95-99         174.83       104.28       279.10 
   1844    100-104         12.11         7.11        19.22 
   1844    105-109          0.00         0.00         0.00 
   1844    110+             0.00         0.00         0.00 
   1845        0        58630.54     60116.85    118747.39 
   1845      1-4       204129.31    207960.58    412089.89 
   1845      5-9       229207.57    235230.36    464437.93 
   1845     10-14      205200.75    215251.27    420452.02 
   1845     15-19      195531.29    196012.05    391543.34 
   1845     20-24      193837.38    197054.85    390892.23 
   1845     25-29      160669.39    162934.93    323604.33 
   1845     30-34      147834.77    149889.17    297723.93 
   1845     35-39      142308.62    146010.50    288319.12 
   1845     40-44      126651.11    133584.19    260235.30 
   1845     45-49      122043.68    124572.92    246616.60 
   1845     50-54       94676.52     80496.77    175173.29 
   1845     55-59       84506.49     68283.98    152790.48 
   1845     60-64       68393.15     59702.23    128095.38 
   1845     65-69       55516.08     49525.62    105041.70 
   1845     70-74       36394.28     33086.40     69480.69 
   1845     75-79       24553.88     21471.93     46025.81 
   1845     80-84       11317.88      9478.38     20796.26 
   1845     85-89        4011.83      3043.43      7055.26 
   1845     90-94        1011.97       686.61      1698.57 
   1845     95-99         171.91       104.40       276.31 
   1845    100-104         11.81         7.28        19.09 
   1845    105-109          0.00         0.00         0.00 
   1845    110+             0.00         0.00         0.00 
   1846        0        52798.88     53713.09    106511.97 
   1846      1-4       202436.18    205916.99    408353.18 
   1846      5-9       232736.73    238742.43    471479.17 
   1846     10-14      206495.13    215841.86    422336.99 
   1846     15-19      194343.63    197693.71    392037.34 
   1846     20-24      194518.22    197323.61    391841.83 
   1846     25-29      163849.16    166356.44    330205.60 
   1846     30-34      147538.42    149226.60    296765.02 
   1846     35-39      142877.10    146535.38    289412.48 
   1846     40-44      125529.85    132213.37    257743.22 
   1846     45-49      124193.82    128558.89    252752.70 
