Chile, Exposure to risk (period 5x1)     Last modified: 25-Nov-2008, MPv5 (May07)

   Year      Age       Female          Male         Total
   1992        0       136726.71    143033.81    279760.52 
   1992      1-4       564186.25    589191.97   1153378.22 
   1992      5-9       625035.28    646166.50   1271201.77 
   1992     10-14      604577.85    623322.12   1227899.97 
   1992     15-19      600553.94    616709.89   1217263.83 
   1992     20-24      608351.58    599278.13   1207629.71 
   1992     25-29      624669.55    602246.66   1226916.21 
   1992     30-34      579917.52    557328.58   1137246.10 
   1992     35-39      481761.20    455711.73    937472.92 
   1992     40-44      397446.58    376717.96    774164.53 
   1992     45-49      335508.91    315857.67    651366.58 
   1992     50-54      284864.78    264183.01    549047.79 
   1992     55-59      234123.78    210334.12    444457.90 
   1992     60-64      229433.75    197441.07    426874.82 
   1992     65-69      169938.59    143665.52    313604.11 
   1992     70-74      128308.93     99784.92    228093.86 
   1992     75-79       97525.85     68616.18    166142.04 
   1992     80-84       65048.01     40129.49    105177.50 
   1992     85-89       31244.00     15449.11     46693.12 
   1992     90-94       10352.29      4224.74     14577.03 
   1992     95-99        2104.98       644.37      2749.36 
   1992    100-104        263.21        77.72       340.93 
   1992    105-109         21.26         4.80        26.05 
   1992    110+             0.05         0.00         0.05 
   1993        0       134767.11    140981.93    275749.04 
   1993      1-4       554076.86    578318.37   1132395.23 
   1993      5-9       648661.00    672932.52   1321593.52 
   1993     10-14      610960.43    629491.59   1240452.01 
   1993     15-19      592408.84    609149.63   1201558.47 
   1993     20-24      608513.38    603334.76   1211848.13 
   1993     25-29      623643.07    602121.06   1225764.14 
   1993     30-34      598539.17    574880.16   1173419.33 
   1993     35-39      498248.11    473397.47    971645.58 
   1993     40-44      413747.05    393495.06    807242.11 
   1993     45-49      342607.24    322413.07    665020.31 
   1993     50-54      295718.09    275902.38    571620.46 
   1993     55-59      238579.67    214706.56    453286.23 
   1993     60-64      229242.92    197036.85    426279.77 
   1993     65-69      181455.72    153808.92    335264.65 
   1993     70-74      130091.46    101508.71    231600.17 
   1993     75-79       99248.50     69485.47    168733.97 
   1993     80-84       68631.15     42280.75    110911.90 
   1993     85-89       32866.02     16367.25     49233.27 
   1993     90-94       11071.14      4578.58     15649.72 
   1993     95-99        2244.51       688.22      2932.72 
   1993    100-104        276.90        77.86       354.76 
   1993    105-109         21.91         6.65        28.56 
   1993    110+             0.00         0.00         0.00 
   1994        0       133060.82    138954.82    272015.64 
   1994      1-4       545897.72    569878.74   1115776.46 
   1994      5-9       671363.61    697386.05   1368749.66 
   1994     10-14      613371.79    633069.25   1246441.03 
   1994     15-19      584450.44    598763.28   1183213.72 
   1994     20-24      611349.89    610864.88   1222214.77 
   1994     25-29      619453.32    600015.81   1219469.12 
   1994     30-34      610544.74    586732.01   1197276.74 
   1994     35-39      518645.05    494895.16   1013540.22 
   1994     40-44      426369.91    405522.16    831892.07 
   1994     45-49      355281.49    334965.02    690246.51 
   1994     50-54      304371.98    284743.60    589115.58 
   1994     55-59      248453.44    224272.82    472726.26 
   1994     60-64      225168.20    195127.55    420295.76 
   1994     65-69      193822.08    163671.32    357493.40 
   1994     70-74      132434.36    103997.79    236432.15 
   1994     75-79      102062.66     71229.14    173291.80 
   1994     80-84       72344.55     44774.64    117119.19 
   1994     85-89       34636.23     17385.51     52021.74 
   1994     90-94       11834.95      4878.47     16713.42 
   1994     95-99        2443.19       775.81      3219.00 
   1994    100-104        300.29        83.35       383.64 
   1994    105-109         24.37         7.67        32.04 
   1994    110+             0.06         0.00         0.06 
   1995        0       130805.74    136395.87    267201.61 
   1995      1-4       540122.15    563602.33   1103724.48 
   1995      5-9       688614.74    715899.77   1404514.51 
   1995     10-14      614544.56    634780.57   1249325.13 
   1995     15-19      582240.44    596175.15   1178415.59 
   1995     20-24      612581.93    614919.63   1227501.55 
   1995     25-29      612361.86    596626.00   1208987.85 
   1995     30-34      620735.89    596685.96   1217421.85 
   1995     35-39      539300.15    516140.21   1055440.36 
   1995     40-44      439940.82    416964.02    856904.84 
   1995     45-49      368486.63    348649.53    717136.16 
   1995     50-54      312678.51    292505.72    605184.22 
   1995     55-59      259415.03    235745.61    495160.64 
   1995     60-64      222011.32    193275.06    415286.38 
   1995     65-69      204115.49    172446.95    376562.44 
   1995     70-74      136229.47    107293.87    243523.33 
   1995     75-79      104740.45     73456.49    178196.94 
   1995     80-84       75598.76     47187.84    122786.59 
   1995     85-89       36594.96     18604.12     55199.08 
   1995     90-94       12688.55      5161.32     17849.87 
   1995     95-99        2725.78       894.77      3620.55 
   1995    100-104        333.03        94.63       427.66 
   1995    105-109         26.15         6.51        32.66 
   1995    110+             0.00         0.00         0.00 
   1996        0       128311.17    134273.49    262584.66 
   1996      1-4       533457.52    556014.30   1089471.83 
   1996      5-9       698856.94    727692.45   1426549.39 
   1996     10-14      617055.18    637703.05   1254758.23 
   1996     15-19      589401.48    604275.41   1193676.90 
   1996     20-24      607992.14    612052.08   1220044.22 
   1996     25-29      607724.34    595225.61   1202949.95 
   1996     30-34      627437.73    603317.45   1230755.18 
   1996     35-39      558833.70    535860.79   1094694.48 
   1996     40-44      458026.39    433801.27    891827.66 
   1996     45-49      380172.87    360460.66    740633.53 
   1996     50-54      320597.83    300623.16    621220.99 
   1996     55-59      267955.37    244397.73    512353.10 
   1996     60-64      223055.73    195055.83    418111.56 
   1996     65-69      210134.82    176815.72    386950.54 
   1996     70-74      142728.89    112903.15    255632.04 
   1996     75-79      106345.28     74941.47    181286.76 
   1996     80-84       77832.03     48724.32    126556.36 
   1996     85-89       38557.09     19931.87     58488.96 
   1996     90-94       13642.29      5515.66     19157.95 
   1996     95-99        3023.35      1001.86      4025.21 
   1996    100-104        385.78       105.93       491.71 
   1996    105-109         28.81         5.79        34.60 
   1996    110+             0.14         0.00         0.14 
   1997        0       126532.33    132853.65    259385.99 
   1997      1-4       523934.89    546168.79   1070103.68 
   1997      5-9       699229.55    728347.29   1427576.84 
   1997     10-14      627360.96    650284.21   1277645.17 
   1997     15-19      601113.98    616054.68   1217168.66 
   1997     20-24      599234.59    604952.54   1204187.13 
   1997     25-29      607034.82    596793.69   1203828.50 
   1997     30-34      626957.00    603742.94   1230699.94 
   1997     35-39      582162.06    558325.36   1140487.43 
   1997     40-44      473926.59    450277.33    924203.93 
   1997     45-49      394426.73    374660.55    769087.29 
   1997     50-54      326516.40    307335.13    633851.53 
   1997     55-59      276922.78    252809.65    529732.43 
   1997     60-64      226815.01    199702.81    426517.82 
   1997     65-69      212955.10    177683.51    390638.61 
   1997     70-74      151646.74    120916.19    272562.94 
   1997     75-79      108233.95     76489.59    184723.53 
   1997     80-84       79140.05     49360.80    128500.85 
   1997     85-89       40767.25     21255.68     62022.93 
   1997     90-94       14510.87      5916.31     20427.18 
   1997     95-99        3269.57      1070.96      4340.53 
   1997    100-104        425.90       109.94       535.84 
   1997    105-109         27.38         7.06        34.44 
   1997    110+             0.16         0.00         0.16 
   1998        0       124782.39    130488.89    255271.28 
   1998      1-4       514483.03    536574.68   1051057.71 
   1998      5-9       692492.28    720962.72   1413455.00 
   1998     10-14      645590.85    670580.72   1316171.57 
   1998     15-19      608898.45    625097.83   1233996.28 
   1998     20-24      590220.51    595640.03   1185860.54 
   1998     25-29      608435.30    600769.09   1209204.39 
   1998     30-34      623652.53    601390.13   1225042.67 
   1998     35-39      603267.55    579500.29   1182767.84 
   1998     40-44      489829.68    466309.21    956138.89 
   1998     45-49      409169.21    389932.93    799102.15 
   1998     50-54      334629.18    315536.85    650166.03 
   1998     55-59      286638.68    262559.71    549198.39 
   1998     60-64      233333.33    206321.49    439654.81 
   1998     65-69      211960.68    177203.78    389164.47 
   1998     70-74      161770.91    128943.26    290714.17 
   1998     75-79      110412.71     78703.72    189116.43 
   1998     80-84       79505.03     49485.62    128990.65 
   1998     85-89       43456.50     22726.31     66182.81 
   1998     90-94       15244.65      6241.86     21486.52 
   1998     95-99        3451.89      1120.72      4572.61 
   1998    100-104        430.81       107.89       538.69 
   1998    105-109         27.28         6.38        33.67 
   1998    110+             0.00         0.00         0.00 
   1999        0       122216.52    127342.06    249558.58 
   1999      1-4       504593.54    525777.98   1030371.52 
   1999      5-9       683749.08    711747.69   1395496.77 
   1999     10-14      665922.85    690975.21   1356898.06 
   1999     15-19      612201.01    631098.93   1243299.94 
   1999     20-24      582614.33    587028.88   1169643.20 
   1999     25-29      610755.46    605798.21   1216553.68 
   1999     30-34      617897.72    597956.18   1215853.90 
   1999     35-39      615023.75    591392.89   1206416.65 
   1999     40-44      512792.59    488946.80   1001739.39 
   1999     45-49      421030.18    401552.86    822583.03 
   1999     50-54      348680.38    329643.40    678323.78 
   1999     55-59      294264.34    270517.97    564782.31 
   1999     60-64      243452.13    216082.47    459534.60 
   1999     65-69      207967.03    175334.63    383301.66 
   1999     70-74      173315.87    137588.40    310904.26 
   1999     75-79      112787.97     81339.52    194127.49 
   1999     80-84       80015.84     49880.65    129896.48 
   1999     85-89       46089.48     24382.13     70471.60 
   1999     90-94       16009.47      6567.05     22576.52 
   1999     95-99        3572.07      1137.76      4709.83 
   1999    100-104        442.98       104.70       547.68 
   1999    105-109         31.91         4.48        36.39 
   1999    110+             0.14         0.00         0.14 
   2000        0       119019.85    124212.25    243232.10 
   2000      1-4       492648.14    512446.94   1005095.08 
   2000      5-9       672381.26    699246.89   1371628.15 
   2000     10-14      685443.06    710483.70   1395926.76 
   2000     15-19      614048.94    634739.46   1248788.40 
   2000     20-24      579571.16    585850.61   1165421.77 
   2000     25-29      612540.98    608482.09   1221023.08 
   2000     30-34      609339.75    592892.67   1202232.43 
   2000     35-39      624075.45    599202.96   1223278.41 
   2000     40-44      536737.72    513227.86   1049965.58 
   2000     45-49      433948.99    412470.91    846419.90 
   2000     50-54      363520.78    345201.60    708722.38 
   2000     55-59      301891.52    278350.80    580242.32 
   2000     60-64      253543.69    226373.97    479917.66 
   2000     65-69      205439.98    174214.47    379654.45 
   2000     70-74      183486.95    146053.58    329540.53 
   2000     75-79      116176.03     84477.42    200653.46 
   2000     80-84       80666.17     50368.34    131034.50 
   2000     85-89       48587.22     26243.35     74830.57 
   2000     90-94       16939.92      7037.73     23977.65 
   2000     95-99        3709.55      1134.53      4844.08 
   2000    100-104        465.57       102.99       568.57 
   2000    105-109         33.45         4.06        37.51 
   2000    110+             0.16         0.00         0.16 
   2001        0       114734.82    119560.31    234295.13 
   2001      1-4       476904.60    494972.08    971876.68 
   2001      5-9       658507.43    684045.94   1342553.37 
   2001     10-14      696234.73    722580.22   1418814.95 
   2001     15-19      619684.80    641729.70   1261414.50 
   2001     20-24      585395.32    594108.74   1179504.07 
   2001     25-29      608516.10    603729.24   1212245.35 
   2001     30-34      604146.09    590750.14   1194896.23 
   2001     35-39      630666.92    605736.54   1236403.47 
   2001     40-44      558226.81    534347.23   1092574.04 
   2001     45-49      450656.90    428102.52    878759.41 
   2001     50-54      376347.11    357823.45    734170.56 
   2001     55-59      309341.19    287306.16    596647.35 
   2001     60-64      259965.80    232584.69    492550.49 
