United Kingdom, Exposure to risk (period 5x1)     Last modified: 29-Jan-2016, MPv5 (May07)

   Year      Age       Female          Male         Total
   1922        0       446849.54    461921.95    908771.49 
   1922      1-4      1565456.66   1602175.74   3167632.39 
   1922      5-9      1969955.65   1986961.22   3956916.87 
   1922     10-14     2111525.28   2121838.58   4233363.86 
   1922     15-19     2083362.14   2046096.19   4129458.32 
   1922     20-24     1990296.03   1762670.36   3752966.39 
   1922     25-29     1882520.93   1555216.63   3437737.57 
   1922     30-34     1757216.13   1482297.32   3239513.45 
   1922     35-39     1677225.78   1441858.87   3119084.65 
   1922     40-44     1601145.56   1418135.81   3019281.37 
   1922     45-49     1439684.14   1336125.60   2775809.74 
   1922     50-54     1231870.20   1153373.74   2385243.94 
   1922     55-59     1007514.23    926030.28   1933544.51 
   1922     60-64      812082.94    719118.54   1531201.49 
   1922     65-69      635658.06    532314.08   1167972.14 
   1922     70-74      456040.05    343544.13    799584.18 
   1922     75-79      278628.55    187102.92    465731.47 
   1922     80-84      142361.14     83319.37    225680.51 
   1922     85-89       48599.25     24241.89     72841.14 
   1922     90-94       11591.82      4804.49     16396.31 
   1922     95-99        1762.43       621.89      2384.31 
   1922    100-104        156.52        44.72       201.24 
   1922    105-109          7.45         0.98         8.43 
   1922    110+             0.00         0.00         0.00 
   1923        0       427255.29    441825.66    869080.96 
   1923      1-4      1659896.97   1700226.99   3360123.96 
   1923      5-9      1870086.31   1889762.30   3759848.62 
   1923     10-14     2096349.40   2100922.90   4197272.30 
   1923     15-19     2096373.86   2062804.20   4159178.05 
   1923     20-24     2001334.57   1826378.89   3827713.47 
   1923     25-29     1888408.51   1558922.57   3447331.08 
   1923     30-34     1769356.22   1488929.98   3258286.20 
   1923     35-39     1673535.67   1433655.47   3107191.14 
   1923     40-44     1615041.48   1423308.21   3038349.70 
   1923     45-49     1455201.61   1335108.85   2790310.46 
   1923     50-54     1264181.26   1184144.99   2448326.25 
   1923     55-59     1031824.32    947000.17   1978824.49 
   1923     60-64      836855.45    741771.47   1578626.92 
   1923     65-69      647409.00    541284.56   1188693.56 
   1923     70-74      467576.73    356091.17    823667.90 
   1923     75-79      283358.29    189874.14    473232.43 
   1923     80-84      145368.61     84949.41    230318.01 
   1923     85-89       49925.25     24878.69     74803.94 
   1923     90-94       11961.80      4884.98     16846.78 
   1923     95-99        1784.32       618.48      2402.80 
   1923    100-104        149.75        41.86       191.62 
   1923    105-109          8.01         1.21         9.22 
   1923    110+             0.00         0.00         0.00 
   1924        0       412762.52    426792.86    839555.38 
   1924      1-4      1704039.74   1744818.31   3448858.05 
   1924      5-9      1805133.89   1832329.36   3637463.24 
   1924     10-14     2081630.81   2081262.85   4162893.67 
   1924     15-19     2106948.12   2070603.82   4177551.93 
   1924     20-24     2013894.41   1880814.08   3894708.49 
   1924     25-29     1894830.32   1574863.09   3469693.40 
   1924     30-34     1784408.70   1495680.03   3280088.73 
   1924     35-39     1673469.17   1429789.61   3103258.77 
   1924     40-44     1622055.00   1421987.32   3044042.31 
   1924     45-49     1473965.89   1336210.56   2810176.45 
   1924     50-54     1294842.39   1211076.78   2505919.17 
   1924     55-59     1053837.28    967551.23   2021388.52 
   1924     60-64      862768.73    765443.91   1628212.64 
   1924     65-69      661003.07    552534.47   1213537.54 
   1924     70-74      477094.01    366484.84    843578.85 
   1924     75-79      286795.87    192578.58    479374.45 
   1924     80-84      148942.73     86600.77    235543.51 
   1924     85-89       51913.93     25675.85     77589.78 
   1924     90-94       12281.22      4987.51     17268.73 
   1924     95-99        1847.47       621.36      2468.82 
   1924    100-104        141.96        41.68       183.64 
   1924    105-109          4.53         1.24         5.77 
   1924    110+             0.00         0.00         0.00 
   1925        0       398122.95    411907.49    810030.44 
   1925      1-4      1666904.58   1704740.53   3371645.11 
   1925      5-9      1820929.75   1856259.18   3677188.93 
   1925     10-14     2058857.26   2057905.24   4116762.50 
   1925     15-19     2108693.65   2068372.14   4177065.79 
   1925     20-24     2024354.40   1919922.15   3944276.56 
   1925     25-29     1906046.93   1612694.63   3518741.56 
   1925     30-34     1798697.74   1502378.77   3301076.51 
   1925     35-39     1675200.92   1428434.60   3103635.52 
   1925     40-44     1626205.47   1417303.09   3043508.56 
   1925     45-49     1492272.91   1339327.07   2831599.98 
   1925     50-54     1322284.36   1233252.27   2555536.62 
   1925     55-59     1077325.70    990226.60   2067552.30 
   1925     60-64      885890.55    786016.14   1671906.69 
   1925     65-69      676583.83    565690.02   1242273.85 
   1925     70-74      488090.87    377075.32    865166.19 
   1925     75-79      290455.14    195608.41    486063.55 
   1925     80-84      151361.28     87454.76    238816.04 
   1925     85-89       54057.76     26618.39     80676.15 
   1925     90-94       12385.46      5012.92     17398.38 
   1925     95-99        1856.95       633.00      2489.95 
   1925    100-104        137.37        41.99       179.36 
   1925    105-109          2.21         0.98         3.19 
   1925    110+             0.00         0.00         0.00 
   1926        0       389402.27    401970.55    791372.82 
   1926      1-4      1600035.44   1635449.74   3235485.19 
   1926      5-9      1879892.43   1919751.55   3799643.97 
   1926     10-14     2015970.50   2018570.92   4034541.43 
   1926     15-19     2101532.66   2058928.00   4160460.66 
   1926     20-24     2035582.41   1946335.59   3981918.00 
   1926     25-29     1917624.98   1664796.38   3582421.36 
   1926     30-34     1805155.71   1504141.98   3309297.70 
   1926     35-39     1685828.12   1435994.06   3121822.18 
   1926     40-44     1621608.90   1404014.27   3025623.17 
   1926     45-49     1513022.73   1348332.95   2861355.68 
   1926     50-54     1343742.14   1247216.14   2590958.28 
   1926     55-59     1107550.89   1019068.48   2126619.37 
   1926     60-64      906319.29    803597.50   1709916.79 
   1926     65-69      696500.00    581756.37   1278256.37 
   1926     70-74      500860.70    388453.17    889313.87 
   1926     75-79      299875.07    202999.49    502874.55 
   1926     80-84      154361.61     88819.16    243180.78 
   1926     85-89       56009.57     27485.67     83495.24 
   1926     90-94       12729.36      5052.27     17781.63 
