Croatia, Exposure to risk (period 5x1)     Last modified: 21-Apr-2017, MPv5 (May07)

   Year      Age       Female          Male         Total
   2002        0        19406.17     20374.34     39780.51 
   2002      1-4        87107.33     91553.17    178660.50 
   2002      5-9       117650.83    123462.67    241113.50 
   2002     10-14      122741.67    128723.33    251465.00 
   2002     15-19      134151.00    139874.17    274025.16 
   2002     20-24      140551.33    147652.83    288204.17 
   2002     25-29      138798.00    141830.00    280628.00 
   2002     30-34      139434.83    140262.00    279696.83 
   2002     35-39      153334.33    152454.33    305788.67 
   2002     40-44      162166.67    161216.84    323383.50 
   2002     45-49      165357.00    168484.51    333841.50 
   2002     50-54      152333.67    148396.83    300730.50 
   2002     55-59      123571.50    110550.66    234122.16 
   2002     60-64      138642.00    118305.67    256947.67 
   2002     65-69      142604.83    111502.67    254107.50 
   2002     70-74      125592.33     86030.18    211622.51 
   2002     75-79       94547.83     46929.51    141477.35 
   2002     80-84       50455.87     20642.70     71098.57 
   2002     85-89       18898.76      7339.35     26238.11 
   2002     90-94        8158.34      2696.26     10854.60 
   2002     95-99        1239.89       351.96      1591.85 
   2002    100-104         66.51        22.67        89.18 
   2002    105-109          3.83         0.83         4.67 
   2002    110+             0.00         0.00         0.00 
   2003        0        19167.34     20149.17     39316.51 
   2003      1-4        83335.17     87732.33    171067.50 
   2003      5-9       118512.17    124145.67    242657.83 
   2003     10-14      120727.50    126733.17    247460.67 
   2003     15-19      132445.50    138025.00    270470.50 
   2003     20-24      140847.33    147690.34    288537.67 
   2003     25-29      139547.00    143413.83    282960.83 
   2003     30-34      138452.83    139625.17    278078.00 
   2003     35-39      151721.33    150934.34    302655.67 
   2003     40-44      160849.67    159321.33    320171.00 
   2003     45-49      165598.33    167615.34    333213.67 
   2003     50-54      155375.67    152822.84    308198.51 
   2003     55-59      126044.17    113345.00    239389.17 
   2003     60-64      135745.66    115742.16    251487.83 
   2003     65-69      141074.00    110950.33    252024.33 
   2003     70-74      128647.00     88264.67    216911.67 
   2003     75-79       95257.17     49461.00    144718.17 
   2003     80-84       57497.90     23104.17     80602.07 
   2003     85-89       16302.26      6231.16     22533.42 
   2003     90-94        8430.44      2787.93     11218.37 
   2003     95-99        1322.89       368.63      1691.52 
   2003    100-104         80.18        20.33       100.51 
   2003    105-109          1.33         0.00         1.33 
   2003    110+             0.00         0.00         0.00 
   2004        0        19158.67     20361.84     39520.51 
   2004      1-4        80477.67     84785.83    165263.50 
   2004      5-9       117692.00    123467.17    241159.17 
   2004     10-14      119517.67    125260.67    244778.33 
   2004     15-19      130277.50    135700.83    265978.33 
   2004     20-24      141019.67    147619.17    288638.83 
   2004     25-29      140998.17    145642.50    286640.67 
   2004     30-34      138394.50    140132.83    278527.33 
   2004     35-39      149996.50    149459.83    299456.34 
   2004     40-44      158777.00    157096.50    315873.50 
   2004     45-49      165706.33    166071.33    331777.67 
   2004     50-54      157587.33    157136.33    314723.66 
   2004     55-59      132261.17    119998.17    252259.34 
   2004     60-64      130981.33    111453.33    242434.66 
   2004     65-69      139354.00    109730.66    249084.66 
   2004     70-74      130490.16     89710.17    220200.33 
   2004     75-79       96385.99     52590.68    148976.67 
   2004     80-84       62194.82     24742.00     86936.83 
   2004     85-89       16169.53      6100.11     22269.65 
   2004     90-94        8708.34      2901.32     11609.66 
   2004     95-99        1391.34       385.64      1776.98 
   2004    100-104         90.18        15.83       106.01 
   2004    105-109          0.00         0.50         0.50 
   2004    110+             0.00         0.00         0.00 
   2005        0        19854.00     21037.17     40891.17 
   2005      1-4        78625.33     82987.50    161612.83 
   2005      5-9       115921.83    121947.50    237869.33 
   2005     10-14      118765.17    124407.17    243172.33 
   2005     15-19      127859.00    133063.00    260922.00 
   2005     20-24      140633.33    146830.83    287464.17 
   2005     25-29      142860.17    148109.33    290969.50 
   2005     30-34      139364.17    141685.50    281049.67 
   2005     35-39      146957.67    146827.00    293784.67 
   2005     40-44      156957.50    155462.00    312419.50 
   2005     45-49      165248.33    164042.67    329291.00 
