Ireland, Exposure to risk (period 5x1)     Last modified: 20-Nov-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
   1950        0        30955.66     32593.92     63549.57 
   1950      1-4       120316.47    126284.73    246601.20 
   1950      5-9       132523.84    138220.97    270744.81 
   1950     10-14      124225.34    128745.95    252971.30 
   1950     15-19      109056.68    119779.01    228835.70 
   1950     20-24       95257.76    101122.58    196380.34 
   1950     25-29       98522.91     99025.95    197548.86 
   1950     30-34       94175.13     95756.18    189931.32 
   1950     35-39       98201.20    102900.08    201101.29 
   1950     40-44       84118.90     90978.11    175097.01 
   1950     45-49       80507.46     84235.48    164742.95 
   1950     50-54       76302.60     78902.34    155204.93 
   1950     55-59       63442.82     65115.20    128558.02 
   1950     60-64       60841.08     61554.44    122395.52 
   1950     65-69       55263.57     55715.72    110979.29 
   1950     70-74       50717.76     49258.49     99976.24 
   1950     75-79       32340.73     31381.83     63722.55 
   1950     80-84       16604.97     15000.56     31605.53 
   1950     85-89        5761.48      4203.74      9965.22 
   1950     90-94        1511.97       943.01      2454.99 
   1950     95-99         284.88       157.81       442.69 
   1950    100-104         18.49        14.46        32.95 
   1950    105-109          0.00         0.24         0.24 
   1950    110+             0.00         0.00         0.00 
   1951        0        30381.47     31962.24     62343.71 
   1951      1-4       121123.83    127070.30    248194.13 
   1951      5-9       137116.07    143184.19    280300.26 
   1951     10-14      124235.66    128898.73    253134.39 
   1951     15-19      113741.36    122746.52    236487.88 
   1951     20-24       95650.13    103907.55    199557.68 
   1951     25-29       97668.13     98208.92    195877.05 
   1951     30-34       94441.16     95676.12    190117.28 
   1951     35-39       97954.77    101238.33    199193.10 
   1951     40-44       86396.76     94072.89    180469.64 
   1951     45-49       79051.23     82960.41    162011.64 
   1951     50-54       78827.52     81552.55    160380.06 
   1951     55-59       64191.20     65652.62    129843.82 
   1951     60-64       60619.94     61131.87    121751.81 
   1951     65-69       53624.44     54176.31    107800.76 
   1951     70-74       50488.03     48631.76     99119.79 
   1951     75-79       32999.64     31738.67     64738.31 
   1951     80-84       17183.73     15520.05     32703.78 
   1951     85-89        5916.94      4372.36     10289.30 
   1951     90-94        1541.55       948.59      2490.14 
   1951     95-99         279.86       152.17       432.03 
   1951    100-104         16.25        13.62        29.87 
   1951    105-109          0.06         0.00         0.06 
   1951    110+             0.00         0.00         0.00 
   1952        0        30259.43     31588.32     61847.75 
   1952      1-4       120464.66    126258.46    246723.12 
   1952      5-9       140947.68    147489.62    288437.30 
   1952     10-14      122432.40    127456.66    249889.07 
   1952     15-19      115356.23    122222.96    237579.19 
   1952     20-24       96072.49    105586.55    201659.04 
   1952     25-29       95801.83     96548.61    192350.44 
   1952     30-34       95188.71     95905.67    191094.38 
   1952     35-39       95917.12     98308.04    194225.16 
   1952     40-44       89145.77     96817.21    185962.99 
   1952     45-49       78828.13     83118.46    161946.59 
   1952     50-54       79180.87     81940.01    161120.89 
   1952     55-59       65436.94     66831.65    132268.59 
   1952     60-64       60072.08     60401.94    120474.02 
   1952     65-69       53131.82     53351.61    106483.44 
   1952     70-74       49587.48     47605.60     97193.08 
   1952     75-79       33680.66     32087.93     65768.59 
   1952     80-84       17768.85     15979.78     33748.63 
   1952     85-89        6108.96      4591.01     10699.97 
   1952     90-94        1587.67       941.78      2529.46 
   1952     95-99         289.55       147.98       437.53 
   1952    100-104         15.73        10.04        25.77 
   1952    105-109          0.00         0.05         0.05 
   1952    110+             0.00         0.00         0.00 
   1953        0        30105.08     31555.92     61661.00 
   1953      1-4       119135.59    124640.64    243776.23 
   1953      5-9       143399.71    150416.42    293816.13 
   1953     10-14      120349.89    125678.51    246028.39 
   1953     15-19      112957.56    117987.17    230944.72 
   1953     20-24       96250.23    105471.74    201721.97 
   1953     25-29       93238.90     94377.15    187616.05 
   1953     30-34       95755.16     95921.60    191676.76 
   1953     35-39       93226.07     95141.93    188368.01 
   1953     40-44       91259.32     98334.98    189594.30 
   1953     45-49       78851.34     83576.66    162427.99 
   1953     50-54       78627.29     81377.86    160005.15 
   1953     55-59       67083.29     68383.69    135466.98 
   1953     60-64       59295.51     59682.40    118977.91 
   1953     65-69       53844.66     53357.50    107202.16 
   1953     70-74       48264.72     46473.18     94737.90 
   1953     75-79       34584.23     32389.31     66973.54 
   1953     80-84       18507.21     16611.83     35119.04 
   1953     85-89        6441.62      4925.76     11367.38 
   1953     90-94        1668.11       981.81      2649.93 
   1953     95-99         291.62       155.66       447.28 
   1953    100-104         21.24         6.82        28.06 
   1953    105-109          0.00         0.00         0.00 
   1953    110+             0.00         0.00         0.00 
   1954        0        29626.55     31154.86     60781.40 
   1954      1-4       117891.73    123309.50    241201.23 
   1954      5-9       145415.99    152694.10    298110.08 
   1954     10-14      120135.46    125785.22    245920.68 
   1954     15-19      109728.35    113752.20    223480.54 
   1954     20-24       96122.96    104263.75    200386.71 
   1954     25-29       90806.41     92535.62    183342.02 
   1954     30-34       95196.69     94890.43    190087.12 
   1954     35-39       91401.61     92879.98    184281.59 
   1954     40-44       92736.02     98790.22    191526.24 
   1954     45-49       79173.27     84521.50    163694.77 
   1954     50-54       77736.75     80391.27    158128.01 
   1954     55-59       68799.48     69957.02    138756.49 
   1954     60-64       58681.95     59236.48    117918.42 
   1954     65-69       54679.71     53622.29    108302.00 
   1954     70-74       46925.95     45146.01     92071.96 
   1954     75-79       35074.02     32330.73     67404.75 
   1954     80-84       19104.34     17063.07     36167.40 
   1954     85-89        6787.96      5278.43     12066.38 
   1954     90-94        1751.60      1030.10      2781.70 
   1954     95-99         295.30       155.06       450.36 
   1954    100-104         24.55         5.13        29.68 
   1954    105-109          0.14         0.00         0.14 
   1954    110+             0.00         0.00         0.00 
   1955        0        29564.68     30819.90     60384.59 
   1955      1-4       116603.87    121971.12    238574.98 
   1955      5-9       146284.23    153755.43    300039.66 
   1955     10-14      122275.58    128310.93    250586.51 
   1955     15-19      105965.04    109665.26    215630.30 
   1955     20-24       95302.22    101696.29    196998.52 
   1955     25-29       88601.09     91102.56    179703.65 
   1955     30-34       93629.71     92717.15    186346.85 
   1955     35-39       90368.36     91326.77    181695.13 
   1955     40-44       93143.56     97805.18    190948.74 
   1955     45-49       79969.59     86293.70    166263.29 
   1955     50-54       75798.95     78399.10    154198.05 
   1955     55-59       71181.61     72124.83    143306.44 
   1955     60-64       58630.42     59122.59    117753.01 
   1955     65-69       55208.88     53773.48    108982.36 
