Iceland, Exposure to risk (period 5x1)     Last modified: 22-Jun-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
   1838        0          782.20       805.52      1587.72 
   1838      1-4         2981.66      2784.40      5766.06 
   1838      5-9         3904.14      3953.86      7858.00 
   1838     10-14        2607.89      2615.41      5223.30 
   1838     15-19        2376.15      2298.15      4674.29 
   1838     20-24        1818.69      1739.66      3558.36 
   1838     25-29        2028.20      1792.85      3821.05 
   1838     30-34        1945.92      1733.98      3679.91 
   1838     35-39        2487.05      2229.85      4716.91 
   1838     40-44        2035.19      1790.92      3826.11 
   1838     45-49        1662.43      1413.92      3076.35 
   1838     50-54         918.64       778.76      1697.40 
   1838     55-59         937.96       668.33      1606.28 
   1838     60-64        1040.85       688.13      1728.98 
   1838     65-69         974.93       652.02      1626.95 
   1838     70-74         716.91       475.04      1191.95 
   1838     75-79         429.21       289.17       718.38 
   1838     80-84         166.87       112.67       279.54 
   1838     85-89          76.11        35.69       111.80 
   1838     90-94          39.71        15.65        55.37 
   1838     95-99          11.24         4.24        15.48 
   1838    100-104          0.69         0.00         0.69 
   1838    105-109          0.00         0.00         0.00 
   1838    110+             0.00         0.00         0.00 
   1839        0          748.17       761.81      1509.98 
   1839      1-4         2762.50      2651.38      5413.88 
   1839      5-9         3965.08      3908.61      7873.69 
   1839     10-14        2705.86      2760.17      5466.04 
   1839     15-19        2494.08      2413.24      4907.32 
   1839     20-24        1899.40      1832.09      3731.50 
   1839     25-29        1900.38      1666.54      3566.92 
   1839     30-34        2001.76      1794.97      3796.73 
   1839     35-39        2326.69      2076.43      4403.11 
   1839     40-44        2115.48      1857.88      3973.36 
   1839     45-49        1716.46      1440.69      3157.15 
   1839     50-54        1035.26       895.72      1930.98 
   1839     55-59         846.50       606.66      1453.17 
   1839     60-64        1009.79       650.18      1659.97 
   1839     65-69         946.70       619.67      1566.37 
   1839     70-74         697.62       459.55      1157.17 
   1839     75-79         427.54       277.90       705.44 
   1839     80-84         181.23       120.71       301.94 
   1839     85-89          60.37        33.98        94.35 
   1839     90-94          36.45        15.31        51.76 
   1839     95-99          10.82         4.79        15.61 
   1839    100-104          0.23         0.31         0.54 
   1839    105-109          0.00         0.00         0.00 
   1839    110+             0.00         0.00         0.00 
   1840        0          833.57       869.07      1702.64 
   1840      1-4         2535.26      2500.43      5035.69 
   1840      5-9         3861.19      3771.94      7633.13 
   1840     10-14        2956.56      3008.93      5965.49 
   1840     15-19        2569.86      2489.53      5059.39 
   1840     20-24        1988.27      1905.66      3893.93 
   1840     25-29        1779.52      1582.81      3362.33 
   1840     30-34        2071.11      1836.50      3907.61 
   1840     35-39        2129.64      1890.58      4020.22 
   1840     40-44        2217.11      1938.46      4155.57 
   1840     45-49        1741.54      1447.90      3189.44 
   1840     50-54        1188.51      1048.41      2236.92 
   1840     55-59         766.66       557.44      1324.10 
   1840     60-64         969.63       619.65      1589.27 
   1840     65-69         905.15       587.49      1492.64 
   1840     70-74         694.64       454.75      1149.40 
   1840     75-79         428.90       272.50       701.39 
   1840     80-84         205.22       129.44       334.66 
   1840     85-89          53.49        33.21        86.70 
   1840     90-94          32.92        13.11        46.03 
   1840     95-99          11.01         4.42        15.43 
   1840    100-104          0.21         0.27         0.48 
   1840    105-109          0.00         0.00         0.00 
   1840    110+             0.00         0.00         0.00 
   1841        0          961.53       991.84      1953.37 
   1841      1-4         2404.74      2423.54      4828.28 
   1841      5-9         3698.94      3589.98      7288.92 
   1841     10-14        3306.40      3356.95      6663.36 
   1841     15-19        2579.44      2492.90      5072.34 
   1841     20-24        2069.44      1990.99      4060.43 
   1841     25-29        1705.44      1548.02      3253.46 
   1841     30-34        2099.89      1842.48      3942.37 
   1841     35-39        1956.88      1703.43      3660.31 
   1841     40-44        2318.29      2061.32      4379.60 
   1841     45-49        1769.34      1468.33      3237.67 
   1841     50-54        1355.87      1170.34      2526.20 
   1841     55-59         727.37       557.93      1285.29 
   1841     60-64         915.21       595.83      1511.03 
   1841     65-69         872.99       564.77      1437.76 
   1841     70-74         697.26       466.73      1164.00 
   1841     75-79         438.53       271.30       709.83 
   1841     80-84         223.26       136.54       359.80 
   1841     85-89          52.25        36.39        88.64 
   1841     90-94          27.70        11.18        38.88 
   1841     95-99          10.49         3.40        13.89 
   1841    100-104          0.73         0.28         1.00 
   1841    105-109          0.00         0.00         0.00 
   1841    110+             0.00         0.00         0.00 
   1842        0         1012.89      1020.86      2033.74 
   1842      1-4         2436.75      2463.38      4900.13 
   1842      5-9         3545.46      3384.99      6930.45 
   1842     10-14        3600.38      3690.47      7290.85 
   1842     15-19        2554.41      2480.86      5035.27 
   1842     20-24        2168.93      2090.98      4259.91 
   1842     25-29        1699.97      1555.53      3255.50 
   1842     30-34        2050.89      1790.98      3841.87 
   1842     35-39        1854.86      1589.40      3444.26 
   1842     40-44        2374.79      2119.74      4494.53 
   1842     45-49        1822.82      1530.22      3353.04 
   1842     50-54        1475.34      1222.80      2698.14 
   1842     55-59         741.35       601.90      1343.25 
   1842     60-64         856.70       567.28      1423.98 
   1842     65-69         846.67       539.21      1385.88 
   1842     70-74         704.04       469.66      1173.70 
   1842     75-79         446.45       271.70       718.16 
   1842     80-84         234.36       140.06       374.42 
   1842     85-89          56.94        40.80        97.73 
   1842     90-94          23.83        11.10        34.93 
   1842     95-99          10.38         2.47        12.85 
   1842    100-104          0.74         0.46         1.20 
   1842    105-109          0.00         0.00         0.00 
   1842    110+             0.00         0.00         0.00 
   1843        0          919.48       920.03      1839.51 
   1843      1-4         2604.15      2577.90      5182.05 
   1843      5-9         3343.43      3197.96      6541.39 
   1843     10-14        3779.81      3843.87      7623.67 
   1843     15-19        2547.31      2536.27      5083.57 
   1843     20-24        2297.26      2179.40      4476.66 
   1843     25-29        1747.86      1612.48      3360.35 
   1843     30-34        1929.71      1664.91      3594.62 
   1843     35-39        1840.07      1589.68      3429.76 
   1843     40-44        2308.80      2024.88      4333.68 
   1843     45-49        1861.82      1587.92      3449.74 
   1843     50-54        1508.68      1223.30      2731.98 
   1843     55-59         784.92       646.99      1431.90 
   1843     60-64         755.95       512.40      1268.36 
   1843     65-69         778.81       496.41      1275.21 
   1843     70-74         655.94       435.60      1091.54 
   1843     75-79         391.04       244.55       635.59 
   1843     80-84         209.04       130.79       339.83 
   1843     85-89          52.32        40.86        93.17 
   1843     90-94          19.29        10.94        30.24 
   1843     95-99           9.63         1.63        11.26 
   1843    100-104          0.25         0.23         0.48 
   1843    105-109          0.00         0.00         0.00 
   1843    110+             0.00         0.00         0.00 
   1844        0          842.06       836.05      1678.11 
   1844      1-4         2741.33      2675.77      5417.10 
   1844      5-9         3138.47      3071.50      6209.97 
   1844     10-14        3854.32      3809.93      7664.24 
   1844     15-19        2643.39      2674.84      5318.23 
   1844     20-24        2404.84      2286.50      4691.34 
   1844     25-29        1831.91      1706.03      3537.93 
   1844     30-34        1798.92      1533.99      3332.91 
   1844     35-39        1880.31      1642.40      3522.71 
   1844     40-44        2139.83      1861.82      4001.64 
   1844     45-49        1919.38      1632.79      3552.17 
   1844     50-54        1527.84      1236.38      2764.21 
   1844     55-59         886.87       738.93      1625.79 
   1844     60-64         648.85       453.38      1102.24 
   1844     65-69         721.18       461.88      1183.06 
   1844     70-74         609.82       398.28      1008.10 
   1844     75-79         353.25       227.81       581.06 
   1844     80-84         190.11       120.57       310.68 
   1844     85-89          49.04        41.05        90.09 
   1844     90-94          14.64        11.88        26.51 
   1844     95-99           7.79         1.88         9.67 
   1844    100-104          0.00         0.00         0.00 
   1844    105-109          0.00         0.00         0.00 
   1844    110+             0.00         0.00         0.00 
   1845        0          856.71       886.95      1743.66 
   1845      1-4         2843.81      2737.82      5581.63 
   1845      5-9         3033.98      3018.51      6052.49 
   1845     10-14        3771.37      3688.41      7459.77 
   1845     15-19        2896.88      2926.88      5823.76 
   1845     20-24        2479.93      2365.99      4845.91 
   1845     25-29        1921.90      1789.51      3711.42 
   1845     30-34        1684.38      1456.99      3141.37 
   1845     35-39        1950.88      1695.43      3646.31 
   1845     40-44        1954.30      1696.34      3650.64 
   1845     45-49        2024.26      1712.80      3737.07 
   1845     50-54        1544.21      1261.31      2805.52 
   1845     55-59        1037.80       889.86      1927.66 
   1845     60-64         590.82       417.84      1008.66 
   1845     65-69         708.23       442.25      1150.48 
   1845     70-74         605.08       377.67       982.75 
   1845     75-79         377.14       243.74       620.88 
   1845     80-84         207.02       125.20       332.22 
   1845     85-89          60.16        45.14       105.29 
   1845     90-94          13.20        13.99        27.20 
   1845     95-99           6.21         3.28         9.49 
   1845    100-104          0.24         0.00         0.24 
   1845    105-109          0.00         0.00         0.00 
   1845    110+             0.00         0.00         0.00 
   1846        0          729.10       762.73      1491.83 
   1846      1-4         2797.61      2712.74      5510.34 
   1846      5-9         3025.39      3032.46      6057.85 
   1846     10-14        3614.18      3508.84      7123.02 
   1846     15-19        3240.71      3270.74      6511.44 
   1846     20-24        2478.65      2364.93      4843.58 
   1846     25-29        1991.81      1866.96      3858.77 
   1846     30-34        1609.29      1424.44      3033.74 
   1846     35-39        1970.02      1693.21      3663.24 
   1846     40-44        1768.92      1515.73      3284.65 
   1846     45-49        2100.82      1812.36      3913.18 
   1846     50-54        1533.62      1264.46      2798.08 
