Poland, Exposure to risk (period 5x1)     Last modified: 26-Nov-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
   1958        0       356907.01    374904.85    731811.85 
   1958      1-4      1403510.27   1465703.23   2869213.51 
   1958      5-9      1645393.05   1710175.98   3355569.02 
   1958     10-14     1184758.07   1218057.40   2402815.48 
   1958     15-19     1011376.58   1045257.48   2056634.06 
   1958     20-24     1124814.36   1135713.28   2260527.64 
   1958     25-29     1203347.53   1203648.10   2406995.63 
   1958     30-34     1171812.51   1050876.28   2222688.79 
   1958     35-39      942287.05    826669.16   1768956.21 
   1958     40-44      729445.52    618993.32   1348438.83 
   1958     45-49      937314.45    828115.27   1765429.72 
   1958     50-54      849640.93    752234.49   1601875.43 
   1958     55-59      725942.47    591781.02   1317723.49 
   1958     60-64      558168.48    409814.01    967982.49 
   1958     65-69      395039.22    264022.40    659061.62 
   1958     70-74      287034.90    175863.25    462898.14 
   1958     75-79      166898.77     95647.82    262546.59 
   1958     80-84       85211.97     44895.68    130107.65 
   1958     85-89       30706.27     14099.60     44805.87 
   1958     90-94        7460.04      2785.18     10245.22 
   1958     95-99        1025.84       319.70      1345.54 
   1958    100-104         43.16        10.03        53.19 
   1958    105-109          0.05         0.00         0.05 
   1958    110+             0.00         0.00         0.00 
   1959        0       340461.45    358008.76    698470.21 
   1959      1-4      1403569.90   1467211.40   2870781.30 
   1959      5-9      1682901.07   1749297.67   3432198.75 
   1959     10-14     1301872.13   1343238.82   2645110.94 
   1959     15-19      985891.09   1012362.52   1998253.61 
   1959     20-24     1114059.56   1132771.62   2246831.18 
   1959     25-29     1186459.03   1190877.38   2377336.42 
   1959     30-34     1180999.28   1086271.09   2267270.38 
   1959     35-39     1023251.59    896027.43   1919279.02 
   1959     40-44      691285.34    586847.02   1278132.36 
   1959     45-49      934143.31    814590.32   1748733.63 
   1959     50-54      868680.71    770790.05   1639470.77 
   1959     55-59      751391.39    621079.15   1372470.54 
   1959     60-64      579828.68    429314.32   1009142.99 
   1959     65-69      406581.77    274128.10    680709.87 
   1959     70-74      302027.14    184077.77    486104.91 
   1959     75-79      173198.36     98767.32    271965.68 
   1959     80-84       87352.71     45756.96    133109.66 
   1959     85-89       32612.36     14862.88     47475.24 
   1959     90-94        7589.00      2879.47     10468.47 
   1959     95-99        1172.70       358.23      1530.93 
   1959    100-104         44.82         9.27        54.09 
   1959    105-109          0.00         0.00         0.00 
   1959    110+             0.00         0.00         0.00 
   1960        0       317441.99    333503.80    650945.79 
   1960      1-4      1383703.83   1447306.62   2831010.45 
   1960      5-9      1713009.93   1781871.85   3494881.79 
   1960     10-14     1427454.87   1476699.91   2904154.78 
   1960     15-19      966635.56    987194.92   1953830.48 
   1960     20-24     1098665.87   1125368.96   2224034.83 
   1960     25-29     1165420.36   1169734.27   2335154.63 
   1960     30-34     1187980.98   1123459.78   2311440.76 
   1960     35-39     1080704.96    941257.27   2021962.23 
   1960     40-44      704498.54    606877.82   1311376.36 
