Slovakia, Exposure to risk (period 5x1)     Last modified: 29-Sep-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
   1950        0        43102.00     45586.22     88688.22 
   1950      1-4       145698.57    150661.70    296360.27 
   1950      5-9       159221.70    161002.33    320224.02 
   1950     10-14      149285.59    150117.47    299403.06 
   1950     15-19      152747.11    151423.98    304171.09 
   1950     20-24      153285.73    148354.93    301640.66 
   1950     25-29      157013.73    151757.66    308771.39 
   1950     30-34       91510.38     86853.31    178363.68 
   1950     35-39      126345.50    117370.59    243716.09 
   1950     40-44      125726.18    119411.44    245137.62 
   1950     45-49      113471.06    106139.07    219610.13 
   1950     50-54       99187.28     86716.98    185904.26 
   1950     55-59       74284.31     61040.24    135324.55 
   1950     60-64       63637.35     48391.69    112029.04 
   1950     65-69       50620.44     38712.12     89332.56 
   1950     70-74       36706.55     29371.27     66077.82 
   1950     75-79       25979.15     18550.05     44529.20 
   1950     80-84       12003.26      9268.49     21271.74 
   1950     85-89        4324.79      2729.02      7053.81 
   1950     90-94         902.77       507.61      1410.39 
   1950     95-99         116.83        54.66       171.49 
   1950    100-104         11.00         5.22        16.22 
   1950    105-109          0.00         0.00         0.00 
   1950    110+             0.00         0.00         0.00 
   1951        0        45338.80     47845.33     93184.13 
   1951      1-4       153377.31    159898.66    313275.97 
   1951      5-9       161141.71    163186.45    324328.17 
   1951     10-14      150741.39    152100.85    302842.24 
   1951     15-19      150128.25    149507.63    299635.88 
   1951     20-24      153881.97    149721.05    303603.02 
   1951     25-29      157206.53    152108.87    309315.40 
   1951     30-34      103996.67     99682.38    203679.05 
   1951     35-39      117439.90    108982.94    226422.85 
   1951     40-44      127628.83    121896.16    249524.99 
   1951     45-49      114274.01    107010.18    221284.19 
   1951     50-54      102419.75     91766.38    194186.13 
   1951     55-59       78817.73     65175.41    143993.14 
   1951     60-64       63774.31     49055.48    112829.79 
   1951     65-69       52199.07     38953.00     91152.07 
   1951     70-74       36916.25     29750.63     66666.88 
   1951     75-79       26269.94     19082.79     45352.73 
   1951     80-84       12398.09      9609.00     22007.10 
   1951     85-89        4517.72      2819.95      7337.68 
   1951     90-94         949.85       552.93      1502.78 
   1951     95-99         106.80        48.26       155.06 
   1951    100-104         11.85         4.75        16.60 
   1951    105-109          0.00         0.00         0.00 
   1951    110+             0.00         0.00         0.00 
   1952        0        46199.56     48693.83     94893.38 
   1952      1-4       161647.70    169082.53    330730.23 
   1952      5-9       165139.94    168063.70    333203.64 
   1952     10-14      152768.78    154781.37    307550.15 
   1952     15-19      147341.33    147426.19    294767.52 
   1952     20-24      154350.36    150766.18    305116.54 
   1952     25-29      155363.32    150564.64    305927.96 
   1952     30-34      121863.75    117163.93    239027.68 
   1952     35-39      105085.91     97880.59    202966.50 
   1952     40-44      129021.20    123453.06    252474.25 
   1952     45-49      115835.46    108815.38    224650.84 
   1952     50-54      104932.42     96030.89    200963.31 
   1952     55-59       83591.06     69577.15    153168.21 
   1952     60-64       64220.58     49803.54    114024.13 
   1952     65-69       53430.05     39487.84     92917.90 
   1952     70-74       37995.57     30308.71     68304.28 
   1952     75-79       26275.68     19454.73     45730.41 
   1952     80-84       12747.59      9824.38     22571.97 
   1952     85-89        4610.46      2948.23      7558.69 
   1952     90-94         991.50       569.23      1560.73 
   1952     95-99         105.35        48.64       153.99 
   1952    100-104          9.20         2.64        11.83 
   1952    105-109          0.00         0.00         0.00 
   1952    110+             0.00         0.00         0.00 
   1953        0        46245.37     49066.89     95312.26 
   1953      1-4       168933.88    176899.45    345833.33 
   1953      5-9       171445.35    175491.70    346937.05 
   1953     10-14      154841.62    157602.53    312444.15 
   1953     15-19      145481.14    146234.82    291715.96 
   1953     20-24      154119.35    151103.89    305223.23 
   1953     25-29      153096.98    148525.83    301622.81 
   1953     30-34      140025.65    134965.64    274991.28 
   1953     35-39       92579.02     86805.57    179384.59 
   1953     40-44      129851.54    124038.89    253890.43 
   1953     45-49      118204.86    111848.45    230053.31 
   1953     50-54      107330.29     99746.46    207076.74 
   1953     55-59       87788.69     73783.54    161572.23 
   1953     60-64       65049.44     50965.41    116014.86 
   1953     65-69       54746.31     40270.22     95016.53 
   1953     70-74       39244.41     30680.21     69924.61 
   1953     75-79       26130.20     19570.74     45700.94 
   1953     80-84       13185.55     10033.21     23218.76 
   1953     85-89        4615.38      3081.69      7697.08 
   1953     90-94        1026.99       563.20      1590.18 
   1953     95-99         115.73        60.77       176.50 
   1953    100-104          4.54         0.51         5.05 
   1953    105-109          0.00         0.00         0.00 
   1953    110+             0.00         0.00         0.00 
   1954        0        46009.14     49011.60     95020.73 
   1954      1-4       175122.96    183869.53    358992.49 
   1954      5-9       178491.23    183809.90    362301.12 
   1954     10-14      156940.89    160247.31    317188.20 
   1954     15-19      145336.41    146285.42    291621.83 
   1954     20-24      152594.85    150718.15    303313.00 
   1954     25-29      151860.57    147425.33    299285.89 
   1954     30-34      151791.30    146651.84    298443.14 
   1954     35-39       86079.21     81554.33    167633.53 
   1954     40-44      129453.29    123244.53    252697.81 
   1954     45-49      121088.10    115642.45    236730.55 
   1954     50-54      109541.51    102642.85    212184.36 
   1954     55-59       91550.23     78182.73    169732.96 
   1954     60-64       66878.33     52995.97    119874.31 
   1954     65-69       55885.71     41139.06     97024.77 
   1954     70-74       40374.18     30780.56     71154.74 
   1954     75-79       26122.76     19672.54     45795.29 
   1954     80-84       13431.14     10088.38     23519.52 
   1954     85-89        4657.51      3272.71      7930.22 
   1954     90-94        1064.69       564.11      1628.79 
   1954     95-99         121.59        70.05       191.64 
   1954    100-104          2.02         2.10         4.12 
   1954    105-109          0.00         0.00         0.00 
   1954    110+             0.00         0.00         0.00 
   1955        0        46469.98     49237.28     95707.26 
   1955      1-4       179143.29    188564.80    367708.10 
   1955      5-9       187378.99    194283.29    381662.29 
   1955     10-14      158653.84    161815.96    320469.80 
   1955     15-19      146437.36    147902.40    294339.76 
   1955     20-24      150303.05    149374.73    299677.78 
   1955     25-29      152047.84    148099.77    300147.60 
   1955     30-34      156092.49    151143.20    307235.70 
   1955     35-39       89584.31     85772.83    175357.14 
   1955     40-44      125491.85    119210.34    244702.18 
   1955     45-49      123782.29    119161.84    242944.13 
   1955     50-54      110756.10    104135.78    214891.89 
   1955     55-59       95357.13     83163.86    178520.99 
   1955     60-64       70347.35     56315.23    126662.57 
   1955     65-69       56392.70     41798.21     98190.90 
   1955     70-74       41763.50     30859.66     72623.15 
   1955     75-79       26204.34     19921.42     46125.76 
   1955     80-84       13804.90     10207.55     24012.45 
   1955     85-89        4863.73      3498.01      8361.74 
   1955     90-94        1085.50       591.17      1676.67 
   1955     95-99         127.22        73.14       200.36 
   1955    100-104          2.12         3.44         5.56 
   1955    105-109          0.00         0.00         0.00 
   1955    110+             0.00         0.00         0.00 
   1956        0        47072.51     49435.51     96508.02 
   1956      1-4       181086.13    190758.73    371844.86 
   1956      5-9       198460.35    206637.07    405097.43 
   1956     10-14      160526.66    163583.98    324110.65 
   1956     15-19      148362.89    150966.44    299329.32 
   1956     20-24      147519.94    146947.08    294467.02 
   1956     25-29      152610.29    149375.16    301985.45 
   1956     30-34      156468.55    151795.39    308263.94 
   1956     35-39      102498.37     98633.03    201131.40 
   1956     40-44      116536.72    110709.02    227245.74 
   1956     45-49      125646.77    121722.85    247369.62 
   1956     50-54      111669.62    105165.65    216835.27 
   1956     55-59       98550.34     87941.42    186491.75 
   1956     60-64       74801.75     60458.30    135260.05 
   1956     65-69       56911.92     42466.65     99378.58 
   1956     70-74       42959.21     31077.44     74036.64 
   1956     75-79       26632.97     20255.44     46888.41 
   1956     80-84       14360.75     10409.08     24769.82 
   1956     85-89        5051.19      3604.04      8655.23 
