Canada, Exposure to risk (period 5x10)     Last modified: 11-Aug-2014, MPv5 (May07)

   Year      Age       Female          Male         Total
1921-1929      0       942035.22    950856.81   1892892.04 
1921-1929    1-4      3866460.34   3942965.50   7809425.84 
1921-1929    5-9      4755980.31   4860494.72   9616475.03 
1921-1929   10-14     4359812.52   4399948.66   8759761.18 
1921-1929   15-19     3976099.77   3988022.55   7964122.33 
1921-1929   20-24     3503819.23   3445915.02   6949734.26 
1921-1929   25-29     3192079.49   3199674.21   6391753.70 
1921-1929   30-34     2925292.19   3089090.43   6014382.62 
1921-1929   35-39     2748949.49   3097720.24   5846669.72 
1921-1929   40-44     2409954.65   2799087.94   5209042.60 
1921-1929   45-49     2072992.25   2433404.10   4506396.35 
1921-1929   50-54     1699723.37   1982829.07   3682552.44 
1921-1929   55-59     1353715.93   1504136.23   2857852.15 
1921-1929   60-64     1118112.81   1243812.77   2361925.58 
1921-1929   65-69      839706.91    920240.83   1759947.73 
1921-1929   70-74      593561.30    628584.40   1222145.70 
1921-1929   75-79      362466.71    368094.05    730560.75 
1921-1929   80-84      217064.99    188167.27    405232.26 
1921-1929   85-89       89008.74     70473.38    159482.12 
1921-1929   90-94       26687.54     18917.48     45605.02 
1921-1929   95-99        5499.65      3791.89      9291.53 
1921-1929  100-104        718.44       564.02      1282.46 
1921-1929  105-109         32.42        27.41        59.83 
1921-1929  110+             0.00         0.00         0.00 
1930-1939      0       994912.33   1026837.07   2021749.41 
1930-1939    1-4      4118982.00   4223885.84   8342867.84 
1930-1939    5-9      5423920.29   5540061.42  10963981.72 
1930-1939   10-14     5511424.40   5626854.19  11138278.59 
1930-1939   15-19     5250643.25   5353183.88  10603827.13 
1930-1939   20-24     4822667.67   4918753.78   9741421.44 
1930-1939   25-29     4157788.68   4372072.05   8529860.73 
1930-1939   30-34     3572140.52   3875901.98   7448042.50 
1930-1939   35-39     3337721.25   3625161.88   6962883.13 
1930-1939   40-44     3135638.69   3473450.49   6609089.18 
1930-1939   45-49     2791477.90   3288953.14   6080431.03 
1930-1939   50-54     2429823.86   2921902.82   5351726.68 
1930-1939   55-59     1942041.17   2309288.55   4251329.71 
1930-1939   60-64     1499240.32   1727074.38   3226314.69 
1930-1939   65-69     1208075.92   1333442.63   2541518.54 
1930-1939   70-74      904677.64    953958.22   1858635.86 
