Switzerland, Exposure to risk (period 5x10)     Last modified: 20-May-2016, MPv5 (May07)

   Year      Age       Female          Male         Total
1876-1879      0       138861.67    140470.33    279332.00 
1876-1879    1-4       525157.67    529348.67   1054506.33 
1876-1879    5-9       586556.33    585325.33   1171881.67 
1876-1879   10-14      553710.33    541949.83   1095660.17 
1876-1879   15-19      517644.17    502012.67   1019656.83 
1876-1879   20-24      454388.00    434200.67    888588.67 
1876-1879   25-29      418705.33    394653.67    813359.00 
1876-1879   30-34      408821.83    380228.33    789050.17 
1876-1879   35-39      389788.67    361838.50    751627.17 
1876-1879   40-44      351108.67    330027.50    681136.17 
1876-1879   45-49      319468.17    298453.17    617921.33 
1876-1879   50-54      286911.67    264519.83    551431.50 
1876-1879   55-59      239721.00    217839.83    457560.83 
1876-1879   60-64      190259.50    173730.83    363990.33 
1876-1879   65-69      144238.83    132652.67    276891.50 
1876-1879   70-74       94291.17     87955.33    182246.50 
1876-1879   75-79       49944.17     47676.00     97620.17 
1876-1879   80-84       17824.26     17813.30     35637.55 
1876-1879   85-89        4828.34      4843.77      9672.10 
1876-1879   90-94         739.53       720.76      1460.28 
1876-1879   95-99         107.77        66.10       173.87 
1876-1879  100-104          4.07         0.00         4.07 
1876-1879  105-109          0.00         0.00         0.00 
1876-1879  110+             0.00         0.00         0.00 
1880-1889      0       357171.50    363664.00    720835.50 
1880-1889    1-4      1299436.67   1302364.00   2601800.67 
1880-1889    5-9      1555770.00   1557049.50   3112819.50 
1880-1889   10-14     1449984.83   1441791.67   2891776.50 
1880-1889   15-19     1346445.67   1302483.33   2648929.00 
1880-1889   20-24     1246897.83   1172559.33   2419457.17 
1880-1889   25-29     1097365.00   1030376.17   2127741.17 
1880-1889   30-34      983471.50    927113.33   1910584.83 
1880-1889   35-39      941932.83    876359.33   1818292.17 
1880-1889   40-44      902507.33    834045.17   1736552.50 
1880-1889   45-49      829954.00    765345.67   1595299.67 
1880-1889   50-54      739399.83    672369.00   1411768.83 
1880-1889   55-59      646142.17    578171.83   1224314.00 
1880-1889   60-64      531238.83    467838.00    999076.83 
1880-1889   65-69      388838.67    343877.50    732716.17 
1880-1889   70-74      253282.83    226354.50    479637.33 
1880-1889   75-79      135434.67    122686.83    258121.50 
1880-1889   80-84       55498.50     50866.93    106365.43 
1880-1889   85-89       13740.69     13219.52     26960.20 
1880-1889   90-94        2114.61      1988.79      4103.41 
1880-1889   95-99         154.39       130.74       285.13 
1880-1889  100-104          1.61         2.11         3.72 
1880-1889  105-109          0.00         0.00         0.00 
1880-1889  110+             0.00         0.00         0.00 
1890-1899      0       383069.50    389782.50    772852.00 
1890-1899    1-4      1354134.50   1360471.00   2714605.50 
1890-1899    5-9      1581714.50   1585354.83   3167069.33 
1890-1899   10-14     1556281.33   1557882.50   3114163.83 
1890-1899   15-19     1516625.00   1503416.33   3020041.33 
1890-1899   20-24     1385866.00   1361950.17   2747816.17 
1890-1899   25-29     1241560.50   1194610.83   2436171.33 
1890-1899   30-34     1121380.33   1063019.00   2184399.33 
1890-1899   35-39      988618.67    931386.17   1920004.83 
1890-1899   40-44      883322.50    823330.33   1706652.83 
1890-1899   45-49      833524.33    759209.00   1592733.33 
1890-1899   50-54      787304.33    702683.83   1489988.17 
1890-1899   55-59      691593.33    605908.33   1297501.67 
1890-1899   60-64      567439.00    491149.50   1058588.50 
1890-1899   65-69      438948.67    376152.67    815101.33 
1890-1899   70-74      290952.00    250159.33    541111.33 
1890-1899   75-79      151037.83    129467.17    280505.00 
1890-1899   80-84       61122.80     51437.56    112560.35 
1890-1899   85-89       16803.28     14020.39     30823.67 
1890-1899   90-94        2818.83      2200.44      5019.27 
1890-1899   95-99         240.36       168.43       408.78 
1890-1899  100-104          0.98         0.00         0.98 
1890-1899  105-109          0.00         0.00         0.00 
1890-1899  110+             0.00         0.00         0.00 
1900-1909      0       429186.17    437670.33    866856.50 
1900-1909    1-4      1573643.83   1582979.67   3156623.50 
1900-1909    5-9      1827345.83   1832765.50   3660111.33 
1900-1909   10-14     1688432.17   1693920.00   3382352.17 
1900-1909   15-19     1599986.83   1599271.00   3199257.83 
1900-1909   20-24     1539923.00   1526174.00   3066097.00 
1900-1909   25-29     1459501.67   1450505.83   2910007.50 
1900-1909   30-34     1310051.50   1307427.33   2617478.83 
1900-1909   35-39     1161211.17   1140077.67   2301288.83 
1900-1909   40-44     1044841.83    997756.67   2042598.50 
1900-1909   45-49      910500.67    844644.67   1755145.33 
1900-1909   50-54      791706.33    709630.33   1501336.67 
1900-1909   55-59      717557.50    620316.17   1337873.67 
1900-1909   60-64      627694.33    527410.00   1155104.33 
1900-1909   65-69      485853.83    402058.33    887912.17 
1900-1909   70-74      327158.83    269388.00    596546.83 
1900-1909   75-79      184424.83    152507.17    336932.00 
1900-1909   80-84       78734.30     63265.08    141999.38 
1900-1909   85-89       21524.01     16604.38     38128.39 
1900-1909   90-94        3496.96      2484.39      5981.35 
1900-1909   95-99         301.54       194.28       495.81 
1900-1909  100-104          3.20         2.41         5.62 
1900-1909  105-109          0.00         0.00         0.00 
1900-1909  110+             0.00         0.00         0.00 
1910-1919      0       380025.33    390915.00    770940.33 
1910-1919    1-4      1521493.17   1545221.67   3066714.83 
1910-1919    5-9      1960728.67   1971679.33   3932408.00 
1910-1919   10-14     1941484.33   1924679.50   3866163.83 
1910-1919   15-19     1844605.67   1794814.83   3639420.50 
1910-1919   20-24     1679117.67   1594699.33   3273817.00 
1910-1919   25-29     1539131.00   1468064.33   3007195.33 
1910-1919   30-34     1449863.50   1411556.50   2861420.00 
1910-1919   35-39     1365631.33   1336307.83   2701939.17 
1910-1919   40-44     1222726.17   1188521.17   2411247.33 
1910-1919   45-49     1074838.00   1017197.67   2092035.67 
1910-1919   50-54      948171.33    860744.67   1808916.00 
1910-1919   55-59      794526.17    689587.50   1484113.67 
1910-1919   60-64      645326.50    532399.67   1177726.17 
1910-1919   65-69      519921.17    410230.83    930152.00 
1910-1919   70-74      374296.50    287425.00    661721.50 
1910-1919   75-79      217151.00    162995.83    380146.83 
1910-1919   80-84       94559.09     68856.33    163415.42 
1910-1919   85-89       28160.67     19691.86     47852.53 
1910-1919   90-94        5018.80      3000.08      8018.88 
1910-1919   95-99         446.61       232.77       679.39 
1910-1919  100-104          7.69         0.32         8.01 
1910-1919  105-109          0.00         0.00         0.00 
1910-1919  110+             0.00         0.00         0.00 
1920-1929      0       349184.50    361063.33    710247.83 
1920-1929    1-4      1352319.50   1386027.50   2738347.00 
1920-1929    5-9      1698815.83   1729888.67   3428704.50 
1920-1929   10-14     1827063.83   1830274.50   3657338.33 
1920-1929   15-19     1938620.83   1887413.17   3826034.00 
1920-1929   20-24     1888304.67   1759801.50   3648106.17 
1920-1929   25-29     1730959.17   1554997.50   3285956.67 
1920-1929   30-34     1541412.33   1375484.67   2916897.00 
1920-1929   35-39     1408060.67   1284111.83   2692172.50 
1920-1929   40-44     1330595.17   1240141.17   2570736.33 
1920-1929   45-49     1251503.83   1169823.83   2421327.67 
1920-1929   50-54     1104200.17   1019634.33   2123834.50 
