Czech Republic, Exposure to risk (period 5x10)     Last modified: 02-Oct-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
1950-1959      0       793998.19    838061.18   1632059.37 
1950-1959    1-4      3312405.55   3475206.29   6787611.84 
1950-1959    5-9      4087574.62   4253123.38   8340698.00 
1950-1959   10-14     3480240.46   3590730.88   7070971.35 
1950-1959   15-19     2964690.28   3038718.78   6003409.06 
1950-1959   20-24     3112592.01   3171424.26   6284016.26 
1950-1959   25-29     3492162.29   3455181.51   6947343.80 
1950-1959   30-34     3281926.46   3142993.66   6424920.11 
1950-1959   35-39     2901061.16   2760953.03   5662014.19 
1950-1959   40-44     3285621.93   3149650.25   6435272.18 
1950-1959   45-49     3579411.91   3422830.12   7002242.04 
1950-1959   50-54     3312577.34   3050435.95   6363013.30 
1950-1959   55-59     2880299.79   2430834.40   5311134.20 
1950-1959   60-64     2335628.84   1806328.23   4141957.07 
1950-1959   65-69     1844569.76   1360051.15   3204620.90 
1950-1959   70-74     1367341.06    971671.99   2339013.05 
1950-1959   75-79      866975.20    597692.99   1464668.19 
1950-1959   80-84      425047.65    284854.45    709902.10 
1950-1959   85-89      142457.85     87711.42    230169.27 
1950-1959   90-94       28918.57     15357.41     44275.98 
1950-1959   95-99        3067.16      1382.98      4450.14 
1950-1959  100-104        137.28        35.14       172.43 
1950-1959  105-109          0.00         0.00         0.00 
1950-1959  110+             0.00         0.00         0.00 
1960-1969      0       669778.07    705905.66   1375683.73 
1960-1969    1-4      2696668.21   2835469.51   5532137.73 
1960-1969    5-9      3611027.16   3792073.67   7403100.83 
1960-1969   10-14     4083443.99   4274581.43   8358025.42 
1960-1969   15-19     4079108.88   4236554.63   8315663.51 
1960-1969   20-24     3479639.11   3575949.48   7055588.59 
1960-1969   25-29     2966760.12   3012142.38   5978902.50 
1960-1969   30-34     3081022.19   3064786.75   6145808.94 
1960-1969   35-39     3421645.68   3289220.65   6710866.33 
1960-1969   40-44     3202046.43   2997257.55   6199303.98 
1960-1969   45-49     2813035.46   2613702.50   5426737.96 
1960-1969   50-54     3150422.28   2926495.24   6076917.53 
