Germany, Exposure to risk (period 5x10), 	Last modified: 29 Mar 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
1990-1999        0           3947811.84      4163299.17      8111111.01
1990-1999      1-4          16475713.17     17353959.50     33829672.67
1990-1999      5-9          21640405.33     22766484.50     44406889.83
1990-1999     10-14         21391113.00     22481828.67     43872941.67
1990-1999     15-19         21151474.83     22231965.00     43383439.83
1990-1999     20-24         25375055.83     26576208.67     51951264.50
1990-1999     25-29         31707581.00     33772154.83     65479735.83
1990-1999     30-34         33199093.17     35366857.50     68565950.67
1990-1999     35-39         30468651.33     32020468.33     62489119.67
1990-1999     40-44         27519192.17     28484989.83     56004182.00
1990-1999     45-49         25005016.33     25723102.00     50728118.33
1990-1999     50-54         26578736.83     27136795.67     53715532.50
1990-1999     55-59         27363602.17     27224554.33     54588156.50
1990-1999     60-64         23716831.33     22065474.00     45782305.33
1990-1999     65-69         22281113.50     16856910.84     39138024.34
1990-1999     70-74         19888498.50     11570247.17     31458745.67
1990-1999     75-79         15636746.50      7471722.33     23108468.83
1990-1999     80-84         12489665.33      4990778.91     17480444.24
1990-1999     85-89          7367796.98      2453758.99      9821555.98
1990-1999     90-94          2357300.19       629895.85      2987196.04
1990-1999     95-99           403429.47        82238.90       485668.36
1990-1999    100-104           32759.42         5438.27        38197.70
1990-1999    105-109            1282.01          225.17         1507.18
1990-1999    110+                 15.00            1.67           16.67
2000-2009        0           3445715.94      3633395.84      7079111.78
2000-2009      1-4          14391834.83     15166707.83     29558542.67
2000-2009      5-9          19103345.67     20112381.17     39215726.84
2000-2009     10-14         20829863.67     21896796.67     42726660.34
2000-2009     15-19         22288404.83     23354666.67     45643071.49
2000-2009     20-24         23240900.67     23828209.16     47069109.83
2000-2009     25-29         23520220.66     24001077.17     47521297.83
2000-2009     30-34         26572817.50     27353282.34     53926099.84
2000-2009     35-39         32074714.00     33313231.15     65387945.15
2000-2009     40-44         33388600.16     34609792.15     67998392.32
2000-2009     45-49         30493909.17     31110279.02     61604188.18
2000-2009     50-54         27229878.84     27213544.19     54443423.04
2000-2009     55-59         24299703.85     23936963.52     48236667.37
2000-2009     60-64         25401381.82     24390491.29     49791873.10
2000-2009     65-69         25532429.13     23151528.16     48683957.29
2000-2009     70-74         21104724.02     17103433.25     38208157.27
2000-2009     75-79         18070530.57     11294549.94     29365080.52
2000-2009     80-84         13545900.58      6081839.66     19627740.24
2000-2009     85-89          7569656.60      2524321.27     10093977.88
2000-2009     90-94          3268956.19       824032.71      4092988.90
2000-2009     95-99           790848.03       150033.86       940881.90
2000-2009    100-104           73661.19         9800.05        83461.24
2000-2009    105-109            2841.13          285.77         3126.89
2000-2009    110+                 32.33            6.00           38.33
2010-2015        0           2004573.20      2110250.94      4114824.14
2010-2015      1-4           8019592.50      8445513.34     16465105.84
2010-2015      5-9          10278763.33     10836583.16     21115346.49
2010-2015     10-14         11155903.17     11761477.83     22917380.99
2010-2015     15-19         11885724.33     12571938.50     24457662.83
2010-2015     20-24         13852471.49     14530132.83     28382604.33
2010-2015     25-29         14679398.16     15257940.66     29937338.82
2010-2015     30-34         14562329.17     14840734.84     29403064.01
2010-2015     35-39         14184706.84     14357810.66     28542517.50
2010-2015     40-44         17312947.65     17656077.47     34969025.12
2010-2015     45-49         20373985.83     20897994.15     41271979.98
2010-2015     50-54         19379383.18     19618491.70     38997874.88
2010-2015     55-59         16984283.02     16669422.04     33653705.06
2010-2015     60-64         15061494.03     14325985.72     29387479.74
2010-2015     65-69         12886730.50     11878634.03     24765364.53
2010-2015     70-74         15065685.51     13005450.42     28071135.93
2010-2015     75-79         12342954.37      9555476.57     21898430.94
2010-2015     80-84          8632623.78      5446596.49     14079220.27
2010-2015     85-89          5805720.39      2500942.38      8306662.78
2010-2015     90-94          2358209.57       683666.63      3041876.19
2010-2015     95-99           480037.02        96739.35       576776.37
2010-2015    100-104           72330.91         9804.35        82135.26
2010-2015    105-109            2952.92          230.33         3183.25
2010-2015    110+                 37.83            0.12           37.95
