Greece, Exposure to risk (period 5x10)     Last modified: 25-Sep-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
1981-1989      0       542700.89    581256.23   1123957.12 
1981-1989    1-4      2398354.13   2554684.18   4953038.30 
1981-1989    5-9      3269003.80   3460250.46   6729254.26 
1981-1989   10-14     3348141.75   3525387.69   6873529.44 
1981-1989   15-19     3378089.31   3522867.73   6900957.05 
1981-1989   20-24     3276271.24   3312482.10   6588753.35 
1981-1989   25-29     3175739.65   3133759.57   6309499.22 
1981-1989   30-34     3029817.83   3004248.11   6034065.95 
1981-1989   35-39     2913783.79   2864460.85   5778244.64 
1981-1989   40-44     2799873.21   2696708.06   5496581.28 
1981-1989   45-49     2952319.72   2803995.49   5756315.21 
1981-1989   50-54     3061786.25   2957102.00   6018888.25 
1981-1989   55-59     2848650.23   2687424.67   5536074.90 
1981-1989   60-64     2316003.14   2064750.24   4380753.37 
1981-1989   65-69     1951508.52   1654249.12   3605757.64 
1981-1989   70-74     1807346.16   1466672.42   3274018.58 
1981-1989   75-79     1389201.47   1087848.43   2477049.90 
1981-1989   80-84      874503.85    616021.59   1490525.44 
1981-1989   85-89      402583.79    254123.13    656706.92 
1981-1989   90-94      131220.62     75029.71    206250.33 
1981-1989   95-99       35121.18     17421.42     52542.61 
1981-1989  100-104       5730.14      2461.44      8191.59 
1981-1989  105-109        604.49       213.20       817.70 
1981-1989  110+            20.53         1.42        21.95 
1990-1999      0       496937.16    527293.96   1024231.11 
1990-1999    1-4      2067906.44   2180358.51   4248264.94 
1990-1999    5-9      2922299.21   3080696.52   6002995.73 
1990-1999   10-14     3429341.91   3660429.59   7089771.49 
1990-1999   15-19     3769904.73   4005115.54   7775020.28 
1990-1999   20-24     3914811.51   4080328.58   7995140.08 
1990-1999   25-29     3938547.56   3975389.66   7913937.21 
1990-1999   30-34     3816162.89   3769415.28   7585578.17 
1990-1999   35-39     3659342.81   3616548.28   7275891.10 
1990-1999   40-44     3452998.54   3450717.89   6903716.43 
1990-1999   45-49     3246461.16   3231480.71   6477941.87 
1990-1999   50-54     3121886.56   3034091.60   6155978.16 
1990-1999   55-59     3268648.30   3101732.33   6370380.63 
1990-1999   60-64     3340376.83   3105017.43   6445394.26 
1990-1999   65-69     2964139.55   2607241.08   5571380.62 
1990-1999   70-74     2246805.04   1804205.41   4051010.44 
1990-1999   75-79     1670116.95   1239034.52   2909151.47 
1990-1999   80-84     1233292.37    838646.22   2071938.59 
1990-1999   85-89      643317.53    412314.13   1055631.67 
1990-1999   90-94      218751.78    125686.82    344438.61 
1990-1999   95-99       46903.08     22853.81     69756.89 
1990-1999  100-104       6403.14      2415.19      8818.33 
1990-1999  105-109        406.16       113.58       519.74 
1990-1999  110+             5.75         0.21         5.96 
2000-2009      0       522677.02    545999.88   1068676.91 
2000-2009    1-4      2077376.55   2167587.97   4244964.52 
2000-2009    5-9      2648335.15   2751141.32   5399476.47 
2000-2009   10-14     2824073.31   2936143.52   5760216.84 
2000-2009   15-19     3168221.11   3377561.31   6545782.42 
2000-2009   20-24     3682672.12   3954506.88   7637179.01 
2000-2009   25-29     4075998.63   4301825.79   8377824.42 
2000-2009   30-34     4217415.18   4330578.46   8547993.63 
2000-2009   35-39     4183276.84   4193082.19   8376359.03 
2000-2009   40-44     4003186.57   3939539.58   7942726.16 
2000-2009   45-49     3758968.40   3685668.40   7444636.80 
2000-2009   50-54     3495100.73   3434808.04   6929908.77 
2000-2009   55-59     3240995.75   3141687.38   6382683.13 
2000-2009   60-64     3074244.80   2880111.62   5954356.43 
2000-2009   65-69     3127729.83   2787691.53   5915421.36 
2000-2009   70-74     3020126.87   2543388.20   5563515.07 
2000-2009   75-79     2401519.10   1839436.30   4240955.40 
2000-2009   80-84     1522171.68   1029650.47   2551822.15 
2000-2009   85-89      792519.22    479569.91   1272089.14 
2000-2009   90-94      315167.14    172280.53    487447.67 
2000-2009   95-99       74765.05     35788.87    110553.92 
2000-2009  100-104       9425.20      3760.32     13185.52 
2000-2009  105-109        530.33       180.05       710.38 
2000-2009  110+             3.02         0.05         3.08 
2010-2013      0       204940.90    216091.88    421032.78 
2010-2013    1-4       866183.65    905643.49   1771827.14 
2010-2013    5-9      1046472.21   1096262.16   2142734.37 
2010-2013   10-14     1052775.31   1097832.09   2150607.40 
2010-2013   15-19     1097891.94   1142592.70   2240484.63 
2010-2013   20-24     1227526.19   1283492.46   2511018.65 
2010-2013   25-29     1393808.64   1474791.57   2868600.21 
2010-2013   30-34     1627878.24   1692112.63   3319990.88 
2010-2013   35-39     1660891.78   1681823.06   3342714.84 
2010-2013   40-44     1712767.15   1683185.83   3395952.98 
2010-2013   45-49     1597678.63   1528603.56   3126282.19 
2010-2013   50-54     1536735.83   1437392.96   2974128.79 
2010-2013   55-59     1399296.52   1316120.78   2715417.30 
2010-2013   60-64     1326562.82   1226434.79   2552997.62 
2010-2013   65-69     1169090.51   1054874.15   2223964.66 
2010-2013   70-74     1151118.69    965900.15   2117018.84 
2010-2013   75-79     1101367.17    858624.09   1959991.26 
2010-2013   80-84      822099.15    595912.06   1418011.22 
2010-2013   85-89      433215.33    275493.04    708708.37 
2010-2013   90-94      148585.54     84798.33    233383.88 
2010-2013   95-99       38863.94     17959.69     56823.63 
2010-2013  100-104       5893.32      2181.88      8075.21 
2010-2013  105-109        372.59       132.86       505.45 
2010-2013  110+             4.57         0.14         4.71 
