Hungary, Exposure to risk (period 5x10)     Last modified: 18-Apr-2016, MPv5 (May07)

   Year      Age       Female          Male         Total
1950-1959      0       887067.40    933473.69   1820541.09 
1950-1959    1-4      3495866.22   3653077.93   7148944.15 
1950-1959    5-9      4004582.92   4155151.39   8159734.31 
1950-1959   10-14     3733005.59   3831744.22   7564749.81 
1950-1959   15-19     3656987.08   3668478.07   7325465.15 
1950-1959   20-24     3740942.89   3656559.20   7397502.08 
1950-1959   25-29     3922807.62   3742184.84   7664992.46 
1950-1959   30-34     3662593.71   3350881.71   7013475.42 
1950-1959   35-39     3226234.96   2869397.67   6095632.63 
1950-1959   40-44     3431497.73   3096153.19   6527650.92 
1950-1959   45-49     3520333.01   3231764.04   6752097.05 
1950-1959   50-54     3175305.68   2901480.63   6076786.32 
1950-1959   55-59     2820706.39   2401543.18   5222249.57 
1950-1959   60-64     2312327.04   1807009.81   4119336.85 
1950-1959   65-69     1856123.98   1406431.39   3262555.37 
1950-1959   70-74     1369899.98   1027064.74   2396964.72 
1950-1959   75-79      823012.36    612568.40   1435580.76 
1950-1959   80-84      379493.56    283121.06    662614.62 
1950-1959   85-89      124268.06     87553.85    211821.91 
1950-1959   90-94       25511.09     15487.89     40998.98 
1950-1959   95-99        2926.23      1444.13      4370.35 
1950-1959  100-104        150.66        46.12       196.78 
1950-1959  105-109          1.68         0.00         1.68 
1950-1959  110+             0.00         0.00         0.00 
1960-1969      0       662617.66    703541.77   1366159.43 
1960-1969    1-4      2686302.79   2838282.89   5524585.68 
1960-1969    5-9      3966492.86   4175021.91   8141514.77 
1960-1969   10-14     4307957.69   4511657.73   8819615.42 
1960-1969   15-19     3947851.79   4068746.90   8016598.69 
1960-1969   20-24     3644588.11   3642098.10   7286686.20 
1960-1969   25-29     3547849.36   3417322.69   6965172.05 
1960-1969   30-34     3641557.83   3482159.95   7123717.78 
1960-1969   35-39     3811926.30   3601871.48   7413797.78 
1960-1969   40-44     3546274.83   3225546.52   6771821.35 
1960-1969   45-49     3098401.03   2742665.47   5841066.50 
1960-1969   50-54     3260021.10   2898847.52   6158868.62 
1960-1969   55-59     3290967.07   2919757.88   6210724.94 
1960-1969   60-64     2863902.71   2460148.95   5324051.66 
1960-1969   65-69     2384682.10   1853807.79   4238489.90 
1960-1969   70-74     1736213.63   1205097.78   2941311.41 
1960-1969   75-79     1115753.23    736280.38   1852033.61 
1960-1969   80-84      571644.45    363982.87    935627.32 
1960-1969   85-89      192059.72    117713.54    309773.26 
1960-1969   90-94       38686.44     21954.46     60640.90 
1960-1969   95-99        4347.59      2086.78      6434.37 
1960-1969  100-104        165.26        67.29       232.56 
1960-1969  105-109          0.40         0.00         0.40 
1960-1969  110+             0.00         0.00         0.00 
1970-1979      0       797994.32    844029.60   1642023.92 
1970-1979    1-4      3044238.01   3225625.20   6269863.21 
1970-1979    5-9      3372344.70   3582150.92   6954495.62 
1970-1979   10-14     3338176.16   3536172.28   6874348.43 
1970-1979   15-19     3953986.05   4162002.11   8115988.17 
1970-1979   20-24     4265860.62   4428497.35   8694357.98 
1970-1979   25-29     3885135.96   3970194.19   7855330.15 
1970-1979   30-34     3585925.69   3553670.82   7139596.50 
1970-1979   35-39     3498877.67   3339878.78   6838756.46 
1970-1979   40-44     3578231.66   3379858.53   6958090.19 
1970-1979   45-49     3715767.02   3446717.81   7162484.83 
1970-1979   50-54     3416004.78   3024071.30   6440076.08 
1970-1979   55-59     2930143.19   2489177.52   5419320.71 
1970-1979   60-64     2985681.42   2479667.79   5465349.21 
1970-1979   65-69     2846939.94   2255094.07   5102034.01 
1970-1979   70-74     2221720.40   1613145.05   3834865.45 
1970-1979   75-79     1521188.09    949830.67   2471018.76 
1970-1979   80-84      791795.00    422568.53   1214363.54 
1970-1979   85-89      291701.58    142584.22    434285.80 
1970-1979   90-94       67118.11     30795.07     97913.18 
1970-1979   95-99        7922.37      3216.04     11138.40 
1970-1979  100-104        446.64        99.44       546.09 
1970-1979  105-109          2.31         0.00         2.31 
1970-1979  110+             0.00         0.00         0.00 
1980-1989      0       638947.33    669505.83   1308453.15 
1980-1989    1-4      2756608.41   2892635.25   5649243.65 
1980-1989    5-9      3898431.62   4107122.85   8005554.47 
1980-1989   10-14     3834423.47   4055237.71   7889661.18 
1980-1989   15-19     3347343.23   3538035.79   6885379.02 
1980-1989   20-24     3289063.96   3425294.87   6714358.83 
1980-1989   25-29     3879344.18   3984512.12   7863856.30 
1980-1989   30-34     4163347.45   4228593.39   8391940.84 
1980-1989   35-39     3786513.65   3786910.47   7573424.12 
1980-1989   40-44     3489830.50   3366601.73   6856432.24 
1980-1989   45-49     3381110.31   3112392.01   6493502.32 
1980-1989   50-54     3411890.58   3061293.12   6473183.70 
1980-1989   55-59     3471835.34   2986017.23   6457852.57 
1980-1989   60-64     3090834.35   2458901.37   5549735.72 
1980-1989   65-69     2503625.13   1846266.50   4349891.63 
1980-1989   70-74     2302339.85   1575145.10   3877484.96 
1980-1989   75-79     1825411.61   1104981.71   2930393.32 
1980-1989   80-84     1028094.75    530629.37   1558724.12 
1980-1989   85-89      422211.67    179103.79    601315.46 
1980-1989   90-94      102363.34     36313.43    138676.77 
1980-1989   95-99       13431.08      4202.64     17633.71 
1980-1989  100-104        879.79       243.50      1123.29 
1980-1989  105-109         13.79         2.54        16.33 
1980-1989  110+             0.00         0.00         0.00 
1990-1999      0       545647.63    574644.47   1120292.10 
1990-1999    1-4      2297459.71   2411302.18   4708761.89 
1990-1999    5-9      3047825.46   3186824.81   6234650.27 
1990-1999   10-14     3424482.84   3580963.89   7005446.73 
