Netherlands, Exposure to risk (period 5x10), 	Last modified: 13 Jan 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
1850-1859        0            461968.17       476669.33       938637.50
1850-1859      1-4           1478330.50      1504055.33      2982385.83
1850-1859      5-9           1652176.00      1678904.00      3331080.00
1850-1859     10-14          1621974.67      1651928.50      3273903.17
1850-1859     15-19          1553514.17      1580382.67      3133896.83
1850-1859     20-24          1407936.67      1396921.33      2804858.00
1850-1859     25-29          1329462.67      1286818.67      2616281.33
1850-1859     30-34          1217815.00      1181229.17      2399044.17
1850-1859     35-39          1049470.17      1021271.00      2070741.17
1850-1859     40-44           911063.33       877476.17      1788539.50
1850-1859     45-49           810792.17       763804.67      1574596.83
1850-1859     50-54           748685.33       692215.67      1440901.00
1850-1859     55-59           651951.50       577984.00      1229935.50
1850-1859     60-64           522146.50       430193.33       952339.83
1850-1859     65-69           391759.00       308925.50       700684.50
1850-1859     70-74           251472.67       197054.00       448526.67
1850-1859     75-79           141538.50       110395.00       251933.50
1850-1859     80-84            67067.17        50340.67       117407.83
1850-1859     85-89            22033.00        15952.67        37985.67
1850-1859     90-94             4879.47         3372.50         8251.97
1850-1859     95-99              676.58          429.50         1106.08
1850-1859    100-104              20.95            7.10           28.05
1850-1859    105-109               0.00            0.00            0.00
1850-1859    110+                  0.00            0.00            0.00
1860-1869        0            521153.67       538235.67      1059389.33
1860-1869      1-4           1674622.00      1700720.33      3375342.33
1860-1869      5-9           1788350.33      1815123.83      3603474.17
1860-1869     10-14          1663465.67      1691908.67      3355374.33
1860-1869     15-19          1566165.50      1594974.00      3161139.50
1860-1869     20-24          1510945.67      1504520.17      3015465.83
1860-1869     25-29          1425311.00      1383123.67      2808434.67
1860-1869     30-34          1258410.50      1215481.50      2473892.00
1860-1869     35-39          1152202.83      1123203.67      2275406.50
1860-1869     40-44          1048275.67      1029653.83      2077929.50
1860-1869     45-49           913484.17       883035.83      1796520.00
1860-1869     50-54           783777.67       731819.33      1515597.00
1860-1869     55-59           666541.83       604089.33      1270631.17
1860-1869     60-64           570248.83       503090.00      1073338.83
1860-1869     65-69           443718.50       373049.17       816767.67
1860-1869     70-74           296819.17       231720.33       528539.50
1860-1869     75-79           163773.00       124468.33       288241.33
1860-1869     80-84            69587.83        50979.97       120567.80
1860-1869     85-89            20452.33        14873.83        35326.17
1860-1869     90-94             4174.83         2822.33         6997.17
1860-1869     95-99              568.17          315.83          884.00
1860-1869    100-104              12.67            5.67           18.33
1860-1869    105-109               0.00            0.00            0.00
