Norway, Exposure to risk (period 5x10)     Last modified: 28-Aug-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
1846-1849      0        75621.25     78303.83    153925.08 
1846-1849    1-4       263035.58    270128.92    533164.50 
1846-1849    5-9       289169.42    293002.83    582172.25 
1846-1849   10-14      275717.92    279233.67    554951.58 
1846-1849   15-19      264490.92    266538.08    531029.00 
1846-1849   20-24      260924.83    251671.00    512595.83 
1846-1849   25-29      235647.42    223781.17    459428.58 
1846-1849   30-34      183431.42    177160.67    360592.08 
1846-1849   35-39      144740.00    142337.17    287077.17 
1846-1849   40-44      143032.58    138053.00    281085.58 
1846-1849   45-49      135692.75    126833.92    262526.67 
1846-1849   50-54      125714.33    115683.92    241398.25 
1846-1849   55-59      109086.33     97312.25    206398.58 
1846-1849   60-64       84732.33     72181.25    156913.58 
1846-1849   65-69       68050.25     54495.58    122545.83 
1846-1849   70-74       47483.17     36517.58     84000.75 
1846-1849   75-79       30334.50     22700.08     53034.58 
1846-1849   80-84       20654.33     13856.83     34511.17 
1846-1849   85-89        9661.83      5769.83     15431.67 
1846-1849   90-94        2785.67      1457.58      4243.25 
1846-1849   95-99         765.25       352.08      1117.33 
1846-1849  100-104         86.25        33.92       120.17 
1846-1849  105-109          4.33         0.00         4.33 
1846-1849  110+             0.00         0.00         0.00 
1850-1859      0       219088.33    227665.33    446753.67 
1850-1859    1-4       754806.00    779032.58   1533838.58 
1850-1859    5-9       818377.33    841793.42   1660170.75 
1850-1859   10-14      719232.75    735867.92   1455100.67 
1850-1859   15-19      673312.92    665870.17   1339183.08 
1850-1859   20-24      675225.17    628030.50   1303255.67 
1850-1859   25-29      636891.25    591816.58   1228707.83 
1850-1859   30-34      552803.00    533430.67   1086233.67 
1850-1859   35-39      441331.50    434474.00    875805.50 
1850-1859   40-44      356980.50    346571.50    703552.00 
1850-1859   45-49      331009.75    309928.00    640937.75 
1850-1859   50-54      322680.83    290403.83    613084.67 
1850-1859   55-59      288994.08    257626.00    546620.08 
1850-1859   60-64      248497.25    215311.67    463808.92 
1850-1859   65-69      192452.00    159118.42    351570.42 
1850-1859   70-74      133834.67    102770.25    236604.92 
1850-1859   75-79       81200.08     58219.42    139419.50 
1850-1859   80-84       53916.83     36002.25     89919.08 
1850-1859   85-89       23649.50     14433.25     38082.75 
1850-1859   90-94        7280.58      3976.33     11256.92 
1850-1859   95-99        1459.17       630.75      2089.92 
1850-1859  100-104         99.33        27.33       126.67 
1850-1859  105-109          0.67         0.00         0.67 
1850-1859  110+             0.00         0.00         0.00 
1860-1869      0       241373.33    252123.33    493496.67 
1860-1869    1-4       872327.67    902194.75   1774522.42 
1860-1869    5-9       973695.00   1007481.83   1981176.83 
1860-1869   10-14      867025.17    893592.33   1760617.50 
1860-1869   15-19      780403.83    782117.42   1562521.25 
1860-1869   20-24      687260.17    649262.25   1336522.42 
1860-1869   25-29      626373.58    571890.33   1198263.92 
1860-1869   30-34      590510.75    546696.67   1137207.42 
1860-1869   35-39      546063.25    520778.75   1066842.00 
1860-1869   40-44      479552.50    466298.58    945851.08 
1860-1869   45-49      407882.50    385922.08    793804.58 
1860-1869   50-54      326923.67    300150.50    627074.17 
1860-1869   55-59      283606.67    252572.25    536178.92 
1860-1869   60-64      256997.42    224106.75    481104.17 
1860-1869   65-69      222081.00    186580.17    408661.17 
1860-1869   70-74      165567.67    135371.08    300938.75 
1860-1869   75-79      104912.25     79143.08    184055.33 
1860-1869   80-84       57259.08     38552.58     95811.67 
1860-1869   85-89       25780.75     15343.92     41124.67 
1860-1869   90-94        8014.83      4224.25     12239.08 
1860-1869   95-99        1425.17       703.50      2128.67 
1860-1869  100-104        119.75        71.17       190.92 
1860-1869  105-109          3.17         2.08         5.25 
1860-1869  110+             0.00         0.00         0.00 
1870-1879      0       251851.25    261622.50    513473.75 
1870-1879    1-4       874126.75    899555.75   1773682.50 
1870-1879    5-9      1003899.50   1028886.25   2032785.75 
1870-1879   10-14      962440.17    990632.17   1953072.33 
1870-1879   15-19      890373.92    903621.08   1793995.00 
1870-1879   20-24      801845.58    754397.58   1556243.17 
1870-1879   25-29      691008.33    617028.75   1308037.08 
