Portugal, Exposure to risk (period 5x10), 	Last modified: 24 Feb 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
1940-1949        0            885042.30       943322.72      1828365.02
1940-1949      1-4           3188128.92      3338941.41      6527070.33
1940-1949      5-9           3962421.28      4116966.14      8079387.41
1940-1949     10-14          4021494.70      4123194.25      8144688.94
1940-1949     15-19          3889236.34      3906334.98      7795571.32
1940-1949     20-24          3494435.23      3450985.82      6945421.05
1940-1949     25-29          3095622.54      2992143.67      6087766.21
1940-1949     30-34          2951231.13      2767415.25      5718646.38
1940-1949     35-39          2802460.18      2518864.45      5321324.63
1940-1949     40-44          2508224.27      2163883.24      4672107.51
1940-1949     45-49          2201961.62      1844805.70      4046767.32
1940-1949     50-54          1970650.12      1591340.37      3561990.49
1940-1949     55-59          1758167.63      1368380.66      3126548.28
1940-1949     60-64          1522658.12      1144782.46      2667440.58
1940-1949     65-69          1220630.99       887928.88      2108559.87
1940-1949     70-74           892222.35       607806.50      1500028.85
1940-1949     75-79           562946.66       347619.66       910566.32
1940-1949     80-84           354176.36       176961.00       531137.36
1940-1949     85-89           149416.43        60237.73       209654.16
1940-1949     90-94            48917.93        15359.87        64277.80
1940-1949     95-99            12943.27         3443.37        16386.65
1940-1949    100-104            2140.81          410.60         2551.42
1940-1949    105-109             350.98           58.58          409.56
1940-1949    110+                 88.87           10.67           99.54
1950-1959        0            936373.39       989433.66      1925807.06
1950-1959      1-4           3457619.22      3615690.61      7073309.83
1950-1959      5-9           4147550.99      4283659.80      8431210.79
1950-1959     10-14          3920505.39      3955220.07      7875725.46
1950-1959     15-19          3857383.63      3774348.49      7631732.12
1950-1959     20-24          3777703.87      3662789.56      7440493.43
1950-1959     25-29          3544949.46      3398432.21      6943381.66
1950-1959     30-34          3117504.09      2950981.72      6068485.81
1950-1959     35-39          2815013.05      2631037.60      5446050.64
1950-1959     40-44          2761759.85      2526598.29      5288358.14
1950-1959     45-49          2625593.21      2300483.25      4926076.46
1950-1959     50-54          2339250.76      1949502.07      4288752.82
1950-1959     55-59          2000575.46      1597210.45      3597785.91
1950-1959     60-64          1717749.28      1304023.34      3021772.62
1950-1959     65-69          1447726.00      1036251.61      2483977.62
1950-1959     70-74          1090055.24       733249.55      1823304.80
1950-1959     75-79           718546.07       442043.28      1160589.35
1950-1959     80-84           429772.41       213483.06       643255.47
1950-1959     85-89           170422.91        66783.12       237206.02
1950-1959     90-94            49517.35        14611.82        64129.17
1950-1959     95-99            10662.46         2377.79        13040.25
1950-1959    100-104            1230.54          242.79         1473.33
1950-1959    105-109             219.69           26.62          246.31
1950-1959    110+                 48.59            3.70           52.29
1960-1969        0            951153.15      1007629.98      1958783.13
1960-1969      1-4           3554221.48      3721916.89      7276138.36
1960-1969      5-9           4182791.53      4336246.70      8519038.23
1960-1969     10-14          4028143.10      4055504.73      8083647.83
1960-1969     15-19          3775804.98      3629792.77      7405597.75
1960-1969     20-24          3397825.53      3118143.05      6515968.58
1960-1969     25-29          3262025.75      2964084.16      6226109.91
1960-1969     30-34          3212243.68      2935131.32      6147375.00
1960-1969     35-39          3087453.02      2827109.29      5914562.31
1960-1969     40-44          2801763.15      2566274.17      5368037.32
1960-1969     45-49          2571433.73      2341798.06      4913231.79
1960-1969     50-54          2511561.18      2235372.49      4746933.67
1960-1969     55-59          2372901.32      2001696.53      4374597.86
1960-1969     60-64          2049658.15      1614355.85      3664013.99
1960-1969     65-69          1646111.81      1213882.25      2859994.06
1960-1969     70-74          1261366.79       861271.39      2122638.18
