Russia, Exposure to risk (period 5x10)     Last modified: 11-Nov-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
1960-1969      0     10694661.47  11182660.19  21877321.66 
1960-1969    1-4     46520582.92  48449246.30  94969829.22 
1960-1969    5-9     63597465.61  65960201.03 129557666.64 
1960-1969   10-14    60220896.39  62632756.07 122853652.45 
1960-1969   15-19    46109654.63  48322985.80  94432640.43 
1960-1969   20-24    44706635.84  45357409.21  90064045.04 
1960-1969   25-29    52726216.06  52445526.55 105171742.61 
1960-1969   30-34    54092254.03  52235581.41 106327835.43 
1960-1969   35-39    54862240.17  46219111.37 101081351.55 
1960-1969   40-44    44617612.52  30520933.57  75138546.09 
1960-1969   45-49    38226264.83  23017521.63  61243786.46 
1960-1969   50-54    41273016.90  23649796.68  64922813.58 
1960-1969   55-59    38715397.19  20416685.79  59132082.98 
1960-1969   60-64    31462553.02  14356705.10  45819258.12 
1960-1969   65-69    23400200.92   9866043.74  33266244.66 
1960-1969   70-74    16487994.61   6761983.68  23249978.29 
1960-1969   75-79    10956742.75   4123743.33  15080486.08 
1960-1969   80-84     5877208.67   2048508.98   7925717.66 
1960-1969   85-89     2378688.44    759935.04   3138623.48 
1960-1969   90-94      769730.71    224340.75    994071.46 
1960-1969   95-99      215914.43     59893.36    275807.78 
1960-1969  100-104      42309.50     11500.72     53810.22 
1960-1969  105-109       6389.18      1737.79      8126.97 
1960-1969  110+           716.66       177.02       893.67 
1970-1979      0     10309071.98  10688621.00  20997692.98 
1970-1979    1-4     38950104.63  40161110.27  79111214.90 
1970-1979    5-9     48998833.93  50499215.79  99498049.72 
1970-1979   10-14    56378062.25  58672395.68 115050457.94 
1970-1979   15-19    62021656.53  64221245.00 126242901.52 
1970-1979   20-24    59004703.71  61138429.00 120143132.71 
1970-1979   25-29    45348463.68  46507102.60  91855566.28 
1970-1979   30-34    43815322.26  43204244.44  87019566.70 
1970-1979   35-39    51097084.24  48935598.97 100032683.21 
1970-1979   40-44    52123283.65  48172248.92 100295532.57 
1970-1979   45-49    53006227.88  41959308.54  94965536.42 
1970-1979   50-54    43284375.25  27212056.09  70496431.34 
1970-1979   55-59    36729528.66  19723618.43  56453147.09 
1970-1979   60-64    38246699.95  19070307.21  57317007.16 
1970-1979   65-69    34077489.65  14799348.58  48876838.23 
1970-1979   70-74    24768115.24   8827813.76  33595929.00 
1970-1979   75-79    15064315.00   4787742.81  19852057.81 
1970-1979   80-84     7843241.07   2390487.84  10233728.91 
1970-1979   85-89     3569009.93    949512.68   4518522.61 
1970-1979   90-94     1159451.16    275583.21   1435034.37 
1970-1979   95-99      267763.70     62433.56    330197.25 
1970-1979  100-104      42558.26     10743.22     53301.48 
1970-1979  105-109       4060.35      1155.69      5216.04 
1970-1979  110+           213.38        58.96       272.35 
1980-1989      0     11442321.28  11913431.44  23355752.71 
1980-1989    1-4     44699380.17  46301647.47  91001027.64 
1980-1989    5-9     52621898.06  54276930.58 106898828.64 
1980-1989   10-14    48877762.69  50552777.96  99430540.65 
1980-1989   15-19    49020795.90  50920234.05  99941029.94 
1980-1989   20-24    57223505.73  59565246.69 116788752.42 
1980-1989   25-29    62651150.49  64395081.48 127046231.97 
1980-1989   30-34    58792366.29  59359560.72 118151927.01 
1980-1989   35-39    44923564.08  44331152.00  89254716.07 
1980-1989   40-44    42868473.79  40232783.10  83101256.89 
1980-1989   45-49    49550366.23  44549505.22  94099871.44 
1980-1989   50-54    49869723.12  42272753.98  92142477.10 
1980-1989   55-59    50036715.10  35186244.52  85222959.62 
1980-1989   60-64    39466143.61  21264029.07  60730172.67 
1980-1989   65-69    31576665.93  13986687.47  45563353.40 
1980-1989   70-74    30196198.06  11592777.32  41788975.38 
1980-1989   75-79    22712523.56   7143964.24  29856487.80 
1980-1989   80-84    11849294.83   2967741.12  14817035.95 
1980-1989   85-89     4624246.56    993058.95   5617305.51 
1980-1989   90-94     1380639.62    264681.07   1645320.68 
1980-1989   95-99      351921.32     59254.07    411175.39 
1980-1989  100-104      61854.82     10750.60     72605.42 
1980-1989  105-109       7016.94      1302.72      8319.66 
1980-1989  110+           510.95        84.58       595.54 
1990-1999      0      7265121.02   7657219.62  14922340.64 
1990-1999    1-4     34440609.22  36091668.33  70532277.55 
1990-1999    5-9     54385576.74  56592868.05 110978444.79 
1990-1999   10-14    57186741.52  59133011.76 116319753.28 
1990-1999   15-19    53326493.99  54898498.68 108224992.68 
1990-1999   20-24    49425006.27  51405615.68 100830621.95 
1990-1999   25-29    49946761.97  51412070.29 101358832.26 
1990-1999   30-34    57958791.80  58436418.70 116395210.50 
1990-1999   35-39    62868716.40  62060415.49 124929131.89 
1990-1999   40-44    58284475.04  55971307.55 114255782.59 
1990-1999   45-49    43929977.64  40551841.54  84481819.18 
1990-1999   50-54    41248373.23  35507385.97  76755759.21 
1990-1999   55-59    46797494.49  37194733.27  83992227.75 
1990-1999   60-64    45841731.48  32843301.23  78685032.71 
1990-1999   65-69    43374039.24  24540702.15  67914741.38 
1990-1999   70-74    30918148.56  12794339.47  43712488.03 
1990-1999   75-79    20988379.78   6760124.23  27748504.01 
1990-1999   80-84    14930187.48   3902743.69  18832931.16 
1990-1999   85-89     6977576.58   1450749.30   8428325.89 
1990-1999   90-94     1868306.40    301762.91   2170069.31 
1990-1999   95-99      327517.64     44933.72    372451.36 
1990-1999  100-104      46722.20      5796.27     52518.47 
1990-1999  105-109       3576.52       449.33      4025.85 
1990-1999  110+           180.39        21.22       201.60 
2000-2009      0      7061209.41   7455325.81  14516535.22 
2000-2009    1-4     26602337.27  27963208.56  54565545.83 
2000-2009    5-9     33689653.48  35343446.40  69033099.88 
2000-2009   10-14    43749607.94  45626291.18  89375899.12 
2000-2009   15-19    57109814.28  58830567.38 115940381.66 
2000-2009   20-24    58702135.23  59715057.80 118417193.03 
2000-2009   25-29    54602764.99  54860102.14 109462867.13 
2000-2009   30-34    51027962.62  50411135.10 101439097.72 
2000-2009   35-39    51090121.25  49502188.13 100592309.38 
2000-2009   40-44    58122048.37  54561571.13 112683619.50 
2000-2009   45-49    61805236.84  55450860.71 117256097.55 
