France (Total Population), Exposure to risk (period 5x5), 	Last modified: 31 May 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
1816-1819        0           1645192.25      1719810.88      3365003.13
1816-1819      1-4           5638913.10      5831859.05     11470772.15
1816-1819      5-9           6109774.58      6385339.97     12495114.55
1816-1819     10-14          5734531.90      5867749.52     11602281.42
1816-1819     15-19          5648738.03      5571535.58     11220273.61
1816-1819     20-24          5390326.87      4878645.76     10268972.63
1816-1819     25-29          4832859.43      4021853.24      8854712.67
1816-1819     30-34          4524898.39      3924911.84      8449810.23
1816-1819     35-39          4154527.25      3778064.56      7932591.81
1816-1819     40-44          3789357.02      3297251.06      7086608.08
1816-1819     45-49          3423513.75      2906556.28      6330070.03
1816-1819     50-54          3125867.63      2784230.54      5910098.17
1816-1819     55-59          2715911.02      2526740.34      5242651.36
1816-1819     60-64          2242105.71      2111411.19      4353516.90
1816-1819     65-69          1658369.64      1555451.49      3213821.13
1816-1819     70-74          1068768.72      1000833.03      2069601.75
1816-1819     75-79           604723.50       562009.36      1166732.86
1816-1819     80-84           277622.64       258551.47       536174.11
1816-1819     85-89            95447.88        89200.14       184648.02
1816-1819     90-94            28121.84        26370.32        54492.16
1816-1819     95-99             5688.18         5909.94        11598.12
1816-1819    100-104             682.37          731.95         1414.32
1816-1819    105-109              78.68           91.90          170.58
1816-1819    110+                  5.13            5.37           10.50
1820-1824        0           2141107.63      2240303.07      4381410.70
1820-1824      1-4           7186491.04      7315507.28     14501998.32
1820-1824      5-9           7940481.58      8186775.57     16127257.14
1820-1824     10-14          7268158.40      7613445.71     14881604.10
1820-1824     15-19          6952326.82      7111119.75     14063446.57
1820-1824     20-24          6772103.99      6667944.97     13440048.96
1820-1824     25-29          6414032.83      5743544.79     12157577.62
1820-1824     30-34          5767359.57      4807590.97     10574950.54
1820-1824     35-39          5344073.58      4685325.29     10029398.87
1820-1824     40-44          4866225.20      4429947.42      9296172.62
1820-1824     45-49          4409231.20      3806308.60      8215539.81
1820-1824     50-54          3930233.40      3328554.98      7258788.38
1820-1824     55-59          3498152.46      3110176.34      6608328.79
1820-1824     60-64          2905855.77      2697544.09      5603399.86
1820-1824     65-69          2258286.51      2109400.01      4367686.52
1820-1824     70-74          1520540.02      1405792.91      2926332.92
1820-1824     75-79           822094.41       769402.37      1591496.78
1820-1824     80-84           358552.70       335625.88       694178.58
1820-1824     85-89           122588.37       114526.61       237114.98
1820-1824     90-94            37797.05        35046.03        72843.07
1820-1824     95-99             7214.72         7278.83        14493.55
1820-1824    100-104             653.85          680.33         1334.19
1820-1824    105-109              30.59           38.35           68.93
1820-1824    110+                  0.00            0.00            0.00
1825-1829        0           2174884.82      2273171.93      4448056.75
1825-1829      1-4           7253260.30      7440895.60     14694155.90
1825-1829      5-9           8196765.41      8302295.50     16499060.91
1825-1829     10-14          7503033.12      7824095.03     15327128.14
1825-1829     15-19          7008821.00      7385560.69     14394381.69
1825-1829     20-24          6657595.73      6862609.20     13520204.93
1825-1829     25-29          6481567.16      6406154.24     12887721.40
1825-1829     30-34          6128205.91      5547682.10     11675888.00
1825-1829     35-39          5477563.10      4610386.55     10087949.65
1825-1829     40-44          5037248.65      4434119.59      9471368.24
1825-1829     45-49          4562180.86      4141384.84      8703565.70
1825-1829     50-54          4077126.08      3501619.00      7578745.08
1825-1829     55-59          3547292.56      2981224.69      6528517.25
1825-1829     60-64          3023164.79      2673108.04      5696272.83
1825-1829     65-69          2348398.51      2176361.10      4524759.60
1825-1829     70-74          1707274.31      1548016.70      3255291.01
1825-1829     75-79           963177.39       885643.13      1848820.52
1825-1829     80-84           395481.55       363639.79       759121.34
1825-1829     85-89           128922.13       119867.93       248790.05
1825-1829     90-94            38515.12        33992.52        72507.64
1825-1829     95-99             7834.23         7472.59        15306.81
1825-1829    100-104             813.81          779.78         1593.59
1825-1829    105-109              53.16           55.96          109.12
1825-1829    110+                  0.00            0.00            0.00
1830-1834        0           2161063.64      2259144.10      4420207.74
1830-1834      1-4           7311573.48      7443942.60     14755516.08
1830-1834      5-9           8155826.17      8360518.82     16516344.98
1830-1834     10-14          7700367.17      7927848.40     15628215.57
1830-1834     15-19          7231233.62      7588588.73     14819822.35
1830-1834     20-24          6706568.62      7065596.85     13772165.46
1830-1834     25-29          6356208.76      6524333.81     12880542.57
1830-1834     30-34          6160285.35      6142330.49     12302615.83
1830-1834     35-39          5800737.88      5296568.97     11097306.85
1830-1834     40-44          5165903.26      4354379.42      9520282.68
1830-1834     45-49          4718313.73      4120943.78      8839257.50
1830-1834     50-54          4195091.34      3781844.05      7976935.38
1830-1834     55-59          3661791.21      3123555.59      6785346.80
1830-1834     60-64          3040100.35      2526646.77      5566747.11
1830-1834     65-69          2408514.99      2112035.67      4520550.66
1830-1834     70-74          1678084.96      1538817.84      3216902.80
1830-1834     75-79           998376.27       921759.15      1920135.42
1830-1834     80-84           445729.20       407378.16       853107.36
1830-1834     85-89           133873.14       121124.21       254997.35
1830-1834     90-94            38427.11        34362.19        72789.30
1830-1834     95-99             7794.75         6988.46        14783.21
1830-1834    100-104             943.23          930.72         1873.96
1830-1834    105-109              80.64           92.33          172.97
1830-1834    110+                  0.05            0.66            0.71
1835-1839        0           2158465.90      2257805.17      4416271.07
