Scotland, Exposure to risk (period 5x5)     Last modified: 29-Jul-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
1855-1859      0       231408.52    241317.45    472725.98 
1855-1859    1-4       784922.95    809270.17   1594193.11 
1855-1859    5-9       835951.74    863847.48   1699799.22 
1855-1859   10-14      799814.99    778400.22   1578215.21 
1855-1859   15-19      783545.59    683963.41   1467509.01 
1855-1859   20-24      696636.44    556836.94   1253473.38 
1855-1859   25-29      602711.92    485399.36   1088111.29 
1855-1859   30-34      515390.82    424649.44    940040.26 
1855-1859   35-39      468958.13    392343.04    861301.17 
1855-1859   40-44      400363.17    342699.41    743062.58 
1855-1859   45-49      361966.70    307321.94    669288.64 
1855-1859   50-54      299033.04    252116.97    551150.00 
1855-1859   55-59      283985.04    226466.00    510451.03 
1855-1859   60-64      216355.35    166987.65    383343.00 
1855-1859   65-69      167294.30    122686.72    289981.01 
1855-1859   70-74      122522.97     87969.44    210492.41 
1855-1859   75-79       84201.16     57637.05    141838.21 
1855-1859   80-84       49879.46     31211.17     81090.62 
1855-1859   85-89       20003.62     11818.06     31821.68 
1855-1859   90-94        6540.22      3230.31      9770.53 
1855-1859   95-99        1623.02       786.80      2409.83 
1855-1859  100-104        253.12       119.52       372.64 
1855-1859  105-109         13.54         1.31        14.85 
1855-1859  110+             0.00         0.00         0.00 
1860-1864      0       238340.01    248334.53    486674.53 
1860-1864    1-4       809564.72    835321.25   1644885.97 
1860-1864    5-9       911018.08    938722.04   1849740.12 
1860-1864   10-14      812009.08    831688.15   1643697.23 
1860-1864   15-19      777811.75    746995.77   1524807.52 
1860-1864   20-24      749993.94    644950.71   1394944.65 
1860-1864   25-29      658648.43    522496.83   1181145.25 
1860-1864   30-34      570999.63    460252.08   1031251.71 
1860-1864   35-39      486694.73    401212.07    887906.80 
1860-1864   40-44      442383.55    369456.81    811840.36 
1860-1864   45-49      374775.79    317743.57    692519.35 
1860-1864   50-54      337407.24    281781.43    619188.67 
1860-1864   55-59      273421.05    226081.89    499502.94 
1860-1864   60-64      252223.44    196290.65    448514.09 
1860-1864   65-69      180024.64    134413.95    314438.59 
1860-1864   70-74      128574.08     90411.26    218985.34 
1860-1864   75-79       80660.09     55028.55    135688.64 
1860-1864   80-84       51555.52     32266.25     83821.77 
1860-1864   85-89       20965.13     11825.09     32790.23 
1860-1864   90-94        6503.27      3165.58      9668.85 
1860-1864   95-99        1565.71       682.07      2247.78 
1860-1864  100-104        231.78       105.37       337.15 
1860-1864  105-109         10.54         3.96        14.49 
1860-1864  110+             0.00         0.00         0.00 
1865-1869      0       256814.05    267498.04    524312.09 
1865-1869    1-4       872836.23    896385.32   1769221.56 
1865-1869    5-9       948204.90    980143.27   1928348.18 
1865-1869   10-14      881600.63    896619.93   1778220.56 
1865-1869   15-19      798499.01    777047.00   1575546.01 
1865-1869   20-24      741801.82    668622.20   1410424.02 
1865-1869   25-29      681752.02    573124.32   1254876.34 
1865-1869   30-34      589337.76    473951.90   1063289.66 
1865-1869   35-39      525999.18    430903.78    956902.96 
1865-1869   40-44      446775.97    372731.32    819507.29 
1865-1869   45-49      407317.34    339792.63    747109.98 
1865-1869   50-54      336687.39    281633.61    618321.00 
1865-1869   55-59      307948.62    250168.15    558116.78 
1865-1869   60-64      240505.99    191736.79    432242.78 
1865-1869   65-69      207554.54    156636.16    364190.71 
1865-1869   70-74      136726.40     98669.01    235395.42 
1865-1869   75-79       86916.43     58683.74    145600.16 
1865-1869   80-84       51649.69     31921.70     83571.39 
1865-1869   85-89       21203.30     11849.23     33052.53 
1865-1869   90-94        6724.26      3235.95      9960.20 
1865-1869   95-99        1517.73       690.09      2207.82 
1865-1869  100-104        172.60        84.86       257.46 
1865-1869  105-109          8.26         0.11         8.37 
1865-1869  110+             0.00         0.00         0.00 
1870-1874      0       261749.05    272996.74    534745.79 
1870-1874    1-4       884943.79    909457.07   1794400.85 
1870-1874    5-9      1012209.29   1036714.86   2048924.15 
1870-1874   10-14      928805.21    953018.38   1881823.58 
1870-1874   15-19      853860.51    848260.03   1702120.54 
1870-1874   20-24      768466.23    706592.59   1475058.81 
1870-1874   25-29      692512.30    592851.26   1285363.56 
1870-1874   30-34      615093.99    514162.90   1129256.89 
1870-1874   35-39      532247.73    436679.74    968927.47 
1870-1874   40-44      480128.91    398800.86    878929.77 
1870-1874   45-49      409430.18    342686.77    752116.95 
1870-1874   50-54      367498.97    303041.18    670540.16 
1870-1874   55-59      301842.50    246636.98    548479.48 
1870-1874   60-64      265970.73    208748.03    474718.77 
1870-1874   65-69      202566.02    153670.95    356236.97 
1870-1874   70-74      153728.69    111431.65    265160.34 
1870-1874   75-79       91587.66     62576.92    154164.58 
1870-1874   80-84       51683.17     32775.41     84458.59 
1870-1874   85-89       20662.41     11903.06     32565.47 
1870-1874   90-94        6578.11      3105.97      9684.09 
1870-1874   95-99        1582.12       636.73      2218.85 
1870-1874  100-104        168.39        67.62       236.01 
1870-1874  105-109          1.81         0.78         2.59 
1870-1874  110+             0.00         0.00         0.00 
1875-1879      0       284001.70    295317.99    579319.70 
1875-1879    1-4       965412.39    990154.47   1955566.86 
1875-1879    5-9      1038348.69   1068383.34   2106732.03 
1875-1879   10-14      979016.78    995425.43   1974442.20 
1875-1879   15-19      913430.91    904667.27   1818098.18 
1875-1879   20-24      817750.26    775181.68   1592931.94 
1875-1879   25-29      704644.56    635605.10   1340249.67 
1875-1879   30-34      626850.59    540394.02   1167244.61 
1875-1879   35-39      572044.64    485299.26   1057343.89 
1875-1879   40-44      489434.62    407803.07    897237.69 
1875-1879   45-49      444801.37    368934.31    813735.68 
1875-1879   50-54      365935.57    302613.40    668548.97 
1875-1879   55-59      333369.51    266519.60    599889.11 
1875-1879   60-64      262787.51    205979.24    468766.75 
1875-1879   65-69      215965.49    161999.68    377965.17 
1875-1879   70-74      151110.20    109755.07    260865.27 
1875-1879   75-79      101017.91     69137.83    170155.75 
1875-1879   80-84       50847.90     31697.62     82545.52 
1875-1879   85-89       19779.28     11603.19     31382.47 
1875-1879   90-94        5902.45      2938.94      8841.38 
1875-1879   95-99        1515.05       593.80      2108.84 
1875-1879  100-104        225.35        46.67       272.02 
1875-1879  105-109          9.17         0.00         9.17 
1875-1879  110+             0.00         0.00         0.00 
1880-1884      0       282179.74    292205.69    574385.44 
1880-1884    1-4       989189.40   1012180.70   2001370.10 
1880-1884    5-9      1133562.94   1161211.70   2294774.64 
1880-1884   10-14     1016989.81   1038397.01   2055386.81 
1880-1884   15-19      945839.04    941559.38   1887398.42 
1880-1884   20-24      876722.34    830872.58   1707594.92 
1880-1884   25-29      768506.53    702739.31   1471245.85 
1880-1884   30-34      644467.04    579161.01   1223628.05 
1880-1884   35-39      573966.01    500343.73   1074309.74 
1880-1884   40-44      528548.86    453455.10    982003.96 
1880-1884   45-49      452676.23    378212.61    830888.84 
1880-1884   50-54      402647.95    330823.56    733471.52 
1880-1884   55-59      327594.01    265204.11    592798.12 
1880-1884   60-64      289542.64    222176.57    511719.21 
1880-1884   65-69      218583.79    162667.20    381250.99 
1880-1884   70-74      160803.80    113843.47    274647.27 
1880-1884   75-79      100291.36     68895.54    169186.90 
1880-1884   80-84       56651.89     36119.36     92771.25 
1880-1884   85-89       19860.92     10993.52     30854.45 
1880-1884   90-94        5851.67      2910.64      8762.31 
1880-1884   95-99        1279.22       548.99      1828.21 
1880-1884  100-104        216.61        55.73       272.34 
1880-1884  105-109         11.52         0.00        11.52 
1880-1884  110+             0.00         0.00         0.00 
1885-1889      0       283969.34    295639.28    579608.62 
1885-1889    1-4      1011415.15   1036610.19   2048025.34 
1885-1889    5-9      1160675.57   1188991.02   2349666.60 
